city,site,pop,n
Albuquerque,r,29,2
Albuquerque,r,32,2
Albuquerque,r,33,2
Albuquerque,r,35,2
Albuquerque,r,36,2
Albuquerque,u,1,2
Albuquerque,u,14,2
Albuquerque,u,15,2
Albuquerque,u,2,2
Albuquerque,u,3,2
Antwerp,r,36,2
Antwerp,r,37,2
Antwerp,r,38,2
Antwerp,r,39,2
Antwerp,r,40,2
Antwerp,u,1,2
Antwerp,u,2,2
Antwerp,u,3,2
Antwerp,u,4,2
Antwerp,u,5,2
Armidale,r,35,3
Armidale,r,36,1
Armidale,r,37,1
Armidale,r,39,3
Armidale,r,40,2
Armidale,u,1,2
Armidale,u,2,2
Armidale,u,3,2
Armidale,u,4,2
Armidale,u,5,2
Athens,r,21,2
Athens,r,22,2
Athens,r,23,2
Athens,r,24,3
Athens,r,25,1
Athens,u,10,2
Athens,u,6,2
Athens,u,7,2
Athens,u,8,2
Athens,u,9,2
Bogota,r,36,4
Bogota,r,37,1
Bogota,r,38,2
Bogota,r,39,2
Bogota,r,40,1
Bogota,u,1,2
Bogota,u,2,1
Bogota,u,3,3
Bogota,u,4,2
Bogota,u,5,2
Buenos_Aires,r,1,3
Buenos_Aires,r,2,2
Buenos_Aires,r,3,1
Buenos_Aires,r,4,2
Buenos_Aires,r,5,2
Buenos_Aires,u,18,2
Buenos_Aires,u,19,2
Buenos_Aires,u,21,2
Buenos_Aires,u,22,2
Buenos_Aires,u,23,2
Calgary,r,23,2
Calgary,r,24,2
Calgary,r,25,2
Calgary,r,27,1
Calgary,r,28,3
Calgary,u,2,2
Calgary,u,32,2
Calgary,u,35,2
Calgary,u,36,2
Calgary,u,37,2
Canberra,r,30,6
Canberra,r,31,2
Canberra,r,33,1
Canberra,r,34,1
Canberra,u,1,2
Canberra,u,2,2
Canberra,u,3,2
Canberra,u,4,2
Canberra,u,5,2
Cape_Town,r,18,2
Cape_Town,r,19,3
Cape_Town,r,7,2
Cape_Town,r,8,3
Cape_Town,u,13,4
Cape_Town,u,14,1
Cape_Town,u,4,5
Christchurch,r,37,2
Christchurch,r,38,2
Christchurch,r,39,2
Christchurch,r,40,2
Christchurch,r,41,2
Christchurch,u,1,2
Christchurch,u,2,2
Christchurch,u,3,2
Christchurch,u,4,2
Christchurch,u,6,2
Hiroshima,r,21,4
Hiroshima,r,22,1
Hiroshima,r,23,2
Hiroshima,r,24,1
Hiroshima,r,25,2
Hiroshima,u,1,2
Hiroshima,u,2,2
Hiroshima,u,3,2
Hiroshima,u,4,2
Hiroshima,u,5,2
Kunming,r,46,2
Kunming,r,47,2
Kunming,r,48,2
Kunming,r,49,2
Kunming,r,50,2
Kunming,u,1,2
Kunming,u,2,2
Kunming,u,3,1
Kunming,u,4,2
Kunming,u,5,3
Kyoto,r,22,2
Kyoto,r,23,2
Kyoto,r,24,3
Kyoto,r,25,3
Kyoto,u,1,2
Kyoto,u,3,2
Kyoto,u,4,2
Kyoto,u,5,4
Landshut,r,1,2
Landshut,r,2,2
Landshut,r,3,2
Landshut,r,4,2
Landshut,r,5,2
Landshut,u,47,2
Landshut,u,48,2
Landshut,u,49,2
Landshut,u,50,2
Landshut,u,51,2
Linkoping,r,25,2
Linkoping,r,27,2
Linkoping,r,37,2
Linkoping,r,38,2
Linkoping,r,40,2
Linkoping,u,13,2
Linkoping,u,15,2
Linkoping,u,16,2
Linkoping,u,5,2
Linkoping,u,8,2
Loja,r,1,2
Loja,r,2,5
Loja,r,3,3
Loja,u,36,2
Loja,u,37,2
Loja,u,38,2
Loja,u,39,1
Loja,u,40,3
Medellin,r,36,6
Medellin,r,37,3
Medellin,r,38,1
Medellin,u,1,2
Medellin,u,2,4
Medellin,u,3,1
Medellin,u,4,2
Medellin,u,5,1
Melbourne,r,2,3
Melbourne,r,5,4
Melbourne,r,6,3
Melbourne,u,25,3
Melbourne,u,29,3
Melbourne,u,30,3
Melbourne,u,31,1
Memphis,r,43,4
Memphis,r,44,3
Memphis,r,45,2
Memphis,r,47,1
Memphis,u,1,2
Memphis,u,2,2
Memphis,u,3,1
Memphis,u,4,2
Memphis,u,5,3
Mexico_City,r,18,2
Mexico_City,r,20,2
Mexico_City,r,22,2
Mexico_City,r,24,2
Mexico_City,r,25,2
Mexico_City,u,1,2
Mexico_City,u,2,2
Mexico_City,u,28,2
Mexico_City,u,3,2
Mexico_City,u,30,2
Munich,r,1,2
Munich,r,2,2
Munich,r,3,2
Munich,r,4,2
Munich,r,5,2
Munich,u,47,2
Munich,u,48,3
Munich,u,50,2
Munich,u,51,3
Paris,r,11,2
Paris,r,13,2
Paris,r,15,2
Paris,r,6,2
Paris,r,8,2
Paris,u,2,2
Paris,u,23,2
Paris,u,25,2
Paris,u,3,2
Paris,u,39,2
Quito,r,1,2
Quito,r,2,2
Quito,r,3,3
Quito,r,4,2
Quito,r,6,1
Quito,u,36,3
Quito,u,37,3
Quito,u,39,2
Quito,u,40,2
Tehran,r,27,2
Tehran,r,28,2
Tehran,r,35,2
Tehran,r,36,2
Tehran,r,37,2
Tehran,u,1,2
Tehran,u,2,2
Tehran,u,38,2
Tehran,u,39,2
Tehran,u,40,2
Thessaloniki,r,42,2
Thessaloniki,r,43,2
Thessaloniki,r,44,2
Thessaloniki,r,45,2
Thessaloniki,r,46,2
Thessaloniki,u,1,2
Thessaloniki,u,2,2
Thessaloniki,u,3,2
Thessaloniki,u,4,2
Thessaloniki,u,5,2
