city,population,plant,plate_no,population_latitude,population_longitude,habitat_type,hcn_result
Bern,1,1,1,46.938284,7.332944,Rural,1
Bern,1,2,1,46.938284,7.332944,Rural,0
Bern,1,3,1,46.938284,7.332944,Rural,0
Bern,1,4,1,46.938284,7.332944,Rural,0
Bern,1,5,1,46.938284,7.332944,Rural,0
Bern,1,6,1,46.938284,7.332944,Rural,1
Bern,1,7,1,46.938284,7.332944,Rural,0
Bern,1,8,1,46.938284,7.332944,Rural,0
Bern,1,9,1,46.938284,7.332944,Rural,0
Bern,1,10,1,46.938284,7.332944,Rural,1
Bern,1,11,1,46.938284,7.332944,Rural,0
Bern,1,12,1,46.938284,7.332944,Rural,0
Bern,1,13,1,46.938284,7.332944,Rural,1
Bern,1,14,1,46.938284,7.332944,Rural,0
Bern,1,15,1,46.938284,7.332944,Rural,0
Bern,1,16,1,46.938284,7.332944,Rural,0
Bern,1,17,1,46.938284,7.332944,Rural,1
Bern,1,18,1,46.938284,7.332944,Rural,0
Bern,1,19,1,46.938284,7.332944,Rural,0
Bern,1,20,1,46.938284,7.332944,Rural,1
Bern,2,1,1,46.939407,7.3375936,Rural,0
Bern,2,2,1,46.939407,7.3375936,Rural,0
Bern,2,3,1,46.939407,7.3375936,Rural,0
Bern,2,4,1,46.939407,7.3375936,Rural,1
Bern,2,5,1,46.939407,7.3375936,Rural,0
Bern,2,6,1,46.939407,7.3375936,Rural,0
Bern,2,7,1,46.939407,7.3375936,Rural,1
Bern,2,8,1,46.939407,7.3375936,Rural,1
Bern,2,9,1,46.939407,7.3375936,Rural,0
Bern,2,10,1,46.939407,7.3375936,Rural,0
Bern,2,11,1,46.939407,7.3375936,Rural,1
Bern,2,12,1,46.939407,7.3375936,Rural,0
Bern,2,13,1,46.939407,7.3375936,Rural,1
Bern,2,14,1,46.939407,7.3375936,Rural,1
Bern,2,15,1,46.939407,7.3375936,Rural,0
Bern,2,16,1,46.939407,7.3375936,Rural,1
Bern,2,17,1,46.939407,7.3375936,Rural,0
Bern,2,18,1,46.939407,7.3375936,Rural,1
Bern,2,19,1,46.939407,7.3375936,Rural,1
Bern,2,20,1,46.939407,7.3375936,Rural,0
Bern,3,1,2,46.9384684,7.3392817,Rural,1
Bern,3,2,2,46.9384684,7.3392817,Rural,0
Bern,3,3,2,46.9384684,7.3392817,Rural,0
Bern,3,4,2,46.9384684,7.3392817,Rural,0
Bern,3,5,2,46.9384684,7.3392817,Rural,0
Bern,3,6,2,46.9384684,7.3392817,Rural,0
Bern,3,7,2,46.9384684,7.3392817,Rural,0
Bern,3,8,2,46.9384684,7.3392817,Rural,1
Bern,3,9,2,46.9384684,7.3392817,Rural,0
Bern,3,10,2,46.9384684,7.3392817,Rural,0
Bern,3,11,2,46.9384684,7.3392817,Rural,1
Bern,3,12,2,46.9384684,7.3392817,Rural,1
Bern,3,13,2,46.9384684,7.3392817,Rural,0
Bern,3,14,2,46.9384684,7.3392817,Rural,0
Bern,3,15,2,46.9384684,7.3392817,Rural,1
Bern,3,16,2,46.9384684,7.3392817,Rural,0
Bern,3,17,2,46.9384684,7.3392817,Rural,0
Bern,3,18,2,46.9384684,7.3392817,Rural,0
Bern,3,19,2,46.9384684,7.3392817,Rural,0
Bern,3,20,2,46.9384684,7.3392817,Rural,0
Bern,4,1,2,46.9366745,7.341622200000001,Rural,0
Bern,4,2,2,46.9366745,7.341622200000001,Rural,0
Bern,4,3,2,46.9366745,7.341622200000001,Rural,0
Bern,4,4,2,46.9366745,7.341622200000001,Rural,0
Bern,4,5,2,46.9366745,7.341622200000001,Rural,0
Bern,4,6,2,46.9366745,7.341622200000001,Rural,1
Bern,4,7,2,46.9366745,7.341622200000001,Rural,1
Bern,4,8,2,46.9366745,7.341622200000001,Rural,0
Bern,4,9,2,46.9366745,7.341622200000001,Rural,1
Bern,4,10,2,46.9366745,7.341622200000001,Rural,1
Bern,4,11,2,46.9366745,7.341622200000001,Rural,1
Bern,4,12,2,46.9366745,7.341622200000001,Rural,1
Bern,4,13,2,46.9366745,7.341622200000001,Rural,0
Bern,4,14,2,46.9366745,7.341622200000001,Rural,1
Bern,4,15,2,46.9366745,7.341622200000001,Rural,1
Bern,4,16,2,46.9366745,7.341622200000001,Rural,1
Bern,4,17,2,46.9366745,7.341622200000001,Rural,0
Bern,4,18,2,46.9366745,7.341622200000001,Rural,1
Bern,4,19,2,46.9366745,7.341622200000001,Rural,1
Bern,5,1,3,46.9368273,7.3455018,Rural,1
Bern,5,2,3,46.9368273,7.3455018,Rural,1
Bern,5,3,3,46.9368273,7.3455018,Rural,1
Bern,5,4,3,46.9368273,7.3455018,Rural,1
Bern,5,5,3,46.9368273,7.3455018,Rural,0
Bern,5,6,3,46.9368273,7.3455018,Rural,0
