city,population,plant,plate_no,population_latitude,population_longitude,habitat_type,hcn_result
Cape_Town,1,1,8,-34.03048,18.43764,Suburban,1
Cape_Town,1,2,8,-34.03048,18.43764,Suburban,1
Cape_Town,1,3,8,-34.03048,18.43764,Suburban,1
Cape_Town,1,4,8,-34.03048,18.43764,Suburban,1
Cape_Town,1,5,8,-34.03048,18.43764,Suburban,1
Cape_Town,1,6,8,-34.03048,18.43764,Suburban,1
Cape_Town,1,7,8,-34.03048,18.43764,Suburban,1
Cape_Town,1,8,8,-34.03048,18.43764,Suburban,1
Cape_Town,1,9,8,-34.03048,18.43764,Suburban,1
Cape_Town,1,10,8,-34.03048,18.43764,Suburban,1
Cape_Town,1,11,8,-34.03048,18.43764,Suburban,1
Cape_Town,1,12,8,-34.03048,18.43764,Suburban,1
Cape_Town,1,13,8,-34.03048,18.43764,Suburban,1
Cape_Town,1,14,8,-34.03048,18.43764,Suburban,1
Cape_Town,1,15,8,-34.03048,18.43764,Suburban,1
Cape_Town,2,1,8,-33.981809999999996,18.43551,Periurban,1
Cape_Town,2,2,8,-33.981809999999996,18.43551,Periurban,1
Cape_Town,2,3,8,-33.981809999999996,18.43551,Periurban,1
Cape_Town,2,4,8,-33.981809999999996,18.43551,Periurban,1
Cape_Town,2,5,8,-33.981809999999996,18.43551,Periurban,1
Cape_Town,2,6,8,-33.981809999999996,18.43551,Periurban,1
Cape_Town,2,7,8,-33.981809999999996,18.43551,Periurban,1
Cape_Town,2,8,8,-33.981809999999996,18.43551,Periurban,1
Cape_Town,2,9,8,-33.981809999999996,18.43551,Periurban,1
Cape_Town,2,10,8,-33.981809999999996,18.43551,Periurban,1
Cape_Town,2,11,8,-33.981809999999996,18.43551,Periurban,1
Cape_Town,2,12,8,-33.981809999999996,18.43551,Periurban,1
Cape_Town,2,13,8,-33.981809999999996,18.43551,Periurban,1
Cape_Town,2,14,8,-33.981809999999996,18.43551,Periurban,1
Cape_Town,2,15,8,-33.981809999999996,18.43551,Periurban,1
Cape_Town,2,16,8,-33.981809999999996,18.43551,Periurban,1
Cape_Town,2,17,8,-33.981809999999996,18.43551,Periurban,1
Cape_Town,3,1,9,-33.98924,18.48708,Urban,0
Cape_Town,3,2,9,-33.98924,18.48708,Urban,0
Cape_Town,3,3,9,-33.98924,18.48708,Urban,1
Cape_Town,3,4,9,-33.98924,18.48708,Urban,0
Cape_Town,3,5,9,-33.98924,18.48708,Urban,0
Cape_Town,3,6,9,-33.98924,18.48708,Urban,0
Cape_Town,3,7,9,-33.98924,18.48708,Urban,1
Cape_Town,3,8,9,-33.98924,18.48708,Urban,1
