city,population,plant,plate_no,population_latitude,population_longitude,habitat_type,hcn_result
Curitiba,1,1,1,-25.755492,-49.168506,Rural,1
Curitiba,1,2,1,-25.755492,-49.168506,Rural,1
Curitiba,1,3,1,-25.755492,-49.168506,Rural,1
Curitiba,1,4,1,-25.755492,-49.168506,Rural,1
Curitiba,1,5,1,-25.755492,-49.168506,Rural,0
Curitiba,1,6,1,-25.755492,-49.168506,Rural,1
Curitiba,1,7,1,-25.755492,-49.168506,Rural,1
Curitiba,1,8,1,-25.755492,-49.168506,Rural,1
Curitiba,1,9,1,-25.755492,-49.168506,Rural,1
Curitiba,1,10,1,-25.755492,-49.168506,Rural,1
Curitiba,1,11,1,-25.755492,-49.168506,Rural,1
Curitiba,1,12,1,-25.755492,-49.168506,Rural,1
Curitiba,1,13,1,-25.755492,-49.168506,Rural,1
Curitiba,1,14,1,-25.755492,-49.168506,Rural,1
Curitiba,2,1,1,-25.757278,-49.169944,Rural,0
Curitiba,2,2,1,-25.757278,-49.169944,Rural,0
Curitiba,2,3,1,-25.757278,-49.169944,Rural,1
Curitiba,2,4,1,-25.757278,-49.169944,Rural,1
Curitiba,2,5,1,-25.757278,-49.169944,Rural,1
Curitiba,2,6,1,-25.757278,-49.169944,Rural,1
Curitiba,2,7,1,-25.757278,-49.169944,Rural,1
Curitiba,2,8,1,-25.757278,-49.169944,Rural,0
Curitiba,2,9,1,-25.757278,-49.169944,Rural,1
Curitiba,2,10,1,-25.757278,-49.169944,Rural,1
Curitiba,2,11,1,-25.757278,-49.169944,Rural,0
Curitiba,3,1,1,-25.755529,-49.174319,Rural,1
Curitiba,3,2,1,-25.755529,-49.174319,Rural,1
Curitiba,3,3,1,-25.755529,-49.174319,Rural,0
Curitiba,3,4,1,-25.755529,-49.174319,Rural,0
Curitiba,3,5,1,-25.755529,-49.174319,Rural,0
Curitiba,3,6,1,-25.755529,-49.174319,Rural,0
Curitiba,3,7,1,-25.755529,-49.174319,Rural,0
Curitiba,3,8,1,-25.755529,-49.174319,Rural,1
Curitiba,3,9,1,-25.755529,-49.174319,Rural,0
Curitiba,3,10,1,-25.755529,-49.174319,Rural,1
Curitiba,3,11,1,-25.755529,-49.174319,Rural,0
Curitiba,3,12,1,-25.755529,-49.174319,Rural,0
Curitiba,3,13,1,-25.755529,-49.174319,Rural,1
Curitiba,3,14,1,-25.755529,-49.174319,Rural,1
Curitiba,3,15,1,-25.755529,-49.174319,Rural,1
Curitiba,4,1,1,-25.750498,-49.177165,Rural,0
Curitiba,4,2,1,-25.750498,-49.177165,Rural,1
Curitiba,4,3,1,-25.750498,-49.177165,Rural,0
Curitiba,4,4,1,-25.750498,-49.177165,Rural,0
Curitiba,4,5,1,-25.750498,-49.177165,Rural,0
Curitiba,4,6,1,-25.750498,-49.177165,Rural,0
Curitiba,4,7,1,-25.750498,-49.177165,Rural,0
Curitiba,4,8,1,-25.750498,-49.177165,Rural,0
Curitiba,4,9,2,-25.750498,-49.177165,Rural,0
Curitiba,4,10,2,-25.750498,-49.177165,Rural,1
Curitiba,4,11,2,-25.750498,-49.177165,Rural,1
Curitiba,4,12,2,-25.750498,-49.177165,Rural,1
Curitiba,4,13,2,-25.750498,-49.177165,Rural,1
Curitiba,4,14,2,-25.750498,-49.177165,Rural,0
Curitiba,4,15,2,-25.750498,-49.177165,Rural,1
Curitiba,4,16,2,-25.750498,-49.177165,Rural,1
Curitiba,4,17,2,-25.750498,-49.177165,Rural,1
Curitiba,4,18,2,-25.750498,-49.177165,Rural,1
Curitiba,4,19,2,-25.750498,-49.177165,Rural,0
