city,population,plant,plate_no,population_latitude,population_longitude,habitat_type,hcn_result
Detroit,1,1,,41.945849,-83.559168,,0
Detroit,1,2,,41.945849,-83.559168,,0
Detroit,1,3,,41.945849,-83.559168,,1
Detroit,1,4,,41.945849,-83.559168,,1
Detroit,1,5,,41.945849,-83.559168,,1
Detroit,1,6,,41.945849,-83.559168,,1
Detroit,1,7,,41.945849,-83.559168,,0
Detroit,1,8,,41.945849,-83.559168,,1
Detroit,1,9,,41.945849,-83.559168,,0
Detroit,1,10,,41.945849,-83.559168,,1
Detroit,1,11,,41.945849,-83.559168,,0
Detroit,1,12,,41.945849,-83.559168,,1
Detroit,1,13,,41.945849,-83.559168,,0
Detroit,1,14,,41.945849,-83.559168,,0
Detroit,1,15,,41.945849,-83.559168,,0
Detroit,10,1,,42.072938,-83.45756,,1
Detroit,10,2,,42.072938,-83.45756,,0
Detroit,10,3,,42.072938,-83.45756,,0
Detroit,10,4,,42.072938,-83.45756,,1
Detroit,10,5,,42.072938,-83.45756,,1
Detroit,10,6,,42.072938,-83.45756,,1
Detroit,10,7,,42.072938,-83.45756,,1
Detroit,10,8,,42.072938,-83.45756,,0
Detroit,10,9,,42.072938,-83.45756,,0
Detroit,10,10,,42.072938,-83.45756,,0
Detroit,10,11,,42.072938,-83.45756,,1
Detroit,10,12,,42.072938,-83.45756,,0
Detroit,10,13,,42.072938,-83.45756,,0
Detroit,10,14,,42.072938,-83.45756,,0
Detroit,10,15,,42.072938,-83.45756,,0
Detroit,11,1,,42.073288,-83.430717,,0
Detroit,11,2,,42.073288,-83.430717,,0
Detroit,11,3,,42.073288,-83.430717,,0
Detroit,11,4,,42.073288,-83.430717,,1
Detroit,11,5,,42.073288,-83.430717,,0
Detroit,11,6,,42.073288,-83.430717,,1
Detroit,11,7,,42.073288,-83.430717,,0
Detroit,11,8,,42.073288,-83.430717,,0
Detroit,11,9,,42.073288,-83.430717,,0
Detroit,11,10,,42.073288,-83.430717,,1
Detroit,11,11,,42.073288,-83.430717,,0
Detroit,11,12,,42.073288,-83.430717,,0
Detroit,11,13,,42.073288,-83.430717,,0
Detroit,11,14,,42.073288,-83.430717,,1
Detroit,11,15,,42.073288,-83.430717,,0
Detroit,12,1,,42.087588000000004,-83.425927,,1
Detroit,12,2,,42.087588000000004,-83.425927,,0
Detroit,12,3,,42.087588000000004,-83.425927,,1
Detroit,12,4,,42.087588000000004,-83.425927,,0
Detroit,12,5,,42.087588000000004,-83.425927,,0
Detroit,12,6,,42.087588000000004,-83.425927,,1
Detroit,12,7,,42.087588000000004,-83.425927,,0
Detroit,12,8,,42.087588000000004,-83.425927,,0
Detroit,12,9,,42.087588000000004,-83.425927,,0
Detroit,12,10,,42.087588000000004,-83.425927,,0
Detroit,12,11,,42.087588000000004,-83.425927,,0
Detroit,12,12,,42.087588000000004,-83.425927,,0
Detroit,12,13,,42.087588000000004,-83.425927,,0
Detroit,12,14,,42.087588000000004,-83.425927,,1
Detroit,12,15,,42.087588000000004,-83.425927,,0
Detroit,13,1,,42.093644,-83.405507,,0
Detroit,13,2,,42.093644,-83.405507,,0
Detroit,13,3,,42.093644,-83.405507,,0
Detroit,13,4,,42.093644,-83.405507,,1
Detroit,13,5,,42.093644,-83.405507,,0
Detroit,13,6,,42.093644,-83.405507,,0
Detroit,13,7,,42.093644,-83.405507,,1
Detroit,13,8,,42.093644,-83.405507,,0
Detroit,13,9,,42.093644,-83.405507,,0
Detroit,13,10,,42.093644,-83.405507,,1
Detroit,13,11,,42.093644,-83.405507,,0
Detroit,13,12,,42.093644,-83.405507,,0
Detroit,13,13,,42.093644,-83.405507,,0
Detroit,13,14,,42.093644,-83.405507,,1
Detroit,13,15,,42.093644,-83.405507,,0
Detroit,14,1,,42.093841999999995,-83.372881,,0
Detroit,14,2,,42.093841999999995,-83.372881,,0
Detroit,14,3,,42.093841999999995,-83.372881,,0
Detroit,14,4,,42.093841999999995,-83.372881,,0
Detroit,14,5,,42.093841999999995,-83.372881,,0
Detroit,14,6,,42.093841999999995,-83.372881,,0
Detroit,14,7,,42.093841999999995,-83.372881,,1
Detroit,14,8,,42.093841999999995,-83.372881,,0
Detroit,14,9,,42.093841999999995,-83.372881,,1
Detroit,14,10,,42.093841999999995,-83.372881,,0
Detroit,14,11,,42.093841999999995,-83.372881,,0
Detroit,14,12,,42.093841999999995,-83.372881,,0
Detroit,14,13,,42.093841999999995,-83.372881,,1
Detroit,14,14,,42.093841999999995,-83.372881,,0
Detroit,14,15,,42.093841999999995,-83.372881,,0
Detroit,15,1,,42.093975,-83.343918,,0
Detroit,15,2,,42.093975,-83.343918,,0
Detroit,15,3,,42.093975,-83.343918,,0
Detroit,15,4,,42.093975,-83.343918,,0
Detroit,15,5,,42.093975,-83.343918,,0
Detroit,15,6,,42.093975,-83.343918,,0
Detroit,15,7,,42.093975,-83.343918,,0
Detroit,15,8,,42.093975,-83.343918,,0
Detroit,15,9,,42.093975,-83.343918,,0
Detroit,15,10,,42.093975,-83.343918,,0
Detroit,15,11,,42.093975,-83.343918,,0
Detroit,15,12,,42.093975,-83.343918,,0
Detroit,15,13,,42.093975,-83.343918,,0
Detroit,15,14,,42.093975,-83.343918,,0
Detroit,15,15,,42.093975,-83.343918,,0
Detroit,16,1,,42.094103000000004,-83.319385,,1
Detroit,16,2,,42.094103000000004,-83.319385,,0
Detroit,16,3,,42.094103000000004,-83.319385,,0
Detroit,16,4,,42.094103000000004,-83.319385,,0
Detroit,16,5,,42.094103000000004,-83.319385,,1
Detroit,16,6,,42.094103000000004,-83.319385,,1
Detroit,16,7,,42.094103000000004,-83.319385,,1
Detroit,16,8,,42.094103000000004,-83.319385,,1
Detroit,16,9,,42.094103000000004,-83.319385,,0
Detroit,16,10,,42.094103000000004,-83.319385,,0
Detroit,16,11,,42.094103000000004,-83.319385,,0
Detroit,16,12,,42.094103000000004,-83.319385,,0
Detroit,16,13,,42.094103000000004,-83.319385,,0
Detroit,16,14,,42.094103000000004,-83.319385,,0
Detroit,16,15,,42.094103000000004,-83.319385,,0
Detroit,17,1,,42.094691999999995,-83.294274,,0
Detroit,17,2,,42.094691999999995,-83.294274,,0
Detroit,17,3,,42.094691999999995,-83.294274,,1
Detroit,17,4,,42.094691999999995,-83.294274,,0
Detroit,17,5,,42.094691999999995,-83.294274,,0
Detroit,17,6,,42.094691999999995,-83.294274,,0
Detroit,17,7,,42.094691999999995,-83.294274,,0
Detroit,17,8,,42.094691999999995,-83.294274,,1
Detroit,17,9,,42.094691999999995,-83.294274,,0
Detroit,17,10,,42.094691999999995,-83.294274,,0
Detroit,17,11,,42.094691999999995,-83.294274,,1
Detroit,17,12,,42.094691999999995,-83.294274,,0
Detroit,17,13,,42.094691999999995,-83.294274,,0
Detroit,17,14,,42.094691999999995,-83.294274,,0
Detroit,17,15,,42.094691999999995,-83.294274,,0
Detroit,18,1,,42.111556,-83.283384,,0
Detroit,18,2,,42.111556,-83.283384,,1
Detroit,18,3,,42.111556,-83.283384,,0
Detroit,18,4,,42.111556,-83.283384,,1
Detroit,18,5,,42.111556,-83.283384,,0
Detroit,18,6,,42.111556,-83.283384,,0
Detroit,18,7,,42.111556,-83.283384,,1
Detroit,18,8,,42.111556,-83.283384,,0
Detroit,18,9,,42.111556,-83.283384,,1
Detroit,18,10,,42.111556,-83.283384,,1
Detroit,18,11,,42.111556,-83.283384,,0
Detroit,18,12,,42.111556,-83.283384,,0
Detroit,18,13,,42.111556,-83.283384,,0
Detroit,18,14,,42.111556,-83.283384,,0
Detroit,18,15,,42.111556,-83.283384,,0
Detroit,19,1,,42.128547999999995,-83.272336,,0
Detroit,19,2,,42.128547999999995,-83.272336,,0
Detroit,19,3,,42.128547999999995,-83.272336,,0
Detroit,19,4,,42.128547999999995,-83.272336,,0
Detroit,19,5,,42.128547999999995,-83.272336,,1
Detroit,19,6,,42.128547999999995,-83.272336,,1
Detroit,19,7,,42.128547999999995,-83.272336,,1
Detroit,19,8,,42.128547999999995,-83.272336,,0
Detroit,19,9,,42.128547999999995,-83.272336,,1
Detroit,19,10,,42.128547999999995,-83.272336,,1
Detroit,19,11,,42.128547999999995,-83.272336,,1
Detroit,19,12,,42.128547999999995,-83.272336,,0
Detroit,19,13,,42.128547999999995,-83.272336,,1
Detroit,19,14,,42.128547999999995,-83.272336,,1
Detroit,19,15,,42.128547999999995,-83.272336,,0
Detroit,2,1,,41.961151,-83.548459,,1
Detroit,2,2,,41.961151,-83.548459,,0
Detroit,2,3,,41.961151,-83.548459,,0
Detroit,2,4,,41.961151,-83.548459,,1
Detroit,2,5,,41.961151,-83.548459,,0
Detroit,2,6,,41.961151,-83.548459,,0
Detroit,2,7,,41.961151,-83.548459,,0
Detroit,2,8,,41.961151,-83.548459,,0
Detroit,2,9,,41.961151,-83.548459,,0
Detroit,2,10,,41.961151,-83.548459,,1
Detroit,2,11,,41.961151,-83.548459,,0
Detroit,2,12,,41.961151,-83.548459,,0
Detroit,2,13,,41.961151,-83.548459,,0
Detroit,2,14,,41.961151,-83.548459,,0
Detroit,2,15,,41.961151,-83.548459,,1
Detroit,20,1,,42.142449,-83.262648,,0
Detroit,20,2,,42.142449,-83.262648,,0
Detroit,20,3,,42.142449,-83.262648,,1
Detroit,20,4,,42.142449,-83.262648,,1
Detroit,20,5,,42.142449,-83.262648,,0
Detroit,20,6,,42.142449,-83.262648,,0
Detroit,20,7,,42.142449,-83.262648,,1
Detroit,20,8,,42.142449,-83.262648,,1
Detroit,20,9,,42.142449,-83.262648,,0
Detroit,20,10,,42.142449,-83.262648,,0
Detroit,20,11,,42.142449,-83.262648,,1
Detroit,20,12,,42.142449,-83.262648,,0
Detroit,20,13,,42.142449,-83.262648,,0
Detroit,20,14,,42.142449,-83.262648,,1
Detroit,20,15,,42.142449,-83.262648,,1
Detroit,21,1,,42.157999,-83.248588,,0
Detroit,21,2,,42.157999,-83.248588,,1
Detroit,21,3,,42.157999,-83.248588,,0
Detroit,21,4,,42.157999,-83.248588,,0
Detroit,21,5,,42.157999,-83.248588,,0
Detroit,21,6,,42.157999,-83.248588,,1
Detroit,21,7,,42.157999,-83.248588,,0
Detroit,21,8,,42.157999,-83.248588,,1
Detroit,21,9,,42.157999,-83.248588,,0
Detroit,21,10,,42.157999,-83.248588,,0
Detroit,21,11,,42.157999,-83.248588,,0
Detroit,21,12,,42.157999,-83.248588,,0
Detroit,21,13,,42.157999,-83.248588,,1
Detroit,21,14,,42.157999,-83.248588,,1
Detroit,21,15,,42.157999,-83.248588,,1
Detroit,22,1,,42.174323,-83.237089,,0
Detroit,22,2,,42.174323,-83.237089,,0
Detroit,22,3,,42.174323,-83.237089,,1
Detroit,22,4,,42.174323,-83.237089,,1
Detroit,22,5,,42.174323,-83.237089,,0
Detroit,22,6,,42.174323,-83.237089,,0
Detroit,22,7,,42.174323,-83.237089,,1
Detroit,22,8,,42.174323,-83.237089,,0
Detroit,22,9,,42.174323,-83.237089,,0
Detroit,22,10,,42.174323,-83.237089,,1
Detroit,22,11,,42.174323,-83.237089,,1
Detroit,22,12,,42.174323,-83.237089,,0
Detroit,22,13,,42.174323,-83.237089,,0
Detroit,22,14,,42.174323,-83.237089,,0
Detroit,22,15,,42.174323,-83.237089,,0
Detroit,23,1,,42.188654,-83.22252900000001,,0
Detroit,23,2,,42.188654,-83.22252900000001,,1
Detroit,23,3,,42.188654,-83.22252900000001,,0
Detroit,23,4,,42.188654,-83.22252900000001,,0
Detroit,23,5,,42.188654,-83.22252900000001,,0
Detroit,23,6,,42.188654,-83.22252900000001,,0
Detroit,23,7,,42.188654,-83.22252900000001,,1
Detroit,23,8,,42.188654,-83.22252900000001,,1
Detroit,23,9,,42.188654,-83.22252900000001,,0
Detroit,23,10,,42.188654,-83.22252900000001,,1
Detroit,23,11,,42.188654,-83.22252900000001,,1
Detroit,23,12,,42.188654,-83.22252900000001,,1
Detroit,23,13,,42.188654,-83.22252900000001,,1
Detroit,23,14,,42.188654,-83.22252900000001,,0
Detroit,23,15,,42.188654,-83.22252900000001,,1
Detroit,24,1,,42.202778,-83.206249,,0
Detroit,24,2,,42.202778,-83.206249,,0
Detroit,24,3,,42.202778,-83.206249,,0
Detroit,24,4,,42.202778,-83.206249,,0
Detroit,24,5,,42.202778,-83.206249,,0
Detroit,24,6,,42.202778,-83.206249,,1
Detroit,24,7,,42.202778,-83.206249,,0
Detroit,24,8,,42.202778,-83.206249,,0
Detroit,24,9,,42.202778,-83.206249,,1
Detroit,24,10,,42.202778,-83.206249,,0
Detroit,24,11,,42.202778,-83.206249,,1
Detroit,24,12,,42.202778,-83.206249,,0
Detroit,24,13,,42.202778,-83.206249,,1
Detroit,24,14,,42.202778,-83.206249,,0
Detroit,24,15,,42.202778,-83.206249,,1
Detroit,25,1,,42.2177,-83.192863,,1
Detroit,25,2,,42.2177,-83.192863,,0
Detroit,25,3,,42.2177,-83.192863,,1
Detroit,25,4,,42.2177,-83.192863,,1
Detroit,25,5,,42.2177,-83.192863,,0
Detroit,25,6,,42.2177,-83.192863,,1
Detroit,25,7,,42.2177,-83.192863,,1
Detroit,25,8,,42.2177,-83.192863,,1
Detroit,25,9,,42.2177,-83.192863,,1
Detroit,25,10,,42.2177,-83.192863,,0
Detroit,25,11,,42.2177,-83.192863,,1
Detroit,25,12,,42.2177,-83.192863,,0
Detroit,25,13,,42.2177,-83.192863,,0
Detroit,25,14,,42.2177,-83.192863,,0
Detroit,25,15,,42.2177,-83.192863,,0
Detroit,26,1,,42.234879,-83.194231,,1
Detroit,26,2,,42.234879,-83.194231,,1
Detroit,26,3,,42.234879,-83.194231,,0
Detroit,26,4,,42.234879,-83.194231,,1
Detroit,26,5,,42.234879,-83.194231,,0
Detroit,26,6,,42.234879,-83.194231,,0
Detroit,26,7,,42.234879,-83.194231,,1
Detroit,26,8,,42.234879,-83.194231,,0
Detroit,26,9,,42.234879,-83.194231,,0
Detroit,26,10,,42.234879,-83.194231,,0
Detroit,26,11,,42.234879,-83.194231,,1
Detroit,26,12,,42.234879,-83.194231,,1
Detroit,26,13,,42.234879,-83.194231,,0
Detroit,26,14,,42.234879,-83.194231,,1
Detroit,26,15,,42.234879,-83.194231,,0
Detroit,27,1,,42.252086,-83.194316,,1
Detroit,27,2,,42.252086,-83.194316,,1
Detroit,27,3,,42.252086,-83.194316,,0
Detroit,27,4,,42.252086,-83.194316,,0
Detroit,27,5,,42.252086,-83.194316,,0
Detroit,27,6,,42.252086,-83.194316,,0
Detroit,27,7,,42.252086,-83.194316,,0
Detroit,27,8,,42.252086,-83.194316,,0
Detroit,27,9,,42.252086,-83.194316,,0
Detroit,27,10,,42.252086,-83.194316,,0
Detroit,27,11,,42.252086,-83.194316,,1
Detroit,27,12,,42.252086,-83.194316,,0
Detroit,27,13,,42.252086,-83.194316,,0
Detroit,27,14,,42.252086,-83.194316,,0
Detroit,27,15,,42.252086,-83.194316,,0
Detroit,28,1,,42.267961,-83.182124,,0
Detroit,28,2,,42.267961,-83.182124,,0
Detroit,28,3,,42.267961,-83.182124,,0
Detroit,28,4,,42.267961,-83.182124,,1
Detroit,28,5,,42.267961,-83.182124,,1
Detroit,28,6,,42.267961,-83.182124,,0
Detroit,28,7,,42.267961,-83.182124,,0
Detroit,28,8,,42.267961,-83.182124,,0
Detroit,28,9,,42.267961,-83.182124,,0
Detroit,28,10,,42.267961,-83.182124,,0
Detroit,28,11,,42.267961,-83.182124,,0
Detroit,28,12,,42.267961,-83.182124,,1
Detroit,28,13,,42.267961,-83.182124,,0
Detroit,28,14,,42.267961,-83.182124,,0
Detroit,28,15,,42.267961,-83.182124,,0
Detroit,29,1,,42.282787,-83.169965,,1
Detroit,29,2,,42.282787,-83.169965,,0
Detroit,29,3,,42.282787,-83.169965,,0
Detroit,29,4,,42.282787,-83.169965,,1
Detroit,29,5,,42.282787,-83.169965,,0
Detroit,29,6,,42.282787,-83.169965,,0
Detroit,29,7,,42.282787,-83.169965,,0
Detroit,29,8,,42.282787,-83.169965,,0
Detroit,29,9,,42.282787,-83.169965,,0
Detroit,29,10,,42.282787,-83.169965,,0
Detroit,29,11,,42.282787,-83.169965,,0
Detroit,29,12,,42.282787,-83.169965,,0
Detroit,29,13,,42.282787,-83.169965,,0
Detroit,29,14,,42.282787,-83.169965,,0
Detroit,29,15,,42.282787,-83.169965,,0
Detroit,3,1,,41.977973999999996,-83.53711899999999,,1
Detroit,3,2,,41.977973999999996,-83.53711899999999,,0
Detroit,3,3,,41.977973999999996,-83.53711899999999,,0
Detroit,3,4,,41.977973999999996,-83.53711899999999,,0
Detroit,3,5,,41.977973999999996,-83.53711899999999,,1
Detroit,3,6,,41.977973999999996,-83.53711899999999,,0
Detroit,3,7,,41.977973999999996,-83.53711899999999,,1
Detroit,3,8,,41.977973999999996,-83.53711899999999,,1
Detroit,3,9,,41.977973999999996,-83.53711899999999,,0
Detroit,3,10,,41.977973999999996,-83.53711899999999,,0
Detroit,3,11,,41.977973999999996,-83.53711899999999,,1
Detroit,3,12,,41.977973999999996,-83.53711899999999,,0
Detroit,3,13,,41.977973999999996,-83.53711899999999,,0
Detroit,3,14,,41.977973999999996,-83.53711899999999,,1
Detroit,3,15,,41.977973999999996,-83.53711899999999,,1
Detroit,30,1,,42.291429,-83.14493900000001,,0
Detroit,30,2,,42.291429,-83.14493900000001,,1
Detroit,30,3,,42.291429,-83.14493900000001,,1
Detroit,30,4,,42.291429,-83.14493900000001,,1
Detroit,30,5,,42.291429,-83.14493900000001,,1
Detroit,30,6,,42.291429,-83.14493900000001,,1
Detroit,30,7,,42.291429,-83.14493900000001,,0
Detroit,30,8,,42.291429,-83.14493900000001,,1
Detroit,30,9,,42.291429,-83.14493900000001,,1
Detroit,30,10,,42.291429,-83.14493900000001,,0
Detroit,30,11,,42.291429,-83.14493900000001,,1
Detroit,30,12,,42.291429,-83.14493900000001,,0
Detroit,30,13,,42.291429,-83.14493900000001,,1
Detroit,30,14,,42.291429,-83.14493900000001,,1
Detroit,30,15,,42.291429,-83.14493900000001,,1
Detroit,31,1,,42.300214000000004,-83.120134,,0
Detroit,31,2,,42.300214000000004,-83.120134,,0
Detroit,31,3,,42.300214000000004,-83.120134,,1
Detroit,31,4,,42.300214000000004,-83.120134,,1
Detroit,31,5,,42.300214000000004,-83.120134,,1
Detroit,31,6,,42.300214000000004,-83.120134,,0
Detroit,31,7,,42.300214000000004,-83.120134,,0
Detroit,31,8,,42.300214000000004,-83.120134,,0
Detroit,31,9,,42.300214000000004,-83.120134,,1
Detroit,31,10,,42.300214000000004,-83.120134,,0
Detroit,31,11,,42.300214000000004,-83.120134,,0
Detroit,32,1,,42.308343,-83.095935,,0
Detroit,32,2,,42.308343,-83.095935,,0
Detroit,32,3,,42.308343,-83.095935,,0
Detroit,32,4,,42.308343,-83.095935,,0
Detroit,32,5,,42.308343,-83.095935,,0
Detroit,32,6,,42.308343,-83.095935,,0
Detroit,32,7,,42.308343,-83.095935,,0
Detroit,32,8,,42.308343,-83.095935,,1
Detroit,32,9,,42.308343,-83.095935,,0
Detroit,32,10,,42.308343,-83.095935,,1
Detroit,32,11,,42.308343,-83.095935,,0
Detroit,32,12,,42.308343,-83.095935,,1
Detroit,32,13,,42.308343,-83.095935,,0
Detroit,32,14,,42.308343,-83.095935,,0
Detroit,32,15,,42.308343,-83.095935,,0
Detroit,33,1,,42.313886,-83.082222,,1
Detroit,33,2,,42.313886,-83.082222,,1
Detroit,33,3,,42.313886,-83.082222,,1
Detroit,33,4,,42.313886,-83.082222,,1
Detroit,33,5,,42.313886,-83.082222,,0
Detroit,33,6,,42.313886,-83.082222,,0
Detroit,33,7,,42.313886,-83.082222,,1
Detroit,33,8,,42.313886,-83.082222,,0
Detroit,33,9,,42.313886,-83.082222,,0
Detroit,33,10,,42.313886,-83.082222,,0
Detroit,33,11,,42.313886,-83.082222,,0
Detroit,33,12,,42.313886,-83.082222,,0
Detroit,33,13,,42.313886,-83.082222,,0
Detroit,33,14,,42.313886,-83.082222,,0
Detroit,33,15,,42.313886,-83.082222,,0
Detroit,34,1,,42.322720000000004,-83.06642099999999,,0
Detroit,34,2,,42.322720000000004,-83.06642099999999,,1
Detroit,34,3,,42.322720000000004,-83.06642099999999,,0
Detroit,34,4,,42.322720000000004,-83.06642099999999,,0
Detroit,34,5,,42.322720000000004,-83.06642099999999,,0
Detroit,34,6,,42.322720000000004,-83.06642099999999,,0
Detroit,34,7,,42.322720000000004,-83.06642099999999,,0
Detroit,34,8,,42.322720000000004,-83.06642099999999,,0
Detroit,34,9,,42.322720000000004,-83.06642099999999,,0
Detroit,34,10,,42.322720000000004,-83.06642099999999,,0
Detroit,34,11,,42.322720000000004,-83.06642099999999,,1
Detroit,34,12,,42.322720000000004,-83.06642099999999,,0
Detroit,34,13,,42.322720000000004,-83.06642099999999,,0
Detroit,34,14,,42.322720000000004,-83.06642099999999,,0
Detroit,34,15,,42.322720000000004,-83.06642099999999,,0
Detroit,35,1,,42.327890999999994,-83.045662,,0
Detroit,35,2,,42.327890999999994,-83.045662,,0
Detroit,35,3,,42.327890999999994,-83.045662,,0
Detroit,35,4,,42.327890999999994,-83.045662,,0
Detroit,35,5,,42.327890999999994,-83.045662,,0
Detroit,35,6,,42.327890999999994,-83.045662,,0
Detroit,35,7,,42.327890999999994,-83.045662,,0
Detroit,35,8,,42.327890999999994,-83.045662,,0
Detroit,35,9,,42.327890999999994,-83.045662,,0
Detroit,35,10,,42.327890999999994,-83.045662,,1
Detroit,35,11,,42.327890999999994,-83.045662,,0
Detroit,35,12,,42.327890999999994,-83.045662,,0
Detroit,35,13,,42.327890999999994,-83.045662,,0
Detroit,35,14,,42.327890999999994,-83.045662,,1
Detroit,35,15,,42.327890999999994,-83.045662,,1
Detroit,36,1,,42.331223,-83.032033,,1
Detroit,36,2,,42.331223,-83.032033,,0
Detroit,36,3,,42.331223,-83.032033,,0
Detroit,36,4,,42.331223,-83.032033,,1
Detroit,36,5,,42.331223,-83.032033,,1
Detroit,36,6,,42.331223,-83.032033,,0
Detroit,36,7,,42.331223,-83.032033,,0
Detroit,36,8,,42.331223,-83.032033,,1
Detroit,36,9,,42.331223,-83.032033,,1
Detroit,36,10,,42.331223,-83.032033,,0
Detroit,36,11,,42.331223,-83.032033,,0
