city,population,plant,plate_no,population_latitude,population_longitude,habitat_type,hcn_result
Edmonton,1,1,1,53.53694,-113.49712,Urban,0
Edmonton,1,2,1,53.53694,-113.49712,Urban,0
Edmonton,1,3,1,53.53694,-113.49712,Urban,0
Edmonton,1,4,1,53.53694,-113.49712,Urban,0
Edmonton,1,5,1,53.53694,-113.49712,Urban,1
Edmonton,1,6,1,53.53694,-113.49712,Urban,0
Edmonton,1,7,1,53.53694,-113.49712,Urban,1
Edmonton,1,8,1,53.53694,-113.49712,Urban,0
Edmonton,1,9,1,53.53694,-113.49712,Urban,0
Edmonton,1,10,1,53.53694,-113.49712,Urban,0
Edmonton,1,11,1,53.53694,-113.49712,Urban,0
Edmonton,1,12,1,53.53694,-113.49712,Urban,0
Edmonton,1,13,1,53.53694,-113.49712,Urban,0
Edmonton,1,14,1,53.53694,-113.49712,Urban,0
Edmonton,1,15,1,53.53694,-113.49712,Urban,0
Edmonton,1,16,1,53.53694,-113.49712,Urban,1
Edmonton,1,17,1,53.53694,-113.49712,Urban,0
Edmonton,1,18,1,53.53694,-113.49712,Urban,1
Edmonton,1,19,1,53.53694,-113.49712,Urban,1
Edmonton,1,20,1,53.53694,-113.49712,Urban,0
Edmonton,2,1,1,53.533069999999995,-113.49611999999999,Urban,0
Edmonton,2,2,1,53.533069999999995,-113.49611999999999,Urban,0
Edmonton,2,3,1,53.533069999999995,-113.49611999999999,Urban,0
Edmonton,2,4,1,53.533069999999995,-113.49611999999999,Urban,0
Edmonton,2,5,1,53.533069999999995,-113.49611999999999,Urban,0
Edmonton,2,6,1,53.533069999999995,-113.49611999999999,Urban,0
Edmonton,2,7,1,53.533069999999995,-113.49611999999999,Urban,0
Edmonton,2,8,1,53.533069999999995,-113.49611999999999,Urban,1
Edmonton,2,9,1,53.533069999999995,-113.49611999999999,Urban,0
Edmonton,2,10,1,53.533069999999995,-113.49611999999999,Urban,0
Edmonton,2,11,1,53.533069999999995,-113.49611999999999,Urban,0
Edmonton,2,12,1,53.533069999999995,-113.49611999999999,Urban,1
Edmonton,2,13,1,53.533069999999995,-113.49611999999999,Urban,1
Edmonton,2,14,1,53.533069999999995,-113.49611999999999,Urban,0
Edmonton,2,15,1,53.533069999999995,-113.49611999999999,Urban,0
Edmonton,2,16,1,53.533069999999995,-113.49611999999999,Urban,1
Edmonton,3,1,2,53.54299,-113.4754,Urban,0
Edmonton,3,2,2,53.54299,-113.4754,Urban,1
Edmonton,3,3,2,53.54299,-113.4754,Urban,0
Edmonton,3,4,2,53.54299,-113.4754,Urban,0
Edmonton,3,5,2,53.54299,-113.4754,Urban,0
Edmonton,3,6,2,53.54299,-113.4754,Urban,1
Edmonton,3,7,2,53.54299,-113.4754,Urban,1
Edmonton,3,8,2,53.54299,-113.4754,Urban,0
Edmonton,3,9,2,53.54299,-113.4754,Urban,0
Edmonton,3,10,2,53.54299,-113.4754,Urban,0
Edmonton,3,11,2,53.54299,-113.4754,Urban,0
Edmonton,3,12,2,53.54299,-113.4754,Urban,0
Edmonton,3,13,2,53.54299,-113.4754,Urban,0
Edmonton,3,14,2,53.54299,-113.4754,Urban,0
Edmonton,3,15,2,53.54299,-113.4754,Urban,0
Edmonton,3,16,2,53.54299,-113.4754,Urban,1
Edmonton,4,1,2,53.54674,-113.48198000000001,Urban,0
Edmonton,4,2,2,53.54674,-113.48198000000001,Urban,0
Edmonton,4,3,2,53.54674,-113.48198000000001,Urban,1
Edmonton,4,4,2,53.54674,-113.48198000000001,Urban,0
Edmonton,4,5,2,53.54674,-113.48198000000001,Urban,0
Edmonton,4,6,2,53.54674,-113.48198000000001,Urban,0
Edmonton,4,7,2,53.54674,-113.48198000000001,Urban,0
Edmonton,4,8,2,53.54674,-113.48198000000001,Urban,0
Edmonton,4,9,2,53.54674,-113.48198000000001,Urban,0
Edmonton,4,10,2,53.54674,-113.48198000000001,Urban,1
Edmonton,4,11,2,53.54674,-113.48198000000001,Urban,0
Edmonton,4,12,2,53.54674,-113.48198000000001,Urban,0
Edmonton,4,13,2,53.54674,-113.48198000000001,Urban,0
Edmonton,4,14,2,53.54674,-113.48198000000001,Urban,1
Edmonton,4,15,2,53.54674,-113.48198000000001,Urban,0
Edmonton,4,16,2,53.54674,-113.48198000000001,Urban,0
Edmonton,4,17,2,53.54674,-113.48198000000001,Urban,0
Edmonton,5,1,3,53.54589,-113.48953999999999,Urban,0
Edmonton,5,2,3,53.54589,-113.48953999999999,Urban,0
Edmonton,5,3,3,53.54589,-113.48953999999999,Urban,0
Edmonton,5,4,3,53.54589,-113.48953999999999,Urban,0
Edmonton,5,5,3,53.54589,-113.48953999999999,Urban,0
Edmonton,5,6,3,53.54589,-113.48953999999999,Urban,0
Edmonton,5,7,3,53.54589,-113.48953999999999,Urban,0
Edmonton,5,8,3,53.54589,-113.48953999999999,Urban,0
Edmonton,5,9,3,53.54589,-113.48953999999999,Urban,0
Edmonton,5,10,3,53.54589,-113.48953999999999,Urban,0
Edmonton,5,11,3,53.54589,-113.48953999999999,Urban,0
Edmonton,5,12,3,53.54589,-113.48953999999999,Urban,0
Edmonton,5,13,3,53.54589,-113.48953999999999,Urban,0
Edmonton,5,14,3,53.54589,-113.48953999999999,Urban,0
Edmonton,5,15,3,53.54589,-113.48953999999999,Urban,0
