city,population,plant,plate_no,population_latitude,population_longitude,habitat_type,hcn_result
Louisville,1,1,2,38.192134100000004,-85.5271912,Rural,0
Louisville,1,2,2,38.192134100000004,-85.5271912,Rural,0
Louisville,1,3,2,38.192134100000004,-85.5271912,Rural,0
Louisville,1,4,2,38.192134100000004,-85.5271912,Rural,1
Louisville,1,5,2,38.192134100000004,-85.5271912,Rural,0
Louisville,1,6,2,38.192134100000004,-85.5271912,Rural,0
Louisville,1,7,2,38.192134100000004,-85.5271912,Rural,1
Louisville,1,8,2,38.192134100000004,-85.5271912,Rural,0
Louisville,1,9,2,38.192134100000004,-85.5271912,Rural,0
Louisville,1,10,2,38.192134100000004,-85.5271912,Rural,0
Louisville,1,11,2,38.192134100000004,-85.5271912,Rural,0
Louisville,1,12,2,38.192134100000004,-85.5271912,Rural,0
Louisville,1,13,2,38.192134100000004,-85.5271912,Rural,0
Louisville,1,14,2,38.192134100000004,-85.5271912,Rural,0
Louisville,1,15,2,38.192134100000004,-85.5271912,Rural,0
Louisville,1,16,2,38.192134100000004,-85.5271912,Rural,0
Louisville,2,1,1,38.223092,-85.731883,Suburban,0
Louisville,2,2,1,38.223092,-85.731883,Suburban,0
Louisville,2,3,1,38.223092,-85.731883,Suburban,0
Louisville,2,4,1,38.223092,-85.731883,Suburban,1
Louisville,2,5,1,38.223092,-85.731883,Suburban,0
Louisville,2,6,1,38.223092,-85.731883,Suburban,0
Louisville,2,7,1,38.223092,-85.731883,Suburban,1
Louisville,2,8,1,38.223092,-85.731883,Suburban,1
Louisville,2,9,1,38.223092,-85.731883,Suburban,1
Louisville,2,10,1,38.223092,-85.731883,Suburban,1
Louisville,2,11,1,38.223092,-85.731883,Suburban,1
Louisville,2,12,1,38.223092,-85.731883,Suburban,0
Louisville,2,13,1,38.223092,-85.731883,Suburban,1
Louisville,2,14,1,38.223092,-85.731883,Suburban,0
Louisville,2,15,1,38.223092,-85.731883,Suburban,0
Louisville,2,16,1,38.223092,-85.731883,Suburban,1
Louisville,3,1,1,38.235653000000006,-85.70339399999999,Suburban,0
Louisville,3,2,1,38.235653000000006,-85.70339399999999,Suburban,0
Louisville,3,3,1,38.235653000000006,-85.70339399999999,Suburban,0
Louisville,3,4,1,38.235653000000006,-85.70339399999999,Suburban,0
Louisville,3,5,1,38.235653000000006,-85.70339399999999,Suburban,0
Louisville,3,6,1,38.235653000000006,-85.70339399999999,Suburban,0
Louisville,3,7,1,38.235653000000006,-85.70339399999999,Suburban,0
Louisville,3,8,1,38.235653000000006,-85.70339399999999,Suburban,0
Louisville,3,9,1,38.235653000000006,-85.70339399999999,Suburban,1
Louisville,3,10,1,38.235653000000006,-85.70339399999999,Suburban,0
Louisville,3,11,1,38.235653000000006,-85.70339399999999,Suburban,0
