city,population,plant,plate_no,population_latitude,population_longitude,habitat_type,hcn_result
Palmerston_North,1,1,1,-40.3725,175.6241667,Periurban,0.0
Palmerston_North,1,2,1,-40.3725,175.6241667,Periurban,0.0
Palmerston_North,1,3,1,-40.3725,175.6241667,Periurban,1.0
Palmerston_North,1,4,1,-40.3725,175.6241667,Periurban,0.0
Palmerston_North,1,5,1,-40.3725,175.6241667,Periurban,1.0
Palmerston_North,1,6,1,-40.3725,175.6241667,Periurban,1.0
Palmerston_North,1,7,1,-40.3725,175.6241667,Suburban,0.0
Palmerston_North,1,8,1,-40.3725,175.6241667,Suburban,1.0
Palmerston_North,1,9,1,-40.3725,175.6241667,Suburban,0.0
Palmerston_North,1,10,1,-40.3725,175.6241667,Suburban,0.0
Palmerston_North,1,11,1,-40.3725,175.6241667,Suburban,1.0
Palmerston_North,1,12,1,-40.3725,175.6241667,Suburban,0.0
Palmerston_North,1,13,1,-40.3725,175.6241667,Suburban,0.0
Palmerston_North,1,14,1,-40.3725,175.6241667,Suburban,0.0
Palmerston_North,1,15,1,-40.3725,175.6241667,Suburban,0.0
Palmerston_North,1,16,1,-40.3725,175.6241667,Suburban,0.0
Palmerston_North,1,17,1,-40.3725,175.6241667,Suburban,1.0
Palmerston_North,1,18,1,-40.3725,175.6241667,Suburban,1.0
Palmerston_North,1,19,1,-40.3725,175.6241667,Suburban,0.0
Palmerston_North,1,20,1,-40.3725,175.6241667,Suburban,0.0
Palmerston_North,2,1,1,-40.3722222,175.6236111,Suburban,0.0
Palmerston_North,2,2,1,-40.3722222,175.6236111,Suburban,0.0
Palmerston_North,2,3,1,-40.3722222,175.6236111,Suburban,1.0
Palmerston_North,2,4,1,-40.3722222,175.6236111,Suburban,1.0
Palmerston_North,2,5,1,-40.3722222,175.6236111,Suburban,1.0
Palmerston_North,2,6,1,-40.3722222,175.6236111,Suburban,1.0
Palmerston_North,2,7,1,-40.3722222,175.6236111,Suburban,0.0
Palmerston_North,2,8,1,-40.3722222,175.6236111,Suburban,1.0
Palmerston_North,2,9,1,-40.3722222,175.6236111,Suburban,1.0
Palmerston_North,2,10,1,-40.3722222,175.6236111,Suburban,0.0
Palmerston_North,2,11,1,-40.3722222,175.6236111,Suburban,1.0
Palmerston_North,2,12,1,-40.3722222,175.6236111,Suburban,1.0
Palmerston_North,2,13,1,-40.3722222,175.6236111,Suburban,1.0
Palmerston_North,2,14,1,-40.3722222,175.6236111,Suburban,0.0
Palmerston_North,2,15,1,-40.3722222,175.6236111,Suburban,1.0
Palmerston_North,2,16,1,-40.3722222,175.6236111,Suburban,0.0
Palmerston_North,2,17,1,-40.3722222,175.6236111,Suburban,0.0
Palmerston_North,3,1,1,-40.36807,175.620543,Suburban,1.0
Palmerston_North,3,2,1,-40.36807,175.620543,Suburban,1.0
Palmerston_North,3,3,1,-40.36807,175.620543,Suburban,0.0
Palmerston_North,3,4,1,-40.36807,175.620543,Suburban,0.0
Palmerston_North,3,5,1,-40.36807,175.620543,Suburban,1.0
Palmerston_North,3,6,1,-40.36807,175.620543,Suburban,1.0
Palmerston_North,3,7,1,-40.36807,175.620543,Suburban,0.0
Palmerston_North,3,8,1,-40.36807,175.620543,Suburban,1.0
Palmerston_North,3,9,1,-40.36807,175.620543,Suburban,1.0
Palmerston_North,3,10,1,-40.36807,175.620543,Suburban,0.0
Palmerston_North,3,11,1,-40.36807,175.620543,Suburban,0.0
Palmerston_North,3,12,2,-40.36807,175.620543,Suburban,0.0
Palmerston_North,3,13,2,-40.36807,175.620543,Suburban,0.0
Palmerston_North,3,14,2,-40.36807,175.620543,Suburban,1.0
Palmerston_North,3,15,2,-40.36807,175.620543,Suburban,0.0
Palmerston_North,3,16,2,-40.36807,175.620543,Suburban,0.0
Palmerston_North,3,17,2,-40.36807,175.620543,Suburban,0.0
Palmerston_North,4,1,2,-40.366293,175.618666,Suburban,1.0
Palmerston_North,4,2,2,-40.366293,175.618666,Suburban,0.0
Palmerston_North,4,3,2,-40.366293,175.618666,Suburban,0.0
Palmerston_North,4,4,2,-40.366293,175.618666,Suburban,1.0
Palmerston_North,4,5,2,-40.366293,175.618666,Suburban,1.0
Palmerston_North,4,6,2,-40.366293,175.618666,Suburban,1.0
Palmerston_North,4,7,2,-40.366293,175.618666,Suburban,0.0
Palmerston_North,4,8,2,-40.366293,175.618666,Suburban,1.0
Palmerston_North,4,9,2,-40.366293,175.618666,Suburban,1.0
Palmerston_North,4,10,2,-40.366293,175.618666,Suburban,1.0
Palmerston_North,4,11,2,-40.366293,175.618666,Suburban,1.0
Palmerston_North,4,12,2,-40.366293,175.618666,Suburban,1.0
Palmerston_North,4,13,2,-40.366293,175.618666,Suburban,1.0
Palmerston_North,4,14,2,-40.366293,175.618666,Suburban,0.0
Palmerston_North,4,15,2,-40.366293,175.618666,Suburban,0.0
Palmerston_North,5,1,2,-40.362578000000006,175.614968,Suburban,1.0
Palmerston_North,5,2,2,-40.362578000000006,175.614968,Suburban,1.0
Palmerston_North,5,3,2,-40.362578000000006,175.614968,Suburban,1.0
Palmerston_North,5,4,2,-40.362578000000006,175.614968,Suburban,1.0
Palmerston_North,5,5,2,-40.362578000000006,175.614968,Suburban,1.0
Palmerston_North,5,6,2,-40.362578000000006,175.614968,Suburban,0.0
Palmerston_North,5,7,2,-40.362578000000006,175.614968,Suburban,0.0
Palmerston_North,5,8,2,-40.362578000000006,175.614968,Suburban,0.0
Palmerston_North,5,9,2,-40.362578000000006,175.614968,Suburban,0.0
Palmerston_North,5,10,2,-40.362578000000006,175.614968,Suburban,0.0
Palmerston_North,5,11,2,-40.362578000000006,175.614968,Suburban,0.0
Palmerston_North,5,12,2,-40.362578000000006,175.614968,Suburban,0.0
Palmerston_North,5,13,2,-40.362578000000006,175.614968,Suburban,0.0
Palmerston_North,5,14,2,-40.362578000000006,175.614968,Suburban,1.0
Palmerston_North,5,15,2,-40.362578000000006,175.614968,Suburban,1.0
Palmerston_North,5,16,2,-40.362578000000006,175.614968,Suburban,1.0
Palmerston_North,5,17,2,-40.362578000000006,175.614968,Suburban,0.0
Palmerston_North,5,18,2,-40.362578000000006,175.614968,Suburban,1.0
Palmerston_North,5,19,2,-40.362578000000006,175.614968,Suburban,0.0
Palmerston_North,5,20,2,-40.362578000000006,175.614968,Suburban,0.0
Palmerston_North,6,1,2,-40.361140999999996,175.61443300000002,Suburban,1.0
Palmerston_North,6,2,2,-40.361140999999996,175.61443300000002,Suburban,1.0
Palmerston_North,6,3,2,-40.361140999999996,175.61443300000002,Suburban,0.0
Palmerston_North,6,4,2,-40.361140999999996,175.61443300000002,Suburban,0.0
Palmerston_North,6,5,2,-40.361140999999996,175.61443300000002,Suburban,1.0
Palmerston_North,6,6,2,-40.361140999999996,175.61443300000002,Suburban,0.0
Palmerston_North,6,7,2,-40.361140999999996,175.61443300000002,Suburban,1.0
Palmerston_North,6,8,3,-40.361140999999996,175.61443300000002,Suburban,1.0
Palmerston_North,6,9,3,-40.361140999999996,175.61443300000002,Suburban,0.0
Palmerston_North,6,10,3,-40.361140999999996,175.61443300000002,Suburban,1.0
Palmerston_North,6,11,3,-40.361140999999996,175.61443300000002,Suburban,0.0
Palmerston_North,6,12,3,-40.361140999999996,175.61443300000002,Suburban,0.0
Palmerston_North,6,13,3,-40.361140999999996,175.61443300000002,Suburban,0.0
Palmerston_North,6,14,3,-40.361140999999996,175.61443300000002,Suburban,0.0
Palmerston_North,6,15,3,-40.361140999999996,175.61443300000002,Suburban,0.0
Palmerston_North,6,16,3,-40.361140999999996,175.61443300000002,Suburban,0.0
Palmerston_North,7,1,3,-40.356074,175.60987,Urban,0.0
Palmerston_North,7,2,3,-40.356074,175.60987,Urban,1.0
Palmerston_North,7,3,3,-40.356074,175.60987,Urban,0.0
Palmerston_North,7,4,3,-40.356074,175.60987,Urban,1.0
Palmerston_North,7,5,3,-40.356074,175.60987,Urban,1.0
Palmerston_North,7,6,3,-40.356074,175.60987,Urban,1.0
Palmerston_North,7,7,3,-40.356074,175.60987,Urban,1.0
Palmerston_North,7,8,3,-40.356074,175.60987,Urban,1.0
Palmerston_North,7,9,3,-40.356074,175.60987,Urban,0.0
Palmerston_North,7,10,3,-40.356074,175.60987,Urban,1.0
Palmerston_North,7,11,3,-40.356074,175.60987,Urban,0.0
Palmerston_North,7,12,3,-40.356074,175.60987,Urban,1.0
Palmerston_North,7,13,3,-40.356074,175.60987,Urban,1.0
Palmerston_North,7,14,3,-40.356074,175.60987,Urban,0.0
Palmerston_North,7,15,3,-40.356074,175.60987,Urban,1.0
Palmerston_North,7,16,3,-40.356074,175.60987,Urban,1.0
Palmerston_North,7,17,3,-40.356074,175.60987,Urban,0.0
Palmerston_North,7,18,3,-40.356074,175.60987,Urban,1.0
Palmerston_North,8,1,3,-40.360121,175.605023,Urban,1.0
Palmerston_North,8,2,3,-40.360121,175.605023,Urban,1.0
Palmerston_North,8,3,3,-40.360121,175.605023,Urban,1.0
Palmerston_North,8,4,3,-40.360121,175.605023,Urban,1.0
Palmerston_North,8,5,3,-40.360121,175.605023,Urban,0.0
Palmerston_North,8,6,3,-40.360121,175.605023,Urban,1.0
Palmerston_North,8,7,3,-40.360121,175.605023,Urban,0.0
Palmerston_North,8,8,3,-40.360121,175.605023,Urban,1.0
Palmerston_North,8,9,3,-40.360121,175.605023,Urban,1.0
Palmerston_North,8,10,3,-40.360121,175.605023,Urban,1.0
Palmerston_North,8,11,3,-40.360121,175.605023,Urban,1.0
Palmerston_North,8,12,3,-40.360121,175.605023,Urban,1.0
Palmerston_North,8,13,3,-40.360121,175.605023,Urban,1.0
Palmerston_North,8,14,3,-40.360121,175.605023,Urban,1.0
Palmerston_North,8,15,3,-40.360121,175.605023,Urban,1.0
Palmerston_North,8,16,3,-40.360121,175.605023,Urban,0.0
Palmerston_North,8,17,3,-40.360121,175.605023,Urban,1.0
Palmerston_North,8,18,3,-40.360121,175.605023,Urban,0.0
Palmerston_North,9,1,3,-40.374801,175.624458,Periurban,1.0
Palmerston_North,9,2,3,-40.374801,175.624458,Periurban,0.0
Palmerston_North,9,3,3,-40.374801,175.624458,Periurban,1.0
Palmerston_North,9,4,4,-40.374801,175.624458,Periurban,1.0
Palmerston_North,9,5,4,-40.374801,175.624458,Periurban,1.0
Palmerston_North,9,6,4,-40.374801,175.624458,Periurban,1.0
Palmerston_North,9,7,4,-40.374801,175.624458,Periurban,1.0
Palmerston_North,9,8,4,-40.374801,175.624458,Periurban,1.0
Palmerston_North,9,9,4,-40.374801,175.624458,Periurban,0.0
Palmerston_North,9,10,4,-40.374801,175.624458,Periurban,0.0
Palmerston_North,9,11,4,-40.374801,175.624458,Periurban,1.0
Palmerston_North,9,12,4,-40.374801,175.624458,Periurban,0.0
Palmerston_North,9,13,4,-40.374801,175.624458,Periurban,0.0
Palmerston_North,9,14,4,-40.374801,175.624458,Periurban,1.0
Palmerston_North,9,15,4,-40.374801,175.624458,Periurban,1.0
Palmerston_North,9,16,4,-40.374801,175.624458,Periurban,1.0
Palmerston_North,9,17,4,-40.374801,175.624458,Periurban,1.0
