city,population,plant,plate_no,population_latitude,population_longitude,habitat_type,hcn_result
Portlandme,1,1,1,43.65354,-70.26162,Urban,1.0
Portlandme,1,2,1,43.65354,-70.26162,Urban,0.0
Portlandme,1,3,1,43.65354,-70.26162,Urban,0.0
Portlandme,1,4,1,43.65354,-70.26162,Urban,0.0
Portlandme,1,5,1,43.65354,-70.26162,Urban,0.0
Portlandme,1,6,1,43.65354,-70.26162,Urban,0.0
Portlandme,1,7,1,43.65354,-70.26162,Urban,1.0
Portlandme,1,8,1,43.65354,-70.26162,Urban,0.0
Portlandme,1,9,1,43.65354,-70.26162,Urban,0.0
Portlandme,1,10,1,43.65354,-70.26162,Urban,0.0
Portlandme,1,11,1,43.65354,-70.26162,Urban,0.0
Portlandme,1,12,1,43.65354,-70.26162,Urban,1.0
Portlandme,1,13,1,43.65354,-70.26162,Urban,0.0
Portlandme,1,14,1,43.65354,-70.26162,Urban,0.0
Portlandme,1,15,1,43.65354,-70.26162,Urban,0.0
Portlandme,1,16,1,43.65354,-70.26162,Urban,0.0
Portlandme,1,17,1,43.65354,-70.26162,Urban,0.0
Portlandme,1,18,1,43.65354,-70.26162,Urban,0.0
Portlandme,1,19,1,43.65354,-70.26162,Urban,0.0
Portlandme,1,20,1,43.65354,-70.26162,Urban,0.0
Portlandme,2,1,1,43.65452,-70.26581,Urban,0.0
Portlandme,2,2,1,43.65452,-70.26581,Urban,0.0
Portlandme,2,3,1,43.65452,-70.26581,Urban,1.0
Portlandme,2,4,1,43.65452,-70.26581,Urban,0.0
Portlandme,2,5,1,43.65452,-70.26581,Urban,0.0
Portlandme,2,6,1,43.65452,-70.26581,Urban,0.0
Portlandme,2,7,1,43.65452,-70.26581,Urban,1.0
Portlandme,2,8,1,43.65452,-70.26581,Urban,0.0
Portlandme,2,9,1,43.65452,-70.26581,Urban,1.0
Portlandme,2,10,1,43.65452,-70.26581,Urban,0.0
Portlandme,2,11,1,43.65452,-70.26581,Urban,0.0
Portlandme,2,12,1,43.65452,-70.26581,Urban,0.0
Portlandme,2,13,1,43.65452,-70.26581,Urban,1.0
Portlandme,2,14,1,43.65452,-70.26581,Urban,1.0
Portlandme,2,15,1,43.65452,-70.26581,Urban,0.0
Portlandme,2,16,1,43.65452,-70.26581,Urban,0.0
Portlandme,2,17,1,43.65452,-70.26581,Urban,0.0
Portlandme,2,18,1,43.65452,-70.26581,Urban,0.0
Portlandme,2,19,1,43.65452,-70.26581,Urban,0.0
Portlandme,2,20,1,43.65452,-70.26581,Urban,0.0
Portlandme,3,1,1,43.65846,-70.26772,Urban,0.0
Portlandme,3,2,1,43.65846,-70.26772,Urban,0.0
Portlandme,3,3,1,43.65846,-70.26772,Urban,0.0
Portlandme,3,4,1,43.65846,-70.26772,Urban,0.0
Portlandme,3,5,1,43.65846,-70.26772,Urban,0.0
Portlandme,3,6,1,43.65846,-70.26772,Urban,0.0
Portlandme,3,7,1,43.65846,-70.26772,Urban,1.0
Portlandme,3,8,1,43.65846,-70.26772,Urban,0.0
Portlandme,3,9,1,43.65846,-70.26772,Urban,0.0
