city,population,plant,plate_no,population_latitude,population_longitude,habitat_type,hcn_result
Tehran,26,1,1,35.580618,51.456731,Periurban,1
Tehran,26,2,1,35.580618,51.456731,Periurban,1
Tehran,26,3,1,35.580618,51.456731,Periurban,1
Tehran,26,4,1,35.580618,51.456731,Periurban,1
Tehran,26,5,1,35.580618,51.456731,Periurban,1
Tehran,26,6,1,35.580618,51.456731,Periurban,1
Tehran,26,7,1,35.580618,51.456731,Periurban,1
Tehran,26,8,1,35.580618,51.456731,Periurban,0
Tehran,26,9,1,35.580618,51.456731,Periurban,0
Tehran,26,10,1,35.580618,51.456731,Periurban,0
Tehran,26,11,1,35.580618,51.456731,Periurban,0
Tehran,26,12,1,35.580618,51.456731,Periurban,0
Tehran,26,13,1,35.580618,51.456731,Periurban,0
Tehran,26,14,1,35.580618,51.456731,Periurban,0
Tehran,26,15,1,35.580618,51.456731,Periurban,0
Tehran,26,16,1,35.580618,51.456731,Periurban,0
Tehran,26,17,1,35.580618,51.456731,Periurban,0
Tehran,26,18,1,35.580618,51.456731,Periurban,1
Tehran,26,19,1,35.580618,51.456731,Periurban,1
Tehran,26,20,1,35.580618,51.456731,Periurban,0
Tehran,27,1,1,35.4489945,51.566773600000005,Periurban,1
Tehran,27,2,1,35.4489945,51.566773600000005,Periurban,1
Tehran,27,3,1,35.4489945,51.566773600000005,Periurban,1
Tehran,27,4,1,35.4489945,51.566773600000005,Periurban,0
Tehran,27,5,1,35.4489945,51.566773600000005,Periurban,1
Tehran,27,6,1,35.4489945,51.566773600000005,Periurban,1
Tehran,27,7,1,35.4489945,51.566773600000005,Periurban,1
Tehran,27,8,1,35.4489945,51.566773600000005,Periurban,1
Tehran,27,9,1,35.4489945,51.566773600000005,Periurban,1
Tehran,27,10,1,35.4489945,51.566773600000005,Periurban,1
Tehran,27,11,1,35.4489945,51.566773600000005,Periurban,0
Tehran,27,12,1,35.4489945,51.566773600000005,Periurban,1
Tehran,27,13,1,35.4489945,51.566773600000005,Periurban,1
Tehran,27,14,1,35.4489945,51.566773600000005,Periurban,1
Tehran,27,15,1,35.4489945,51.566773600000005,Periurban,1
Tehran,27,16,1,35.4489945,51.566773600000005,Periurban,1
Tehran,27,17,1,35.4489945,51.566773600000005,Periurban,1
Tehran,27,18,1,35.4489945,51.566773600000005,Periurban,1
Tehran,27,19,1,35.4489945,51.566773600000005,Periurban,1
Tehran,27,20,1,35.4489945,51.566773600000005,Periurban,1
Tehran,28,1,2,35.4372522,51.581869,Periurban,0
Tehran,28,2,2,35.4372522,51.581869,Periurban,0
Tehran,28,3,2,35.4372522,51.581869,Periurban,0
Tehran,28,4,2,35.4372522,51.581869,Periurban,0
Tehran,28,5,2,35.4372522,51.581869,Periurban,0
Tehran,28,6,2,35.4372522,51.581869,Periurban,0
Tehran,28,7,2,35.4372522,51.581869,Periurban,0
Tehran,28,8,2,35.4372522,51.581869,Periurban,0
Tehran,28,9,2,35.4372522,51.581869,Periurban,0
Tehran,28,10,2,35.4372522,51.581869,Periurban,0
Tehran,28,11,2,35.4372522,51.581869,Periurban,0
Tehran,29,1,2,35.5813586,51.3916263,Rural,0
Tehran,29,2,2,35.5813586,51.3916263,Rural,0
Tehran,29,3,2,35.5813586,51.3916263,Rural,1
Tehran,29,4,2,35.5813586,51.3916263,Rural,0
Tehran,29,5,2,35.5813586,51.3916263,Rural,1
