city,population,plant,plate_no,population_latitude,population_longitude,habitat_type,hcn_result
Wollongong,1,1,1,-34.424170000000004,150.89551,Urban,0
Wollongong,1,2,1,-34.424170000000004,150.89551,Urban,0
Wollongong,1,3,1,-34.424170000000004,150.89551,Urban,0
Wollongong,1,4,1,-34.424170000000004,150.89551,Urban,0
Wollongong,1,5,1,-34.424170000000004,150.89551,Urban,0
Wollongong,1,6,1,-34.424170000000004,150.89551,Urban,0
Wollongong,1,7,1,-34.424170000000004,150.89551,Urban,0
Wollongong,1,8,1,-34.424170000000004,150.89551,Urban,0
Wollongong,1,9,1,-34.424170000000004,150.89551,Urban,0
Wollongong,1,10,1,-34.424170000000004,150.89551,Urban,0
Wollongong,1,11,1,-34.424170000000004,150.89551,Urban,0
Wollongong,1,12,1,-34.424170000000004,150.89551,Urban,0
Wollongong,1,13,1,-34.424170000000004,150.89551,Urban,0
Wollongong,1,14,1,-34.424170000000004,150.89551,Urban,0
Wollongong,1,15,1,-34.424170000000004,150.89551,Urban,0
Wollongong,1,16,1,-34.424170000000004,150.89551,Urban,0
Wollongong,1,17,1,-34.424170000000004,150.89551,Urban,0
Wollongong,1,18,1,-34.424170000000004,150.89551,Urban,0
Wollongong,1,19,1,-34.424170000000004,150.89551,Urban,0
Wollongong,1,20,1,-34.424170000000004,150.89551,Urban,0
Wollongong,2,1,1,-34.42665,150.8919,Urban,0
Wollongong,2,2,1,-34.42665,150.8919,Urban,0
Wollongong,2,3,1,-34.42665,150.8919,Urban,0
Wollongong,2,4,1,-34.42665,150.8919,Urban,0
Wollongong,2,5,1,-34.42665,150.8919,Urban,0
Wollongong,2,6,1,-34.42665,150.8919,Urban,0
Wollongong,2,7,1,-34.42665,150.8919,Urban,0
Wollongong,2,8,1,-34.42665,150.8919,Urban,0
Wollongong,2,9,1,-34.42665,150.8919,Urban,0
Wollongong,2,10,1,-34.42665,150.8919,Urban,0
Wollongong,2,11,1,-34.42665,150.8919,Urban,0
Wollongong,2,12,1,-34.42665,150.8919,Urban,0
Wollongong,2,13,1,-34.42665,150.8919,Urban,0
Wollongong,2,14,1,-34.42665,150.8919,Urban,0
Wollongong,2,15,1,-34.42665,150.8919,Urban,0
Wollongong,2,16,1,-34.42665,150.8919,Urban,1
Wollongong,2,17,1,-34.42665,150.8919,Urban,0
Wollongong,2,18,1,-34.42665,150.8919,Urban,0
Wollongong,2,19,1,-34.42665,150.8919,Urban,0
Wollongong,2,20,1,-34.42665,150.8919,Urban,0
Wollongong,3,1,2,-34.4282,150.88691,Urban,0
Wollongong,3,2,2,-34.4282,150.88691,Urban,0
Wollongong,3,3,2,-34.4282,150.88691,Urban,0
Wollongong,3,4,2,-34.4282,150.88691,Urban,1
Wollongong,3,5,2,-34.4282,150.88691,Urban,0
Wollongong,3,6,2,-34.4282,150.88691,Urban,0
Wollongong,3,7,2,-34.4282,150.88691,Urban,0
Wollongong,3,8,2,-34.4282,150.88691,Urban,0
Wollongong,3,9,2,-34.4282,150.88691,Urban,0
Wollongong,3,10,2,-34.4282,150.88691,Urban,0
Wollongong,3,11,2,-34.4282,150.88691,Urban,0
Wollongong,3,12,2,-34.4282,150.88691,Urban,0
Wollongong,3,13,2,-34.4282,150.88691,Urban,0
Wollongong,3,14,2,-34.4282,150.88691,Urban,0
Wollongong,3,15,2,-34.4282,150.88691,Urban,0
Wollongong,3,16,2,-34.4282,150.88691,Urban,0
Wollongong,3,17,2,-34.4282,150.88691,Urban,0
Wollongong,3,18,2,-34.4282,150.88691,Urban,0
Wollongong,3,19,2,-34.4282,150.88691,Urban,0
Wollongong,3,20,2,-34.4282,150.88691,Urban,0
Wollongong,4,1,2,-34.43007,150.883071,Urban,0
Wollongong,4,2,2,-34.43007,150.883071,Urban,0
Wollongong,4,3,2,-34.43007,150.883071,Urban,0
Wollongong,4,4,2,-34.43007,150.883071,Urban,0
Wollongong,4,5,2,-34.43007,150.883071,Urban,0
Wollongong,4,6,2,-34.43007,150.883071,Urban,0
Wollongong,4,7,2,-34.43007,150.883071,Urban,0
Wollongong,4,8,2,-34.43007,150.883071,Urban,0
Wollongong,4,9,2,-34.43007,150.883071,Urban,0
Wollongong,4,10,2,-34.43007,150.883071,Urban,1
Wollongong,4,11,2,-34.43007,150.883071,Urban,0
Wollongong,4,12,2,-34.43007,150.883071,Urban,1
Wollongong,4,13,2,-34.43007,150.883071,Urban,0
Wollongong,4,14,2,-34.43007,150.883071,Urban,0
Wollongong,4,15,2,-34.43007,150.883071,Urban,0
Wollongong,4,16,2,-34.43007,150.883071,Urban,0
Wollongong,4,17,2,-34.43007,150.883071,Urban,0
Wollongong,4,18,2,-34.43007,150.883071,Urban,0
Wollongong,4,19,2,-34.43007,150.883071,Urban,0
Wollongong,4,20,2,-34.43007,150.883071,Urban,0
Wollongong,5,1,3,-34.43188,150.87885,Suburban,1
Wollongong,5,2,3,-34.43188,150.87885,Suburban,1
Wollongong,5,3,3,-34.43188,150.87885,Suburban,1
Wollongong,5,4,3,-34.43188,150.87885,Suburban,1
Wollongong,5,5,3,-34.43188,150.87885,Suburban,0
Wollongong,5,6,3,-34.43188,150.87885,Suburban,1
Wollongong,5,7,3,-34.43188,150.87885,Suburban,0
Wollongong,5,8,3,-34.43188,150.87885,Suburban,1
Wollongong,5,9,3,-34.43188,150.87885,Suburban,0
Wollongong,5,10,3,-34.43188,150.87885,Suburban,1
Wollongong,5,11,3,-34.43188,150.87885,Suburban,0
Wollongong,5,12,3,-34.43188,150.87885,Suburban,0
Wollongong,5,13,3,-34.43188,150.87885,Suburban,1
Wollongong,5,14,3,-34.43188,150.87885,Suburban,1
Wollongong,5,15,3,-34.43188,150.87885,Suburban,0
Wollongong,5,16,3,-34.43188,150.87885,Suburban,0
Wollongong,5,17,3,-34.43188,150.87885,Suburban,1
Wollongong,5,18,3,-34.43188,150.87885,Suburban,0
Wollongong,5,19,3,-34.43188,150.87885,Suburban,0
Wollongong,5,20,3,-34.43188,150.87885,Suburban,0
Wollongong,6,1,3,-34.4349,150.87548999999999,Suburban,0
Wollongong,6,2,3,-34.4349,150.87548999999999,Suburban,0
Wollongong,6,3,3,-34.4349,150.87548999999999,Suburban,0
Wollongong,6,4,3,-34.4349,150.87548999999999,Suburban,0
Wollongong,6,5,3,-34.4349,150.87548999999999,Suburban,0
Wollongong,6,6,3,-34.4349,150.87548999999999,Suburban,0
Wollongong,6,7,3,-34.4349,150.87548999999999,Suburban,0
Wollongong,6,8,3,-34.4349,150.87548999999999,Suburban,0
Wollongong,6,9,3,-34.4349,150.87548999999999,Suburban,0
Wollongong,6,10,3,-34.4349,150.87548999999999,Suburban,1
Wollongong,6,11,3,-34.4349,150.87548999999999,Suburban,1
Wollongong,6,12,3,-34.4349,150.87548999999999,Suburban,1
