OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,continent,distance,max_dist,std_distan,BUFF_DIST,ORIG_FID,Uruapan_pcs__GMIS_OID,Uruapan_pcs__GMIS_FID_,Uruapan_pcs__GMIS_COUNT,Uruapan_pcs__GMIS_AREA,Uruapan_pcs__GMIS_MEAN
-1,Uruapan,1,19.455240000000000,-102.000399999999999,12,7,0.583000000000000,19.420850000000002,-102.061638000000002,South America,7.473600000000000,7.473600000000000,1,100.000000000000000,0,0,0,35,31500.000000000000000,27.971428571400001
-1,Uruapan,2,19.449670000000001,-102.006450000000001,20,11,0.550000000000000,19.420850000000002,-102.061638000000002,South America,6.615000000000000,7.473600000000000,1,100.000000000000000,1,1,1,36,32400.000000000000000,43.388888888899999
-1,Uruapan,3,19.439830000000001,-102.012180000000001,20,7,0.350000000000000,19.420850000000002,-102.061638000000002,South America,5.599200000000000,7.473600000000000,1,100.000000000000000,2,2,2,35,31500.000000000000000,26.828571428600000
-1,Uruapan,4,19.435510000000001,-102.018929999999997,12,12,1.000000000000000,19.420850000000002,-102.061638000000002,South America,4.766000000000000,7.473600000000000,1,100.000000000000000,3,3,3,35,31500.000000000000000,46.342857142900002
-1,Uruapan,5,19.432729999999999,-102.023970000000006,15,10,0.667000000000000,19.420850000000002,-102.061638000000002,South America,4.165100000000000,7.473600000000000,1,100.000000000000000,4,4,4,35,31500.000000000000000,61.742857142900000
-1,Uruapan,6,19.428979999999999,-102.033050000000003,13,5,0.385000000000000,19.420850000000002,-102.061638000000002,South America,3.131200000000000,7.473600000000000,0,100.000000000000000,5,5,5,33,29700.000000000000000,83.454545454500007
-1,Uruapan,7,19.426469999999998,-102.042100000000005,19,10,0.526000000000000,19.420850000000002,-102.061638000000002,South America,2.142100000000000,7.473600000000000,0,100.000000000000000,6,6,6,36,32400.000000000000000,88.138888888899999
-1,Uruapan,8,19.425709999999999,-102.046279999999996,22,9,0.409000000000000,19.420850000000002,-102.061638000000002,South America,1.698800000000000,7.473600000000000,0,100.000000000000000,7,7,7,35,31500.000000000000000,84.885714285700004
-1,Uruapan,9,19.420539999999999,-102.048590000000004,14,7,0.500000000000000,19.420850000000002,-102.061638000000002,South America,1.368800000000000,7.473600000000000,0,100.000000000000000,8,8,8,35,31500.000000000000000,80.457142857099996
-1,Uruapan,10,19.438549999999999,-102.014049999999997,22,7,0.318000000000000,19.420850000000002,-102.061638000000002,South America,5.364300000000000,7.473600000000000,1,100.000000000000000,9,9,9,36,32400.000000000000000,49.166666666700003
-1,Uruapan,12,19.423710000000000,-102.047799999999995,20,7,0.350000000000000,19.420850000000002,-102.061638000000002,South America,1.485600000000000,7.473600000000000,0,100.000000000000000,11,10,11,37,33300.000000000000000,92.270270270300003
-1,Uruapan,13,19.417310000000001,-102.051000000000002,16,5,0.312000000000000,19.420850000000002,-102.061638000000002,South America,1.183000000000000,7.473600000000000,0,100.000000000000000,12,11,12,35,31500.000000000000000,72.428571428599994
-1,Uruapan,14,19.412749999999999,-102.052440000000004,18,4,0.222000000000000,19.420850000000002,-102.061638000000002,South America,1.319700000000000,7.473600000000000,0,100.000000000000000,13,12,13,35,31500.000000000000000,81.971428571399997
-1,Uruapan,15,19.409140000000001,-102.053539999999998,10,1,0.100000000000000,19.420850000000002,-102.061638000000002,South America,1.554600000000000,7.473600000000000,0,100.000000000000000,14,13,14,35,31500.000000000000000,85.371428571400003
-1,Uruapan,16,19.404979999999998,-102.054569999999998,20,14,0.700000000000000,19.420850000000002,-102.061638000000002,South America,1.914000000000000,7.473600000000000,0,100.000000000000000,15,14,15,32,28800.000000000000000,73.187500000000000
-1,Uruapan,17,19.400910000000000,-102.056229999999999,23,13,0.565000000000000,19.420850000000002,-102.061638000000002,South America,2.288600000000000,7.473600000000000,0,100.000000000000000,16,15,16,35,31500.000000000000000,73.000000000000000
-1,Uruapan,18,19.397620000000000,-102.056770000000000,19,14,0.737000000000000,19.420850000000002,-102.061638000000002,South America,2.633000000000000,7.473600000000000,0,100.000000000000000,17,16,17,35,31500.000000000000000,73.342857142900002
-1,Uruapan,19,19.395959999999999,-102.057440000000000,22,17,0.773000000000000,19.420850000000002,-102.061638000000002,South America,2.802400000000000,7.473600000000000,0,100.000000000000000,18,17,18,37,33300.000000000000000,57.594594594599997
-1,Uruapan,20,19.393950000000000,-102.057940000000002,20,14,0.700000000000000,19.420850000000002,-102.061638000000002,South America,3.016200000000000,7.473600000000000,0,100.000000000000000,19,18,19,32,28800.000000000000000,58.468750000000000
