OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,continent,distance,max_dist,std_distan,BUFF_DIST,ORIG_FID,thessaloniki_184032_20160718_NDVI_pcs_OID,thessaloniki_184032_20160718_NDVI_pcs_FID_,thessaloniki_184032_20160718_NDVI_pcs_COUNT,thessaloniki_184032_20160718_NDVI_pcs_AREA,thessaloniki_184032_20160718_NDVI_pcs_MEAN
-1,Thessaloniki,1,40.633679999999998,22.955900000000000,20,12,0.600000000000000,40.640064000000002,22.944420000000001,Europe,1.200900000000000,15.581300000000001,0.077100000000000,100.000000000000000,0,0,0,36,32400.000000000000000,0.207421361572000
-1,Thessaloniki,2,40.633060000000000,22.958310000000001,20,8,0.400000000000000,40.640064000000002,22.944420000000001,Europe,1.407200000000000,15.581300000000001,0.090300000000000,100.000000000000000,1,1,1,35,31500.000000000000000,0.297189976914000
-1,Thessaloniki,3,40.631659999999997,22.957000000000001,20,10,0.500000000000000,40.640064000000002,22.944420000000001,Europe,1.414200000000000,15.581300000000001,0.090800000000000,100.000000000000000,2,2,2,31,27900.000000000000000,0.385987834825000
-1,Thessaloniki,4,40.629869999999997,22.959320000000002,20,7,0.350000000000000,40.640064000000002,22.944420000000001,Europe,1.692800000000000,15.581300000000001,0.108600000000000,100.000000000000000,3,3,3,35,31500.000000000000000,0.381429465115000
-1,Thessaloniki,5,40.629410000000000,22.962380000000000,20,3,0.150000000000000,40.640064000000002,22.944420000000001,Europe,1.923600000000000,15.581300000000001,0.123500000000000,100.000000000000000,4,4,4,35,31500.000000000000000,0.219760541192000
-1,Thessaloniki,6,40.627899999999997,22.965699999999998,20,11,0.550000000000000,40.640064000000002,22.944420000000001,Europe,2.248100000000000,15.581300000000001,0.144300000000000,100.000000000000000,5,5,5,36,32400.000000000000000,0.332460993280000
-1,Thessaloniki,7,40.620060000000002,22.967669999999998,20,0,0.000000000000000,40.640064000000002,22.944420000000001,Europe,2.966000000000000,15.581300000000001,0.190400000000000,100.000000000000000,6,6,6,36,32400.000000000000000,0.184354442275000
-1,Thessaloniki,8,40.618699999999997,22.968869999999999,20,16,0.800000000000000,40.640064000000002,22.944420000000001,Europe,3.146500000000000,15.581300000000001,0.201900000000000,100.000000000000000,7,7,7,36,32400.000000000000000,0.279094966335000
-1,Thessaloniki,9,40.616300000000003,22.971640000000001,20,11,0.550000000000000,40.640064000000002,22.944420000000001,Europe,3.501300000000000,15.581300000000001,0.224700000000000,100.000000000000000,8,8,8,35,31500.000000000000000,0.238381602934000
-1,Thessaloniki,10,40.615340000000003,22.971640000000001,20,5,0.250000000000000,40.640064000000002,22.944420000000001,Europe,3.582600000000000,15.581300000000001,0.229900000000000,100.000000000000000,9,9,9,24,21600.000000000000000,0.203635323172000
-1,Thessaloniki,11,40.613460000000003,22.963410000000000,20,3,0.150000000000000,40.640064000000002,22.944420000000001,Europe,3.364500000000000,15.581300000000001,0.215900000000000,100.000000000000000,10,10,10,35,31500.000000000000000,0.193153078854000
-1,Thessaloniki,12,40.604680000000002,22.973910000000000,20,11,0.550000000000000,40.640064000000002,22.944420000000001,Europe,4.655700000000000,15.581300000000001,0.298800000000000,100.000000000000000,11,11,11,32,28800.000000000000000,0.316332819406000
-1,Thessaloniki,13,40.605069999999998,22.970369999999999,20,13,0.650000000000000,40.640064000000002,22.944420000000001,Europe,4.465200000000000,15.581300000000001,0.286600000000000,100.000000000000000,12,12,12,35,31500.000000000000000,0.248142423800000
-1,Thessaloniki,15,40.599829999999997,22.968499999999999,20,4,0.200000000000000,40.640064000000002,22.944420000000001,Europe,4.913800000000000,15.581300000000001,0.315400000000000,100.000000000000000,13,13,13,34,30600.000000000000000,0.326929964344000
-1,Thessaloniki,16,40.598019999999998,22.970420000000001,20,9,0.450000000000000,40.640064000000002,22.944420000000001,Europe,5.164500000000000,15.581300000000001,0.331500000000000,100.000000000000000,14,14,14,35,31500.000000000000000,0.185194350566000
-1,Thessaloniki,17,40.595689999999998,22.971219999999999,20,5,0.250000000000000,40.640064000000002,22.944420000000001,Europe,5.428000000000000,15.581300000000001,0.348400000000000,100.000000000000000,15,15,15,36,32400.000000000000000,0.360112087801000
-1,Thessaloniki,18,40.595329999999997,22.972370000000002,20,16,0.800000000000000,40.640064000000002,22.944420000000001,Europe,5.505300000000000,15.581300000000001,0.353300000000000,100.000000000000000,16,16,16,23,20700.000000000000000,0.240424248187000
-1,Thessaloniki,19,40.593800000000002,22.972819999999999,20,16,0.800000000000000,40.640064000000002,22.944420000000001,Europe,5.675400000000000,15.581300000000001,0.364200000000000,100.000000000000000,17,17,17,35,31500.000000000000000,0.275897928647000
-1,Thessaloniki,20,40.593429999999998,22.963259999999998,20,6,0.300000000000000,40.640064000000002,22.944420000000001,Europe,5.423800000000000,15.581300000000001,0.348100000000000,100.000000000000000,18,18,18,35,31500.000000000000000,0.269588993703000
-1,Thessaloniki,21,40.591639999999998,22.962330000000001,20,11,0.550000000000000,40.640064000000002,22.944420000000001,Europe,5.592700000000000,15.581300000000001,0.358900000000000,100.000000000000000,19,19,19,35,31500.000000000000000,0.264942062965000
-1,Thessaloniki,22,40.582990000000002,22.956440000000001,20,10,0.500000000000000,40.640064000000002,22.944420000000001,Europe,6.426900000000000,15.581300000000001,0.412500000000000,100.000000000000000,20,20,20,36,32400.000000000000000,0.257650141708000
