OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,continent,distance,max_dist,std_distan,BUFF_DIST,ORIG_FID,north_bay_018028_20160113_LST_pcs_OID,north_bay_018028_20160113_LST_pcs_FID_,north_bay_018028_20160113_LST_pcs_COUNT,north_bay_018028_20160113_LST_pcs_AREA,north_bay_018028_20160113_LST_pcs_MEAN
-1,North_Bay,2,46.313789999999997,-79.463899999999995,15,6,0.400000000000000,46.309116000000003,-79.460823000000005,North America,0.570900000000000,17.804500000000001,0.032100000000000,100.000000000000000,1,0,1,37,33300.000000000000000,-14.271651743800000
-1,North_Bay,3,46.314999999999998,-79.463220000000007,15,8,0.533000000000000,46.309116000000003,-79.460823000000005,North America,0.679700000000000,17.804500000000001,0.038200000000000,100.000000000000000,2,1,2,26,23400.000000000000000,-14.495878379900001
-1,North_Bay,4,46.314700000000002,-79.458780000000004,15,7,0.467000000000000,46.309116000000003,-79.460823000000005,North America,0.640400000000000,17.804500000000001,0.036000000000000,100.000000000000000,3,2,3,35,31500.000000000000000,-15.438602539400000
-1,North_Bay,5,46.317599999999999,-79.458140000000000,15,3,0.200000000000000,46.309116000000003,-79.460823000000005,North America,0.965600000000000,17.804500000000001,0.054200000000000,100.000000000000000,4,3,4,32,28800.000000000000000,-14.700976472100001
-1,North_Bay,6,46.319110000000002,-79.453159999999997,15,4,0.267000000000000,46.309116000000003,-79.460823000000005,North America,1.257500000000000,17.804500000000001,0.070600000000000,100.000000000000000,5,4,5,35,31500.000000000000000,-15.757602198000001
-1,North_Bay,7,46.319929999999999,-79.447080000000000,15,11,0.733000000000000,46.309116000000003,-79.460823000000005,North America,1.600000000000000,17.804500000000001,0.089900000000000,100.000000000000000,6,5,6,32,28800.000000000000000,-16.040792235000001
-1,North_Bay,8,46.316310000000001,-79.445980000000006,15,3,0.200000000000000,46.309116000000003,-79.460823000000005,North America,1.392700000000000,17.804500000000001,0.078200000000000,100.000000000000000,7,6,7,37,33300.000000000000000,-16.055539574400001
-1,North_Bay,9,46.318060000000003,-79.440160000000006,15,8,0.533000000000000,46.309116000000003,-79.460823000000005,North America,1.872900000000000,17.804500000000001,0.105200000000000,100.000000000000000,8,7,8,35,31500.000000000000000,-15.892488183099999
-1,North_Bay,10,46.320149999999998,-79.438029999999998,15,1,0.067000000000000,46.309116000000003,-79.460823000000005,North America,2.137700000000000,17.804500000000001,0.120100000000000,100.000000000000000,9,8,9,36,32400.000000000000000,-16.033652575800001
-1,North_Bay,11,46.322490000000002,-79.435180000000003,15,4,0.267000000000000,46.309116000000003,-79.460823000000005,North America,2.467800000000000,17.804500000000001,0.138600000000000,100.000000000000000,10,9,10,35,31500.000000000000000,-15.808451228699999
-1,North_Bay,12,46.324930000000002,-79.433629999999994,15,8,0.533000000000000,46.309116000000003,-79.460823000000005,North America,2.730100000000000,17.804500000000001,0.153300000000000,100.000000000000000,11,10,11,35,31500.000000000000000,-16.769228114699999
-1,North_Bay,13,46.325339999999997,-79.428169999999994,15,6,0.400000000000000,46.309116000000003,-79.460823000000005,North America,3.089200000000000,17.804500000000001,0.173500000000000,100.000000000000000,12,11,12,35,31500.000000000000000,-15.754370128300000
-1,North_Bay,14,46.325299999999999,-79.422719999999998,15,5,0.333000000000000,46.309116000000003,-79.460823000000005,North America,3.435300000000000,17.804500000000001,0.192900000000000,100.000000000000000,13,12,13,36,32400.000000000000000,-16.446931177300002
-1,North_Bay,15,46.327280000000002,-79.418610000000001,15,6,0.400000000000000,46.309116000000003,-79.460823000000005,North America,3.819500000000000,17.804500000000001,0.214500000000000,100.000000000000000,14,13,14,37,33300.000000000000000,-16.415462902900000
-1,North_Bay,16,46.327050000000000,-79.414760000000001,15,2,0.133000000000000,46.309116000000003,-79.460823000000005,North America,4.060900000000000,17.804500000000001,0.228100000000000,100.000000000000000,15,14,15,36,32400.000000000000000,-16.823631960699998
-1,North_Bay,17,46.332169999999998,-79.401809999999998,15,3,0.200000000000000,46.309116000000003,-79.460823000000005,North America,5.206600000000000,17.804500000000001,0.292400000000000,100.000000000000000,16,15,16,35,31500.000000000000000,-15.952066090700001
-1,North_Bay,18,46.330710000000003,-79.398669999999996,15,1,0.067000000000000,46.309116000000003,-79.460823000000005,North America,5.343000000000000,17.804500000000001,0.300100000000000,100.000000000000000,17,16,17,37,33300.000000000000000,-16.969888453500001
-1,North_Bay,19,46.331209999999999,-79.393619999999999,14,7,0.500000000000000,46.309116000000003,-79.460823000000005,North America,5.715700000000000,17.804500000000001,0.321000000000000,100.000000000000000,18,17,18,37,33300.000000000000000,-18.716309765500000
-1,North_Bay,20,46.332360000000001,-79.390960000000007,15,6,0.400000000000000,46.309116000000003,-79.460823000000005,North America,5.955100000000000,17.804500000000001,0.334500000000000,100.000000000000000,19,18,19,34,30600.000000000000000,-17.931170148100001
-1,North_Bay,21,46.332839999999997,-79.387299999999996,15,4,0.267000000000000,46.309116000000003,-79.460823000000005,North America,6.231900000000000,17.804500000000001,0.350000000000000,100.000000000000000,20,19,20,36,32400.000000000000000,-18.405825220699999
-1,North_Bay,22,46.330050000000000,-79.378380000000007,15,0,0.000000000000000,46.309116000000003,-79.460823000000005,North America,6.745600000000000,17.804500000000001,0.378900000000000,100.000000000000000,21,20,21,35,31500.000000000000000,-17.381834102100001
-1,North_Bay,23,46.328470000000003,-79.369640000000004,15,7,0.467000000000000,46.309116000000003,-79.460823000000005,North America,7.325700000000000,17.804500000000001,0.411500000000000,100.000000000000000,22,21,22,36,32400.000000000000000,-16.031807702199998
-1,North_Bay,24,46.334139999999998,-79.356380000000001,15,1,0.067000000000000,46.309116000000003,-79.460823000000005,North America,8.489400000000000,17.804500000000001,0.476800000000000,100.000000000000000,23,22,23,35,31500.000000000000000,-16.634425497399999
-1,North_Bay,25,46.338140000000003,-79.348169999999996,15,3,0.200000000000000,46.309116000000003,-79.460823000000005,North America,9.233000000000001,17.804500000000001,0.518600000000000,100.000000000000000,24,23,24,37,33300.000000000000000,-17.070052335400000
-1,North_Bay,26,46.336120000000001,-79.342619999999997,15,8,0.533000000000000,46.309116000000003,-79.460823000000005,North America,9.560700000000001,17.804500000000001,0.537000000000000,100.000000000000000,25,24,25,36,32400.000000000000000,-17.827577071499999
-1,North_Bay,27,46.343940000000003,-79.341890000000006,15,8,0.533000000000000,46.309116000000003,-79.460823000000005,North America,9.919400000000000,17.804500000000001,0.557100000000000,100.000000000000000,26,25,26,35,31500.000000000000000,-17.303833821200001
-1,North_Bay,28,46.345599999999997,-79.338480000000004,15,1,0.067000000000000,46.309116000000003,-79.460823000000005,North America,10.232600000000000,17.804500000000001,0.574700000000000,100.000000000000000,27,26,27,34,30600.000000000000000,-18.067631124399998
-1,North_Bay,29,46.347810000000003,-79.334469999999996,15,2,0.133000000000000,46.309116000000003,-79.460823000000005,North America,10.613000000000000,17.804500000000001,0.596100000000000,100.000000000000000,28,27,28,32,28800.000000000000000,-18.810701274800000
-1,North_Bay,30,46.350769999999997,-79.331040000000002,15,8,0.533000000000000,46.309116000000003,-79.460823000000005,North America,10.988600000000000,17.804500000000001,0.617200000000000,100.000000000000000,29,28,29,36,32400.000000000000000,-18.778712791699999
-1,North_Bay,31,46.353929999999998,-79.329160000000002,15,2,0.133000000000000,46.309116000000003,-79.460823000000005,North America,11.270300000000001,17.804500000000001,0.633000000000000,100.000000000000000,30,29,30,32,28800.000000000000000,-19.643436324100001
-1,North_Bay,32,46.353990000000003,-79.324680000000001,15,4,0.267000000000000,46.309116000000003,-79.460823000000005,North America,11.582700000000001,17.804500000000001,0.650500000000000,100.000000000000000,31,30,31,37,33300.000000000000000,-20.430482077099999
-1,North_Bay,33,46.357239999999997,-79.324799999999996,15,1,0.067000000000000,46.309116000000003,-79.460823000000005,North America,11.734500000000001,17.804500000000001,0.659100000000000,100.000000000000000,32,31,32,36,32400.000000000000000,-20.415031142499998
-1,North_Bay,34,46.359780000000001,-79.324420000000003,15,8,0.533000000000000,46.309116000000003,-79.460823000000005,North America,11.891400000000001,17.804500000000001,0.667900000000000,100.000000000000000,33,32,33,32,28800.000000000000000,-20.947860016700002
-1,North_Bay,35,46.360140000000001,-79.324269999999999,15,3,0.200000000000000,46.309116000000003,-79.460823000000005,North America,11.920500000000001,17.804500000000001,0.669500000000000,100.000000000000000,34,33,34,10,9000.000000000000000,-20.377505816700001
-1,North_Bay,36,46.376100000000001,-79.294719999999998,15,5,0.333000000000000,46.309116000000003,-79.460823000000005,North America,14.766600000000000,17.804500000000001,0.829400000000000,100.000000000000000,35,34,35,35,31500.000000000000000,-17.726537591600000
-1,North_Bay,37,46.361870000000003,-79.320930000000004,15,2,0.133000000000000,46.309116000000003,-79.460823000000005,North America,12.237500000000001,17.804500000000001,0.687300000000000,100.000000000000000,36,35,36,36,32400.000000000000000,-20.198258735300001
-1,North_Bay,38,46.383180000000003,-79.264600000000002,15,5,0.333000000000000,46.309116000000003,-79.460823000000005,North America,17.166200000000000,17.804500000000001,0.964100000000000,100.000000000000000,37,36,37,35,31500.000000000000000,-19.594255824600001
-1,North_Bay,39,46.384140000000002,-79.261750000000006,15,4,0.267000000000000,46.309116000000003,-79.460823000000005,North America,17.409199999999998,17.804500000000001,0.977800000000000,100.000000000000000,38,37,38,35,31500.000000000000000,-19.517533588900001
-1,North_Bay,40,46.385480000000001,-79.256940000000000,15,5,0.333000000000000,46.309116000000003,-79.460823000000005,North America,17.804500000000001,17.804500000000001,1.000000000000000,100.000000000000000,39,38,39,34,30600.000000000000000,-18.392625006599999
-1,North_Bay,41,46.313890000000001,-79.466989999999996,15,1,0.067000000000000,46.309116000000003,-79.460823000000005,North America,0.711400000000000,17.804500000000001,0.040000000000000,100.000000000000000,40,39,40,35,31500.000000000000000,-14.856423772499999
-1,North_Bay,42,46.312429999999999,-79.459909999999994,15,1,0.067000000000000,46.309116000000003,-79.460823000000005,North America,0.375100000000000,17.804500000000001,0.021100000000000,100.000000000000000,41,40,41,36,32400.000000000000000,-15.039535364500001
-1,North_Bay,43,46.314270000000000,-79.453370000000007,15,2,0.133000000000000,46.309116000000003,-79.460823000000005,North America,0.810000000000000,17.804500000000001,0.045500000000000,100.000000000000000,42,41,42,35,31500.000000000000000,-15.677811910699999
-1,North_Bay,44,46.320920000000001,-79.444530000000000,15,5,0.333000000000000,46.309116000000003,-79.460823000000005,North America,1.813400000000000,17.804500000000001,0.101900000000000,100.000000000000000,43,42,43,35,31500.000000000000000,-15.409697104899999
-1,North_Bay,45,46.320309999999999,-79.430840000000003,15,2,0.133000000000000,46.309116000000003,-79.460823000000005,North America,2.617600000000000,17.804500000000001,0.147000000000000,100.000000000000000,44,43,44,35,31500.000000000000000,-16.345636000399999
