OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,Country,continent,distance,max_dist,std_distan,BUFF_DIST,ORIG_FID,stockholm_192019_20110219_LST_pcs_OID,stockholm_192019_20110219_LST_pcs_FID_,stockholm_192019_20110219_LST_pcs_COUNT,stockholm_192019_20110219_LST_pcs_AREA,stockholm_192019_20110219_LST_pcs_MEAN
-1,Stockholm,1,59.331000000000003,18.060900000000000,16,4,0.250000000000000,59.329323000000002,18.068580999999998,Sweden,Europe,0.473900000000000,11.024900000000001,0.043000000000000,100.000000000000000,0,0,0,36,32400.000000000000000,-11.651849645200000
-1,Stockholm,2,59.330100000000002,18.072500000000002,16,0,0.000000000000000,59.329323000000002,18.068580999999998,Sweden,Europe,0.238500000000000,11.024900000000001,0.021600000000000,100.000000000000000,1,1,1,36,32400.000000000000000,-10.822457953700001
-1,Stockholm,3,59.317100000000003,18.076599999999999,19,1,0.053000000000000,59.329323000000002,18.068580999999998,Sweden,Europe,1.433300000000000,11.024900000000001,0.130000000000000,100.000000000000000,2,2,2,35,31500.000000000000000,-12.019457361700001
-1,Stockholm,4,59.312300000000000,18.085999999999999,18,0,0.000000000000000,59.329323000000002,18.068580999999998,Sweden,Europe,2.135300000000000,11.024900000000001,0.193700000000000,100.000000000000000,3,3,3,32,28800.000000000000000,-12.888804302800001
-1,Stockholm,5,59.309699999999999,18.092400000000001,17,1,0.059000000000000,59.329323000000002,18.068580999999998,Sweden,Europe,2.566600000000000,11.024900000000001,0.232800000000000,100.000000000000000,4,4,4,34,30600.000000000000000,-13.696705591000001
-1,Stockholm,6,59.307899999999997,18.088699999999999,19,0,0.000000000000000,59.329323000000002,18.068580999999998,Sweden,Europe,2.641500000000000,11.024900000000001,0.239600000000000,100.000000000000000,5,5,5,32,28800.000000000000000,-13.231936232700001
-1,Stockholm,7,59.306199999999997,18.082200000000000,20,2,0.100000000000000,59.329323000000002,18.068580999999998,Sweden,Europe,2.684800000000000,11.024900000000001,0.243500000000000,100.000000000000000,6,6,6,32,28800.000000000000000,-13.757314981700000
-1,Stockholm,8,59.302300000000002,18.080300000000001,17,0,0.000000000000000,59.329323000000002,18.068580999999998,Sweden,Europe,3.077500000000000,11.024900000000001,0.279100000000000,100.000000000000000,7,7,7,35,31500.000000000000000,-14.047152582200001
-1,Stockholm,9,59.300400000000003,18.083300000000001,15,2,0.133000000000000,59.329323000000002,18.068580999999998,Sweden,Europe,3.322800000000000,11.024900000000001,0.301400000000000,100.000000000000000,8,8,8,35,31500.000000000000000,-14.807658909600001
-1,Stockholm,10,59.293500000000002,18.070200000000000,17,1,0.059000000000000,59.329323000000002,18.068580999999998,Sweden,Europe,3.984400000000000,11.024900000000001,0.361400000000000,100.000000000000000,9,9,9,36,32400.000000000000000,-14.957296807400001
-1,Stockholm,11,59.290599999999998,18.068200000000001,20,1,0.050000000000000,59.329323000000002,18.068580999999998,Sweden,Europe,4.305900000000000,11.024900000000001,0.390600000000000,100.000000000000000,10,10,10,32,28800.000000000000000,-14.600657754700000
-1,Stockholm,12,59.285100000000000,18.073399999999999,18,5,0.278000000000000,59.329323000000002,18.068580999999998,Sweden,Europe,4.925000000000000,11.024900000000001,0.446700000000000,100.000000000000000,11,11,11,32,28800.000000000000000,-13.977620132100000
-1,Stockholm,13,59.281399999999998,18.069800000000001,20,0,0.000000000000000,59.329323000000002,18.068580999999998,Sweden,Europe,5.329200000000000,11.024900000000001,0.483400000000000,100.000000000000000,12,12,12,35,31500.000000000000000,-14.357986498700001
-1,Stockholm,14,59.285100000000000,18.061699999999998,20,3,0.150000000000000,59.329323000000002,18.068580999999998,Sweden,Europe,4.932900000000000,11.024900000000001,0.447400000000000,100.000000000000000,13,13,13,35,31500.000000000000000,-15.839506649000000
-1,Stockholm,15,59.287700000000001,18.053999999999998,20,4,0.200000000000000,59.329323000000002,18.068580999999998,Sweden,Europe,4.701700000000000,11.024900000000001,0.426500000000000,100.000000000000000,14,14,14,36,32400.000000000000000,-14.875685305999999
-1,Stockholm,16,59.281500000000001,18.047400000000000,19,2,0.105000000000000,59.329323000000002,18.068580999999998,Sweden,Europe,5.451900000000000,11.024900000000001,0.494500000000000,100.000000000000000,15,15,15,34,30600.000000000000000,-14.657417841099999
-1,Stockholm,17,59.278199999999998,18.046399999999998,19,0,0.000000000000000,59.329323000000002,18.068580999999998,Sweden,Europe,5.822400000000000,11.024900000000001,0.528100000000000,100.000000000000000,16,16,16,33,29700.000000000000000,-14.045558331900001
-1,Stockholm,18,59.277099999999997,18.041200000000000,15,2,0.133000000000000,59.329323000000002,18.068580999999998,Sweden,Europe,6.011300000000000,11.024900000000001,0.545200000000000,100.000000000000000,17,17,17,34,30600.000000000000000,-15.098651981300000
-1,Stockholm,19,59.273400000000002,18.036100000000001,19,3,0.158000000000000,59.329323000000002,18.068580999999998,Sweden,Europe,6.486000000000000,11.024900000000001,0.588300000000000,100.000000000000000,18,18,18,36,32400.000000000000000,-15.466122270700000
-1,Stockholm,20,59.275799999999997,18.037299999999998,20,3,0.150000000000000,59.329323000000002,18.068580999999998,Sweden,Europe,6.210700000000000,11.024900000000001,0.563300000000000,100.000000000000000,19,19,19,36,32400.000000000000000,-15.553842303800000
-1,Stockholm,21,59.274600000000000,18.029599999999999,16,1,0.062000000000000,59.329323000000002,18.068580999999998,Sweden,Europe,6.474800000000000,11.024900000000001,0.587300000000000,100.000000000000000,20,20,20,35,31500.000000000000000,-14.791713766399999
-1,Stockholm,22,59.267499999999998,18.029800000000002,18,1,0.056000000000000,59.329323000000002,18.068580999999998,Sweden,Europe,7.218400000000000,11.024900000000001,0.654700000000000,100.000000000000000,21,21,21,32,28800.000000000000000,-15.023803368899999
-1,Stockholm,23,59.265200000000000,18.030600000000000,18,0,0.000000000000000,59.329323000000002,18.068580999999998,Sweden,Europe,7.449100000000000,11.024900000000001,0.675700000000000,100.000000000000000,22,22,22,35,31500.000000000000000,-14.250969954100000
-1,Stockholm,24,59.267600000000002,18.036200000000001,18,1,0.056000000000000,59.329323000000002,18.068580999999998,Sweden,Europe,7.105200000000000,11.024900000000001,0.644500000000000,100.000000000000000,23,23,23,35,31500.000000000000000,-14.277308788499999
-1,Stockholm,25,59.265099999999997,18.037199999999999,20,12,0.600000000000000,59.329323000000002,18.068580999999998,Sweden,Europe,7.360200000000000,11.024900000000001,0.667600000000000,100.000000000000000,24,24,24,35,31500.000000000000000,-14.075338460799999
-1,Stockholm,26,59.262599999999999,18.039400000000001,17,0,0.000000000000000,59.329323000000002,18.068580999999998,Sweden,Europe,7.602000000000000,11.024900000000001,0.689500000000000,100.000000000000000,25,25,25,36,32400.000000000000000,-13.980958788900001
-1,Stockholm,27,59.261299999999999,18.038000000000000,19,1,0.053000000000000,59.329323000000002,18.068580999999998,Sweden,Europe,7.760500000000000,11.024900000000001,0.703900000000000,100.000000000000000,26,26,26,32,28800.000000000000000,-13.312308292799999
-1,Stockholm,28,59.257800000000003,18.029100000000000,20,0,0.000000000000000,59.329323000000002,18.068580999999998,Sweden,Europe,8.262900000000000,11.024900000000001,0.749500000000000,100.000000000000000,27,27,27,36,32400.000000000000000,-15.512929093700000
-1,Stockholm,29,59.256700000000002,18.031400000000001,20,0,0.000000000000000,59.329323000000002,18.068580999999998,Sweden,Europe,8.346700000000000,11.024900000000001,0.757100000000000,100.000000000000000,28,28,28,31,27900.000000000000000,-15.067503458899999
-1,Stockholm,30,59.256900000000002,18.038000000000000,20,1,0.050000000000000,59.329323000000002,18.068580999999998,Sweden,Europe,8.238200000000001,11.024900000000001,0.747200000000000,100.000000000000000,29,29,29,37,33300.000000000000000,-14.921841897800000
-1,Stockholm,31,59.252899999999997,18.034700000000001,20,1,0.050000000000000,59.329323000000002,18.068580999999998,Sweden,Europe,8.712899999999999,11.024900000000001,0.790300000000000,100.000000000000000,30,30,30,35,31500.000000000000000,-14.826530648700000
-1,Stockholm,33,59.252699999999997,18.031900000000000,18,0,0.000000000000000,59.329323000000002,18.068580999999998,Sweden,Europe,8.771000000000001,11.024900000000001,0.795600000000000,100.000000000000000,32,31,32,31,27900.000000000000000,-14.567299273500000
