city,population,HCN_Result,plant_dens,dist,std_dist,population_latitude,population_longitude
Everett,1,0.25,10.4,0.3,0.063260341,44.190309,-79.94430600000003
Everett,2,0.3,6.4,0.12,0.01946472,44.190496,-79.942051
Everett,3,0.3,12.4,0.04,0.0,44.191051,-79.940159
Everett,4,0.1,5.0,0.24,0.048661800000000005,44.19142,-79.937814
Everett,5,0.15,5.0,0.35,0.07542579099999999,44.191722,-79.93640500000002
Everett,6,0.3,0.0,0.51,0.114355231,44.192222,-79.93449100000002
Everett,7,0.25,5.8,0.71,0.163017032,44.192655,-79.932182
Everett,8,0.294117647,0.2,0.94,0.218978102,44.195095,-79.93049599999998
Everett,9,0.5,8.4,1.01,0.236009732,44.193685,-79.928727
Everett,10,0.0,21.4,1.19,0.27980535300000003,44.194262,-79.92664
Everett,11,0.25,9.8,1.31,0.309002433,44.194424,-79.92514399999997
Everett,12,0.25,7.2,1.66,0.394160584,44.195445,-79.920909
Everett,13,0.15,7.4,1.81,0.430656934,44.195732,-79.919174
Everett,14,0.2,11.4,2.59,0.6204379560000001,44.198366,-79.910004
Everett,15,0.25,7.8,2.68,0.642335766,44.197369,-79.908372
Everett,16,0.45,14.6,4.1,0.98783455,44.194242,-79.889463
Everett,17,0.35,9.0,3.71,0.8929440390000001,44.191766,-79.894171
Everett,18,0.25,12.8,4.15,1.0,44.191254,-79.888551
Everett,19,0.368421053,6.0,2.66,0.637469586,44.194138,-79.9076
Everett,20,0.5,15.2,2.7,0.647201946,44.191521,-79.906837
