city,population,HCN_Result,plant_dens,dist,std_dist,population_latitude,population_longitude
London,1,0.3,2.4,0.34,0.0,42.98388900000001,-81.24333299999998
London,2,0.19047619,8.6,0.41,0.004331683,42.984874,-81.239127
London,3,0.19047619,19.2,0.66,0.01980198,42.9863,-81.235084
London,4,0.238095238,0.0,0.97,0.038985149,42.987269,-81.23128299999998
London,5,0.181818182,2.8,1.23,0.055074257,42.9875,-81.22805600000002
London,6,0.047619048,0.0,1.78,0.089108911,42.990748,-81.221915
London,7,0.272727273,10.8,2.16,0.112623762,42.992639,-81.217803
London,8,0.28571428600000004,6.2,2.57,0.13799505,42.994063,-81.21310799999998
London,9,0.28571428600000004,14.2,2.95,0.16150990099999998,42.995128,-81.208792
London,10,0.545454545,14.8,3.37,0.1875,42.99658400000001,-81.203914
London,11,0.14285714300000002,14.2,3.75,0.211014851,42.998092,-81.19968100000001
London,12,0.28571428600000004,10.8,4.1,0.232673267,42.997083,-81.194826
London,13,0.636363636,7.2,4.64,0.266089109,43.00073,-81.189494
London,14,0.35,2.0,4.99,0.287747525,43.002052,-81.18543000000003
London,15,0.28571428600000004,11.8,5.39,0.3125,43.003463,-81.18106999999998
London,16,0.3,6.0,5.76,0.33539604,43.004427,-81.17667900000002
London,17,0.380952381,15.8,6.15,0.359529703,43.005997,-81.17237800000002
London,18,0.363636364,5.2,6.56,0.38490099,43.006933,-81.16748100000002
London,19,0.28571428600000004,21.8,7.03,0.413985149,43.008412,-81.162059
London,20,0.571428571,6.6,7.4,0.436881188,43.009557,-81.15780600000002
London,21,0.368421053,4.2,7.79,0.461014851,43.01077,-81.153225
London,22,0.095238095,16.0,8.31,0.493193069,43.011004,-81.146742
London,23,0.380952381,10.0,8.52,0.5061881189999999,43.012514,-81.14459699999998
London,24,0.25,0.0,9.06,0.53960396,43.015241,-81.138936
London,25,0.28571428600000004,7.0,9.46,0.564356436,43.016473,-81.134354
London,26,0.409090909,3.0,10.17,0.6082920789999999,43.018994,-81.126302
London,27,0.333333333,13.2,10.65,0.63799505,43.02115,-81.121061
London,28,0.227272727,8.4,11.08,0.66460396,43.022145,-81.115961
London,29,0.571428571,15.4,11.28,0.676980198,43.022672,-81.113674
London,30,0.14285714300000002,11.4,11.85,0.712252475,43.024853,-81.107272
London,31,0.238095238,0.0,12.27,0.738242574,43.026114,-81.10238299999997
London,32,0.35,0.0,12.76,0.768564356,43.02723,-81.09663
London,33,0.0,12.6,13.02,0.784653465,43.028914,-81.094103
London,34,0.19047619,0.0,13.37,0.806311881,43.030258,-81.090158
London,35,0.333333333,6.2,13.93,0.840965347,43.031605,-81.08353699999998
London,36,0.28571428600000004,2.4,14.29,0.863242574,43.0331,-81.079504
London,37,0.238095238,3.6,14.7,0.888613861,43.034865,-81.075025
London,38,0.380952381,6.6,15.03,0.909034653,43.03507800000001,-81.07080699999999
London,39,0.095238095,5.2,15.51,0.938737624,43.037375,-81.065744
London,40,0.227272727,12.8,16.5,1.0,43.039727,-81.054041
