city,population,HCN_Result,plant_dens,dist,std_dist,population_latitude,population_longitude
Whitchurch-Stouffville,1,0.111111111,8.0,0.03,0.0,43.970728,-79.244711
Whitchurch-Stouffville,2,0.421052632,7.0,0.25,0.033383915,43.970523,-79.24733499999998
Whitchurch-Stouffville,3,0.45,1.0,0.4,0.056145675,43.969796,-79.249137
Whitchurch-Stouffville,4,0.222222222,10.6,0.58,0.083459788,43.970147,-79.251475
Whitchurch-Stouffville,5,0.15,9.0,0.8,0.116843703,43.967893,-79.253541
Whitchurch-Stouffville,6,0.3,0.0,1.1,0.162367223,43.967029,-79.257082
Whitchurch-Stouffville,7,0.2,13.4,1.31,0.194233687,43.96756,-79.260069
Whitchurch-Stouffville,8,0.35,10.2,1.55,0.230652504,43.965369,-79.262185
Whitchurch-Stouffville,9,0.235294118,7.8,1.73,0.25796661600000004,43.965125,-79.264472
Whitchurch-Stouffville,10,0.421052632,12.0,1.97,0.294385432,43.96678,-79.268222
Whitchurch-Stouffville,11,0.45,8.0,2.19,0.327769347,43.965535,-79.270651
Whitchurch-Stouffville,12,0.25,1.0,2.48,0.3717754170000001,43.964732,-79.274075
Whitchurch-Stouffville,13,0.35,10.4,2.72,0.408194234,43.964522,-79.277134
Whitchurch-Stouffville,14,0.222222222,6.6,2.94,0.441578149,43.964392,-79.279876
Whitchurch-Stouffville,15,0.55,24.8,3.27,0.491654021,43.96769000000001,-79.28481500000002
Whitchurch-Stouffville,16,0.263157895,15.0,3.53,0.531107739,43.9627,-79.286834
Whitchurch-Stouffville,17,0.5,24.4,4.67,0.704097117,43.959645,-79.300496
Whitchurch-Stouffville,18,0.3,22.2,4.92,0.7420333840000001,43.962721,-79.304562
Whitchurch-Stouffville,19,0.315789474,8.6,5.2,0.784522003,43.954842,-79.305385
Whitchurch-Stouffville,20,0.1,5.2,5.19,0.7830045520000001,43.956581,-79.305947
Whitchurch-Stouffville,21,0.1,14.8,5.6,0.84522003,43.956891,-79.311665
Whitchurch-Stouffville,22,0.15,7.4,5.79,0.874051593,43.956194,-79.313603
Whitchurch-Stouffville,23,0.4,1.6,5.95,0.8983308040000001,43.956167,-79.315651
Whitchurch-Stouffville,24,0.473684211,8.2,6.24,0.942336874,43.955616,-79.319245
Whitchurch-Stouffville,25,0.444444444,5.4,6.62,1.0,43.952981,-79.323065
