city,seed,tp_scaled_r,nSites_r,nSites_u,tp_diff,betaLog_Dist,pvalLog_Dist,betaLog_fromGlobalModel,sig
Albuquerque,1,0.019075900069906414,232390,232201,1.7995786448877366e-4,-0.839,0.004,-0.425,Significantly negative
Albuquerque,10,0.019100769212232832,232303,232309,1.1537829317410583e-4,-0.839,0.004,-0.425,Significantly negative
Albuquerque,100,0.019072024080014963,231769,232748,1.4716599954159304e-4,-0.839,0.004,-0.425,Significantly negative
Albuquerque,11,0.01921308258898884,232674,231791,-9.423568524306175e-5,-0.839,0.004,-0.425,Significantly negative
Albuquerque,12,0.019187676055340424,231491,232925,-6.0622499988335216e-5,-0.839,0.004,-0.425,Significantly negative
Albuquerque,13,0.019192669161514537,232903,231480,-1.071174969089761e-4,-0.839,0.004,-0.425,Significantly negative
Albuquerque,14,0.019169853115098803,232926,231504,-1.7496575306894663e-5,-0.839,0.004,-0.425,Significantly negative
Albuquerque,15,0.019120721942601594,232757,231631,9.109960275882623e-5,-0.839,0.004,-0.425,Significantly negative
Albuquerque,16,0.019174470473116798,232638,231908,-8.663766816911084e-6,-0.839,0.004,-0.425,Significantly negative
Albuquerque,17,0.019200812591626232,232870,231547,-1.0257952631428577e-4,-0.839,0.004,-0.425,Significantly negative
Albuquerque,18,0.019115451247132542,233137,231038,8.956052102982587e-5,-0.839,0.004,-0.425,Significantly negative
Albuquerque,19,0.019153072949635783,231555,232857,-4.854335019059686e-7,-0.839,0.004,-0.425,Significantly negative
Albuquerque,2,0.019192876522033674,232220,232372,-6.352581266063848e-5,-0.839,0.004,-0.425,Significantly negative
Albuquerque,20,0.01917346896143926,232382,232159,-2.337298298314347e-5,-0.839,0.004,-0.425,Significantly negative
Albuquerque,21,0.01930022734626423,232047,232540,-2.531771311958843e-4,-0.839,0.004,-0.425,Significantly negative
Albuquerque,22,0.019150599366165217,232245,232220,2.3702436622946577e-5,-0.839,0.004,-0.425,Significantly negative
Albuquerque,23,0.01918450752994158,232644,231930,-4.527401035371234e-5,-0.839,0.004,-0.425,Significantly negative
Albuquerque,24,0.019236331455205025,232742,231661,-1.549691490166233e-4,-0.839,0.004,-0.425,Significantly negative
Albuquerque,25,0.01924852418130772,233049,231250,-1.7256344936881704e-4,-0.839,0.004,-0.425,Significantly negative
Albuquerque,26,0.019149120991796748,232221,232304,3.594345997308748e-5,-0.839,0.004,-0.425,Significantly negative
Albuquerque,27,0.019242183941610404,232173,232363,-1.5284855159014912e-4,-0.839,0.004,-0.425,Significantly negative
Albuquerque,28,0.0190390688201707,232313,232266,2.402384947640182e-4,-0.839,0.004,-0.425,Significantly negative
Albuquerque,29,0.018998200392895764,232024,232492,3.664266642812858e-4,-0.839,0.004,-0.425,Significantly negative
Albuquerque,3,0.019279337064450723,232731,231815,-2.1164522538101582e-4,-0.839,0.004,-0.425,Significantly negative
Albuquerque,30,0.01914322992986688,231753,232713,4.638595500002993e-5,-0.839,0.004,-0.425,Significantly negative
Albuquerque,31,0.019207481330397982,232446,232134,-1.116686204174315e-4,-0.839,0.004,-0.425,Significantly negative
Albuquerque,32,0.019141712267391486,232373,232154,4.025306415900848e-6,-0.839,0.004,-0.425,Significantly negative
Albuquerque,33,0.019305073558363244,232999,231356,-3.089428043530837e-4,-0.839,0.004,-0.425,Significantly negative
Albuquerque,34,0.019177261344193775,232743,231708,-3.7547499981110954e-5,-0.839,0.004,-0.425,Significantly negative
Albuquerque,35,0.0191579679078397,232501,232045,2.1437744791644175e-6,-0.839,0.004,-0.425,Significantly negative
Albuquerque,36,0.019126049603244773,231444,232943,8.016108786181725e-5,-0.839,0.004,-0.425,Significantly negative
Albuquerque,37,0.019205509119646344,231920,232537,-4.910909537666e-5,-0.839,0.004,-0.425,Significantly negative
Albuquerque,38,0.019265946205183036,232023,232475,-1.7811712120988782e-4,-0.839,0.004,-0.425,Significantly negative
Albuquerque,39,0.019071033190053984,232047,232501,1.1189727034836838e-4,-0.839,0.004,-0.425,Significantly negative
Albuquerque,4,0.019253304981092487,232676,231831,-2.0679152283301083e-4,-0.839,0.004,-0.425,Significantly negative
Albuquerque,40,0.019255755173344456,232033,232510,-1.558284915684667e-4,-0.839,0.004,-0.425,Significantly negative
Albuquerque,41,0.019174079796581468,231942,232616,-3.0914103071176535e-5,-0.839,0.004,-0.425,Significantly negative
Albuquerque,42,0.01922887584609075,231913,232595,-1.4390529192711762e-4,-0.839,0.004,-0.425,Significantly negative
Albuquerque,43,0.01907706522764279,232109,232501,1.3896235755486014e-4,-0.839,0.004,-0.425,Significantly negative
Albuquerque,44,0.018985326392127043,232187,232394,3.2983904054352184e-4,-0.839,0.004,-0.425,Significantly negative
Albuquerque,45,0.01931053456299673,231898,232657,-2.973788617545055e-4,-0.839,0.004,-0.425,Significantly negative
Albuquerque,46,0.019259946135411418,232581,231982,-2.0327513606923503e-4,-0.839,0.004,-0.425,Significantly negative
Albuquerque,47,0.019052739661096343,231982,232575,2.3531081884971966e-4,-0.839,0.004,-0.425,Significantly negative
Albuquerque,48,0.019117527582953667,232220,232360,1.2519574617683368e-4,-0.839,0.004,-0.425,Significantly negative
Albuquerque,49,0.018977524656811483,231856,232612,3.30836161001765e-4,-0.839,0.004,-0.425,Significantly negative
Albuquerque,5,0.019097864982125574,231135,233018,0.00012458661592208709,-0.839,0.004,-0.425,Significantly negative
Albuquerque,50,0.01908690729013709,232394,232133,1.444065521256921e-4,-0.839,0.004,-0.425,Significantly negative
Albuquerque,51,0.019155027628034456,232085,232510,3.1708804665450674e-5,-0.839,0.004,-0.425,Significantly negative
Albuquerque,52,0.019272145134106945,232199,232330,-2.1263376035222936e-4,-0.839,0.004,-0.425,Significantly negative
Albuquerque,53,0.019108461289522788,232126,232429,1.0701521150492666e-4,-0.839,0.004,-0.425,Significantly negative
Albuquerque,54,0.01900681609578244,232415,232185,3.028898599504795e-4,-0.839,0.004,-0.425,Significantly negative
Albuquerque,55,0.019053940763794616,231825,232666,1.8818492887709773e-4,-0.839,0.004,-0.425,Significantly negative
Albuquerque,56,0.01910106496874716,232896,231477,1.0446181442022237e-4,-0.839,0.004,-0.425,Significantly negative
Albuquerque,57,0.019185366206013767,232745,231729,-7.019303579201136e-5,-0.839,0.004,-0.425,Significantly negative
Albuquerque,58,0.01924285513964707,232550,231974,-1.441351401362881e-4,-0.839,0.004,-0.425,Significantly negative
Albuquerque,59,0.019216937024208097,232491,232051,-1.1384434730777465e-4,-0.839,0.004,-0.425,Significantly negative
Albuquerque,6,0.019208835866337273,232037,232548,-9.731308745272033e-5,-0.839,0.004,-0.425,Significantly negative
Albuquerque,60,0.019120807364942864,232161,232445,5.1750739371188986e-5,-0.839,0.004,-0.425,Significantly negative
Albuquerque,61,0.019070951089372925,232204,232337,1.8786891420063956e-4,-0.839,0.004,-0.425,Significantly negative
Albuquerque,62,0.01903491554777704,233028,231218,2.2703084071485496e-4,-0.839,0.004,-0.425,Significantly negative
Albuquerque,63,0.019209267283614405,231493,232896,-1.22768401090885e-4,-0.839,0.004,-0.425,Significantly negative
Albuquerque,64,0.019130295421832196,232564,232017,4.1247589318581246e-5,-0.839,0.004,-0.425,Significantly negative
Albuquerque,65,0.019128264010901425,232641,231964,8.110803747127249e-5,-0.839,0.004,-0.425,Significantly negative
Albuquerque,66,0.019132457311804178,232112,232430,9.248967324110291e-5,-0.839,0.004,-0.425,Significantly negative
Albuquerque,67,0.01912299956463957,231622,232796,6.180243955061088e-5,-0.839,0.004,-0.425,Significantly negative
