city,interceptLinOnly,betaLinOnly,pvalLinOnly,rSquaredLinOnly,direction,sigLinOnly,betaRLM_freqHCN,pvalRLM_freqHCN,sigRLM,modelOrderBestFit,betaBestFit,pvalBestFit,rSquareBestFit,yIntBestFit,predictedBestFit,continent,Mean_annualAI,Mean_annualPET,Mean_DEM,Mean_GMIS,Mean_NDSI,Mean_summerLST,Mean_summerNDVI,Mean_winterLST,Mean_winterNDVI,betaRLM_annualAI,betaRLM_annualPET,betaRLM_DEM,betaRLM_GMIS,betaRLM_NDSI,betaRLM_summerLST,betaRLM_summerNDVI,betaRLM_winterLST,betaRLM_winterNDVI,pvalRLM_annualAI,pvalRLM_annualPET,pvalRLM_DEM,pvalRLM_GMIS,pvalRLM_NDSI,pvalRLM_summerLST,pvalRLM_summerNDVI,pvalRLM_winterLST,pvalRLM_winterNDVI,latitude_city,longitude_city,city_population,city_area,city_num,city_age
Acton,0.365,0.025,0.818,0.003,positive,No,0.022,0.846,No,linear,0.025,0.818,0.003,0.365,0.39,North America,1.055,840.7,356.2,31.399,0.686,31.274,0.501,-8.071,0.034,-0.002,-3.49,6.557,-73.917,-0.029,-6.211,0.278,-1.816,0.024,0.042,0,0,0,0.375,0,0.013,0,0.238,43.629693,-80.041492,9462,3.97,8,NA
Albuquerque,0.298,-0.148,0.089,0.074,negative,No,-0.185,0.021,Yes,quadratic,-1.387,0.001,0.285,0.494,0.372,North America,0.166,1409.95,1593.175,53.424,-0.294,42.391,0.329,13.754,0.198,0.035,-63.329,188.787,-10.934,-0.028,1.549,-0.035,1.398,0,0,0,0,0.344,0.439,0.201,0.639,0.009,0.992,35.084385,-106.650421,546191,608.4,3,65
Almada,0.961,0.023,0.436,0.015,positive,No,0.026,0.234,No,linear,0.023,0.436,0.015,0.961,0.984,Europe,0.685,1026.955,38.545,68.234,-0.323,34.908,0.287,10.552,0.328,-0.052,30.764,11.545,-2.057,-0.057,1.877,-0.019,-1.525,0.083,0,0,0.333,0.832,0.023,0.008,0.7,0,0.25,38.68029,-9.15849,174030,147.8,5,33
Amsterdam,0.13,0.143,0.146,0.055,positive,No,0.108,0.169,No,linear,0.143,0.146,0.055,0.13,0.273,Europe,1.272,629.075,1.05,17.223,0.408,30.667,0.639,2.001,0.154,-0.017,1.766,-9.462,-55.792,0.311,-3.317,0.266,-1.358,-0.01,0,0,0,0,0.002,0,0,0,0.788,52.373169,4.89066,1114745,315.54,10,374
Anchorage,0.109,-0.033,0.495,0.011,negative,No,-0.011,0.816,No,linear,-0.033,0.495,0.011,0.109,0.076,North America,1.26,325.75,164.364,55.761,0.806,28.191,0.558,-14.318,0.09,0.523,-73.092,629.811,-189.596,0.025,-18.948,0.622,-4.68,0.234,0,0,0,0,0.597,0,0,0,0.004,61.216313,-149.894852,NA,NA,NA,NA
Angus,0.326,0.027,0.881,0.001,positive,No,0.032,0.837,No,linear,0.027,0.881,0.001,0.326,0.353,North America,0.977,863.9,197.85,15.335,0.645,29.795,0.596,-14.22,0.091,0.016,-3.691,30.242,-45.532,0.249,-4.077,-0.045,-0.812,-0.126,0,0,0,0,0.023,0.013,0.701,0.445,0.19,44.325539,-79.88837,12640,4.74,4,NA
Antwerp,0.072,0.353,0.004,0.197,positive,Yes,0.333,0.016,Yes,quadratic,1.238,0.007,0.284,-0.075,0.255,Europe,1.075,726,13,26.091,-0.392,39.24,0.501,3.318,0.538,-0.017,15.264,11.777,-62.601,0.047,2.335,0.095,-0.953,0.321,0,0,0,0,0.161,0.064,0.209,0,0,51.219448,4.402464,483505,365.31,8,161
Armidale,0.562,0.326,0.004,0.201,positive,Yes,0.319,0.005,Yes,quadratic,1.605,0,0.444,0.38,0.618,Oceania,0.619,1273.95,1016.925,14.859,-0.499,31.574,0.579,13.707,0.428,0.035,-41.251,131.445,-49.29,-0.13,-2.903,0.157,-0.158,0.114,0,0,0,0,0,0,0,0.666,0.008,-30.51296,151.66942,23352,19.87,1,NA
Athens,0.36,0.365,0.013,0.216,positive,Yes,0.423,0.004,Yes,linear,0.365,0.013,0.216,0.36,0.724,North America,0.93,1339.179,213.429,25.015,-0.413,35.029,0.601,5.975,0.352,-0.024,8.349,-2.052,-48.68,-0.16,-6.428,0.201,-2.463,0.211,0,0.009,0.813,0,0,0,0.011,0.007,0,33.959768,-83.376398,115441,113.15,4,NA
Atlanta,0.25,0.365,0,0.364,positive,Yes,0.379,0,Yes,linear,0.365,0,0.364,0.25,0.615,North America,1.008,1296.044,310.022,35.354,0.402,38.642,0.53,0.559,0.147,-0.014,33.009,-3.123,-58.372,0.014,-8.786,0.351,-2.072,0.166,0,0,0.446,0,0.841,0,0,0,0,33.757758,-84.388372,426821,3324.2,7,111
Atlantic_City,0.54,-0.21,0.006,0.163,negative,Yes,-0.207,0.013,Yes,linear,-0.21,0.006,0.163,0.54,0.33,North America,1.059,1010.533,7.689,40.592,0.533,29.566,0.503,-8.799,0.095,-0.097,121.361,8.443,-98.593,-0.273,-11.777,0.71,-2.863,0.223,0,0,0,0,0.001,0,0,0,0,39.356273,-74.436074,39558,364.64,8,NA
Baltimore,0.203,0.032,0.717,0.004,positive,No,0.032,0.711,No,linear,0.032,0.717,0.004,0.203,0.235,North America,0.995,1107.692,140.897,36.016,0.737,33.976,0.533,-4.568,0.012,0.022,-69.59,190.935,-84.441,-0.057,-12.334,0.575,-2.428,0.065,0.133,0,0,0,0.013,0,0,0,0.001,39.29044,-76.612328,620862,1230.45,5,173
Barrie,0.269,0.085,0.333,0.041,positive,No,0.044,0.601,No,linear,0.085,0.333,0.041,0.269,0.354,North America,1.001,857.28,241.32,21.315,0.566,27.402,0.632,-14.132,0.111,0.006,-3.546,19.524,-61.382,-0.011,-6.058,0.405,-3.255,0.217,0.154,0.003,0.001,0,0.911,0.003,0,0,0.003,44.389339,-79.685516,145614,69.6,5,NA
Baton_Rouge,0.599,0.463,0,0.353,positive,Yes,0.35,0,Yes,quadratic,1.644,0,0.48,0.377,0.863,North America,1.075,1420.711,10.2,16.453,-0.418,31.983,0.586,18.54,0.462,0.012,0.083,-9.901,-19.976,-0.028,-2.727,0.005,-1.698,-0.012,0,0.933,0,0.008,0.536,0.035,0.937,0.005,0.877,30.447963,-91.18898,229422,604.59,2,61
Beijing,0.827,-0.376,0.174,0.082,negative,No,-0.376,0.174,No,linear,-0.376,0.174,0.082,0.827,0.451,Asia,0.557,1093.333,46.375,32.817,0.606,38.59,0.61,-1.762,0.043,0.004,18.254,-11.628,-135.124,0.153,-1.295,-0.113,-0.775,-0.078,0.546,0,0.021,0,0.008,0.801,0.557,0.204,0.027,39.904202,116.407394,16704306,6142.22,5,763
Berlin,0.08,0.186,0.01,0.188,positive,Yes,0.191,0.017,Yes,linear,0.186,0.01,0.188,0.08,0.266,Europe,0.744,749.118,45.121,33.207,-0.289,32.177,0.558,2.846,0.391,-0.039,6.952,-0.399,-23.783,-0.289,1.741,-0.026,0.769,0.282,0,0,0.908,0.068,0,0.275,0.776,0.03,0.002,52.513592,13.392534,3644826,1139.9,6,227
Bern,0.57,-0.065,0.517,0.011,negative,No,-0.062,0.568,No,linear,-0.065,0.517,0.011,0.57,0.504,Europe,1.212,774.125,564.55,31.416,0.1,36.13,0.521,4.676,0.117,0.063,-13.985,72.024,-75.778,0.748,-6.084,0.257,-5.754,-0.051,0,0,0,0,0,0,0,0,0.175,46.947975,7.447447,133883,56.34,6,NA
Bogota,0.251,0.26,0.03,0.118,positive,Yes,0.208,0.079,No,linear,0.26,0.03,0.118,0.251,0.511,South America,0.677,1234.875,2559.875,35.298,-0.376,29.271,0.42,30.119,0.477,-0.109,-11.71,41.182,-96.648,-0.199,-7.837,0.408,-5.529,0.54,0,0,0,0,0,0,0,0,0,4.627184,-74.106993,7387400,431.6,3,116
Boston,0.137,0.12,0.052,0.087,positive,No,0.134,0.04,Yes,linear,0.12,0.052,0.087,0.137,0.257,North America,1.206,963.773,40.455,32.094,0.039,32.64,0.555,-3.391,0.227,0.04,21.653,25.993,-14.12,0.235,-5.155,0.164,-0.759,0.007,0,0,0.014,0.157,0.013,0.001,0.063,0.085,0.883,42.356666,-71.05574,617786,789.01,6,167
Bradford,0.272,-0.018,0.845,0.002,negative,No,-0.065,0.477,No,linear,-0.018,0.845,0.002,0.272,0.254,North America,0.953,850.1,255.1,40.293,0.653,32.966,0.412,-11.951,0.03,0.008,3.088,11.571,-81.516,0.207,-1.36,0.194,-1.214,0.008,0.037,0.007,0.048,0,0,0.16,0.044,0,0.498,44.114297,-79.564777,29862,12.33,4,NA
Brantford,0.276,0.1,0.321,0.039,positive,No,0.091,0.365,No,linear,0.1,0.321,0.039,0.276,0.376,North America,1.036,873.296,231.556,43.949,0.778,32.328,0.462,-19.39,-0.013,-0.013,1.937,6.219,-40.507,-0.009,-4.731,0.156,-1.714,-0.011,0,0,0.343,0,0.684,0,0.049,0,0.408,43.13941,-80.26365,98179,49.09,8,NA
Brighton,0.298,0.332,0.001,0.239,positive,Yes,0.326,0.002,Yes,linear,0.332,0.001,0.239,0.298,0.63,Europe,0.995,723.475,24.95,0.347,-0.357,35.747,0.535,2.674,0.619,-0.009,-1.438,-7.121,0,-0.078,4.537,0.146,-0.373,0.042,0,0,0.182,0.561,0.001,0,0.026,0.177,0.226,50.822041,-0.137406,244329,94.67,5,124
Brussels,0.291,0.146,0.248,0.047,positive,No,0.117,0.185,No,linear,0.146,0.248,0.047,0.291,0.436,Europe,1.065,764.933,90.1,36.817,-0.261,31.632,0.558,-0.104,0.404,0.035,-3.266,44.697,-86.407,0.281,-7.967,0.448,-2.076,0.247,0,0.019,0,0,0.03,0,0,0,0.002,50.845539,4.35571,157673,281.52,8,191
Buenos_Aires,0.737,0.024,0.725,0.003,positive,No,0.021,0.757,No,linear,0.024,0.725,0.003,0.737,0.761,South America,0.798,1291.133,18.489,28.1,-0.373,34.506,0.471,15.036,0.411,-0.121,171.896,11.944,-37.273,-0.249,3.514,0.16,0.349,0.209,0,0,0,0,0,0,0.004,0.22,0,-34.603683,-58.381557,13588171,2356.31,2,156
Burlington,0.682,-0.205,0.016,0.114,negative,Yes,-0.251,0.002,Yes,linear,-0.205,0.016,0.114,0.682,0.476,North America,1.024,885.64,112.06,23.693,0.58,32.836,0.597,-11.987,0.059,0.07,1.794,4.909,-56.292,0.074,-8.707,0.302,-3.264,0.033,0,0.451,0.641,0,0.029,0,0,0,0.03,44.476299,-73.213547,42899,101.13,2,NA
