continent,Country,city,latitude_city,longitude_city,area,human_population_size,density,age,num_populations,total_num_plants,transect_length,betaRLM_freqHCN,sigRLM,meanHCN,sampled_by
North America,Canada,Acton,43.63,-80.041,3.97,9462,2383.375,NA,20,400,4.94,0.022,No,0.376,Marc T.J. Johnson; Cindy Prashad
North America,USA,Albuquerque,35.084,-106.65,608.4,546191,897.75,65,40,792,17.27,-0.185,Yes,0.225,Nora Mitchell; Kenneth D. Whitney
Europe,Portugal,Almada,38.68,-9.158,147.8,174030,1177.47,33,44,880,16.48,0.026,No,0.968,Filipa Grilo; Cristina Branquinho; Pedro Pinho
Europe,Netherlands,Amsterdam,52.373,4.891,315.54,1114745,3532.817,374,40,724,9.74,0.108,No,0.203,Jacintha Ellers; Janine Marien
North America,USA,Anchorage,61.216,-149.895,NA,NA,NA,NA,44,699,15.2,-0.011,No,0.091,Justin R Fulkerson; 
North America,Canada,Angus,44.326,-79.888,4.74,12640,2666.667,NA,20,400,3.98,0.032,No,0.341,Marc T.J. Johnson; Cindy Prashad
Europe,Belgium,Antwerp,51.219,4.402,365.31,483505,1323.547,161,40,697,13.65,0.333,Yes,0.234,; 
Oceania,Australia,Armidale,-30.513,151.669,19.87,23352,1175.239,NA,40,746,13.34,0.319,Yes,0.702,Nigel R. Andrew; Sarah J. Hill
North America,USA,Athens,33.96,-83.376,113.15,115441,1020.247,NA,28,560,17.16,0.423,Yes,0.489,Susana M. Wadgymar; Jill T. Anderson
North America,USA,Atlanta,33.758,-84.388,3324.2,426821,128.398,111,45,654,33.71,0.379,Yes,0.421,James S. Santangelo; Ken A. Thompson
North America,USA,Atlantic_City,39.356,-74.436,364.64,39558,108.485,NA,45,810,37.22,-0.207,Yes,0.431,Amy M. Savage; Jennifer Le; Ourania Nikolaidis
North America,USA,Baltimore,39.29,-76.612,1230.45,620862,504.581,173,39,584,51.35,0.032,No,0.216,James S. Santangelo; Ken A. Thompson
North America,Canada,Barrie,44.389,-79.686,69.6,145614,2092.155,NA,25,500,8.1,0.044,No,0.307,Marc T.J. Johnson; Cindy Prashad
North America,USA,Baton_Rouge,30.448,-91.189,604.59,229422,379.467,61,45,886,26.61,0.35,Yes,0.82,Luis Santiago-Rosario; Joanna Griffiths; Katherine Hovanes
