continent,Country,city,latitude_city,longitude_city,area,pop_size,density,city_age,no_cities,num_populations,total_num_plants,transect_length,betaLog_Dist,betaLog_GMIS,betaLog_hii,sigLog_Dist,sigLog_GMIS,sigLog_hii,meanHCN
North America,Canada,Acton,43.63,-80.041,3.97,9462,2383.375,0,8,20,458,4.94,0.173,-0.355,-0.022,No,No,No,0.376
North America,USA,Albuquerque,35.084,-106.65,608.4,546191,897.75,65,3,40,792,17.27,-0.839,0.021,0.781,Yes,No,Yes,0.225
Europe,Portugal,Almada,38.68,-9.158,147.8,174030,1177.47,33,5,44,880,16.48,0.821,0.846,-0.49,No,No,No,0.968
Europe,Netherlands,Amsterdam,52.373,4.891,315.54,1114745,3532.817,374,10,40,724,9.74,0.8,-0.496,-0.706,Yes,No,Yes,0.203
North America,USA,Anchorage,61.216,-149.895,163.8,291826,1781.6,42,3,44,699,15.2,-0.256,0.136,0.443,No,No,No,0.091
North America,Canada,Angus,44.326,-79.888,4.74,12640,2666.667,0,4,20,387,3.98,0.097,-0.226,-0.216,No,No,No,0.341
Europe,Belgium,Antwerp,51.219,4.402,365.31,483505,1323.547,161,8,40,697,13.65,2.15,-2.196,-1.674,Yes,Yes,Yes,0.234
Oceania,Australia,Armidale,-30.513,151.669,19.87,23352,1175.239,0,1,40,746,13.34,1.487,-2.224,-0.162,Yes,Yes,No,0.702
North America,USA,Athens,33.96,-83.376,113.15,115441,1020.247,0,4,28,560,17.16,1.565,-1.142,-0.858,Yes,Yes,Yes,0.489
North America,USA,Atlanta,33.758,-84.388,3324.2,426821,128.398,111,7,45,654,33.71,1.482,-1.501,-1.648,Yes,Yes,Yes,0.421
North America,USA,Atlantic_City,39.356,-74.436,364.64,39558,108.485,0,8,45,810,37.22,-0.871,0.743,-0.051,Yes,Yes,No,0.431
North America,USA,Baltimore,39.29,-76.612,1230.45,620862,504.581,173,5,39,584,51.35,0.187,0.199,0.197,No,No,No,0.216
North America,Canada,Barrie,44.389,-79.686,69.6,145614,2092.155,0,5,25,488,8.1,0.373,-0.128,-0.214,No,No,No,0.307
North America,USA,Baton_Rouge,30.448,-91.189,604.59,229422,379.467,61,2,45,886,26.61,3.895,-1.569,-1.224,Yes,Yes,Yes,0.82
Asia,China,Beijing,39.904,116.407,6142.22,16704306,2719.588,763,5,24,515,16.42,-1.668,0.225,0.652,Yes,No,Yes,0.61
Europe,Germany,Berlin,52.514,13.393,1139.9,3644826,3197.496,227,6,34,528,21.41,1.039,-0.319,-0.766,Yes,No,Yes,0.17
Europe,Switzerland,Bern,46.948,7.447,56.34,133883,2376.34,0,6,40,687,8.7,-0.271,0.067,0.116,No,No,No,0.539
South America,Colombia,Bogota,4.627,-74.107,431.6,7387400,17116.311,116,3,40,671,24.72,0.839,-1.087,-0.152,Yes,Yes,No,0.391
North America,USA,Boston,42.357,-71.056,789.01,617786,782.989,167,6,44,876,43.28,0.759,0.533,-0.562,Yes,No,Yes,0.197
North America,Canada,Bradford,44.114,-79.565,12.33,29862,2421.898,0,4,20,399,6.31,-0.096,-0.097,0.072,No,No,No,0.263
North America,Canada,Brantford,43.139,-80.264,49.09,98179,1999.98,0,8,27,535,8.15,0.449,-0.374,-0.421,No,No,No,0.323
Europe,UK,Brighton,50.822,-0.137,94.67,244329,2580.849,124,5,40,722,8.84,1.422,-1.13,-1.333,Yes,Yes,Yes,0.47
Europe,Belgium,Brussels,50.846,4.356,281.52,157673,560.077,191,8,30,553,14.02,0.629,0.06,0.27,Yes,No,No,0.361
South America,Argentina,Buenos_Aires,-34.604,-58.382,2356.31,13588171,5766.716,156,2,45,827,73.44,0.015,0.22,0.271,No,No,No,0.748
North America,USA,Burlington,44.476,-73.214,101.13,42899,424.197,0,2,50,727,18.74,-0.868,0.778,0.483,Yes,Yes,No,0.568
North America,Canada,Calgary,51.047,-114.072,625.23,1237656,1979.521,67,3,40,571,34.29,1.168,0.774,-0.563,Yes,No,No,0.142
Europe,UK,Cambridge,52.205,0.122,43.43,145818,3357.541,0,5,40,754,8.82,2.164,-1.516,-1.358,Yes,Yes,Yes,0.308
Oceania,Australia,Canberra,-35.308,149.124,326.91,432141,1321.896,49,3,40,697,9.94,-0.056,-0.047,0.141,No,No,No,0.736
Africa,South Africa,Cape_Town,-33.925,18.424,684.07,3430992,5015.557,119,3,20,336,38.74,0.851,-1.265,-1.168,No,Yes,Yes,0.813
North America,USA,Charlotte,35.227,-80.844,1448.68,753692,520.261,68,4,40,588,39.81,0.049,-0.507,-0.166,No,No,No,0.338
North America,Canada,Charlottetown,46.235,-63.127,38.22,44739,1170.565,0,1,45,891,14.31,0.135,-0.235,-0.159,No,No,No,0.359
North America,USA,Chicago,41.878,-87.63,5366.15,2695624,502.339,158,5,45,664,61.59,0.9,-0.339,-0.625,Yes,No,Yes,0.233
Oceania,New Zealand,Christchurch,-43.532,172.636,181.67,374100,2059.228,74,1,39,743,27.01,1.889,-2.057,-1.162,Yes,Yes,Yes,0.617
North America,USA,Cincinnati,39.103,-84.512,1793.38,296893,165.549,162,3,40,588,50.81,0.237,-0.035,-0.492,No,No,No,0.207
North America,USA,Cleveland,41.499,-81.694,2179.6,396629,181.973,142,4,40,594,44.59,0.474,-0.429,-0.193,No,No,No,0.269
North America,Canada,Cobourg,43.96,-78.165,15.99,19031,1190.181,0,3,27,537,6.17,-0.091,0.273,-0.207,No,No,No,0.206
Europe,Germany,Cologne,50.941,6.96,434.41,1085664,2499.169,162,7,28,409,20.87,0.217,-0.401,-0.292,No,No,No,0.404
South America,Brazil,Curitiba,-25.433,-49.272,707.95,1893997,2675.326,112,4,35,606,36.6,-0.341,0.224,0.354,No,No,No,0.762
North America,USA,Denver,39.745,-104.99,1704.65,599815,351.87,118,4,43,811,57.5,-0.135,0.981,0.149,No,Yes,No,0.203
North America,USA,Detroit,42.333,-83.048,2776.49,713885,257.118,136,5,40,593,59.86,0.238,-0.239,0.187,No,No,No,0.32
North America,Canada,Edmonton,53.544,-113.491,605.8,1062643,1754.115,70,4,44,788,22.68,0.414,0.099,0.11,No,No,No,0.169
North America,Canada,Elmira,43.6,-80.558,6.12,10161,1660.294,0,7,20,385,2.61,-0.383,0.476,NA,No,No,NA,0.388
North America,Canada,Everett,44.19,-79.937,1.37,1670,1218.978,0,5,20,399,3.77,0.673,-1.027,-0.313,No,Yes,No,0.273
North America,USA,Fairbanks,64.838,-147.716,81.93,31535,384.902,0,1,40,799,8.68,0.287,-0.448,-0.12,No,No,No,0.096
North America,Canada,Fergus,43.704,-80.38,8.81,20767,2357.208,0,7,20,415,7.94,1.227,-0.788,-0.915,Yes,Yes,Yes,0.447
North America,USA,Fort_Collins,40.588,-105.076,201.39,144855,719.276,0,4,23,318,4.9,0.492,-1.113,-0.672,No,No,No,0.146
Europe,Germany,Frankfurt,50.111,8.682,624.61,753056,1205.642,155,8,41,647,16.79,1.192,-0.471,-1.187,Yes,No,Yes,0.364
North America,Canada,Fredericton,45.962,-66.644,57.97,59405,1024.754,0,1,40,800,11.71,0.149,-0.34,0.833,No,No,No,0.166
North America,USA,Freehold,40.26,-74.274,107.92,12052,111.675,0,7,47,926,15.63,-1.098,0.765,0.966,Yes,Yes,Yes,0.166
North America,Canada,Georgetown,43.651,-79.899,16.85,42123,2499.881,0,8,20,439,6.44,0.671,-0.253,-0.693,No,No,Yes,0.346
Europe,Belgium,Ghent,51.054,3.725,138.97,243366,1751.212,147,9,40,664,9.3,1.333,-0.768,-0.756,Yes,Yes,Yes,0.189
Europe,UK,Glasgow,55.866,-4.257,448.82,999300,2226.505,201,4,40,465,24.65,-1.009,0.877,0.687,Yes,Yes,Yes,0.332
North America,Canada,Guelph,43.545,-80.248,63.75,132397,2076.816,0,9,20,414,8.44,1.433,-1.597,-1.218,Yes,Yes,Yes,0.315
North America,Canada,Halifax,44.649,-63.575,146.8,316701,2157.364,72,2,40,744,23.29,0.445,-0.131,-0.727,No,No,No,0.102
Europe,Germany,Halle,51.483,11.971,83.29,239257,2872.578,125,5,40,741,10.04,1.214,-1.359,-0.671,Yes,Yes,Yes,0.266
Europe,Finland,Helsinki,60.17,24.938,388.83,648042,1666.646,108,4,40,663,23.94,-0.056,0.452,0.271,No,No,No,0.084
North America,USA,Hempstead,40.706,-73.626,370.02,53891,145.643,0,6,39,577,12.75,1.446,-1.236,-0.83,Yes,Yes,Yes,0.191
Asia,Japan,Hiroshima,34.385,132.455,476.36,1194034,2506.579,109,3,45,883,36.11,-0.043,0.947,0.759,No,Yes,Yes,0.296
North America,USA,Houston,29.759,-95.368,3597.93,2093615,581.894,99,3,43,750,71.15,2.748,-1.318,-2.043,Yes,Yes,Yes,0.907
North America,USA,Indianapolis,39.768,-86.158,1294.87,820436,633.605,123,5,50,974,24.37,0.39,-0.084,0.334,No,No,No,0.119
North America,USA,Jacksonville,30.326,-81.657,1219.62,821764,673.787,85,3,35,500,40.31,3.04,-1.77,-2.264,Yes,Yes,Yes,0.872
North America,USA,Kalamazoo,42.29,-85.585,180.7,74262,410.968,0,4,40,776,8.27,0.027,-0.343,-0.108,No,No,No,0.249
North America,Canada,Kingston,44.23,-76.481,64.92,117660,1812.384,0,2,27,461,7.03,0.709,-0.121,-0.216,No,No,No,0.24
Asia,China,Kunming,25.037,102.717,880.35,3385363,3845.474,105,6,50,800,18.74,-0.439,0.682,0.692,No,Yes,Yes,0.535
Asia,Japan,Kyoto,35.004,135.76,3406.11,1475183,433.099,1170,8,44,859,23.16,-1.027,0.576,0.447,Yes,Yes,No,0.285
North America,USA,La_Verne,34.101,-117.768,82.28,31063,377.528,0,6,40,600,5.84,0.662,-0.367,-0.472,Yes,No,Yes,0.19
North America,USA,Lake_Charles,30.227,-93.217,236.1,71993,304.926,0,1,40,742,28.79,0.855,-2.059,-1.799,No,Yes,Yes,0.817
Europe,Germany,Landshut,48.536,12.152,30.11,63544,2110.395,0,7,50,952,9.36,-0.356,0.422,0.313,No,No,No,0.211
North America,USA,Lansing,42.734,-84.555,279.43,114253,408.879,0,3,40,685,15.37,-0.046,-0.199,0.111,No,No,No,0.184
Asia,China,Lanzhou,36.058,103.826,245.24,2438595,9943.708,83,4,38,570,32.81,-0.503,0.113,1.093,Yes,No,Yes,0.57
South America,Ecuador,Latacunga,-0.934,-78.615,15.84,63842,4030.429,0,3,40,606,27.32,1.084,-2.161,-0.722,Yes,Yes,Yes,0.334
Europe,Netherlands,Leiden,52.161,4.49,72.12,270225,3746.88,214,8,38,699,6.8,1.873,-1.614,-1.196,Yes,Yes,Yes,0.123
Europe,Belgium,Leuven,50.88,4.701,42.91,95463,2224.726,0,8,32,600,8.64,0.475,-0.757,-0.432,No,Yes,No,0.297
Europe,Sweden,Linkoping,58.412,15.622,41.36,116368,2813.54,0,2,44,854,11.43,4.106,-4.176,-1.318,Yes,Yes,Yes,0.085
Europe,Portugal,Lisbon,38.711,-9.128,409.62,552700,1349.299,386,6,47,905,22.89,-1.959,3.086,2.149,Yes,Yes,Yes,0.786
North America,USA,Little_Rock,34.745,-92.275,435.75,193490,444.039,43,3,35,620,14.17,1.827,-0.929,1.225,Yes,Yes,Yes,0.359
South America,Ecuador,Loja,-3.998,-79.202,25.58,170280,6656.763,20,1,40,800,7.44,1.113,-0.614,-1.224,Yes,Yes,Yes,0.175
North America,Canada,London,42.984,-81.248,196.42,383437,1952.128,62,2,40,840,16.55,-0.103,0.317,-0.16,No,No,No,0.289
North America,USA,Los_Angeles,34.05,-118.255,5378.66,3792820,705.161,118,6,42,791,41.13,0.544,-0.561,0.22,Yes,No,No,0.437
North America,USA,Louisville,38.257,-85.757,849.9,595386,700.537,142,3,46,749,40.07,-0.224,0.41,-0.023,No,No,No,0.178
North America,USA,Madison,43.075,-89.384,247.36,233163,942.606,55,4,50,990,15.41,0.516,-0.252,-0.246,No,No,No,0.129
Europe,UK,Manchester,53.481,-2.243,647.75,510746,788.492,202,11,40,782,32.44,0.895,-0.372,-0.901,Yes,No,Yes,0.355
South America,Colombia,Medellin,6.25,-75.566,176.89,2382399,13468.251,97,2,40,714,16.7,-3.45,-0.133,-2.694,Yes,No,Yes,0.032
Oceania,Australia,Melbourne,-37.814,144.963,1903.15,4196201,2204.871,155,4,31,493,52.44,1.33,0.201,-0.637,Yes,No,Yes,0.59
North America,USA,Memphis,35.149,-90.052,898.09,651885,725.857,104,3,50,901,18.2,1.81,-1.096,-1.665,Yes,Yes,Yes,0.401
North America,Mexico,Mexico_City,19.433,-99.133,1579.06,8421000,5332.92,205,4,33,648,28.33,-0.152,-1.634,0.453,No,Yes,No,0.774
North America,USA,Minneapolis,44.977,-93.265,1442.55,382603,265.227,131,4,44,653,51,0.944,-1.08,-0.045,No,No,No,0.053
North America,Canada,Moncton,46.089,-64.776,85.71,108620,1267.297,0,1,40,756,8.99,0.082,-0.243,-0.136,No,No,No,0.126
North America,Canada,Montreal,45.502,-73.567,1048.97,1782844,1699.614,152,5,49,969,39.17,-0.225,0.457,-0.133,No,Yes,No,0.447
North America,Mexico,Morelia,19.703,-101.195,130.19,901782,6926.661,52,1,40,457,10.81,1.251,-1.917,-0.46,Yes,Yes,No,0.495
Europe,Germany,Muenster,51.962,7.625,65.07,314319,4830.475,86,10,40,765,9.87,2.853,-3.819,-2.224,Yes,Yes,Yes,0.26
Europe,Germany,Munich,48.135,11.582,401.94,1471508,3661.014,161,3,51,1001,19.65,0.513,-0.268,-0.117,Yes,No,No,0.286
North America,Canada,New_Tecumseth,44.154,-79.869,10.36,18809,1815.541,0,5,20,401,4.94,-0.395,-0.633,0.491,No,No,No,0.312
North America,USA,New_York,40.731,-73.987,3296.97,8174988,2479.546,201,7,48,946,46.52,1.151,-0.721,-0.146,Yes,Yes,No,0.192
Oceania,Australia,Newcastle,-32.928,151.782,194.25,322279,1659.094,73,3,45,751,21.5,1.286,-0.86,-0.365,Yes,Yes,No,0.541
NA,NA,Newhaven,NA,NA,213.57,129884,608.157,0,8,40,794,17.5,0.854,-0.734,-0.584,Yes,No,Yes,0.218
North America,USA,Norfolk,36.846,-76.289,703.07,242827,345.381,79,2,40,585,35.52,1.44,-1.412,-1.2,Yes,Yes,Yes,0.395
Europe,Sweden,Norrtalje,59.76,18.701,8.49,56080,6605.418,0,2,36,620,6.49,-0.274,0.175,-0.501,No,No,No,0.136
North America,Canada,North_Bay,46.309,-79.461,40.2,50396,1253.632,0,1,45,674,17.43,-0.163,0.179,-0.021,No,No,No,0.291
North America,Canada,Orangeville,43.919,-80.097,18.82,30734,1633.05,0,4,30,600,6.38,0.257,0.052,-0.034,No,No,No,0.365
North America,Canada,Ottawa,45.422,-75.697,401.57,989567,2464.245,100,3,40,563,14.25,0.129,0.874,-0.414,No,Yes,No,0.285
Oceania,New Zealand,Palmerston_North,-40.356,175.611,36.89,75400,2043.914,0,1,40,732,7.61,2.596,-1.695,-0.202,Yes,Yes,No,0.738
Europe,France,Paris,48.857,2.352,1751.72,2187526,1248.787,780,3,49,933,32.84,-0.227,0.202,0.576,No,No,Yes,0.639
Oceania,Australia,Parramata,-33.815,151.001,NA,NA,NA,NA,NA,40,502,28.63,4.633,-3.92,-3.781,Yes,Yes,Yes,0.562
North America,USA,Philadelphia,39.951,-75.166,2424.4,1526009,629.438,179,5,40,588,52.9,-0.211,0.223,0.211,No,No,No,0.199
North America,USA,Pittsburgh,40.441,-80.003,1199.77,305376,254.529,141,2,40,590,50.69,0.385,-0.441,-0.456,No,No,No,0.221
North America,Canada,Port_Hope,43.952,-78.294,10.31,12587,1220.854,0,2,25,505,4.6,0.767,-0.766,0.623,Yes,Yes,Yes,0.259
North America,USA,Portland,45.516,-122.681,NA,NA,NA,NA,NA,40,548,45.91,0.017,0.018,-0.282,No,No,No,0.184
North America,USA,Portlandme,43.657,-70.253,NA,NA,NA,NA,NA,40,794,12.91,-0.111,-0.034,-0.049,No,No,No,0.165
North America,USA,Providence,41.824,-71.413,596.25,177844,298.271,126,5,43,682,17.31,0.783,-0.756,-0.944,Yes,Yes,Yes,0.188
South America,Chile,Punta_Arenas,-53.163,-70.908,24.45,124169,5078.487,0,1,42,839,23.27,0.992,-0.912,-0.442,Yes,Yes,No,0.666
North America,Canada,Quebec_City,46.814,-71.206,360.06,705103,1958.293,93,1,42,761,23.19,0.181,-0.031,-0.282,No,No,No,0.412
South America,Ecuador,Quito,-0.187,-78.48,498.68,1607734,3223.979,89,1,41,754,23.06,0.516,0.77,1.332,No,No,Yes,0.123
North America,USA,Raleigh,35.775,-78.64,1281.85,404073,315.226,40,3,40,638,28.64,0.239,-0.681,0.14,No,Yes,No,0.404
