city,population,plant,plate_no,population_latitude,population_longitude,habitat_type,hcn_result
Albuquerque,1,1,1,35.083,-106.615,Urban,1
Albuquerque,1,2,1,35.083,-106.615,Urban,0
Albuquerque,1,3,1,35.083,-106.615,Urban,0
Albuquerque,1,4,1,35.083,-106.615,Urban,0
Albuquerque,1,5,1,35.083,-106.615,Urban,0
Albuquerque,1,6,1,35.083,-106.615,Urban,0
Albuquerque,1,7,1,35.083,-106.615,Urban,0
Albuquerque,1,8,1,35.083,-106.615,Urban,0
Albuquerque,1,9,1,35.083,-106.615,Urban,1
Albuquerque,1,10,1,35.083,-106.615,Urban,0
Albuquerque,1,11,1,35.083,-106.615,Urban,0
Albuquerque,1,12,1,35.083,-106.615,Urban,0
Albuquerque,1,13,1,35.083,-106.615,Urban,0
Albuquerque,1,14,1,35.083,-106.615,Urban,1
Albuquerque,1,15,1,35.083,-106.615,Urban,0
Albuquerque,1,16,1,35.083,-106.615,Urban,0
Albuquerque,1,17,1,35.083,-106.615,Urban,0
Albuquerque,1,18,1,35.083,-106.615,Urban,1
Albuquerque,1,19,1,35.083,-106.615,Urban,0
Albuquerque,1,20,1,35.083,-106.615,Urban,0
Albuquerque,2,1,1,35.086,-106.619,Urban,0
Albuquerque,2,2,1,35.086,-106.619,Urban,0
Albuquerque,2,3,1,35.086,-106.619,Urban,0
Albuquerque,2,4,1,35.086,-106.619,Urban,0
Albuquerque,2,5,1,35.086,-106.619,Urban,0
Albuquerque,2,6,1,35.086,-106.619,Urban,0
Albuquerque,2,7,1,35.086,-106.619,Urban,0
Albuquerque,2,8,1,35.086,-106.619,Urban,1
Albuquerque,2,9,1,35.086,-106.619,Urban,0
Albuquerque,2,10,1,35.086,-106.619,Urban,0
Albuquerque,2,11,1,35.086,-106.619,Urban,0
Albuquerque,2,12,1,35.086,-106.619,Urban,0
Albuquerque,2,13,1,35.086,-106.619,Urban,0
Albuquerque,2,14,1,35.086,-106.619,Urban,1
Albuquerque,2,15,1,35.086,-106.619,Urban,0
Albuquerque,2,16,1,35.086,-106.619,Urban,0
Albuquerque,2,17,1,35.086,-106.619,Urban,1
Albuquerque,2,18,1,35.086,-106.619,Urban,0
Albuquerque,2,19,1,35.086,-106.619,Urban,0
Albuquerque,2,20,1,35.086,-106.619,Urban,0
Albuquerque,3,1,2,35.092,-106.62100000000001,Urban,0
Albuquerque,3,2,2,35.092,-106.62100000000001,Urban,1
Albuquerque,3,3,2,35.092,-106.62100000000001,Urban,1
Albuquerque,3,4,2,35.092,-106.62100000000001,Urban,0
Albuquerque,3,5,2,35.092,-106.62100000000001,Urban,0
Albuquerque,3,6,2,35.092,-106.62100000000001,Urban,0
Albuquerque,3,7,2,35.092,-106.62100000000001,Urban,0
Albuquerque,3,8,2,35.092,-106.62100000000001,Urban,0
Albuquerque,3,9,2,35.092,-106.62100000000001,Urban,0
Albuquerque,3,10,2,35.092,-106.62100000000001,Urban,1
Albuquerque,3,11,2,35.092,-106.62100000000001,Urban,0
Albuquerque,3,12,2,35.092,-106.62100000000001,Urban,1
Albuquerque,3,13,2,35.092,-106.62100000000001,Urban,1
Albuquerque,3,14,2,35.092,-106.62100000000001,Urban,0
Albuquerque,3,15,2,35.092,-106.62100000000001,Urban,0
Albuquerque,3,16,2,35.092,-106.62100000000001,Urban,0
Albuquerque,3,17,2,35.092,-106.62100000000001,Urban,0
Albuquerque,3,18,2,35.092,-106.62100000000001,Urban,1
Albuquerque,3,19,2,35.092,-106.62100000000001,Urban,1
Albuquerque,3,20,2,35.092,-106.62100000000001,Urban,0
Albuquerque,4,1,2,35.099000000000004,-106.6345,Urban,0
Albuquerque,4,2,2,35.099000000000004,-106.6345,Urban,1
Albuquerque,4,3,2,35.099000000000004,-106.6345,Urban,0
Albuquerque,4,4,2,35.099000000000004,-106.6345,Urban,0
Albuquerque,4,5,2,35.099000000000004,-106.6345,Urban,0
Albuquerque,4,6,2,35.099000000000004,-106.6345,Urban,0
Albuquerque,4,7,2,35.099000000000004,-106.6345,Urban,0
Albuquerque,4,8,2,35.099000000000004,-106.6345,Urban,1
