city,population,plant,plate_no,population_latitude,population_longitude,habitat_type,hcn_result
Boston,1,1,,41.9617745,-71.0676444,,1
Boston,1,2,,41.9617745,-71.0676444,,0
Boston,1,3,,41.9617745,-71.0676444,,1
Boston,1,4,,41.9617745,-71.0676444,,1
Boston,1,5,,41.9617745,-71.0676444,,0
Boston,1,6,,41.9617745,-71.0676444,,0
Boston,1,7,,41.9617745,-71.0676444,,0
Boston,1,8,,41.9617745,-71.0676444,,0
Boston,1,9,,41.9617745,-71.0676444,,1
Boston,1,10,,41.9617745,-71.0676444,,0
Boston,1,11,,41.9617745,-71.0676444,,1
Boston,1,12,,41.9617745,-71.0676444,,0
Boston,1,13,,41.9617745,-71.0676444,,0
Boston,1,14,,41.9617745,-71.0676444,,0
Boston,1,15,,41.9617745,-71.0676444,,0
Boston,1,16,,41.9617745,-71.0676444,,0
Boston,1,17,,41.9617745,-71.0676444,,1
Boston,1,18,,41.9617745,-71.0676444,,1
Boston,10,1,,42.0481398,-71.0819286,,0
Boston,10,2,,42.0481398,-71.0819286,,0
Boston,10,3,,42.0481398,-71.0819286,,1
Boston,10,4,,42.0481398,-71.0819286,,0
Boston,10,5,,42.0481398,-71.0819286,,0
Boston,10,6,,42.0481398,-71.0819286,,0
Boston,10,7,,42.0481398,-71.0819286,,0
Boston,10,8,,42.0481398,-71.0819286,,0
Boston,10,9,,42.0481398,-71.0819286,,0
Boston,10,10,,42.0481398,-71.0819286,,0
Boston,10,11,,42.0481398,-71.0819286,,1
Boston,10,12,,42.0481398,-71.0819286,,1
Boston,10,13,,42.0481398,-71.0819286,,0
Boston,10,14,,42.0481398,-71.0819286,,0
Boston,10,15,,42.0481398,-71.0819286,,0
Boston,10,16,,42.0481398,-71.0819286,,0
Boston,10,17,,42.0481398,-71.0819286,,0
Boston,10,18,,42.0481398,-71.0819286,,0
Boston,10,19,,42.0481398,-71.0819286,,0
Boston,10,20,,42.0481398,-71.0819286,,0
Boston,11,1,,42.05979979999999,-71.08530440000001,,0
Boston,11,2,,42.05979979999999,-71.08530440000001,,0
Boston,11,3,,42.05979979999999,-71.08530440000001,,1
Boston,11,4,,42.05979979999999,-71.08530440000001,,0
Boston,11,5,,42.05979979999999,-71.08530440000001,,0
Boston,11,6,,42.05979979999999,-71.08530440000001,,0
Boston,11,7,,42.05979979999999,-71.08530440000001,,0
Boston,11,8,,42.05979979999999,-71.08530440000001,,0
Boston,11,9,,42.05979979999999,-71.08530440000001,,1
Boston,11,10,,42.05979979999999,-71.08530440000001,,0
Boston,11,11,,42.05979979999999,-71.08530440000001,,0
Boston,11,12,,42.05979979999999,-71.08530440000001,,0
Boston,11,13,,42.05979979999999,-71.08530440000001,,0
Boston,11,14,,42.05979979999999,-71.08530440000001,,0
Boston,11,15,,42.05979979999999,-71.08530440000001,,0
Boston,11,16,,42.05979979999999,-71.08530440000001,,0
Boston,11,17,,42.05979979999999,-71.08530440000001,,0
Boston,11,18,,42.05979979999999,-71.08530440000001,,0
Boston,11,19,,42.05979979999999,-71.08530440000001,,0
Boston,11,20,,42.05979979999999,-71.08530440000001,,0
Boston,12,1,,42.066956,-71.086773,,0
Boston,12,2,,42.066956,-71.086773,,0
Boston,12,3,,42.066956,-71.086773,,1
Boston,12,4,,42.066956,-71.086773,,0
Boston,12,5,,42.066956,-71.086773,,1
Boston,12,6,,42.066956,-71.086773,,1
Boston,12,7,,42.066956,-71.086773,,1
Boston,12,8,,42.066956,-71.086773,,0
Boston,12,9,,42.066956,-71.086773,,0
Boston,12,10,,42.066956,-71.086773,,0
Boston,12,11,,42.066956,-71.086773,,0
