city,population,plant,plate_no,population_latitude,population_longitude,habitat_type,hcn_result
Brussels,1,1,1,50.844739000000004,4.361957,Urban,0
Brussels,1,2,1,50.844739000000004,4.361957,Urban,0
Brussels,1,3,1,50.844739000000004,4.361957,Urban,1
Brussels,1,4,1,50.844739000000004,4.361957,Urban,1
Brussels,1,5,1,50.844739000000004,4.361957,Urban,1
Brussels,1,6,1,50.844739000000004,4.361957,Urban,0
Brussels,1,7,1,50.844739000000004,4.361957,Urban,0
Brussels,1,8,1,50.844739000000004,4.361957,Urban,1
Brussels,1,9,1,50.844739000000004,4.361957,Urban,0
Brussels,1,10,1,50.844739000000004,4.361957,Urban,1
Brussels,1,11,1,50.844739000000004,4.361957,Urban,0
Brussels,1,12,1,50.844739000000004,4.361957,Urban,0
Brussels,1,13,1,50.844739000000004,4.361957,Urban,0
Brussels,1,14,1,50.844739000000004,4.361957,Urban,0
Brussels,1,15,1,50.844739000000004,4.361957,Urban,0
Brussels,1,16,1,50.844739000000004,4.361957,Urban,1
Brussels,2,1,1,50.84065,4.365076999999999,Urban,0
Brussels,2,2,1,50.84065,4.365076999999999,Urban,0
Brussels,2,3,1,50.84065,4.365076999999999,Urban,0
Brussels,2,4,1,50.84065,4.365076999999999,Urban,0
Brussels,2,5,1,50.84065,4.365076999999999,Urban,0
Brussels,2,6,1,50.84065,4.365076999999999,Urban,1
Brussels,2,7,1,50.84065,4.365076999999999,Urban,0
Brussels,2,8,1,50.84065,4.365076999999999,Urban,0
Brussels,2,9,1,50.84065,4.365076999999999,Urban,0
Brussels,2,10,1,50.84065,4.365076999999999,Urban,0
Brussels,2,11,1,50.84065,4.365076999999999,Urban,0
Brussels,2,12,1,50.84065,4.365076999999999,Urban,1
Brussels,2,13,1,50.84065,4.365076999999999,Urban,1
Brussels,2,14,1,50.84065,4.365076999999999,Urban,1
Brussels,2,15,1,50.84065,4.365076999999999,Urban,0
Brussels,2,16,1,50.84065,4.365076999999999,Urban,1
Brussels,2,17,1,50.84065,4.365076999999999,Urban,1
Brussels,2,18,1,50.84065,4.365076999999999,Urban,0
Brussels,2,19,1,50.84065,4.365076999999999,Urban,0
Brussels,2,20,1,50.84065,4.365076999999999,Urban,0
Brussels,3,1,2,50.840156,4.369757,Urban,0
Brussels,3,2,2,50.840156,4.369757,Urban,0
Brussels,3,3,2,50.840156,4.369757,Urban,0
Brussels,3,4,2,50.840156,4.369757,Urban,1
Brussels,3,5,2,50.840156,4.369757,Urban,0
Brussels,3,6,2,50.840156,4.369757,Urban,0
Brussels,3,7,2,50.840156,4.369757,Urban,0
Brussels,3,8,2,50.840156,4.369757,Urban,0
Brussels,3,9,2,50.840156,4.369757,Urban,1
Brussels,3,10,2,50.840156,4.369757,Urban,0
Brussels,3,11,2,50.840156,4.369757,Urban,0
Brussels,3,12,2,50.840156,4.369757,Urban,0
Brussels,3,13,2,50.840156,4.369757,Urban,0
Brussels,3,14,2,50.840156,4.369757,Urban,0
Brussels,3,15,2,50.840156,4.369757,Urban,0
Brussels,3,16,2,50.840156,4.369757,Urban,0
Brussels,3,17,2,50.840156,4.369757,Urban,0
Brussels,3,18,2,50.840156,4.369757,Urban,0
Brussels,3,19,2,50.840156,4.369757,Urban,0
Brussels,3,20,2,50.840156,4.369757,Urban,0
Brussels,4,1,2,50.84336,4.371505,Urban,0
Brussels,4,2,2,50.84336,4.371505,Urban,1
Brussels,4,3,2,50.84336,4.371505,Urban,0
Brussels,4,4,2,50.84336,4.371505,Urban,1
Brussels,4,5,2,50.84336,4.371505,Urban,0
Brussels,4,6,2,50.84336,4.371505,Urban,0
Brussels,4,7,2,50.84336,4.371505,Urban,1
Brussels,4,8,2,50.84336,4.371505,Urban,0
Brussels,4,9,2,50.84336,4.371505,Urban,0
Brussels,4,10,2,50.84336,4.371505,Urban,1
Brussels,4,11,2,50.84336,4.371505,Urban,1
Brussels,4,12,2,50.84336,4.371505,Urban,1
Brussels,4,13,2,50.84336,4.371505,Urban,0
Brussels,4,14,2,50.84336,4.371505,Urban,0
Brussels,4,15,2,50.84336,4.371505,Urban,0
Brussels,4,16,2,50.84336,4.371505,Urban,0
Brussels,4,17,2,50.84336,4.371505,Urban,1
Brussels,4,18,2,50.84336,4.371505,Urban,0
Brussels,4,19,2,50.84336,4.371505,Urban,0
Brussels,4,20,2,50.84336,4.371505,Urban,0
Brussels,5,1,3,50.840314,4.378325,Urban,1
Brussels,5,2,3,50.840314,4.378325,Urban,0
Brussels,5,3,3,50.840314,4.378325,Urban,0
Brussels,5,4,3,50.840314,4.378325,Urban,0
Brussels,5,5,3,50.840314,4.378325,Urban,0
Brussels,5,6,3,50.840314,4.378325,Urban,1
Brussels,5,7,3,50.840314,4.378325,Urban,0
Brussels,5,8,3,50.840314,4.378325,Urban,0
Brussels,5,9,3,50.840314,4.378325,Urban,0
Brussels,5,10,3,50.840314,4.378325,Urban,0
Brussels,5,11,3,50.840314,4.378325,Urban,0
Brussels,5,12,3,50.840314,4.378325,Urban,1
Brussels,5,13,3,50.840314,4.378325,Urban,0
Brussels,5,14,3,50.840314,4.378325,Urban,1
Brussels,5,15,3,50.840314,4.378325,Urban,1
Brussels,5,16,3,50.840314,4.378325,Urban,0
Brussels,5,17,3,50.840314,4.378325,Urban,1
Brussels,5,18,3,50.840314,4.378325,Urban,0
Brussels,6,1,3,50.837272,4.378541,Urban,0
Brussels,6,2,3,50.837272,4.378541,Urban,0
Brussels,6,3,3,50.837272,4.378541,Urban,0
Brussels,6,4,3,50.837272,4.378541,Urban,0
Brussels,6,5,3,50.837272,4.378541,Urban,0
Brussels,6,6,3,50.837272,4.378541,Urban,1
Brussels,6,7,3,50.837272,4.378541,Urban,0
Brussels,6,8,3,50.837272,4.378541,Urban,0
Brussels,6,9,3,50.837272,4.378541,Urban,0
Brussels,6,10,3,50.837272,4.378541,Urban,1
Brussels,6,11,3,50.837272,4.378541,Urban,0
Brussels,6,12,3,50.837272,4.378541,Urban,0
Brussels,6,13,3,50.837272,4.378541,Urban,1
Brussels,6,14,3,50.837272,4.378541,Urban,0
Brussels,6,15,3,50.837272,4.378541,Urban,0
Brussels,6,16,3,50.837272,4.378541,Urban,0
Brussels,6,17,3,50.837272,4.378541,Urban,0
Brussels,6,18,3,50.837272,4.378541,Urban,1
Brussels,6,19,3,50.837272,4.378541,Urban,1
Brussels,6,20,3,50.837272,4.378541,Urban,0
Brussels,7,1,4,50.834818,4.373781,Urban,0
Brussels,7,2,4,50.834818,4.373781,Urban,0
Brussels,7,3,4,50.834818,4.373781,Urban,0
Brussels,7,4,4,50.834818,4.373781,Urban,0
Brussels,7,5,4,50.834818,4.373781,Urban,0
Brussels,7,6,4,50.834818,4.373781,Urban,0
Brussels,7,7,4,50.834818,4.373781,Urban,1
Brussels,7,8,4,50.834818,4.373781,Urban,1
Brussels,7,9,4,50.834818,4.373781,Urban,0
Brussels,7,10,4,50.834818,4.373781,Urban,0
Brussels,7,11,4,50.834818,4.373781,Urban,0
Brussels,7,12,4,50.834818,4.373781,Urban,1
Brussels,7,13,4,50.834818,4.373781,Urban,1
Brussels,8,1,4,50.822902,4.390344,Urban,0
Brussels,8,2,4,50.822902,4.390344,Urban,1
Brussels,8,3,4,50.822902,4.390344,Urban,0
Brussels,8,4,4,50.822902,4.390344,Urban,1
Brussels,8,5,4,50.822902,4.390344,Urban,0
Brussels,8,6,4,50.822902,4.390344,Urban,1
Brussels,8,7,4,50.822902,4.390344,Urban,0
Brussels,8,8,4,50.822902,4.390344,Urban,0
Brussels,8,9,4,50.822902,4.390344,Urban,0
Brussels,8,10,4,50.822902,4.390344,Urban,0
Brussels,8,11,4,50.822902,4.390344,Urban,0
Brussels,8,12,4,50.822902,4.390344,Urban,1
Brussels,8,13,4,50.822902,4.390344,Urban,0
Brussels,8,14,4,50.822902,4.390344,Urban,0
Brussels,8,15,4,50.822902,4.390344,Urban,1
Brussels,8,16,4,50.822902,4.390344,Urban,0
Brussels,8,17,4,50.822902,4.390344,Urban,0
Brussels,9,1,5,50.819922,4.394039,Urban,0
Brussels,9,2,5,50.819922,4.394039,Urban,0
Brussels,9,3,5,50.819922,4.394039,Urban,1
Brussels,9,4,5,50.819922,4.394039,Urban,0
Brussels,9,5,5,50.819922,4.394039,Urban,1
Brussels,9,6,5,50.819922,4.394039,Urban,0
Brussels,9,7,5,50.819922,4.394039,Urban,1
Brussels,9,8,5,50.819922,4.394039,Urban,0
Brussels,9,9,5,50.819922,4.394039,Urban,0
Brussels,9,10,5,50.819922,4.394039,Urban,1
Brussels,9,11,5,50.819922,4.394039,Urban,0
Brussels,9,12,5,50.819922,4.394039,Urban,0
Brussels,9,13,5,50.819922,4.394039,Urban,0
Brussels,9,14,5,50.819922,4.394039,Urban,0
Brussels,9,15,5,50.819922,4.394039,Urban,0
Brussels,9,16,5,50.819922,4.394039,Urban,0
Brussels,9,17,5,50.819922,4.394039,Urban,0
Brussels,9,18,5,50.819922,4.394039,Urban,0
Brussels,9,19,5,50.819922,4.394039,Urban,0
