city,population,plant,plate_no,population_latitude,population_longitude,habitat_type,hcn_result
Charlotte,1,1,,35.211203000000005,-80.866152,,0.0
Charlotte,1,2,,35.211203000000005,-80.866152,,0.0
Charlotte,1,3,,35.211203000000005,-80.866152,,0.0
Charlotte,1,4,,35.211203000000005,-80.866152,,0.0
Charlotte,1,5,,35.211203000000005,-80.866152,,0.0
Charlotte,1,6,,35.211203000000005,-80.866152,,0.0
Charlotte,1,7,,35.211203000000005,-80.866152,,1.0
Charlotte,1,8,,35.211203000000005,-80.866152,,1.0
Charlotte,1,9,,35.211203000000005,-80.866152,,0.0
Charlotte,1,10,,35.211203000000005,-80.866152,,0.0
Charlotte,1,11,,35.211203000000005,-80.866152,,0.0
Charlotte,1,12,,35.211203000000005,-80.866152,,0.0
Charlotte,1,13,,35.211203000000005,-80.866152,,1.0
Charlotte,1,14,,35.211203000000005,-80.866152,,0.0
Charlotte,1,15,,35.211203000000005,-80.866152,,1.0
Charlotte,10,1,,35.244372999999996,-80.86339,,0.0
Charlotte,10,2,,35.244372999999996,-80.86339,,1.0
Charlotte,10,3,,35.244372999999996,-80.86339,,0.0
Charlotte,10,4,,35.244372999999996,-80.86339,,0.0
Charlotte,10,5,,35.244372999999996,-80.86339,,0.0
Charlotte,10,6,,35.244372999999996,-80.86339,,0.0
Charlotte,10,7,,35.244372999999996,-80.86339,,0.0
Charlotte,10,8,,35.244372999999996,-80.86339,,0.0
Charlotte,10,9,,35.244372999999996,-80.86339,,1.0
Charlotte,10,10,,35.244372999999996,-80.86339,,0.0
Charlotte,10,11,,35.244372999999996,-80.86339,,0.0
Charlotte,10,12,,35.244372999999996,-80.86339,,0.0
Charlotte,10,13,,35.244372999999996,-80.86339,,0.0
Charlotte,10,14,,35.244372999999996,-80.86339,,0.0
Charlotte,10,15,,35.244372999999996,-80.86339,,0.0
Charlotte,11,1,,35.250674,-80.87001500000001,,0.0
Charlotte,11,2,,35.250674,-80.87001500000001,,0.0
Charlotte,11,3,,35.250674,-80.87001500000001,,0.0
Charlotte,11,4,,35.250674,-80.87001500000001,,0.0
Charlotte,11,5,,35.250674,-80.87001500000001,,0.0
Charlotte,11,6,,35.250674,-80.87001500000001,,1.0
Charlotte,11,7,,35.250674,-80.87001500000001,,0.0
Charlotte,11,8,,35.250674,-80.87001500000001,,1.0
Charlotte,11,9,,35.250674,-80.87001500000001,,0.0
Charlotte,11,10,,35.250674,-80.87001500000001,,1.0
Charlotte,11,11,,35.250674,-80.87001500000001,,1.0
Charlotte,11,12,,35.250674,-80.87001500000001,,1.0
Charlotte,11,13,,35.250674,-80.87001500000001,,1.0
Charlotte,11,14,,35.250674,-80.87001500000001,,0.0
Charlotte,11,15,,35.250674,-80.87001500000001,,0.0
Charlotte,12,1,,35.258284,-80.877585,,0.0
Charlotte,12,2,,35.258284,-80.877585,,1.0
Charlotte,12,3,,35.258284,-80.877585,,1.0
Charlotte,12,4,,35.258284,-80.877585,,0.0
Charlotte,12,5,,35.258284,-80.877585,,1.0
Charlotte,12,6,,35.258284,-80.877585,,0.0
Charlotte,12,7,,35.258284,-80.877585,,0.0
Charlotte,12,8,,35.258284,-80.877585,,0.0
Charlotte,12,9,,35.258284,-80.877585,,1.0
Charlotte,12,10,,35.258284,-80.877585,,1.0
Charlotte,12,11,,35.258284,-80.877585,,1.0
Charlotte,12,12,,35.258284,-80.877585,,0.0
Charlotte,12,13,,35.258284,-80.877585,,1.0
Charlotte,12,14,,35.258284,-80.877585,,0.0
Charlotte,12,15,,35.258284,-80.877585,,1.0
Charlotte,13,1,,35.265117,-80.883306,,1.0
Charlotte,13,2,,35.265117,-80.883306,,0.0
Charlotte,13,3,,35.265117,-80.883306,,0.0
Charlotte,13,4,,35.265117,-80.883306,,0.0
Charlotte,13,5,,35.265117,-80.883306,,1.0
Charlotte,13,6,,35.265117,-80.883306,,0.0
Charlotte,13,7,,35.265117,-80.883306,,0.0
Charlotte,13,8,,35.265117,-80.883306,,1.0
Charlotte,13,9,,35.265117,-80.883306,,1.0
Charlotte,13,10,,35.265117,-80.883306,,1.0
Charlotte,13,11,,35.265117,-80.883306,,0.0
Charlotte,13,12,,35.265117,-80.883306,,0.0
Charlotte,13,13,,35.265117,-80.883306,,0.0
Charlotte,13,14,,35.265117,-80.883306,,0.0
Charlotte,13,15,,35.265117,-80.883306,,0.0
Charlotte,14,1,,35.27386,-80.890796,,0.0
Charlotte,14,2,,35.27386,-80.890796,,1.0
Charlotte,14,3,,35.27386,-80.890796,,0.0
Charlotte,14,4,,35.27386,-80.890796,,1.0
Charlotte,14,5,,35.27386,-80.890796,,1.0
Charlotte,14,6,,35.27386,-80.890796,,0.0
Charlotte,14,7,,35.27386,-80.890796,,0.0
Charlotte,14,8,,35.27386,-80.890796,,0.0
Charlotte,14,9,,35.27386,-80.890796,,0.0
Charlotte,14,10,,35.27386,-80.890796,,0.0
Charlotte,14,11,,35.27386,-80.890796,,0.0
Charlotte,14,12,,35.27386,-80.890796,,0.0
Charlotte,14,13,,35.27386,-80.890796,,0.0
Charlotte,14,14,,35.27386,-80.890796,,0.0
