city,population,plant,plate_no,population_latitude,population_longitude,habitat_type,hcn_result
Cleveland,1,1,,41.507303,-81.69535400000001,,0
Cleveland,1,2,,41.507303,-81.69535400000001,,0
Cleveland,1,3,,41.507303,-81.69535400000001,,0
Cleveland,1,4,,41.507303,-81.69535400000001,,0
Cleveland,1,5,,41.507303,-81.69535400000001,,0
Cleveland,1,6,,41.507303,-81.69535400000001,,0
Cleveland,1,7,,41.507303,-81.69535400000001,,0
Cleveland,1,8,,41.507303,-81.69535400000001,,0
Cleveland,1,9,,41.507303,-81.69535400000001,,0
Cleveland,1,10,,41.507303,-81.69535400000001,,0
Cleveland,1,11,,41.507303,-81.69535400000001,,1
Cleveland,1,12,,41.507303,-81.69535400000001,,0
Cleveland,1,13,,41.507303,-81.69535400000001,,0
Cleveland,1,14,,41.507303,-81.69535400000001,,1
Cleveland,1,15,,41.507303,-81.69535400000001,,0
Cleveland,10,1,,41.49927,-81.60369200000001,,0
Cleveland,10,2,,41.49927,-81.60369200000001,,0
Cleveland,10,3,,41.49927,-81.60369200000001,,0
Cleveland,10,4,,41.49927,-81.60369200000001,,0
Cleveland,10,5,,41.49927,-81.60369200000001,,0
Cleveland,10,6,,41.49927,-81.60369200000001,,0
Cleveland,10,7,,41.49927,-81.60369200000001,,0
Cleveland,10,8,,41.49927,-81.60369200000001,,0
Cleveland,10,9,,41.49927,-81.60369200000001,,0
Cleveland,10,10,,41.49927,-81.60369200000001,,0
Cleveland,10,11,,41.49927,-81.60369200000001,,0
Cleveland,10,12,,41.49927,-81.60369200000001,,1
Cleveland,10,13,,41.49927,-81.60369200000001,,0
Cleveland,10,14,,41.49927,-81.60369200000001,,0
Cleveland,10,15,,41.49927,-81.60369200000001,,0
Cleveland,11,1,,41.500653,-81.59176,,0
Cleveland,11,2,,41.500653,-81.59176,,0
Cleveland,11,3,,41.500653,-81.59176,,0
Cleveland,11,4,,41.500653,-81.59176,,1
Cleveland,11,5,,41.500653,-81.59176,,0
Cleveland,11,6,,41.500653,-81.59176,,1
Cleveland,11,7,,41.500653,-81.59176,,1
Cleveland,11,8,,41.500653,-81.59176,,0
Cleveland,11,9,,41.500653,-81.59176,,0
Cleveland,11,10,,41.500653,-81.59176,,0
Cleveland,11,11,,41.500653,-81.59176,,0
Cleveland,11,12,,41.500653,-81.59176,,0
Cleveland,11,13,,41.500653,-81.59176,,0
Cleveland,11,14,,41.500653,-81.59176,,0
Cleveland,11,15,,41.500653,-81.59176,,0
Cleveland,12,1,,41.500309,-81.577958,,0
Cleveland,12,2,,41.500309,-81.577958,,0
Cleveland,12,3,,41.500309,-81.577958,,0
Cleveland,12,4,,41.500309,-81.577958,,0
Cleveland,12,5,,41.500309,-81.577958,,0
Cleveland,12,6,,41.500309,-81.577958,,0
Cleveland,12,7,,41.500309,-81.577958,,0
Cleveland,12,8,,41.500309,-81.577958,,1
Cleveland,12,9,,41.500309,-81.577958,,0
Cleveland,12,10,,41.500309,-81.577958,,1
Cleveland,12,11,,41.500309,-81.577958,,0
Cleveland,12,12,,41.500309,-81.577958,,1
Cleveland,12,13,,41.500309,-81.577958,,0
Cleveland,12,14,,41.500309,-81.577958,,1
Cleveland,12,15,,41.500309,-81.577958,,1
Cleveland,13,1,,41.500757,-81.564164,,1
Cleveland,13,2,,41.500757,-81.564164,,0
Cleveland,13,3,,41.500757,-81.564164,,0
Cleveland,13,4,,41.500757,-81.564164,,1
Cleveland,13,5,,41.500757,-81.564164,,0
Cleveland,13,6,,41.500757,-81.564164,,0
Cleveland,13,7,,41.500757,-81.564164,,0
Cleveland,13,8,,41.500757,-81.564164,,1
Cleveland,13,9,,41.500757,-81.564164,,0
Cleveland,13,10,,41.500757,-81.564164,,0
Cleveland,13,11,,41.500757,-81.564164,,0
Cleveland,13,12,,41.500757,-81.564164,,0
Cleveland,13,13,,41.500757,-81.564164,,0
Cleveland,13,14,,41.500757,-81.564164,,1
Cleveland,13,15,,41.500757,-81.564164,,0
Cleveland,14,1,,41.500935999999996,-81.549246,,1
