city,population,plant,plate_no,population_latitude,population_longitude,habitat_type,hcn_result
Fort_Collins,1,1,1,40.567688000000004,-105.07553300000001,Suburban,0
Fort_Collins,1,2,1,40.567688000000004,-105.07553300000001,Suburban,0
Fort_Collins,1,3,1,40.567688000000004,-105.07553300000001,Suburban,0
Fort_Collins,1,4,1,40.567688000000004,-105.07553300000001,Suburban,0
Fort_Collins,1,5,1,40.567688000000004,-105.07553300000001,Suburban,0
Fort_Collins,1,6,1,40.567688000000004,-105.07553300000001,Suburban,0
Fort_Collins,1,7,1,40.567688000000004,-105.07553300000001,Suburban,0
Fort_Collins,1,8,1,40.567688000000004,-105.07553300000001,Suburban,0
Fort_Collins,1,9,1,40.567688000000004,-105.07553300000001,Suburban,0
Fort_Collins,1,10,1,40.567688000000004,-105.07553300000001,Suburban,0
Fort_Collins,1,11,1,40.567688000000004,-105.07553300000001,Suburban,0
Fort_Collins,1,12,1,40.567688000000004,-105.07553300000001,Suburban,0
Fort_Collins,1,13,1,40.567688000000004,-105.07553300000001,Suburban,0
Fort_Collins,1,14,1,40.567688000000004,-105.07553300000001,Suburban,0
Fort_Collins,2,1,1,40.574268,-105.072878,Suburban,0
Fort_Collins,2,2,1,40.574268,-105.072878,Suburban,0
Fort_Collins,2,3,1,40.574268,-105.072878,Suburban,0
Fort_Collins,2,4,1,40.574268,-105.072878,Suburban,0
Fort_Collins,2,5,1,40.574268,-105.072878,Suburban,0
Fort_Collins,2,6,1,40.574268,-105.072878,Suburban,0
Fort_Collins,2,7,1,40.574268,-105.072878,Suburban,0
Fort_Collins,2,8,1,40.574268,-105.072878,Suburban,1
Fort_Collins,2,9,1,40.574268,-105.072878,Suburban,0
Fort_Collins,2,10,1,40.574268,-105.072878,Suburban,0
Fort_Collins,2,11,1,40.574268,-105.072878,Suburban,0
Fort_Collins,2,12,1,40.574268,-105.072878,Suburban,0
Fort_Collins,2,13,1,40.574268,-105.072878,Suburban,0
Fort_Collins,2,14,1,40.574268,-105.072878,Suburban,0
Fort_Collins,2,15,1,40.574268,-105.072878,Suburban,1
Fort_Collins,2,16,1,40.574268,-105.072878,Suburban,0
Fort_Collins,2,17,1,40.574268,-105.072878,Suburban,0
Fort_Collins,2,18,1,40.574268,-105.072878,Suburban,1
Fort_Collins,3,1,1,40.578567,-105.071955,Suburban,0
Fort_Collins,3,2,1,40.578567,-105.071955,Suburban,1
Fort_Collins,3,3,1,40.578567,-105.071955,Suburban,0
Fort_Collins,3,4,1,40.578567,-105.071955,Suburban,1
Fort_Collins,3,5,1,40.578567,-105.071955,Suburban,0
Fort_Collins,3,6,1,40.578567,-105.071955,Suburban,1
Fort_Collins,3,7,1,40.578567,-105.071955,Suburban,1
Fort_Collins,3,8,1,40.578567,-105.071955,Suburban,0
Fort_Collins,3,9,1,40.578567,-105.071955,Suburban,1
Fort_Collins,3,10,1,40.578567,-105.071955,Suburban,0
Fort_Collins,3,11,1,40.578567,-105.071955,Suburban,1
Fort_Collins,3,12,1,40.578567,-105.071955,Suburban,1
Fort_Collins,3,13,1,40.578567,-105.071955,Suburban,0
Fort_Collins,3,14,1,40.578567,-105.071955,Suburban,1
Fort_Collins,3,15,1,40.578567,-105.071955,Suburban,0
Fort_Collins,3,16,1,40.578567,-105.071955,Suburban,1
Fort_Collins,3,17,2,40.578567,-105.071955,Suburban,1
Fort_Collins,3,18,2,40.578567,-105.071955,Suburban,1
Fort_Collins,3,19,2,40.578567,-105.071955,Suburban,0
Fort_Collins,3,20,2,40.578567,-105.071955,Suburban,1
Fort_Collins,3,21,2,40.578567,-105.071955,Suburban,0
Fort_Collins,4,1,2,40.582962,-105.075604,Suburban,0
Fort_Collins,4,2,2,40.582962,-105.075604,Suburban,0
Fort_Collins,4,3,2,40.582962,-105.075604,Suburban,0
Fort_Collins,4,4,2,40.582962,-105.075604,Suburban,0
Fort_Collins,4,5,2,40.582962,-105.075604,Suburban,1
Fort_Collins,4,6,2,40.582962,-105.075604,Suburban,0
Fort_Collins,4,7,2,40.582962,-105.075604,Suburban,0
Fort_Collins,4,8,2,40.582962,-105.075604,Suburban,0
Fort_Collins,4,9,2,40.582962,-105.075604,Suburban,1
Fort_Collins,4,10,2,40.582962,-105.075604,Suburban,0
Fort_Collins,4,11,2,40.582962,-105.075604,Suburban,1
Fort_Collins,4,12,2,40.582962,-105.075604,Suburban,0
Fort_Collins,4,13,2,40.582962,-105.075604,Suburban,0
Fort_Collins,4,14,2,40.582962,-105.075604,Suburban,0
Fort_Collins,5,1,2,40.584715,-105.07428300000001,Suburban,1
Fort_Collins,5,2,2,40.584715,-105.07428300000001,Suburban,0
Fort_Collins,5,3,2,40.584715,-105.07428300000001,Suburban,0
Fort_Collins,5,4,2,40.584715,-105.07428300000001,Suburban,1
Fort_Collins,5,5,2,40.584715,-105.07428300000001,Suburban,0
Fort_Collins,5,6,2,40.584715,-105.07428300000001,Suburban,0
Fort_Collins,5,7,2,40.584715,-105.07428300000001,Suburban,0
Fort_Collins,5,8,2,40.584715,-105.07428300000001,Suburban,0
Fort_Collins,5,9,2,40.584715,-105.07428300000001,Suburban,0
Fort_Collins,5,10,2,40.584715,-105.07428300000001,Suburban,0
Fort_Collins,5,11,2,40.584715,-105.07428300000001,Suburban,0
Fort_Collins,5,12,2,40.584715,-105.07428300000001,Suburban,1
Fort_Collins,5,13,2,40.584715,-105.07428300000001,Suburban,0
Fort_Collins,5,14,2,40.584715,-105.07428300000001,Suburban,0
Fort_Collins,5,15,2,40.584715,-105.07428300000001,Suburban,0
Fort_Collins,5,16,2,40.584715,-105.07428300000001,Suburban,0
Fort_Collins,5,17,2,40.584715,-105.07428300000001,Suburban,0
Fort_Collins,5,18,2,40.584715,-105.07428300000001,Suburban,1
Fort_Collins,5,19,2,40.584715,-105.07428300000001,Suburban,0
Fort_Collins,5,20,2,40.584715,-105.07428300000001,Suburban,0
Fort_Collins,5,21,2,40.584715,-105.07428300000001,Suburban,0
Fort_Collins,6,1,2,40.587134000000006,-105.07543799999999,Urban,0
Fort_Collins,6,2,2,40.587134000000006,-105.07543799999999,Urban,0
Fort_Collins,6,3,2,40.587134000000006,-105.07543799999999,Urban,0
Fort_Collins,6,4,2,40.587134000000006,-105.07543799999999,Urban,0
Fort_Collins,6,5,2,40.587134000000006,-105.07543799999999,Urban,0
Fort_Collins,6,6,2,40.587134000000006,-105.07543799999999,Urban,0
Fort_Collins,6,7,2,40.587134000000006,-105.07543799999999,Urban,0
Fort_Collins,6,8,2,40.587134000000006,-105.07543799999999,Urban,0
Fort_Collins,6,9,3,40.587134000000006,-105.07543799999999,Urban,0
Fort_Collins,6,10,3,40.587134000000006,-105.07543799999999,Urban,1
Fort_Collins,6,11,3,40.587134000000006,-105.07543799999999,Urban,0
Fort_Collins,7,1,3,40.585508000000004,-105.08018600000001,Urban,0
Fort_Collins,7,2,3,40.585508000000004,-105.08018600000001,Urban,0
Fort_Collins,7,3,3,40.585508000000004,-105.08018600000001,Urban,0
Fort_Collins,7,4,3,40.585508000000004,-105.08018600000001,Urban,0
Fort_Collins,7,5,3,40.585508000000004,-105.08018600000001,Urban,0
Fort_Collins,7,6,3,40.585508000000004,-105.08018600000001,Urban,0
Fort_Collins,7,7,3,40.585508000000004,-105.08018600000001,Urban,1
Fort_Collins,7,8,3,40.585508000000004,-105.08018600000001,Urban,0
Fort_Collins,7,9,3,40.585508000000004,-105.08018600000001,Urban,0
Fort_Collins,7,10,3,40.585508000000004,-105.08018600000001,Urban,0
Fort_Collins,7,11,3,40.585508000000004,-105.08018600000001,Urban,0
Fort_Collins,7,12,3,40.585508000000004,-105.08018600000001,Urban,1
Fort_Collins,7,13,3,40.585508000000004,-105.08018600000001,Urban,0
Fort_Collins,7,14,3,40.585508000000004,-105.08018600000001,Urban,0
Fort_Collins,7,15,3,40.585508000000004,-105.08018600000001,Urban,0
Fort_Collins,7,16,3,40.585508000000004,-105.08018600000001,Urban,0
Fort_Collins,7,17,3,40.585508000000004,-105.08018600000001,Urban,0
Fort_Collins,7,18,3,40.585508000000004,-105.08018600000001,Urban,0
Fort_Collins,7,19,3,40.585508000000004,-105.08018600000001,Urban,0
Fort_Collins,7,20,3,40.585508000000004,-105.08018600000001,Urban,0
Fort_Collins,8,1,3,40.575757,-105.075589,Urban,1
Fort_Collins,8,2,3,40.575757,-105.075589,Urban,0
Fort_Collins,8,3,3,40.575757,-105.075589,Urban,0
Fort_Collins,8,4,3,40.575757,-105.075589,Urban,0
Fort_Collins,8,5,3,40.575757,-105.075589,Urban,0
Fort_Collins,8,6,3,40.575757,-105.075589,Urban,0
Fort_Collins,8,7,3,40.575757,-105.075589,Urban,0
Fort_Collins,8,8,3,40.575757,-105.075589,Urban,0
Fort_Collins,8,9,3,40.575757,-105.075589,Urban,0
Fort_Collins,8,10,3,40.575757,-105.075589,Urban,0
Fort_Collins,8,11,3,40.575757,-105.075589,Urban,0
Fort_Collins,8,12,3,40.575757,-105.075589,Urban,1
Fort_Collins,8,13,3,40.575757,-105.075589,Urban,0
Fort_Collins,9,1,3,40.572885,-105.082779,Suburban,0
Fort_Collins,9,2,3,40.572885,-105.082779,Suburban,0
Fort_Collins,9,3,3,40.572885,-105.082779,Suburban,0
Fort_Collins,9,4,3,40.572885,-105.082779,Suburban,0
Fort_Collins,9,5,3,40.572885,-105.082779,Suburban,0
Fort_Collins,9,6,3,40.572885,-105.082779,Suburban,0
Fort_Collins,9,7,3,40.572885,-105.082779,Suburban,0
Fort_Collins,9,8,3,40.572885,-105.082779,Suburban,0
Fort_Collins,9,9,3,40.572885,-105.082779,Suburban,0
Fort_Collins,9,10,3,40.572885,-105.082779,Suburban,0
Fort_Collins,9,11,3,40.572885,-105.082779,Suburban,0
Fort_Collins,9,12,3,40.572885,-105.082779,Suburban,0
Fort_Collins,9,13,4,40.572885,-105.082779,Suburban,0
Fort_Collins,10,1,4,40.589377,-105.082058,Urban,0
Fort_Collins,10,2,4,40.589377,-105.082058,Urban,0
Fort_Collins,10,3,4,40.589377,-105.082058,Urban,0
Fort_Collins,10,4,4,40.589377,-105.082058,Urban,0
Fort_Collins,10,5,4,40.589377,-105.082058,Urban,0
Fort_Collins,10,6,4,40.589377,-105.082058,Urban,0
Fort_Collins,10,7,4,40.589377,-105.082058,Urban,0
Fort_Collins,10,8,4,40.589377,-105.082058,Urban,0
Fort_Collins,10,9,4,40.589377,-105.082058,Urban,1
Fort_Collins,10,10,4,40.589377,-105.082058,Urban,0
Fort_Collins,10,11,4,40.589377,-105.082058,Urban,0
Fort_Collins,10,12,4,40.589377,-105.082058,Urban,0
Fort_Collins,10,13,4,40.589377,-105.082058,Urban,0
Fort_Collins,10,14,4,40.589377,-105.082058,Urban,0
Fort_Collins,10,15,4,40.589377,-105.082058,Urban,0
Fort_Collins,10,16,4,40.589377,-105.082058,Urban,0
Fort_Collins,11,1,4,40.590859,-105.07836999999999,Urban,0
Fort_Collins,11,2,4,40.590859,-105.07836999999999,Urban,0
Fort_Collins,11,3,4,40.590859,-105.07836999999999,Urban,0
Fort_Collins,11,4,4,40.590859,-105.07836999999999,Urban,0
Fort_Collins,11,5,4,40.590859,-105.07836999999999,Urban,0
Fort_Collins,11,6,4,40.590859,-105.07836999999999,Urban,0
Fort_Collins,11,7,4,40.590859,-105.07836999999999,Urban,1
Fort_Collins,11,8,4,40.590859,-105.07836999999999,Urban,1
Fort_Collins,11,9,4,40.590859,-105.07836999999999,Urban,1
Fort_Collins,11,10,4,40.590859,-105.07836999999999,Urban,0
Fort_Collins,11,11,4,40.590859,-105.07836999999999,Urban,0
Fort_Collins,12,1,4,40.593928000000005,-105.07628600000001,Urban,0
Fort_Collins,12,2,4,40.593928000000005,-105.07628600000001,Urban,0
Fort_Collins,12,3,4,40.593928000000005,-105.07628600000001,Urban,0
Fort_Collins,12,4,4,40.593928000000005,-105.07628600000001,Urban,0
Fort_Collins,12,5,4,40.593928000000005,-105.07628600000001,Urban,1
Fort_Collins,12,6,4,40.593928000000005,-105.07628600000001,Urban,0
Fort_Collins,12,7,4,40.593928000000005,-105.07628600000001,Urban,0
Fort_Collins,12,8,4,40.593928000000005,-105.07628600000001,Urban,0
Fort_Collins,12,9,4,40.593928000000005,-105.07628600000001,Urban,0
Fort_Collins,12,10,4,40.593928000000005,-105.07628600000001,Urban,0
Fort_Collins,12,11,4,40.593928000000005,-105.07628600000001,Urban,0
Fort_Collins,13,1,4,40.59733,-105.076347,Urban,0
