city,population,plant,plate_no,population_latitude,population_longitude,habitat_type,hcn_result
Fredericton,1,1,12,45.96398,-66.64976,Urban,0
Fredericton,1,2,12,45.96398,-66.64976,Urban,0
Fredericton,1,3,12,45.96398,-66.64976,Urban,0
Fredericton,1,4,12,45.96398,-66.64976,Urban,0
Fredericton,1,5,12,45.96398,-66.64976,Urban,0
Fredericton,1,6,12,45.96398,-66.64976,Urban,0
Fredericton,1,7,12,45.96398,-66.64976,Urban,0
Fredericton,1,8,12,45.96398,-66.64976,Urban,0
Fredericton,1,9,12,45.96398,-66.64976,Urban,0
Fredericton,1,10,12,45.96398,-66.64976,Urban,1
Fredericton,1,11,12,45.96398,-66.64976,Urban,0
Fredericton,1,12,12,45.96398,-66.64976,Urban,0
Fredericton,1,13,12,45.96398,-66.64976,Urban,0
Fredericton,1,14,12,45.96398,-66.64976,Urban,0
Fredericton,1,15,12,45.96398,-66.64976,Urban,0
Fredericton,1,16,12,45.96398,-66.64976,Urban,0
Fredericton,1,17,12,45.96398,-66.64976,Urban,0
Fredericton,1,18,12,45.96398,-66.64976,Urban,0
Fredericton,1,19,12,45.96398,-66.64976,Urban,0
Fredericton,1,20,12,45.96398,-66.64976,Urban,0
Fredericton,2,1,11,45.96394,-66.6495,Urban,0
Fredericton,2,2,11,45.96394,-66.6495,Urban,0
Fredericton,2,3,11,45.96394,-66.6495,Urban,0
Fredericton,2,4,11,45.96394,-66.6495,Urban,0
Fredericton,2,5,11,45.96394,-66.6495,Urban,0
Fredericton,2,6,11,45.96394,-66.6495,Urban,0
Fredericton,2,7,11,45.96394,-66.6495,Urban,0
Fredericton,2,8,11,45.96394,-66.6495,Urban,0
Fredericton,2,9,11,45.96394,-66.6495,Urban,0
Fredericton,2,10,11,45.96394,-66.6495,Urban,1
Fredericton,2,11,11,45.96394,-66.6495,Urban,0
Fredericton,2,12,11,45.96394,-66.6495,Urban,1
Fredericton,2,13,11,45.96394,-66.6495,Urban,0
Fredericton,2,14,11,45.96394,-66.6495,Urban,0
Fredericton,2,15,11,45.96394,-66.6495,Urban,0
Fredericton,2,16,11,45.96394,-66.6495,Urban,1
Fredericton,2,17,11,45.96394,-66.6495,Urban,0
Fredericton,2,18,11,45.96394,-66.6495,Urban,0
Fredericton,2,19,11,45.96394,-66.6495,Urban,0
Fredericton,2,20,11,45.96394,-66.6495,Urban,0
Fredericton,3,1,18,45.96318,-66.64621,Urban,0
Fredericton,3,2,18,45.96318,-66.64621,Urban,0
Fredericton,3,3,18,45.96318,-66.64621,Urban,1
Fredericton,3,4,18,45.96318,-66.64621,Urban,0
Fredericton,3,5,18,45.96318,-66.64621,Urban,1
Fredericton,3,6,18,45.96318,-66.64621,Urban,0
Fredericton,3,7,18,45.96318,-66.64621,Urban,0
Fredericton,3,8,18,45.96318,-66.64621,Urban,0
Fredericton,3,9,18,45.96318,-66.64621,Urban,0
Fredericton,3,10,18,45.96318,-66.64621,Urban,0
Fredericton,3,11,18,45.96318,-66.64621,Urban,0
Fredericton,3,12,18,45.96318,-66.64621,Urban,0
Fredericton,3,13,18,45.96318,-66.64621,Urban,0
Fredericton,3,14,18,45.96318,-66.64621,Urban,1
Fredericton,3,15,18,45.96318,-66.64621,Urban,0
Fredericton,3,16,18,45.96318,-66.64621,Urban,0
Fredericton,3,17,18,45.96318,-66.64621,Urban,0
Fredericton,3,18,18,45.96318,-66.64621,Urban,0
Fredericton,3,19,18,45.96318,-66.64621,Urban,0
Fredericton,3,20,18,45.96318,-66.64621,Urban,0
Fredericton,4,1,1,45.963840000000005,-66.64282,Urban,0
Fredericton,4,2,1,45.963840000000005,-66.64282,Urban,1
Fredericton,4,3,1,45.963840000000005,-66.64282,Urban,1
Fredericton,4,4,1,45.963840000000005,-66.64282,Urban,0
