city,population,plant,plate_no,population_latitude,population_longitude,habitat_type,hcn_result
Lansing,10,1,10,42.633145899999995,-84.5760622,Rural,0
Lansing,10,2,10,42.633145899999995,-84.5760622,Rural,0
Lansing,10,3,10,42.633145899999995,-84.5760622,Rural,1
Lansing,10,4,10,42.633145899999995,-84.5760622,Rural,1
Lansing,10,5,10,42.633145899999995,-84.5760622,Rural,1
Lansing,10,6,10,42.633145899999995,-84.5760622,Rural,1
Lansing,10,7,10,42.633145899999995,-84.5760622,Rural,0
Lansing,10,8,10,42.633145899999995,-84.5760622,Rural,0
Lansing,10,9,10,42.633145899999995,-84.5760622,Rural,0
Lansing,10,10,10,42.633145899999995,-84.5760622,Rural,0
Lansing,10,11,10,42.633145899999995,-84.5760622,Rural,0
Lansing,10,12,10,42.633145899999995,-84.5760622,Rural,0
Lansing,10,13,10,42.633145899999995,-84.5760622,Rural,0
Lansing,10,14,10,42.633145899999995,-84.5760622,Rural,0
Lansing,10,15,10,42.633145899999995,-84.5760622,Rural,0
Lansing,10,16,10,42.633145899999995,-84.5760622,Rural,0
Lansing,10,17,10,42.633145899999995,-84.5760622,Rural,0
Lansing,10,18,10,42.633145899999995,-84.5760622,Rural,0
Lansing,10,19,10,42.633145899999995,-84.5760622,Rural,0
Lansing,5,1,10,42.6112408,-84.5822089,Rural,0
Lansing,5,2,10,42.6112408,-84.5822089,Rural,0
Lansing,5,3,10,42.6112408,-84.5822089,Rural,0
Lansing,5,4,10,42.6112408,-84.5822089,Rural,0
Lansing,5,5,10,42.6112408,-84.5822089,Rural,0
Lansing,5,6,10,42.6112408,-84.5822089,Rural,1
Lansing,5,7,10,42.6112408,-84.5822089,Rural,0
Lansing,5,8,10,42.6112408,-84.5822089,Rural,0
Lansing,5,9,10,42.6112408,-84.5822089,Rural,0
Lansing,5,10,10,42.6112408,-84.5822089,Rural,0
Lansing,5,11,10,42.6112408,-84.5822089,Rural,0
Lansing,5,12,10,42.6112408,-84.5822089,Rural,0
Lansing,5,13,10,42.6112408,-84.5822089,Rural,0
Lansing,5,14,10,42.6112408,-84.5822089,Rural,0
Lansing,5,15,10,42.6112408,-84.5822089,Rural,0
Lansing,40,1,9,42.735636799999995,-84.55529090000002,Urban,1
Lansing,40,2,9,42.735636799999995,-84.55529090000002,Urban,1
Lansing,40,3,9,42.735636799999995,-84.55529090000002,Urban,1
Lansing,40,4,9,42.735636799999995,-84.55529090000002,Urban,0
Lansing,40,5,9,42.735636799999995,-84.55529090000002,Urban,0
Lansing,40,6,9,42.735636799999995,-84.55529090000002,Urban,0
Lansing,40,7,9,42.735636799999995,-84.55529090000002,Urban,0
Lansing,40,8,9,42.735636799999995,-84.55529090000002,Urban,0
Lansing,40,9,9,42.735636799999995,-84.55529090000002,Urban,1
Lansing,40,10,9,42.735636799999995,-84.55529090000002,Urban,1
Lansing,40,11,9,42.735636799999995,-84.55529090000002,Urban,1
Lansing,40,12,9,42.735636799999995,-84.55529090000002,Urban,1
Lansing,40,13,9,42.735636799999995,-84.55529090000002,Urban,0
Lansing,40,14,9,42.735636799999995,-84.55529090000002,Urban,0
Lansing,40,15,9,42.735636799999995,-84.55529090000002,Urban,0
Lansing,40,16,9,42.735636799999995,-84.55529090000002,Urban,0
Lansing,14,1,9,42.6474046,-84.57307850000001,Suburban,1
Lansing,14,2,9,42.6474046,-84.57307850000001,Suburban,0
Lansing,14,3,9,42.6474046,-84.57307850000001,Suburban,0
Lansing,14,4,9,42.6474046,-84.57307850000001,Suburban,0
Lansing,14,5,9,42.6474046,-84.57307850000001,Suburban,0
Lansing,14,6,9,42.6474046,-84.57307850000001,Suburban,0
Lansing,14,7,9,42.6474046,-84.57307850000001,Suburban,0
Lansing,14,8,9,42.6474046,-84.57307850000001,Suburban,1
Lansing,14,9,9,42.6474046,-84.57307850000001,Suburban,1
Lansing,14,10,9,42.6474046,-84.57307850000001,Suburban,0
Lansing,14,11,9,42.6474046,-84.57307850000001,Suburban,0
Lansing,14,12,9,42.6474046,-84.57307850000001,Suburban,0
Lansing,14,13,9,42.6474046,-84.57307850000001,Suburban,0
Lansing,14,14,9,42.6474046,-84.57307850000001,Suburban,0
Lansing,14,15,9,42.6474046,-84.57307850000001,Suburban,0
Lansing,14,16,9,42.6474046,-84.57307850000001,Suburban,0
Lansing,38,1,9,42.7314367,-84.55774749999999,Urban,0
Lansing,38,2,9,42.7314367,-84.55774749999999,Urban,0
Lansing,38,3,9,42.7314367,-84.55774749999999,Urban,0
Lansing,38,4,9,42.7314367,-84.55774749999999,Urban,1
Lansing,38,5,9,42.7314367,-84.55774749999999,Urban,0
Lansing,38,6,9,42.7314367,-84.55774749999999,Urban,0
Lansing,38,7,9,42.7314367,-84.55774749999999,Urban,0
Lansing,38,8,9,42.7314367,-84.55774749999999,Urban,0
Lansing,38,9,9,42.7314367,-84.55774749999999,Urban,0
Lansing,38,10,9,42.7314367,-84.55774749999999,Urban,0
Lansing,38,11,9,42.7314367,-84.55774749999999,Urban,0
Lansing,38,12,9,42.7314367,-84.55774749999999,Urban,0
Lansing,38,13,9,42.7314367,-84.55774749999999,Urban,1
Lansing,38,14,9,42.7314367,-84.55774749999999,Urban,0
Lansing,38,15,9,42.7314367,-84.55774749999999,Urban,0
Lansing,38,16,9,42.7314367,-84.55774749999999,Urban,0
Lansing,19,1,5,42.6700662,-84.5627113,Suburban,0
Lansing,19,2,5,42.6700662,-84.5627113,Suburban,0
Lansing,19,3,5,42.6700662,-84.5627113,Suburban,0
Lansing,19,4,5,42.6700662,-84.5627113,Suburban,0
Lansing,19,5,5,42.6700662,-84.5627113,Suburban,0
Lansing,19,6,5,42.6700662,-84.5627113,Suburban,0
Lansing,19,7,5,42.6700662,-84.5627113,Suburban,0
Lansing,19,8,5,42.6700662,-84.5627113,Suburban,0
Lansing,19,9,5,42.6700662,-84.5627113,Suburban,0
Lansing,19,10,5,42.6700662,-84.5627113,Suburban,0
Lansing,19,11,5,42.6700662,-84.5627113,Suburban,0
Lansing,19,12,5,42.6700662,-84.5627113,Suburban,0
Lansing,19,13,5,42.6700662,-84.5627113,Suburban,0
Lansing,19,14,5,42.6700662,-84.5627113,Suburban,0
Lansing,19,15,5,42.6700662,-84.5627113,Suburban,0
Lansing,19,16,5,42.6700662,-84.5627113,Suburban,0
