city,population,plant,plate_no,population_latitude,population_longitude,habitat_type,hcn_result
Leiden,1,1,1,52.1603,4.4814,Urban,0
Leiden,1,2,1,52.1603,4.4814,Urban,0
Leiden,1,3,1,52.1603,4.4814,Urban,0
Leiden,1,4,1,52.1603,4.4814,Urban,0
Leiden,1,5,1,52.1603,4.4814,Urban,0
Leiden,1,6,1,52.1603,4.4814,Urban,0
Leiden,1,7,1,52.1603,4.4814,Urban,0
Leiden,1,8,1,52.1603,4.4814,Urban,0
Leiden,1,9,1,52.1603,4.4814,Urban,0
Leiden,1,10,1,52.1603,4.4814,Urban,0
Leiden,1,11,1,52.1603,4.4814,Urban,0
Leiden,1,12,1,52.1603,4.4814,Urban,0
Leiden,1,13,1,52.1603,4.4814,Urban,0
Leiden,1,14,1,52.1603,4.4814,Urban,0
Leiden,1,15,1,52.1603,4.4814,Urban,0
Leiden,1,16,1,52.1603,4.4814,Urban,1
Leiden,1,17,1,52.1603,4.4814,Urban,0
Leiden,1,18,1,52.1603,4.4814,Urban,1
Leiden,1,19,1,52.1603,4.4814,Urban,0
Leiden,1,20,1,52.1603,4.4814,Urban,0
Leiden,2,1,1,52.1616,4.4821,Urban,0
Leiden,2,2,1,52.1616,4.4821,Urban,1
Leiden,2,3,1,52.1616,4.4821,Urban,1
Leiden,2,4,1,52.1616,4.4821,Urban,0
Leiden,2,5,1,52.1616,4.4821,Urban,0
Leiden,2,6,1,52.1616,4.4821,Urban,0
Leiden,2,7,1,52.1616,4.4821,Urban,0
Leiden,2,8,1,52.1616,4.4821,Urban,0
Leiden,2,9,1,52.1616,4.4821,Urban,1
Leiden,2,10,1,52.1616,4.4821,Urban,0
Leiden,2,11,1,52.1616,4.4821,Urban,1
Leiden,2,12,1,52.1616,4.4821,Urban,0
Leiden,2,13,1,52.1616,4.4821,Urban,0
Leiden,2,14,1,52.1616,4.4821,Urban,0
Leiden,2,15,1,52.1616,4.4821,Urban,0
Leiden,2,16,1,52.1616,4.4821,Urban,0
Leiden,2,17,1,52.1616,4.4821,Urban,0
Leiden,2,18,1,52.1616,4.4821,Urban,0
Leiden,2,19,1,52.1616,4.4821,Urban,0
Leiden,2,20,1,52.1616,4.4821,Urban,0
Leiden,3,1,2,52.1642,4.4857,Urban,0
Leiden,3,2,2,52.1642,4.4857,Urban,0
Leiden,3,3,2,52.1642,4.4857,Urban,0
Leiden,3,4,2,52.1642,4.4857,Urban,0
Leiden,3,5,2,52.1642,4.4857,Urban,0
Leiden,3,6,2,52.1642,4.4857,Urban,0
Leiden,3,7,2,52.1642,4.4857,Urban,0
Leiden,3,8,2,52.1642,4.4857,Urban,0
Leiden,3,9,2,52.1642,4.4857,Urban,0
Leiden,3,10,2,52.1642,4.4857,Urban,0
Leiden,3,11,2,52.1642,4.4857,Urban,0
Leiden,3,12,2,52.1642,4.4857,Urban,0
Leiden,3,13,2,52.1642,4.4857,Urban,0
Leiden,3,14,2,52.1642,4.4857,Urban,0
Leiden,3,15,2,52.1642,4.4857,Urban,0
Leiden,3,16,2,52.1642,4.4857,Urban,0
Leiden,3,17,2,52.1642,4.4857,Urban,0
Leiden,3,18,2,52.1642,4.4857,Urban,0
Leiden,3,19,2,52.1642,4.4857,Urban,0
Leiden,4,1,2,52.1656,4.4922,Urban,0
Leiden,4,2,2,52.1656,4.4922,Urban,0
Leiden,4,3,2,52.1656,4.4922,Urban,0
Leiden,4,4,2,52.1656,4.4922,Urban,0
Leiden,4,5,2,52.1656,4.4922,Urban,0
Leiden,4,6,2,52.1656,4.4922,Urban,0
Leiden,4,7,2,52.1656,4.4922,Urban,0
Leiden,4,8,2,52.1656,4.4922,Urban,0
Leiden,4,9,2,52.1656,4.4922,Urban,0
Leiden,4,10,2,52.1656,4.4922,Urban,1
Leiden,4,11,2,52.1656,4.4922,Urban,0
Leiden,4,12,2,52.1656,4.4922,Urban,0
Leiden,4,13,2,52.1656,4.4922,Urban,0
Leiden,4,14,2,52.1656,4.4922,Urban,0
Leiden,4,15,2,52.1656,4.4922,Urban,1
Leiden,4,16,2,52.1656,4.4922,Urban,0
Leiden,4,17,2,52.1656,4.4922,Urban,0
Leiden,4,18,2,52.1656,4.4922,Urban,0
Leiden,4,19,2,52.1656,4.4922,Urban,0
Leiden,4,20,2,52.1656,4.4922,Urban,0
Leiden,5,1,3,52.1639,4.4963,Urban,1
Leiden,5,2,3,52.1639,4.4963,Urban,0
Leiden,5,3,3,52.1639,4.4963,Urban,0
Leiden,5,4,3,52.1639,4.4963,Urban,0
Leiden,5,5,3,52.1639,4.4963,Urban,0
Leiden,5,6,3,52.1639,4.4963,Urban,0
Leiden,5,7,3,52.1639,4.4963,Urban,1
Leiden,5,8,3,52.1639,4.4963,Urban,0
Leiden,5,9,3,52.1639,4.4963,Urban,0
Leiden,5,10,3,52.1639,4.4963,Urban,0
Leiden,5,11,3,52.1639,4.4963,Urban,0
Leiden,5,12,3,52.1639,4.4963,Urban,0
Leiden,5,13,3,52.1639,4.4963,Urban,1
Leiden,5,14,3,52.1639,4.4963,Urban,0
Leiden,5,15,3,52.1639,4.4963,Urban,0
Leiden,5,16,3,52.1639,4.4963,Urban,0
Leiden,5,17,3,52.1639,4.4963,Urban,1
Leiden,5,18,3,52.1639,4.4963,Urban,0
Leiden,5,19,3,52.1639,4.4963,Urban,0
Leiden,6,1,3,52.1635,4.4996,Urban,0
Leiden,6,2,3,52.1635,4.4996,Urban,0
Leiden,6,3,3,52.1635,4.4996,Urban,0
Leiden,6,4,3,52.1635,4.4996,Urban,0
Leiden,6,5,3,52.1635,4.4996,Urban,0
Leiden,6,6,3,52.1635,4.4996,Urban,0
Leiden,6,7,3,52.1635,4.4996,Urban,0
Leiden,6,8,3,52.1635,4.4996,Urban,0
Leiden,6,9,3,52.1635,4.4996,Urban,0
Leiden,6,10,3,52.1635,4.4996,Urban,0
Leiden,6,11,3,52.1635,4.4996,Urban,0
Leiden,6,12,3,52.1635,4.4996,Urban,0
Leiden,6,13,3,52.1635,4.4996,Urban,1
