city,population,plant,plate_no,population_latitude,population_longitude,habitat_type,hcn_result
Manchester,1,1,1,53.4765,-2.2359,Urban,0.0
Manchester,1,2,1,53.4765,-2.2359,Urban,0.0
Manchester,1,3,1,53.4765,-2.2359,Urban,0.0
Manchester,1,4,1,53.4765,-2.2359,Urban,0.0
Manchester,1,5,1,53.4765,-2.2359,Urban,0.0
Manchester,1,6,1,53.4765,-2.2359,Urban,0.0
Manchester,1,7,1,53.4765,-2.2359,Urban,0.0
Manchester,1,8,1,53.4765,-2.2359,Urban,0.0
Manchester,1,9,1,53.4765,-2.2359,Urban,0.0
Manchester,1,10,1,53.4765,-2.2359,Urban,0.0
Manchester,1,11,1,53.4765,-2.2359,Urban,0.0
Manchester,1,12,1,53.4765,-2.2359,Urban,0.0
Manchester,1,13,1,53.4765,-2.2359,Urban,0.0
Manchester,1,14,1,53.4765,-2.2359,Urban,0.0
Manchester,1,15,1,53.4765,-2.2359,Urban,0.0
Manchester,1,16,1,53.4765,-2.2359,Urban,0.0
Manchester,1,17,1,53.4765,-2.2359,Urban,0.0
Manchester,1,18,1,53.4765,-2.2359,Urban,
Manchester,1,19,1,53.4765,-2.2359,Urban,0.0
Manchester,1,20,1,53.4765,-2.2359,Urban,
Manchester,2,1,1,53.4731,-2.234,Urban,0.0
Manchester,2,2,1,53.4731,-2.234,Urban,0.0
Manchester,2,3,1,53.4731,-2.234,Urban,1.0
Manchester,2,4,1,53.4731,-2.234,Urban,0.0
Manchester,2,5,1,53.4731,-2.234,Urban,0.0
Manchester,2,6,1,53.4731,-2.234,Urban,0.0
Manchester,2,7,1,53.4731,-2.234,Urban,0.0
Manchester,2,8,1,53.4731,-2.234,Urban,0.0
Manchester,2,9,1,53.4731,-2.234,Urban,0.0
Manchester,2,10,1,53.4731,-2.234,Urban,1.0
Manchester,2,11,1,53.4731,-2.234,Urban,1.0
Manchester,2,12,1,53.4731,-2.234,Urban,0.0
Manchester,2,13,1,53.4731,-2.234,Urban,0.0
Manchester,2,14,1,53.4731,-2.234,Urban,0.0
Manchester,2,15,1,53.4731,-2.234,Urban,1.0
Manchester,2,16,1,53.4731,-2.234,Urban,0.0
Manchester,2,17,1,53.4731,-2.234,Urban,0.0
Manchester,2,18,1,53.4731,-2.234,Urban,1.0
Manchester,2,19,1,53.4731,-2.234,Urban,1.0
Manchester,2,20,1,53.4731,-2.234,Urban,0.0
Manchester,3,1,2,53.4662,-2.2472,Urban,0.0
Manchester,3,2,2,53.4662,-2.2472,Urban,0.0
Manchester,3,3,2,53.4662,-2.2472,Urban,0.0
Manchester,3,4,2,53.4662,-2.2472,Urban,0.0
Manchester,3,5,2,53.4662,-2.2472,Urban,1.0
Manchester,3,6,2,53.4662,-2.2472,Urban,0.0
Manchester,3,7,2,53.4662,-2.2472,Urban,0.0
Manchester,3,8,2,53.4662,-2.2472,Urban,1.0
Manchester,3,9,2,53.4662,-2.2472,Urban,0.0
Manchester,3,10,2,53.4662,-2.2472,Urban,0.0
Manchester,3,11,2,53.4662,-2.2472,Urban,0.0
Manchester,3,12,2,53.4662,-2.2472,Urban,0.0
Manchester,3,13,2,53.4662,-2.2472,Urban,1.0
Manchester,3,14,2,53.4662,-2.2472,Urban,0.0
Manchester,3,15,2,53.4662,-2.2472,Urban,0.0
Manchester,3,16,2,53.4662,-2.2472,Urban,0.0
Manchester,3,17,2,53.4662,-2.2472,Urban,0.0
Manchester,3,18,2,53.4662,-2.2472,Urban,0.0
Manchester,3,19,2,53.4662,-2.2472,Urban,0.0
Manchester,3,20,2,53.4662,-2.2472,Urban,0.0
Manchester,4,1,2,53.4583,-2.2441,Urban,0.0
Manchester,4,2,2,53.4583,-2.2441,Urban,1.0
Manchester,4,3,2,53.4583,-2.2441,Urban,0.0
Manchester,4,4,2,53.4583,-2.2441,Urban,1.0
Manchester,4,5,2,53.4583,-2.2441,Urban,0.0
Manchester,4,6,2,53.4583,-2.2441,Urban,1.0
Manchester,4,7,2,53.4583,-2.2441,Urban,1.0
Manchester,4,8,2,53.4583,-2.2441,Urban,0.0
Manchester,4,9,2,53.4583,-2.2441,Urban,1.0
Manchester,4,10,2,53.4583,-2.2441,Urban,1.0
Manchester,4,11,2,53.4583,-2.2441,Urban,1.0
Manchester,4,12,2,53.4583,-2.2441,Urban,1.0
Manchester,4,13,2,53.4583,-2.2441,Urban,1.0
Manchester,4,14,2,53.4583,-2.2441,Urban,1.0
Manchester,4,15,2,53.4583,-2.2441,Urban,0.0
Manchester,4,16,2,53.4583,-2.2441,Urban,1.0
Manchester,4,17,2,53.4583,-2.2441,Urban,1.0
Manchester,4,18,2,53.4583,-2.2441,Urban,1.0
Manchester,4,19,2,53.4583,-2.2441,Urban,1.0
Manchester,5,1,3,53.4546,-2.2462,Urban,0.0
Manchester,5,2,3,53.4546,-2.2462,Urban,0.0
Manchester,5,3,3,53.4546,-2.2462,Urban,1.0
Manchester,5,4,3,53.4546,-2.2462,Urban,1.0
Manchester,5,5,3,53.4546,-2.2462,Urban,1.0
Manchester,5,6,3,53.4546,-2.2462,Urban,0.0
Manchester,5,7,3,53.4546,-2.2462,Urban,0.0
Manchester,5,8,3,53.4546,-2.2462,Urban,0.0
Manchester,5,9,3,53.4546,-2.2462,Urban,0.0
Manchester,5,10,3,53.4546,-2.2462,Urban,0.0
Manchester,5,11,3,53.4546,-2.2462,Urban,0.0
Manchester,5,12,3,53.4546,-2.2462,Urban,1.0
Manchester,5,13,3,53.4546,-2.2462,Urban,1.0
Manchester,5,14,3,53.4546,-2.2462,Urban,1.0
Manchester,5,15,3,53.4546,-2.2462,Urban,1.0
Manchester,5,16,3,53.4546,-2.2462,Urban,1.0
Manchester,5,17,3,53.4546,-2.2462,Urban,0.0
Manchester,5,18,3,53.4546,-2.2462,Urban,1.0
Manchester,5,19,3,53.4546,-2.2462,Urban,1.0
Manchester,6,1,3,53.45,-2.2463,Suburban,0.0
Manchester,6,2,3,53.45,-2.2463,Suburban,0.0
Manchester,6,3,3,53.45,-2.2463,Suburban,0.0
Manchester,6,4,3,53.45,-2.2463,Suburban,0.0
Manchester,6,5,3,53.45,-2.2463,Suburban,0.0
Manchester,6,6,3,53.45,-2.2463,Suburban,0.0
Manchester,6,7,3,53.45,-2.2463,Suburban,0.0
Manchester,6,8,3,53.45,-2.2463,Suburban,0.0
Manchester,6,9,3,53.45,-2.2463,Suburban,0.0
Manchester,6,10,3,53.45,-2.2463,Suburban,0.0
Manchester,6,11,3,53.45,-2.2463,Suburban,0.0
Manchester,6,12,3,53.45,-2.2463,Suburban,0.0
Manchester,6,13,3,53.45,-2.2463,Suburban,0.0
Manchester,6,14,3,53.45,-2.2463,Suburban,0.0
Manchester,6,15,3,53.45,-2.2463,Suburban,0.0
Manchester,6,16,3,53.45,-2.2463,Suburban,0.0
Manchester,6,17,3,53.45,-2.2463,Suburban,0.0
Manchester,6,18,3,53.45,-2.2463,Suburban,0.0
Manchester,6,19,3,53.45,-2.2463,Suburban,0.0
Manchester,6,20,3,53.45,-2.2463,Suburban,0.0
Manchester,7,1,4,53.4465,-2.2443,Suburban,0.0
Manchester,7,2,4,53.4465,-2.2443,Suburban,0.0
Manchester,7,3,4,53.4465,-2.2443,Suburban,0.0
Manchester,7,4,4,53.4465,-2.2443,Suburban,0.0
Manchester,7,5,4,53.4465,-2.2443,Suburban,1.0
Manchester,7,6,4,53.4465,-2.2443,Suburban,1.0
Manchester,7,7,4,53.4465,-2.2443,Suburban,1.0
Manchester,7,8,4,53.4465,-2.2443,Suburban,0.0
Manchester,7,9,4,53.4465,-2.2443,Suburban,0.0
Manchester,7,10,4,53.4465,-2.2443,Suburban,0.0
Manchester,7,11,4,53.4465,-2.2443,Suburban,0.0
Manchester,7,12,4,53.4465,-2.2443,Suburban,0.0
Manchester,7,13,4,53.4465,-2.2443,Suburban,0.0
Manchester,7,14,4,53.4465,-2.2443,Suburban,1.0
Manchester,7,15,4,53.4465,-2.2443,Suburban,1.0
Manchester,7,16,4,53.4465,-2.2443,Suburban,1.0
Manchester,7,17,4,53.4465,-2.2443,Suburban,1.0
Manchester,7,18,4,53.4465,-2.2443,Suburban,1.0
Manchester,7,19,4,53.4465,-2.2443,Suburban,1.0
Manchester,8,1,4,53.4398,-2.246,Suburban,1.0
Manchester,8,2,4,53.4398,-2.246,Suburban,0.0
Manchester,8,3,4,53.4398,-2.246,Suburban,0.0
Manchester,8,4,4,53.4398,-2.246,Suburban,0.0
Manchester,8,5,4,53.4398,-2.246,Suburban,0.0
Manchester,8,6,4,53.4398,-2.246,Suburban,0.0
Manchester,8,7,4,53.4398,-2.246,Suburban,0.0
Manchester,8,8,4,53.4398,-2.246,Suburban,0.0
Manchester,8,9,4,53.4398,-2.246,Suburban,0.0
Manchester,8,10,4,53.4398,-2.246,Suburban,0.0
Manchester,8,11,4,53.4398,-2.246,Suburban,0.0
Manchester,8,12,4,53.4398,-2.246,Suburban,1.0
Manchester,8,13,4,53.4398,-2.246,Suburban,1.0
Manchester,8,14,4,53.4398,-2.246,Suburban,0.0
Manchester,8,15,4,53.4398,-2.246,Suburban,0.0
Manchester,8,16,4,53.4398,-2.246,Suburban,0.0
Manchester,8,17,4,53.4398,-2.246,Suburban,0.0
Manchester,8,18,4,53.4398,-2.246,Suburban,0.0
Manchester,8,19,4,53.4398,-2.246,Suburban,0.0
Manchester,8,20,4,53.4398,-2.246,Suburban,0.0
Manchester,9,1,5,53.4304,-2.2556,Suburban,1.0
Manchester,9,2,5,53.4304,-2.2556,Suburban,0.0
Manchester,9,3,5,53.4304,-2.2556,Suburban,1.0
Manchester,9,4,5,53.4304,-2.2556,Suburban,1.0
Manchester,9,5,5,53.4304,-2.2556,Suburban,1.0
Manchester,9,6,5,53.4304,-2.2556,Suburban,0.0
Manchester,9,7,5,53.4304,-2.2556,Suburban,0.0
Manchester,9,8,5,53.4304,-2.2556,Suburban,1.0
Manchester,9,9,5,53.4304,-2.2556,Suburban,0.0
Manchester,9,10,5,53.4304,-2.2556,Suburban,0.0
Manchester,9,11,5,53.4304,-2.2556,Suburban,0.0
Manchester,9,12,5,53.4304,-2.2556,Suburban,1.0
Manchester,9,13,5,53.4304,-2.2556,Suburban,0.0
Manchester,9,14,5,53.4304,-2.2556,Suburban,0.0
Manchester,9,15,5,53.4304,-2.2556,Suburban,1.0
Manchester,9,16,5,53.4304,-2.2556,Suburban,0.0
Manchester,9,17,5,53.4304,-2.2556,Suburban,0.0
Manchester,9,18,5,53.4304,-2.2556,Suburban,0.0
Manchester,9,19,5,53.4304,-2.2556,Suburban,0.0
Manchester,9,20,5,53.4304,-2.2556,Suburban,0.0
Manchester,10,1,5,53.4257,-2.2549,Suburban,0.0
Manchester,10,2,5,53.4257,-2.2549,Suburban,1.0
Manchester,10,3,5,53.4257,-2.2549,Suburban,0.0
Manchester,10,4,5,53.4257,-2.2549,Suburban,0.0
Manchester,10,5,5,53.4257,-2.2549,Suburban,1.0
Manchester,10,6,5,53.4257,-2.2549,Suburban,1.0
Manchester,10,7,5,53.4257,-2.2549,Suburban,0.0
Manchester,10,8,5,53.4257,-2.2549,Suburban,0.0
Manchester,10,9,5,53.4257,-2.2549,Suburban,0.0
Manchester,10,10,5,53.4257,-2.2549,Suburban,1.0
