city,population,plant,plate_no,population_latitude,population_longitude,habitat_type,hcn_result
Moncton,1,1,1,46.093236,-64.76239,Urban,1
Moncton,1,2,1,46.093236,-64.76239,Urban,0
Moncton,1,3,1,46.093236,-64.76239,Urban,0
Moncton,1,4,1,46.093236,-64.76239,Urban,0
Moncton,1,5,1,46.093236,-64.76239,Urban,0
Moncton,1,6,1,46.093236,-64.76239,Urban,0
Moncton,1,7,1,46.093236,-64.76239,Urban,0
Moncton,1,8,1,46.093236,-64.76239,Urban,1
Moncton,1,9,1,46.093236,-64.76239,Urban,0
Moncton,1,10,1,46.093236,-64.76239,Urban,1
Moncton,1,11,1,46.093236,-64.76239,Urban,0
Moncton,1,12,1,46.093236,-64.76239,Urban,0
Moncton,1,13,1,46.093236,-64.76239,Urban,0
Moncton,1,14,1,46.093236,-64.76239,Urban,0
Moncton,1,15,1,46.093236,-64.76239,Urban,0
Moncton,4,1,1,46.091344,-64.770212,Urban,0
Moncton,4,2,1,46.091344,-64.770212,Urban,0
Moncton,4,3,1,46.091344,-64.770212,Urban,0
Moncton,4,4,1,46.091344,-64.770212,Urban,0
Moncton,4,5,1,46.091344,-64.770212,Urban,0
Moncton,4,6,1,46.091344,-64.770212,Urban,1
Moncton,4,7,1,46.091344,-64.770212,Urban,0
Moncton,4,8,1,46.091344,-64.770212,Urban,0
Moncton,4,9,1,46.091344,-64.770212,Urban,0
Moncton,4,10,1,46.091344,-64.770212,Urban,0
Moncton,4,11,1,46.091344,-64.770212,Urban,0
Moncton,4,12,1,46.091344,-64.770212,Urban,0
Moncton,4,13,1,46.091344,-64.770212,Urban,0
Moncton,4,14,1,46.091344,-64.770212,Urban,0
Moncton,4,15,1,46.091344,-64.770212,Urban,0
Moncton,4,16,1,46.091344,-64.770212,Urban,0
Moncton,4,17,1,46.091344,-64.770212,Urban,0
Moncton,4,18,1,46.091344,-64.770212,Urban,1
Moncton,4,19,1,46.091344,-64.770212,Urban,0
Moncton,4,20,1,46.091344,-64.770212,Urban,0
Moncton,5,1,2,46.090688,-64.7791,Urban,0
Moncton,5,2,2,46.090688,-64.7791,Urban,0
Moncton,5,3,2,46.090688,-64.7791,Urban,0
Moncton,5,4,2,46.090688,-64.7791,Urban,0
Moncton,5,5,2,46.090688,-64.7791,Urban,0
Moncton,5,6,2,46.090688,-64.7791,Urban,0
Moncton,5,7,2,46.090688,-64.7791,Urban,0
Moncton,5,8,2,46.090688,-64.7791,Urban,0
Moncton,5,9,2,46.090688,-64.7791,Urban,0
Moncton,5,10,2,46.090688,-64.7791,Urban,0
Moncton,5,11,2,46.090688,-64.7791,Urban,0
Moncton,5,12,2,46.090688,-64.7791,Urban,0
Moncton,5,13,2,46.090688,-64.7791,Urban,0
Moncton,5,14,2,46.090688,-64.7791,Urban,0
Moncton,5,15,2,46.090688,-64.7791,Urban,0
Moncton,5,16,2,46.090688,-64.7791,Urban,0
Moncton,5,17,2,46.090688,-64.7791,Urban,0
Moncton,6,1,2,46.089319,-64.78080899999999,Urban,0
Moncton,6,2,2,46.089319,-64.78080899999999,Urban,1
Moncton,6,3,2,46.089319,-64.78080899999999,Urban,0
Moncton,6,4,2,46.089319,-64.78080899999999,Urban,1
Moncton,6,5,2,46.089319,-64.78080899999999,Urban,0
Moncton,6,6,2,46.089319,-64.78080899999999,Urban,0
Moncton,6,7,2,46.089319,-64.78080899999999,Urban,0
Moncton,6,8,2,46.089319,-64.78080899999999,Urban,0
Moncton,6,9,2,46.089319,-64.78080899999999,Urban,0
Moncton,6,10,2,46.089319,-64.78080899999999,Urban,0
Moncton,6,11,2,46.089319,-64.78080899999999,Urban,0
Moncton,6,12,2,46.089319,-64.78080899999999,Urban,0
Moncton,6,13,2,46.089319,-64.78080899999999,Urban,0
Moncton,6,14,2,46.089319,-64.78080899999999,Urban,0
Moncton,6,15,2,46.089319,-64.78080899999999,Urban,0
Moncton,6,16,2,46.089319,-64.78080899999999,Urban,1
Moncton,6,17,2,46.089319,-64.78080899999999,Urban,0
Moncton,6,18,2,46.089319,-64.78080899999999,Urban,0
Moncton,6,19,2,46.089319,-64.78080899999999,Urban,0
Moncton,6,20,2,46.089319,-64.78080899999999,Urban,1
Moncton,7,1,3,46.085207000000004,-64.789019,Urban,0
Moncton,7,2,3,46.085207000000004,-64.789019,Urban,0
Moncton,7,3,3,46.085207000000004,-64.789019,Urban,0
