city,population,plant,plate_no,population_latitude,population_longitude,habitat_type,hcn_result
Quito,1,1,1,0.0259416,-78.4820056,Rural,0
Quito,1,2,1,0.0259416,-78.4820056,Rural,0
Quito,1,3,1,0.0259416,-78.4820056,Rural,0
Quito,1,4,1,0.0259416,-78.4820056,Rural,0
Quito,1,5,1,0.0259416,-78.4820056,Rural,0
Quito,1,6,1,0.0259416,-78.4820056,Rural,0
Quito,1,7,1,0.0259416,-78.4820056,Rural,0
Quito,1,8,1,0.0259416,-78.4820056,Rural,0
Quito,1,9,1,0.0259416,-78.4820056,Rural,0
Quito,1,10,1,0.0259416,-78.4820056,Rural,1
Quito,1,11,1,0.0259416,-78.4820056,Rural,0
Quito,1,12,1,0.0259416,-78.4820056,Rural,0
Quito,1,13,1,0.0259416,-78.4820056,Rural,0
Quito,1,14,1,0.0259416,-78.4820056,Rural,0
Quito,1,15,1,0.0259416,-78.4820056,Rural,0
Quito,1,16,1,0.0259416,-78.4820056,Rural,0
Quito,1,17,1,0.0259416,-78.4820056,Rural,0
Quito,1,18,1,0.0259416,-78.4820056,Rural,0
Quito,1,19,1,0.0259416,-78.4820056,Rural,0
Quito,2,1,1,0.0243115,-78.4823345,Rural,0
Quito,2,2,1,0.0243115,-78.4823345,Rural,0
Quito,2,3,1,0.0243115,-78.4823345,Rural,0
Quito,2,4,1,0.0243115,-78.4823345,Rural,0
Quito,2,5,1,0.0243115,-78.4823345,Rural,0
Quito,2,6,1,0.0243115,-78.4823345,Rural,0
Quito,2,7,1,0.0243115,-78.4823345,Rural,0
Quito,2,8,1,0.0243115,-78.4823345,Rural,0
Quito,2,9,1,0.0243115,-78.4823345,Rural,0
Quito,2,10,1,0.0243115,-78.4823345,Rural,0
Quito,2,11,1,0.0243115,-78.4823345,Rural,0
Quito,2,12,1,0.0243115,-78.4823345,Rural,0
Quito,2,13,1,0.0243115,-78.4823345,Rural,0
Quito,2,14,1,0.0243115,-78.4823345,Rural,0
Quito,2,15,1,0.0243115,-78.4823345,Rural,0
Quito,2,16,1,0.0243115,-78.4823345,Rural,0
Quito,2,17,1,0.0243115,-78.4823345,Rural,0
Quito,2,18,1,0.0243115,-78.4823345,Rural,0
Quito,2,19,1,0.0243115,-78.4823345,Rural,0
Quito,2,20,1,0.0243115,-78.4823345,Rural,0
Quito,3,1,1,0.0227215,-78.4794652,Rural,0
Quito,3,2,1,0.0227215,-78.4794652,Rural,0
Quito,3,3,1,0.0227215,-78.4794652,Rural,0
Quito,3,4,1,0.0227215,-78.4794652,Rural,0
Quito,3,5,1,0.0227215,-78.4794652,Rural,0
Quito,3,6,1,0.0227215,-78.4794652,Rural,0
Quito,3,7,1,0.0227215,-78.4794652,Rural,0
Quito,3,8,1,0.0227215,-78.4794652,Rural,0
Quito,3,9,1,0.0227215,-78.4794652,Rural,0
Quito,3,10,2,0.0227215,-78.4794652,Rural,0
Quito,3,11,2,0.0227215,-78.4794652,Rural,1
Quito,3,12,2,0.0227215,-78.4794652,Rural,0
Quito,3,13,2,0.0227215,-78.4794652,Rural,0
Quito,3,14,2,0.0227215,-78.4794652,Rural,0
Quito,3,15,2,0.0227215,-78.4794652,Rural,0
Quito,3,16,2,0.0227215,-78.4794652,Rural,0
Quito,3,17,2,0.0227215,-78.4794652,Rural,0
Quito,3,18,2,0.0227215,-78.4794652,Rural,0
Quito,3,19,2,0.0227215,-78.4794652,Rural,0
Quito,3,20,2,0.0227215,-78.4794652,Rural,0
Quito,4,1,2,0.0172656,-78.4786327,Periurban,0
Quito,4,2,2,0.0172656,-78.4786327,Periurban,0
Quito,4,3,2,0.0172656,-78.4786327,Periurban,0
Quito,4,4,2,0.0172656,-78.4786327,Periurban,0
Quito,4,5,2,0.0172656,-78.4786327,Periurban,0
Quito,4,6,2,0.0172656,-78.4786327,Periurban,0
Quito,4,7,2,0.0172656,-78.4786327,Periurban,0
Quito,4,8,2,0.0172656,-78.4786327,Periurban,0
Quito,4,9,2,0.0172656,-78.4786327,Periurban,0
Quito,4,10,2,0.0172656,-78.4786327,Periurban,0
Quito,4,11,2,0.0172656,-78.4786327,Periurban,0
Quito,4,12,2,0.0172656,-78.4786327,Periurban,0
Quito,4,13,2,0.0172656,-78.4786327,Periurban,0
Quito,4,14,2,0.0172656,-78.4786327,Periurban,0
Quito,4,15,2,0.0172656,-78.4786327,Periurban,0
Quito,4,16,2,0.0172656,-78.4786327,Periurban,0
Quito,4,17,2,0.0172656,-78.4786327,Periurban,0
Quito,4,18,2,0.0172656,-78.4786327,Periurban,0
Quito,4,19,2,0.0172656,-78.4786327,Periurban,0
Quito,4,20,2,0.0172656,-78.4786327,Periurban,0
Quito,5,1,2,0.0083883,-78.4706636,Periurban,0
Quito,5,2,2,0.0083883,-78.4706636,Periurban,0
Quito,5,3,2,0.0083883,-78.4706636,Periurban,0
Quito,5,4,2,0.0083883,-78.4706636,Periurban,0
Quito,5,5,2,0.0083883,-78.4706636,Periurban,0
Quito,5,6,2,0.0083883,-78.4706636,Periurban,0
Quito,5,7,2,0.0083883,-78.4706636,Periurban,0
Quito,5,8,2,0.0083883,-78.4706636,Periurban,0
Quito,5,9,2,0.0083883,-78.4706636,Periurban,0
Quito,5,10,2,0.0083883,-78.4706636,Periurban,0
Quito,6,1,2,-0.0013904000000000002,-78.4570719,Periurban,0
Quito,6,2,2,-0.0013904000000000002,-78.4570719,Periurban,0
Quito,6,3,2,-0.0013904000000000002,-78.4570719,Periurban,0
Quito,6,4,2,-0.0013904000000000002,-78.4570719,Periurban,0
Quito,6,5,2,-0.0013904000000000002,-78.4570719,Periurban,0
Quito,6,6,2,-0.0013904000000000002,-78.4570719,Periurban,0
Quito,6,7,2,-0.0013904000000000002,-78.4570719,Periurban,0
Quito,6,8,3,-0.0013904000000000002,-78.4570719,Periurban,0
Quito,6,9,3,-0.0013904000000000002,-78.4570719,Periurban,0
Quito,6,10,3,-0.0013904000000000002,-78.4570719,Periurban,1
Quito,6,11,3,-0.0013904000000000002,-78.4570719,Periurban,0
Quito,6,12,3,-0.0013904000000000002,-78.4570719,Periurban,0
Quito,6,13,3,-0.0013904000000000002,-78.4570719,Periurban,0
Quito,6,14,3,-0.0013904000000000002,-78.4570719,Periurban,0
Quito,6,15,3,-0.0013904000000000002,-78.4570719,Periurban,0
Quito,6,16,3,-0.0013904000000000002,-78.4570719,Periurban,0
Quito,6,17,3,-0.0013904000000000002,-78.4570719,Periurban,0
Quito,6,18,3,-0.0013904000000000002,-78.4570719,Periurban,0
Quito,6,19,3,-0.0013904000000000002,-78.4570719,Periurban,0
Quito,6,20,3,-0.0013904000000000002,-78.4570719,Periurban,0
Quito,7,1,3,-0.0033593000000000004,-78.45372409999999,Periurban,0
Quito,7,2,3,-0.0033593000000000004,-78.45372409999999,Periurban,0
Quito,7,3,3,-0.0033593000000000004,-78.45372409999999,Periurban,1
Quito,7,4,3,-0.0033593000000000004,-78.45372409999999,Periurban,0
Quito,7,5,3,-0.0033593000000000004,-78.45372409999999,Periurban,0
Quito,7,6,3,-0.0033593000000000004,-78.45372409999999,Periurban,0
Quito,7,7,3,-0.0033593000000000004,-78.45372409999999,Periurban,0
Quito,7,8,3,-0.0033593000000000004,-78.45372409999999,Periurban,0
Quito,7,9,3,-0.0033593000000000004,-78.45372409999999,Periurban,0
Quito,7,10,3,-0.0033593000000000004,-78.45372409999999,Periurban,0
Quito,7,11,3,-0.0033593000000000004,-78.45372409999999,Periurban,0
Quito,7,12,3,-0.0033593000000000004,-78.45372409999999,Periurban,0
Quito,7,13,3,-0.0033593000000000004,-78.45372409999999,Periurban,0
Quito,7,14,3,-0.0033593000000000004,-78.45372409999999,Periurban,0
Quito,7,15,3,-0.0033593000000000004,-78.45372409999999,Periurban,0
Quito,7,16,3,-0.0033593000000000004,-78.45372409999999,Periurban,0
Quito,7,17,3,-0.0033593000000000004,-78.45372409999999,Periurban,0
Quito,7,18,3,-0.0033593000000000004,-78.45372409999999,Periurban,0
Quito,7,19,3,-0.0033593000000000004,-78.45372409999999,Periurban,0
Quito,7,20,3,-0.0033593000000000004,-78.45372409999999,Periurban,0
Quito,8,1,3,-0.0072179,-78.45306219999999,Periurban,0
Quito,8,2,3,-0.0072179,-78.45306219999999,Periurban,0
Quito,8,3,3,-0.0072179,-78.45306219999999,Periurban,0
Quito,8,4,3,-0.0072179,-78.45306219999999,Periurban,0
Quito,8,5,3,-0.0072179,-78.45306219999999,Periurban,0
Quito,8,6,3,-0.0072179,-78.45306219999999,Periurban,0
Quito,8,7,3,-0.0072179,-78.45306219999999,Periurban,0
Quito,8,8,3,-0.0072179,-78.45306219999999,Periurban,0
Quito,8,9,3,-0.0072179,-78.45306219999999,Periurban,0
Quito,9,1,3,-0.014021200000000001,-78.4528565,Periurban,0
Quito,9,2,3,-0.014021200000000001,-78.4528565,Periurban,0
Quito,9,3,3,-0.014021200000000001,-78.4528565,Periurban,0
Quito,9,4,3,-0.014021200000000001,-78.4528565,Periurban,0
Quito,9,5,3,-0.014021200000000001,-78.4528565,Periurban,0
Quito,9,6,3,-0.014021200000000001,-78.4528565,Periurban,0
Quito,9,7,4,-0.014021200000000001,-78.4528565,Periurban,0
Quito,9,8,4,-0.014021200000000001,-78.4528565,Periurban,0
Quito,9,9,4,-0.014021200000000001,-78.4528565,Periurban,0
