city,population,plant,plate_no,population_latitude,population_longitude,habitat_type,hcn_result
Reading,1.0,1.0,1.0,51.45431,-0.9728600000000001,Urban,1
Reading,1.0,2.0,1.0,51.45431,-0.9728600000000001,Urban,1
Reading,1.0,3.0,1.0,51.45431,-0.9728600000000001,Urban,1
Reading,1.0,4.0,1.0,51.45431,-0.9728600000000001,Urban,1
Reading,1.0,5.0,1.0,51.45431,-0.9728600000000001,Urban,1
Reading,1.0,6.0,1.0,51.45431,-0.9728600000000001,Urban,1
Reading,1.0,7.0,1.0,51.45431,-0.9728600000000001,Urban,1
Reading,1.0,8.0,1.0,51.45431,-0.9728600000000001,Urban,1
Reading,1.0,9.0,1.0,51.45431,-0.9728600000000001,Urban,1
Reading,1.0,10.0,1.0,51.45431,-0.9728600000000001,Urban,1
Reading,1.0,11.0,1.0,51.45431,-0.9728600000000001,Urban,1
Reading,1.0,12.0,1.0,51.45431,-0.9728600000000001,Urban,1
Reading,1.0,13.0,1.0,51.45431,-0.9728600000000001,Urban,1
Reading,1.0,14.0,1.0,51.45431,-0.9728600000000001,Urban,1
Reading,1.0,15.0,1.0,51.45431,-0.9728600000000001,Urban,1
Reading,2.0,1.0,1.0,51.458059999999996,-0.97204,Urban,0
Reading,2.0,2.0,1.0,51.458059999999996,-0.97204,Urban,0
Reading,2.0,3.0,1.0,51.458059999999996,-0.97204,Urban,0
Reading,2.0,4.0,1.0,51.458059999999996,-0.97204,Urban,0
Reading,2.0,5.0,1.0,51.458059999999996,-0.97204,Urban,0
Reading,2.0,6.0,1.0,51.458059999999996,-0.97204,Urban,0
Reading,2.0,7.0,1.0,51.458059999999996,-0.97204,Urban,0
Reading,2.0,8.0,1.0,51.458059999999996,-0.97204,Urban,0
Reading,2.0,9.0,1.0,51.458059999999996,-0.97204,Urban,0
Reading,2.0,10.0,1.0,51.458059999999996,-0.97204,Urban,0
Reading,2.0,11.0,1.0,51.458059999999996,-0.97204,Urban,0
Reading,2.0,12.0,1.0,51.458059999999996,-0.97204,Urban,0
Reading,2.0,13.0,1.0,51.458059999999996,-0.97204,Urban,0
Reading,2.0,14.0,1.0,51.458059999999996,-0.97204,Urban,0
Reading,2.0,15.0,1.0,51.458059999999996,-0.97204,Urban,0
Reading,3.0,1.0,1.0,51.45671,-0.96916,Urban,0
Reading,3.0,2.0,1.0,51.45671,-0.96916,Urban,1
Reading,3.0,3.0,1.0,51.45671,-0.96916,Urban,0
Reading,3.0,4.0,1.0,51.45671,-0.96916,Urban,1
Reading,3.0,5.0,1.0,51.45671,-0.96916,Urban,1
Reading,3.0,6.0,1.0,51.45671,-0.96916,Urban,0
Reading,3.0,7.0,1.0,51.45671,-0.96916,Urban,1
Reading,3.0,8.0,1.0,51.45671,-0.96916,Urban,1
Reading,3.0,9.0,1.0,51.45671,-0.96916,Urban,1
Reading,3.0,10.0,1.0,51.45671,-0.96916,Urban,0
Reading,3.0,11.0,1.0,51.45671,-0.96916,Urban,1
Reading,3.0,12.0,1.0,51.45671,-0.96916,Urban,1
Reading,3.0,13.0,1.0,51.45671,-0.96916,Urban,1
Reading,3.0,14.0,1.0,51.45671,-0.96916,Urban,0
Reading,3.0,15.0,1.0,51.45671,-0.96916,Urban,1
Reading,4.0,1.0,2.0,51.45726,-0.96598,Urban,0
Reading,4.0,2.0,2.0,51.45726,-0.96598,Urban,0
Reading,4.0,3.0,2.0,51.45726,-0.96598,Urban,0
Reading,4.0,4.0,2.0,51.45726,-0.96598,Urban,0
Reading,4.0,5.0,2.0,51.45726,-0.96598,Urban,0
Reading,4.0,6.0,2.0,51.45726,-0.96598,Urban,0
Reading,4.0,7.0,2.0,51.45726,-0.96598,Urban,0
Reading,4.0,8.0,2.0,51.45726,-0.96598,Urban,0
Reading,4.0,9.0,2.0,51.45726,-0.96598,Urban,0
Reading,4.0,10.0,2.0,51.45726,-0.96598,Urban,0
Reading,4.0,11.0,2.0,51.45726,-0.96598,Urban,0
Reading,4.0,12.0,2.0,51.45726,-0.96598,Urban,0
Reading,4.0,13.0,2.0,51.45726,-0.96598,Urban,0
Reading,4.0,14.0,2.0,51.45726,-0.96598,Urban,0
Reading,4.0,15.0,2.0,51.45726,-0.96598,Urban,0
Reading,5.0,1.0,2.0,51.45578,-0.96473,Urban,0
Reading,5.0,2.0,2.0,51.45578,-0.96473,Urban,1
Reading,5.0,3.0,2.0,51.45578,-0.96473,Urban,0
Reading,5.0,4.0,2.0,51.45578,-0.96473,Urban,0
Reading,5.0,5.0,2.0,51.45578,-0.96473,Urban,0
Reading,5.0,6.0,2.0,51.45578,-0.96473,Urban,0
Reading,5.0,7.0,2.0,51.45578,-0.96473,Urban,0
Reading,5.0,8.0,2.0,51.45578,-0.96473,Urban,0
Reading,5.0,9.0,2.0,51.45578,-0.96473,Urban,0
Reading,5.0,10.0,2.0,51.45578,-0.96473,Urban,0
Reading,5.0,11.0,2.0,51.45578,-0.96473,Urban,0
Reading,5.0,12.0,2.0,51.45578,-0.96473,Urban,0
Reading,5.0,13.0,2.0,51.45578,-0.96473,Urban,0
Reading,5.0,14.0,2.0,51.45578,-0.96473,Urban,0
Reading,5.0,15.0,2.0,51.45578,-0.96473,Urban,0
Reading,6.0,1.0,2.0,51.45363,-0.9656299999999999,Urban,0
Reading,6.0,2.0,2.0,51.45363,-0.9656299999999999,Urban,0
Reading,6.0,3.0,2.0,51.45363,-0.9656299999999999,Urban,0
Reading,6.0,4.0,2.0,51.45363,-0.9656299999999999,Urban,0
Reading,6.0,5.0,2.0,51.45363,-0.9656299999999999,Urban,0
Reading,6.0,6.0,2.0,51.45363,-0.9656299999999999,Urban,0
Reading,6.0,7.0,2.0,51.45363,-0.9656299999999999,Urban,0
Reading,6.0,8.0,2.0,51.45363,-0.9656299999999999,Urban,0
Reading,6.0,9.0,2.0,51.45363,-0.9656299999999999,Urban,0
Reading,6.0,10.0,2.0,51.45363,-0.9656299999999999,Urban,0
Reading,6.0,11.0,2.0,51.45363,-0.9656299999999999,Urban,0
Reading,6.0,12.0,2.0,51.45363,-0.9656299999999999,Urban,0
Reading,6.0,13.0,2.0,51.45363,-0.9656299999999999,Urban,0
Reading,6.0,14.0,2.0,51.45363,-0.9656299999999999,Urban,0
Reading,6.0,15.0,2.0,51.45363,-0.9656299999999999,Urban,0
Reading,7.0,1.0,3.0,51.4511,-0.96357,Urban,0
Reading,7.0,2.0,3.0,51.4511,-0.96357,Urban,0
Reading,7.0,3.0,3.0,51.4511,-0.96357,Urban,0
Reading,7.0,4.0,3.0,51.4511,-0.96357,Urban,0
Reading,7.0,5.0,3.0,51.4511,-0.96357,Urban,0
Reading,7.0,6.0,3.0,51.4511,-0.96357,Urban,0
Reading,7.0,7.0,3.0,51.4511,-0.96357,Urban,0
Reading,7.0,8.0,3.0,51.4511,-0.96357,Urban,0
Reading,7.0,9.0,3.0,51.4511,-0.96357,Urban,0
Reading,7.0,10.0,3.0,51.4511,-0.96357,Urban,0
Reading,7.0,11.0,3.0,51.4511,-0.96357,Urban,0
Reading,7.0,12.0,3.0,51.4511,-0.96357,Urban,0
Reading,7.0,13.0,3.0,51.4511,-0.96357,Urban,0
Reading,7.0,14.0,3.0,51.4511,-0.96357,Urban,0
Reading,7.0,15.0,3.0,51.4511,-0.96357,Urban,0
Reading,8.0,1.0,3.0,51.44835,-0.96104,Suburban,1
Reading,8.0,2.0,3.0,51.44835,-0.96104,Suburban,1
Reading,8.0,3.0,3.0,51.44835,-0.96104,Suburban,1
Reading,8.0,4.0,3.0,51.44835,-0.96104,Suburban,1
Reading,8.0,5.0,3.0,51.44835,-0.96104,Suburban,1
Reading,8.0,6.0,3.0,51.44835,-0.96104,Suburban,0
Reading,8.0,7.0,3.0,51.44835,-0.96104,Suburban,1
Reading,8.0,8.0,3.0,51.44835,-0.96104,Suburban,1
Reading,8.0,9.0,3.0,51.44835,-0.96104,Suburban,0
Reading,8.0,10.0,3.0,51.44835,-0.96104,Suburban,1
Reading,8.0,11.0,3.0,51.44835,-0.96104,Suburban,1
Reading,8.0,12.0,3.0,51.44835,-0.96104,Suburban,1
Reading,8.0,13.0,3.0,51.44835,-0.96104,Suburban,1
Reading,8.0,14.0,3.0,51.44835,-0.96104,Suburban,1
Reading,8.0,15.0,3.0,51.44835,-0.96104,Suburban,1
Reading,9.0,1.0,3.0,51.4463,-0.95905,Suburban,0
Reading,9.0,2.0,3.0,51.4463,-0.95905,Suburban,0
Reading,9.0,3.0,3.0,51.4463,-0.95905,Suburban,0
Reading,9.0,4.0,3.0,51.4463,-0.95905,Suburban,0
Reading,9.0,5.0,3.0,51.4463,-0.95905,Suburban,0
Reading,9.0,6.0,3.0,51.4463,-0.95905,Suburban,0
Reading,9.0,7.0,3.0,51.4463,-0.95905,Suburban,0
Reading,9.0,8.0,3.0,51.4463,-0.95905,Suburban,0
Reading,9.0,9.0,3.0,51.4463,-0.95905,Suburban,0
Reading,9.0,10.0,3.0,51.4463,-0.95905,Suburban,0
Reading,9.0,11.0,3.0,51.4463,-0.95905,Suburban,0
Reading,9.0,12.0,3.0,51.4463,-0.95905,Suburban,1
Reading,9.0,13.0,3.0,51.4463,-0.95905,Suburban,0
Reading,9.0,14.0,3.0,51.4463,-0.95905,Suburban,0
Reading,9.0,15.0,3.0,51.4463,-0.95905,Suburban,0
Reading,10.0,1.0,4.0,51.44427,-0.95729,Suburban,0
Reading,10.0,2.0,4.0,51.44427,-0.95729,Suburban,0
Reading,10.0,3.0,4.0,51.44427,-0.95729,Suburban,0
Reading,10.0,4.0,4.0,51.44427,-0.95729,Suburban,0
Reading,10.0,5.0,4.0,51.44427,-0.95729,Suburban,0
Reading,10.0,6.0,4.0,51.44427,-0.95729,Suburban,0
Reading,10.0,7.0,4.0,51.44427,-0.95729,Suburban,0
Reading,10.0,8.0,4.0,51.44427,-0.95729,Suburban,0
Reading,10.0,9.0,4.0,51.44427,-0.95729,Suburban,0
Reading,10.0,10.0,4.0,51.44427,-0.95729,Suburban,0
Reading,10.0,11.0,4.0,51.44427,-0.95729,Suburban,0
Reading,10.0,12.0,4.0,51.44427,-0.95729,Suburban,1
Reading,10.0,13.0,4.0,51.44427,-0.95729,Suburban,0
Reading,10.0,14.0,4.0,51.44427,-0.95729,Suburban,0
Reading,10.0,15.0,4.0,51.44427,-0.95729,Suburban,0
Reading,11.0,1.0,4.0,51.442370000000004,-0.95604,Suburban,1
Reading,11.0,2.0,4.0,51.442370000000004,-0.95604,Suburban,0
Reading,11.0,3.0,4.0,51.442370000000004,-0.95604,Suburban,0
Reading,11.0,4.0,4.0,51.442370000000004,-0.95604,Suburban,1
Reading,11.0,5.0,4.0,51.442370000000004,-0.95604,Suburban,1
Reading,11.0,6.0,4.0,51.442370000000004,-0.95604,Suburban,0
Reading,11.0,7.0,4.0,51.442370000000004,-0.95604,Suburban,1
Reading,11.0,8.0,4.0,51.442370000000004,-0.95604,Suburban,1
Reading,11.0,9.0,4.0,51.442370000000004,-0.95604,Suburban,0
Reading,11.0,10.0,4.0,51.442370000000004,-0.95604,Suburban,1
Reading,11.0,11.0,4.0,51.442370000000004,-0.95604,Suburban,1
Reading,11.0,12.0,4.0,51.442370000000004,-0.95604,Suburban,1
Reading,11.0,13.0,4.0,51.442370000000004,-0.95604,Suburban,1
Reading,11.0,14.0,4.0,51.442370000000004,-0.95604,Suburban,1
Reading,11.0,15.0,4.0,51.442370000000004,-0.95604,Suburban,1
Reading,12.0,1.0,4.0,51.44035,-0.9537,Suburban,0
Reading,12.0,2.0,4.0,51.44035,-0.9537,Suburban,0
Reading,12.0,3.0,4.0,51.44035,-0.9537,Suburban,0
Reading,12.0,4.0,4.0,51.44035,-0.9537,Suburban,0
Reading,12.0,5.0,4.0,51.44035,-0.9537,Suburban,0
Reading,12.0,6.0,4.0,51.44035,-0.9537,Suburban,0
Reading,12.0,7.0,4.0,51.44035,-0.9537,Suburban,0
Reading,12.0,8.0,4.0,51.44035,-0.9537,Suburban,0
Reading,12.0,9.0,4.0,51.44035,-0.9537,Suburban,0
Reading,12.0,10.0,4.0,51.44035,-0.9537,Suburban,0
Reading,12.0,11.0,4.0,51.44035,-0.9537,Suburban,0
Reading,12.0,12.0,4.0,51.44035,-0.9537,Suburban,0
Reading,12.0,13.0,4.0,51.44035,-0.9537,Suburban,0
Reading,12.0,14.0,4.0,51.44035,-0.9537,Suburban,0
Reading,12.0,15.0,4.0,51.44035,-0.9537,Suburban,0
Reading,13.0,1.0,5.0,51.43888,-0.9519,Suburban,0
Reading,13.0,2.0,5.0,51.43888,-0.9519,Suburban,0
Reading,13.0,3.0,5.0,51.43888,-0.9519,Suburban,0
Reading,13.0,4.0,5.0,51.43888,-0.9519,Suburban,0
Reading,13.0,5.0,5.0,51.43888,-0.9519,Suburban,0
Reading,13.0,6.0,5.0,51.43888,-0.9519,Suburban,0
Reading,13.0,7.0,5.0,51.43888,-0.9519,Suburban,0
Reading,13.0,8.0,5.0,51.43888,-0.9519,Suburban,0
Reading,13.0,9.0,5.0,51.43888,-0.9519,Suburban,0
Reading,13.0,10.0,5.0,51.43888,-0.9519,Suburban,0
Reading,13.0,11.0,5.0,51.43888,-0.9519,Suburban,0
Reading,13.0,12.0,5.0,51.43888,-0.9519,Suburban,0
Reading,13.0,13.0,5.0,51.43888,-0.9519,Suburban,0
Reading,13.0,14.0,5.0,51.43888,-0.9519,Suburban,0
Reading,13.0,15.0,5.0,51.43888,-0.9519,Suburban,0
Reading,14.0,1.0,5.0,51.436859999999996,-0.95014,Suburban,0
Reading,14.0,2.0,5.0,51.436859999999996,-0.95014,Suburban,0
Reading,14.0,3.0,5.0,51.436859999999996,-0.95014,Suburban,0
Reading,14.0,4.0,5.0,51.436859999999996,-0.95014,Suburban,0
Reading,14.0,5.0,5.0,51.436859999999996,-0.95014,Suburban,0
Reading,14.0,6.0,5.0,51.436859999999996,-0.95014,Suburban,0
Reading,14.0,7.0,5.0,51.436859999999996,-0.95014,Suburban,0
Reading,14.0,8.0,5.0,51.436859999999996,-0.95014,Suburban,0
Reading,14.0,9.0,5.0,51.436859999999996,-0.95014,Suburban,0
Reading,14.0,10.0,5.0,51.436859999999996,-0.95014,Suburban,0
Reading,14.0,11.0,5.0,51.436859999999996,-0.95014,Suburban,0
Reading,14.0,12.0,5.0,51.436859999999996,-0.95014,Suburban,0
Reading,14.0,13.0,5.0,51.436859999999996,-0.95014,Suburban,0
Reading,14.0,14.0,5.0,51.436859999999996,-0.95014,Suburban,0
Reading,14.0,15.0,5.0,51.436859999999996,-0.95014,Suburban,0
Reading,15.0,1.0,5.0,51.43508,-0.9483799999999999,Suburban,0
Reading,15.0,2.0,5.0,51.43508,-0.9483799999999999,Suburban,0
Reading,15.0,3.0,5.0,51.43508,-0.9483799999999999,Suburban,0
Reading,15.0,4.0,5.0,51.43508,-0.9483799999999999,Suburban,0
Reading,15.0,5.0,5.0,51.43508,-0.9483799999999999,Suburban,0
Reading,15.0,6.0,5.0,51.43508,-0.9483799999999999,Suburban,0
Reading,15.0,7.0,5.0,51.43508,-0.9483799999999999,Suburban,0
Reading,15.0,8.0,5.0,51.43508,-0.9483799999999999,Suburban,0
Reading,15.0,9.0,5.0,51.43508,-0.9483799999999999,Suburban,0
Reading,15.0,10.0,5.0,51.43508,-0.9483799999999999,Suburban,0
Reading,15.0,11.0,5.0,51.43508,-0.9483799999999999,Suburban,0
Reading,15.0,12.0,5.0,51.43508,-0.9483799999999999,Suburban,0
Reading,15.0,13.0,5.0,51.43508,-0.9483799999999999,Suburban,0
Reading,15.0,14.0,5.0,51.43508,-0.9483799999999999,Suburban,0
Reading,15.0,15.0,5.0,51.43508,-0.9483799999999999,Suburban,0
Reading,16.0,1.0,6.0,51.43326,-0.94658,Suburban,0
Reading,16.0,2.0,6.0,51.43326,-0.94658,Suburban,0
Reading,16.0,3.0,6.0,51.43326,-0.94658,Suburban,0
Reading,16.0,4.0,6.0,51.43326,-0.94658,Suburban,0
Reading,16.0,5.0,6.0,51.43326,-0.94658,Suburban,0
Reading,16.0,6.0,6.0,51.43326,-0.94658,Suburban,0
Reading,16.0,7.0,6.0,51.43326,-0.94658,Suburban,0
Reading,16.0,8.0,6.0,51.43326,-0.94658,Suburban,0
Reading,16.0,9.0,6.0,51.43326,-0.94658,Suburban,0
Reading,16.0,10.0,6.0,51.43326,-0.94658,Suburban,0
Reading,16.0,11.0,6.0,51.43326,-0.94658,Suburban,0
Reading,16.0,12.0,6.0,51.43326,-0.94658,Suburban,0
Reading,16.0,13.0,6.0,51.43326,-0.94658,Suburban,0
Reading,16.0,14.0,6.0,51.43326,-0.94658,Suburban,0
Reading,16.0,15.0,6.0,51.43326,-0.94658,Suburban,0
Reading,17.0,1.0,6.0,51.43153,-0.94495,Suburban,1
Reading,17.0,2.0,6.0,51.43153,-0.94495,Suburban,1
Reading,17.0,3.0,6.0,51.43153,-0.94495,Suburban,1
Reading,17.0,4.0,6.0,51.43153,-0.94495,Suburban,1
Reading,17.0,5.0,6.0,51.43153,-0.94495,Suburban,1
Reading,17.0,6.0,6.0,51.43153,-0.94495,Suburban,1
Reading,17.0,7.0,6.0,51.43153,-0.94495,Suburban,0
Reading,17.0,8.0,6.0,51.43153,-0.94495,Suburban,0
Reading,17.0,9.0,6.0,51.43153,-0.94495,Suburban,1
Reading,17.0,10.0,6.0,51.43153,-0.94495,Suburban,1
Reading,17.0,11.0,6.0,51.43153,-0.94495,Suburban,1
Reading,17.0,12.0,6.0,51.43153,-0.94495,Suburban,1
Reading,17.0,13.0,6.0,51.43153,-0.94495,Suburban,0
Reading,17.0,14.0,6.0,51.43153,-0.94495,Suburban,1
Reading,17.0,15.0,6.0,51.43153,-0.94495,Suburban,0
Reading,18.0,1.0,6.0,51.42965,-0.94331,Suburban,1
Reading,18.0,2.0,6.0,51.42965,-0.94331,Suburban,1
Reading,18.0,3.0,6.0,51.42965,-0.94331,Suburban,1
Reading,18.0,4.0,6.0,51.42965,-0.94331,Suburban,1
Reading,18.0,5.0,6.0,51.42965,-0.94331,Suburban,1
Reading,18.0,6.0,6.0,51.42965,-0.94331,Suburban,1
Reading,18.0,7.0,6.0,51.42965,-0.94331,Suburban,1
Reading,18.0,8.0,6.0,51.42965,-0.94331,Suburban,1
Reading,18.0,9.0,6.0,51.42965,-0.94331,Suburban,1
Reading,18.0,10.0,6.0,51.42965,-0.94331,Suburban,1
Reading,18.0,11.0,6.0,51.42965,-0.94331,Suburban,1
Reading,18.0,12.0,6.0,51.42965,-0.94331,Suburban,1
Reading,18.0,13.0,6.0,51.42965,-0.94331,Suburban,1
Reading,18.0,14.0,6.0,51.42965,-0.94331,Suburban,1
Reading,18.0,15.0,6.0,51.42965,-0.94331,Suburban,1
Reading,19.0,1.0,7.0,51.42784,-0.9411200000000001,Suburban,0
Reading,19.0,2.0,7.0,51.42784,-0.9411200000000001,Suburban,0
Reading,19.0,3.0,7.0,51.42784,-0.9411200000000001,Suburban,0
Reading,19.0,4.0,7.0,51.42784,-0.9411200000000001,Suburban,0
Reading,19.0,5.0,7.0,51.42784,-0.9411200000000001,Suburban,0
Reading,19.0,6.0,7.0,51.42784,-0.9411200000000001,Suburban,0
Reading,19.0,7.0,7.0,51.42784,-0.9411200000000001,Suburban,0
Reading,19.0,8.0,7.0,51.42784,-0.9411200000000001,Suburban,0
Reading,19.0,9.0,7.0,51.42784,-0.9411200000000001,Suburban,0
Reading,19.0,10.0,7.0,51.42784,-0.9411200000000001,Suburban,1
