city,population,plant,plate_no,population_latitude,population_longitude,habitat_type,hcn_result
Sacramento,1,1,1,38.54707,-121.471108,Urban,0
Sacramento,1,2,1,38.54707,-121.471108,Urban,0
Sacramento,1,3,1,38.54707,-121.471108,Urban,0
Sacramento,1,4,1,38.54707,-121.471108,Urban,1
Sacramento,1,5,1,38.54707,-121.471108,Urban,0
Sacramento,1,6,1,38.54707,-121.471108,Urban,1
Sacramento,1,7,1,38.54707,-121.471108,Urban,0
Sacramento,1,8,1,38.54707,-121.471108,Urban,1
Sacramento,1,9,1,38.54707,-121.471108,Urban,1
Sacramento,1,10,1,38.54707,-121.471108,Urban,0
Sacramento,1,11,1,38.54707,-121.471108,Urban,0
Sacramento,1,12,1,38.54707,-121.471108,Urban,0
Sacramento,1,13,1,38.54707,-121.471108,Urban,0
Sacramento,1,14,1,38.54707,-121.471108,Urban,0
Sacramento,1,15,1,38.54707,-121.471108,Urban,1
Sacramento,1,16,1,38.54707,-121.471108,Urban,0
Sacramento,1,17,1,38.54707,-121.471108,Urban,0
Sacramento,1,18,1,38.54707,-121.471108,Urban,1
Sacramento,1,19,1,38.54707,-121.471108,Urban,0
Sacramento,1,20,1,38.54707,-121.471108,Urban,0
Sacramento,1,21,1,38.54707,-121.471108,Urban,0
Sacramento,2,1,1,38.554376,-121.471125,Urban,0
Sacramento,2,2,1,38.554376,-121.471125,Urban,0
Sacramento,2,3,1,38.554376,-121.471125,Urban,1
Sacramento,2,4,1,38.554376,-121.471125,Urban,1
Sacramento,2,5,1,38.554376,-121.471125,Urban,0
Sacramento,2,6,1,38.554376,-121.471125,Urban,1
Sacramento,2,7,1,38.554376,-121.471125,Urban,0
Sacramento,2,8,1,38.554376,-121.471125,Urban,1
Sacramento,2,9,1,38.554376,-121.471125,Urban,0
Sacramento,2,10,1,38.554376,-121.471125,Urban,0
Sacramento,2,11,1,38.554376,-121.471125,Urban,0
Sacramento,2,12,1,38.554376,-121.471125,Urban,0
Sacramento,2,13,1,38.554376,-121.471125,Urban,1
Sacramento,2,14,1,38.554376,-121.471125,Urban,0
Sacramento,2,15,1,38.554376,-121.471125,Urban,0
Sacramento,2,16,1,38.554376,-121.471125,Urban,0
Sacramento,2,17,1,38.554376,-121.471125,Urban,0
Sacramento,2,18,1,38.554376,-121.471125,Urban,0
Sacramento,2,19,1,38.554376,-121.471125,Urban,0
Sacramento,2,20,1,38.554376,-121.471125,Urban,1
Sacramento,2,21,1,38.554376,-121.471125,Urban,0
Sacramento,3,1,2,38.555989000000004,-121.46803,Urban,0
Sacramento,3,2,2,38.555989000000004,-121.46803,Urban,0
Sacramento,3,3,2,38.555989000000004,-121.46803,Urban,0
Sacramento,3,4,2,38.555989000000004,-121.46803,Urban,1
Sacramento,3,5,2,38.555989000000004,-121.46803,Urban,0
Sacramento,3,6,2,38.555989000000004,-121.46803,Urban,0
Sacramento,3,7,2,38.555989000000004,-121.46803,Urban,0
Sacramento,3,8,2,38.555989000000004,-121.46803,Urban,0
Sacramento,3,9,2,38.555989000000004,-121.46803,Urban,1
Sacramento,3,10,2,38.555989000000004,-121.46803,Urban,1
Sacramento,3,11,2,38.555989000000004,-121.46803,Urban,0
Sacramento,3,12,2,38.555989000000004,-121.46803,Urban,0
Sacramento,3,13,2,38.555989000000004,-121.46803,Urban,0
Sacramento,3,14,2,38.555989000000004,-121.46803,Urban,0
Sacramento,3,15,2,38.555989000000004,-121.46803,Urban,1
Sacramento,3,16,2,38.555989000000004,-121.46803,Urban,0
Sacramento,3,17,2,38.555989000000004,-121.46803,Urban,0
Sacramento,3,18,2,38.555989000000004,-121.46803,Urban,0
Sacramento,3,19,2,38.555989000000004,-121.46803,Urban,0
Sacramento,3,20,2,38.555989000000004,-121.46803,Urban,0
Sacramento,4,1,2,38.558669,-121.477057,Urban,0
Sacramento,4,2,2,38.558669,-121.477057,Urban,0
Sacramento,4,3,2,38.558669,-121.477057,Urban,0
Sacramento,4,4,2,38.558669,-121.477057,Urban,0
Sacramento,4,5,2,38.558669,-121.477057,Urban,1
Sacramento,4,6,2,38.558669,-121.477057,Urban,0
Sacramento,4,7,2,38.558669,-121.477057,Urban,1
Sacramento,4,8,2,38.558669,-121.477057,Urban,0
Sacramento,4,9,2,38.558669,-121.477057,Urban,1
Sacramento,4,10,2,38.558669,-121.477057,Urban,1
Sacramento,4,11,2,38.558669,-121.477057,Urban,0
Sacramento,4,12,2,38.558669,-121.477057,Urban,1
Sacramento,4,13,2,38.558669,-121.477057,Urban,1
Sacramento,4,14,2,38.558669,-121.477057,Urban,0
Sacramento,4,15,2,38.558669,-121.477057,Urban,1
Sacramento,5,1,3,38.56119,-121.47706000000001,Urban,1
Sacramento,5,2,3,38.56119,-121.47706000000001,Urban,1
Sacramento,5,3,3,38.56119,-121.47706000000001,Urban,0
Sacramento,5,4,3,38.56119,-121.47706000000001,Urban,1
Sacramento,5,5,3,38.56119,-121.47706000000001,Urban,0
Sacramento,5,6,3,38.56119,-121.47706000000001,Urban,0
Sacramento,5,7,3,38.56119,-121.47706000000001,Urban,0
Sacramento,5,8,3,38.56119,-121.47706000000001,Urban,0
Sacramento,5,9,3,38.56119,-121.47706000000001,Urban,0
Sacramento,5,10,3,38.56119,-121.47706000000001,Urban,0
Sacramento,5,11,3,38.56119,-121.47706000000001,Urban,0
Sacramento,5,12,3,38.56119,-121.47706000000001,Urban,1
Sacramento,5,13,3,38.56119,-121.47706000000001,Urban,0
Sacramento,5,14,3,38.56119,-121.47706000000001,Urban,0
Sacramento,5,15,3,38.56119,-121.47706000000001,Urban,0
Sacramento,5,16,3,38.56119,-121.47706000000001,Urban,0
Sacramento,5,17,3,38.56119,-121.47706000000001,Urban,0
Sacramento,5,18,3,38.56119,-121.47706000000001,Urban,0
Sacramento,5,19,3,38.56119,-121.47706000000001,Urban,0
Sacramento,5,20,3,38.56119,-121.47706000000001,Urban,0
Sacramento,6,1,3,38.565,-121.48365,Urban,0
Sacramento,6,2,3,38.565,-121.48365,Urban,0
Sacramento,6,3,3,38.565,-121.48365,Urban,0
Sacramento,6,4,3,38.565,-121.48365,Urban,1
Sacramento,6,5,3,38.565,-121.48365,Urban,1
Sacramento,6,6,3,38.565,-121.48365,Urban,0
Sacramento,6,7,3,38.565,-121.48365,Urban,1
Sacramento,6,8,3,38.565,-121.48365,Urban,0
Sacramento,6,9,3,38.565,-121.48365,Urban,0
Sacramento,6,10,3,38.565,-121.48365,Urban,0
Sacramento,6,11,3,38.565,-121.48365,Urban,0
Sacramento,6,12,3,38.565,-121.48365,Urban,0
Sacramento,6,13,3,38.565,-121.48365,Urban,1
Sacramento,6,14,3,38.565,-121.48365,Urban,1
Sacramento,6,15,3,38.565,-121.48365,Urban,0
