city,population,plant,plate_no,population_latitude,population_longitude,habitat_type,hcn_result
Stuttgart,1,1,1,48.78503,9.18626,Urban,0
Stuttgart,1,2,1,48.78503,9.18626,Urban,1
Stuttgart,1,3,1,48.78503,9.18626,Urban,0
Stuttgart,1,4,1,48.78503,9.18626,Urban,0
Stuttgart,1,5,1,48.78503,9.18626,Urban,0
Stuttgart,1,6,1,48.78503,9.18626,Urban,0
Stuttgart,1,7,1,48.78503,9.18626,Urban,0
Stuttgart,1,8,1,48.78503,9.18626,Urban,1
Stuttgart,1,9,1,48.78503,9.18626,Urban,1
Stuttgart,1,10,1,48.78503,9.18626,Urban,1
Stuttgart,1,11,1,48.78503,9.18626,Urban,0
Stuttgart,1,12,1,48.78503,9.18626,Urban,0
Stuttgart,1,13,1,48.78503,9.18626,Urban,0
Stuttgart,1,14,1,48.78503,9.18626,Urban,0
Stuttgart,1,15,1,48.78503,9.18626,Urban,1
Stuttgart,1,16,1,48.78503,9.18626,Urban,1
Stuttgart,1,17,1,48.78503,9.18626,Urban,0
Stuttgart,1,18,1,48.78503,9.18626,Urban,1
Stuttgart,1,19,1,48.78503,9.18626,Urban,0
Stuttgart,1,20,1,48.78503,9.18626,Urban,1
Stuttgart,2,1,1,48.781490000000005,9.18405,Urban,1
Stuttgart,2,2,1,48.781490000000005,9.18405,Urban,0
Stuttgart,2,3,1,48.781490000000005,9.18405,Urban,1
Stuttgart,2,4,1,48.781490000000005,9.18405,Urban,0
Stuttgart,2,5,1,48.781490000000005,9.18405,Urban,1
Stuttgart,2,6,1,48.781490000000005,9.18405,Urban,0
Stuttgart,2,7,1,48.781490000000005,9.18405,Urban,0
Stuttgart,2,8,1,48.781490000000005,9.18405,Urban,0
Stuttgart,2,9,1,48.781490000000005,9.18405,Urban,0
Stuttgart,2,10,1,48.781490000000005,9.18405,Urban,1
Stuttgart,2,11,1,48.781490000000005,9.18405,Urban,0
Stuttgart,2,12,1,48.781490000000005,9.18405,Urban,0
Stuttgart,2,13,1,48.781490000000005,9.18405,Urban,1
Stuttgart,2,14,1,48.781490000000005,9.18405,Urban,0
Stuttgart,2,15,1,48.781490000000005,9.18405,Urban,0
Stuttgart,2,16,1,48.781490000000005,9.18405,Urban,0
Stuttgart,2,17,1,48.781490000000005,9.18405,Urban,0
Stuttgart,2,18,1,48.781490000000005,9.18405,Urban,0
Stuttgart,2,19,1,48.781490000000005,9.18405,Urban,0
Stuttgart,2,20,1,48.781490000000005,9.18405,Urban,0
Stuttgart,3,1,2,48.77933,9.1827,Urban,0
Stuttgart,3,2,2,48.77933,9.1827,Urban,0
Stuttgart,3,3,2,48.77933,9.1827,Urban,0
Stuttgart,3,4,2,48.77933,9.1827,Urban,0
Stuttgart,3,5,2,48.77933,9.1827,Urban,0
Stuttgart,3,6,2,48.77933,9.1827,Urban,0
Stuttgart,3,7,2,48.77933,9.1827,Urban,0
Stuttgart,3,8,2,48.77933,9.1827,Urban,0
Stuttgart,3,9,2,48.77933,9.1827,Urban,0
Stuttgart,3,10,2,48.77933,9.1827,Urban,1
Stuttgart,3,11,2,48.77933,9.1827,Urban,0
Stuttgart,3,12,2,48.77933,9.1827,Urban,0
Stuttgart,3,13,2,48.77933,9.1827,Urban,0
Stuttgart,3,14,2,48.77933,9.1827,Urban,0
Stuttgart,3,15,2,48.77933,9.1827,Urban,0
Stuttgart,3,16,2,48.77933,9.1827,Urban,0
Stuttgart,3,17,2,48.77933,9.1827,Urban,0
Stuttgart,3,18,2,48.77933,9.1827,Urban,0
Stuttgart,3,19,2,48.77933,9.1827,Urban,0
Stuttgart,3,20,2,48.77933,9.1827,Urban,0
Stuttgart,4,1,2,48.776959999999995,9.182910000000001,Urban,0
Stuttgart,4,2,2,48.776959999999995,9.182910000000001,Urban,0
Stuttgart,4,3,2,48.776959999999995,9.182910000000001,Urban,0
Stuttgart,4,5,2,48.776959999999995,9.182910000000001,Urban,0
Stuttgart,4,6,2,48.776959999999995,9.182910000000001,Urban,1
Stuttgart,4,7,2,48.776959999999995,9.182910000000001,Urban,0
Stuttgart,4,8,2,48.776959999999995,9.182910000000001,Urban,0
Stuttgart,4,9,2,48.776959999999995,9.182910000000001,Urban,0
Stuttgart,4,10,2,48.776959999999995,9.182910000000001,Urban,0
Stuttgart,4,11,2,48.776959999999995,9.182910000000001,Urban,0
Stuttgart,4,12,2,48.776959999999995,9.182910000000001,Urban,1
Stuttgart,4,13,2,48.776959999999995,9.182910000000001,Urban,0
Stuttgart,4,14,2,48.776959999999995,9.182910000000001,Urban,0
Stuttgart,4,15,2,48.776959999999995,9.182910000000001,Urban,0
Stuttgart,4,16,2,48.776959999999995,9.182910000000001,Urban,1
Stuttgart,4,17,2,48.776959999999995,9.182910000000001,Urban,1
Stuttgart,4,18,2,48.776959999999995,9.182910000000001,Urban,0
Stuttgart,4,19,2,48.776959999999995,9.182910000000001,Urban,0
Stuttgart,4,20,2,48.776959999999995,9.182910000000001,Urban,0
Stuttgart,5,1,3,48.777609999999996,9.17933,Urban,0
Stuttgart,5,2,3,48.777609999999996,9.17933,Urban,1
Stuttgart,5,3,3,48.777609999999996,9.17933,Urban,1
Stuttgart,5,4,3,48.777609999999996,9.17933,Urban,0
Stuttgart,5,5,3,48.777609999999996,9.17933,Urban,1
Stuttgart,5,6,3,48.777609999999996,9.17933,Urban,1
Stuttgart,5,7,3,48.777609999999996,9.17933,Urban,0
Stuttgart,5,8,3,48.777609999999996,9.17933,Urban,1
Stuttgart,5,9,3,48.777609999999996,9.17933,Urban,1
Stuttgart,5,10,3,48.777609999999996,9.17933,Urban,1
Stuttgart,5,11,3,48.777609999999996,9.17933,Urban,0
Stuttgart,5,12,3,48.777609999999996,9.17933,Urban,0
Stuttgart,5,13,3,48.777609999999996,9.17933,Urban,1
Stuttgart,5,14,3,48.777609999999996,9.17933,Urban,0
Stuttgart,5,15,3,48.777609999999996,9.17933,Urban,1
Stuttgart,5,16,3,48.777609999999996,9.17933,Urban,1
Stuttgart,5,17,3,48.777609999999996,9.17933,Urban,1
Stuttgart,5,18,3,48.777609999999996,9.17933,Urban,0
Stuttgart,5,19,3,48.777609999999996,9.17933,Urban,0
Stuttgart,5,20,3,48.777609999999996,9.17933,Urban,1
Stuttgart,6,1,3,48.78114,9.17313,Urban,1
Stuttgart,6,2,3,48.78114,9.17313,Urban,0
Stuttgart,6,3,3,48.78114,9.17313,Urban,0
Stuttgart,6,4,3,48.78114,9.17313,Urban,1
Stuttgart,6,5,3,48.78114,9.17313,Urban,0
Stuttgart,6,6,3,48.78114,9.17313,Urban,1
Stuttgart,6,7,3,48.78114,9.17313,Urban,1
Stuttgart,6,8,3,48.78114,9.17313,Urban,0
