city,population,plant,plate_no,population_latitude,population_longitude,habitat_type,hcn_result
Xalapa,22,1,1,19.51011,-96.94519,Periurban,0
Xalapa,22,2,1,19.51011,-96.94519,Periurban,0
Xalapa,22,3,1,19.51011,-96.94519,Periurban,0
Xalapa,22,4,1,19.51011,-96.94519,Periurban,0
Xalapa,22,5,1,19.51011,-96.94519,Periurban,0
Xalapa,22,6,1,19.51011,-96.94519,Periurban,0
Xalapa,22,7,1,19.51011,-96.94519,Periurban,0
Xalapa,22,8,1,19.51011,-96.94519,Periurban,0
Xalapa,22,9,1,19.51011,-96.94519,Periurban,0
Xalapa,22,10,1,19.51011,-96.94519,Periurban,0
Xalapa,22,11,1,19.51011,-96.94519,Periurban,0
Xalapa,22,12,1,19.51011,-96.94519,Periurban,0
Xalapa,22,13,1,19.51011,-96.94519,Periurban,0
Xalapa,22,14,1,19.51011,-96.94519,Periurban,0
Xalapa,22,15,1,19.51011,-96.94519,Periurban,0
Xalapa,22,16,1,19.51011,-96.94519,Periurban,0
Xalapa,22,17,1,19.51011,-96.94519,Periurban,0
Xalapa,22,18,1,19.51011,-96.94519,Periurban,0
Xalapa,22,19,1,19.51011,-96.94519,Periurban,0
Xalapa,22,20,1,19.51011,-96.94519,Periurban,0
Xalapa,23,1,1,19.51302,-96.94538,Periurban,0
Xalapa,23,2,1,19.51302,-96.94538,Periurban,1
Xalapa,23,3,1,19.51302,-96.94538,Periurban,0
Xalapa,23,4,1,19.51302,-96.94538,Periurban,0
Xalapa,23,5,1,19.51302,-96.94538,Periurban,0
Xalapa,23,6,1,19.51302,-96.94538,Periurban,0
Xalapa,23,7,1,19.51302,-96.94538,Periurban,0
Xalapa,23,8,1,19.51302,-96.94538,Periurban,1
Xalapa,23,9,1,19.51302,-96.94538,Periurban,1
Xalapa,23,10,1,19.51302,-96.94538,Periurban,0
Xalapa,23,11,1,19.51302,-96.94538,Periurban,0
Xalapa,23,12,1,19.51302,-96.94538,Periurban,0
Xalapa,23,13,1,19.51302,-96.94538,Periurban,0
Xalapa,23,14,1,19.51302,-96.94538,Periurban,0
Xalapa,23,15,1,19.51302,-96.94538,Periurban,0
Xalapa,23,16,1,19.51302,-96.94538,Periurban,0
Xalapa,23,17,1,19.51302,-96.94538,Periurban,0
Xalapa,23,18,1,19.51302,-96.94538,Periurban,0
Xalapa,23,19,1,19.51302,-96.94538,Periurban,0
Xalapa,23,20,1,19.51302,-96.94538,Periurban,0
Xalapa,21,1,2,19.51865,-96.94471999999999,Periurban,0
Xalapa,21,2,2,19.51865,-96.94471999999999,Periurban,0
Xalapa,21,3,2,19.51865,-96.94471999999999,Periurban,0
Xalapa,21,4,2,19.51865,-96.94471999999999,Periurban,1
Xalapa,21,5,2,19.51865,-96.94471999999999,Periurban,0
Xalapa,21,6,2,19.51865,-96.94471999999999,Periurban,0
Xalapa,21,7,2,19.51865,-96.94471999999999,Periurban,0
Xalapa,21,8,2,19.51865,-96.94471999999999,Periurban,0
Xalapa,21,9,2,19.51865,-96.94471999999999,Periurban,0
Xalapa,21,10,2,19.51865,-96.94471999999999,Periurban,0
Xalapa,21,11,2,19.51865,-96.94471999999999,Periurban,0
Xalapa,21,12,2,19.51865,-96.94471999999999,Periurban,1
Xalapa,21,13,2,19.51865,-96.94471999999999,Periurban,0
Xalapa,21,14,2,19.51865,-96.94471999999999,Periurban,0
Xalapa,21,15,2,19.51865,-96.94471999999999,Periurban,0
Xalapa,21,16,2,19.51865,-96.94471999999999,Periurban,0
Xalapa,21,17,2,19.51865,-96.94471999999999,Periurban,0
Xalapa,21,18,2,19.51865,-96.94471999999999,Periurban,0
Xalapa,21,19,2,19.51865,-96.94471999999999,Periurban,0
Xalapa,20,1,2,19.521279999999997,-96.9432,Suburban,0
Xalapa,20,2,2,19.521279999999997,-96.9432,Suburban,0
Xalapa,20,3,2,19.521279999999997,-96.9432,Suburban,0
Xalapa,20,4,2,19.521279999999997,-96.9432,Suburban,0
Xalapa,20,5,2,19.521279999999997,-96.9432,Suburban,0
Xalapa,20,6,2,19.521279999999997,-96.9432,Suburban,0
Xalapa,20,7,2,19.521279999999997,-96.9432,Suburban,0
Xalapa,20,8,2,19.521279999999997,-96.9432,Suburban,0
Xalapa,20,9,2,19.521279999999997,-96.9432,Suburban,0
