city,population,population_latitude,population_longitude,total_plants,numCyanogenic,freqHCN,latitude_city,longitude_city,Country,continent,distance,max_dist,std_distance,GMIS_MEAN
Albuquerque,1,35.083,-106.615,20,4,0.2,35.084385,-106.650421,USA,North America,3.2267,19.1523,0.1685,37.47727272727273
Albuquerque,2,35.086,-106.619,20,3,0.15,35.084385,-106.650421,USA,North America,2.8647,19.1523,0.1496,76.86046511627907
Albuquerque,3,35.092,-106.62100000000001,20,7,0.35,35.084385,-106.650421,USA,North America,2.8077,19.1523,0.1466,73.51219512195122
Albuquerque,4,35.099000000000004,-106.6345,20,5,0.25,35.084385,-106.650421,USA,North America,2.177,19.1523,0.1137,65.675
Albuquerque,5,35.101,-106.6385,20,11,0.55,35.084385,-106.650421,USA,North America,2.1423,19.1523,0.1119,56.11363636363637
Albuquerque,6,35.108000000000004,-106.63600000000001,20,5,0.25,35.084385,-106.650421,USA,North America,2.9354,19.1523,0.1533,43.53488372093023
Albuquerque,7,35.105,-106.646,20,11,0.55,35.084385,-106.650421,USA,North America,2.3273,19.1523,0.1215,54.55813953488372
Albuquerque,8,35.108000000000004,-106.64200000000001,20,6,0.3,35.084385,-106.650421,USA,North America,2.7353,19.1523,0.1428,92.90697674418605
Albuquerque,9,35.111999999999995,-106.661,20,9,0.45,35.084385,-106.650421,USA,North America,3.2179,19.1523,0.168,56.73809523809524
Albuquerque,10,35.118,-106.6515,20,3,0.15,35.084385,-106.650421,USA,North America,3.7391,19.1523,0.1952,49.13636363636363
Albuquerque,11,35.119,-106.662,20,2,0.1,35.084385,-106.650421,USA,North America,3.9905,19.1523,0.2084,51.048780487804876
Albuquerque,12,35.126999999999995,-106.664,20,5,0.25,35.084385,-106.650421,USA,North America,4.8969,19.1523,0.2557,41.55813953488372
Albuquerque,13,35.128,-106.67200000000001,20,9,0.45,35.084385,-106.650421,USA,North America,5.232,19.1523,0.2732,57.58139534883721
Albuquerque,14,35.086,-106.6298,20,5,0.25,35.084385,-106.650421,USA,North America,1.8849,19.1523,0.0984,50.604651162790695
Albuquerque,15,35.084,-106.626,20,8,0.4,35.084385,-106.650421,USA,North America,2.2225,19.1523,0.116,90.27272727272727
Albuquerque,16,35.139,-106.655,20,4,0.2,35.084385,-106.650421,USA,North America,6.0872,19.1523,0.3178,37.36363636363637
Albuquerque,17,35.185,-106.695,20,5,0.25,35.084385,-106.650421,USA,North America,11.8997,19.1523,0.6213,29.414634146341463
Albuquerque,18,35.150999999999996,-106.742,20,1,0.05,35.084385,-106.650421,USA,North America,11.1467,19.1523,0.582,0
Albuquerque,19,35.192,-106.742,20,2,0.1,35.084385,-106.650421,USA,North America,14.5786,19.1523,0.7612,75.29268292682927
Albuquerque,20,35.192,-106.73,20,2,0.1,35.084385,-106.650421,USA,North America,13.9841,19.1523,0.7302,78.3
Albuquerque,21,35.195,-106.727,20,4,0.2,35.084385,-106.650421,USA,North America,14.1341,19.1523,0.738,65.09756097560975
Albuquerque,22,35.198,-106.734,20,0,0,35.084385,-106.650421,USA,North America,14.7431,19.1523,0.7698,66.86666666666666
Albuquerque,23,35.198,-106.7406,20,0,0,35.084385,-106.650421,USA,North America,15.0612,19.1523,0.7864,95.64285714285714
Albuquerque,24,35.244,-106.7296,20,13,0.65,35.084385,-106.650421,USA,North America,19.1523,19.1523,1,40.853658536585364
Albuquerque,25,35.24,-106.728,20,2,0.1,35.084385,-106.650421,USA,North America,18.6855,19.1523,0.9756,57.609756097560975
Albuquerque,26,35.231,-106.689,20,6,0.3,35.084385,-106.650421,USA,North America,16.6758,19.1523,0.8707,44.72727272727273
Albuquerque,27,35.215,-106.684,20,1,0.05,35.084385,-106.650421,USA,North America,14.8411,19.1523,0.7749,35.07142857142857
Albuquerque,28,35.2166,-106.698,20,4,0.2,35.084385,-106.650421,USA,North America,15.3248,19.1523,0.8002,79.54761904761905
Albuquerque,29,35.208,-106.73299999999999,20,6,0.3,35.084385,-106.650421,USA,North America,15.6624,19.1523,0.8178,30.681818181818183
Albuquerque,30,35.207,-106.736,20,3,0.15,35.084385,-106.650421,USA,North America,15.6983,19.1523,0.8197,7.666666666666667
Albuquerque,31,35.205999999999996,-106.72200000000001,20,3,0.15,35.084385,-106.650421,USA,North America,15.0076,19.1523,0.7836,54.75
Albuquerque,32,35.19,-106.714,20,4,0.2,35.084385,-106.650421,USA,North America,13.0898,19.1523,0.6835,22.318181818181817
Albuquerque,33,35.179,-106.7326,20,5,0.25,35.084385,-106.650421,USA,North America,12.9048,19.1523,0.6738,44.11904761904762
Albuquerque,34,35.177,-106.7315,20,10,0.5,35.084385,-106.650421,USA,North America,12.6657,19.1523,0.6613,52.31818181818182
Albuquerque,35,35.169000000000004,-106.70100000000001,12,0,0,35.084385,-106.650421,USA,North America,10.473,19.1523,0.5468,83.07142857142857
Albuquerque,36,35.193000000000005,-106.7196,20,4,0.2,35.084385,-106.650421,USA,North America,13.6175,19.1523,0.711,36.30232558139535
Albuquerque,37,35.196,-106.7107,20,3,0.15,35.084385,-106.650421,USA,North America,13.5675,19.1523,0.7084,32.857142857142854
Albuquerque,38,35.133,-106.7105,20,2,0.1,35.084385,-106.650421,USA,North America,7.6869,19.1523,0.4014,52.707317073170735
Albuquerque,39,35.137,-106.693,20,2,0.1,35.084385,-106.650421,USA,North America,7.0164,19.1523,0.3663,39.425
Albuquerque,40,35.148,-106.715,20,1,0.05,35.084385,-106.650421,USA,North America,9.1945,19.1523,0.4801,61.19047619047619
