city,population,population_latitude,population_longitude,total_plants,numCyanogenic,freqHCN,latitude_city,longitude_city,Country,continent,distance,max_dist,std_distance,GMIS_MEAN
Berlin,1,52.310074900000004,13.4478131,20,2,0.1,52.513592,13.392534,Germany,Europe,22.9386,22.9386,1,33.473684210526315
Berlin,2,52.3157788,13.4447486,17,7,0.412,52.513592,13.392534,Germany,Europe,22.2791,22.9386,0.9712,22.396551724137932
Berlin,3,52.3215762,13.441433199999999,20,2,0.1,52.513592,13.392534,Germany,Europe,21.6072,22.9386,0.942,22.763636363636362
Berlin,4,52.3389706,13.4353509,12,5,0.417,52.513592,13.392534,Germany,Europe,19.6329,22.9386,0.8559,15.586206896551724
Berlin,5,52.348464,13.4249721,20,2,0.1,52.513592,13.392534,Germany,Europe,18.4926,22.9386,0.8062,30.103448275862068
Berlin,6,52.3536328,13.4176198,13,1,0.077,52.513592,13.392534,Germany,Europe,17.8678,22.9386,0.7789,2.6363636363636362
Berlin,7,52.357586299999994,13.4236277,16,4,0.25,52.513592,13.392534,Germany,Europe,17.4746,22.9386,0.7618,13.78688524590164
Berlin,8,52.357632,13.4340749,10,4,0.4,52.513592,13.392534,Germany,Europe,17.5691,22.9386,0.7659,77.77586206896552
Berlin,9,52.361965399999995,13.4381025,20,2,0.1,52.513592,13.392534,Germany,Europe,17.1407,22.9386,0.7472,29
Berlin,10,52.3760744,13.4436084,17,3,0.176,52.513592,13.392534,Germany,Europe,15.6782,22.9386,0.6835,15.38888888888889
Berlin,11,52.3797607,13.44544,10,1,0.1,52.513592,13.392534,Germany,Europe,15.3072,22.9386,0.6673,45.421052631578945
Berlin,12,52.3872816,13.444254199999998,11,4,0.364,52.513592,13.392534,Germany,Europe,14.4758,22.9386,0.6311,11.913793103448276
Berlin,13,52.3942909,13.443216199999998,9,2,0.222,52.513592,13.392534,Germany,Europe,13.703,22.9386,0.5974,38.96551724137931
Berlin,14,52.3989196,13.442024599999998,17,5,0.294,52.513592,13.392534,Germany,Europe,13.1846,22.9386,0.5748,35.236363636363635
Berlin,15,52.4057234,13.441287300000003,15,2,0.133,52.513592,13.392534,Germany,Europe,12.441,22.9386,0.5424,34.56363636363636
Berlin,16,52.4112229,13.440192000000001,17,6,0.353,52.513592,13.392534,Germany,Europe,11.832,22.9386,0.5158,46.26315789473684
Berlin,17,52.4172962,13.4386937,20,4,0.2,52.513592,13.392534,Germany,Europe,11.1549,22.9386,0.4863,38.67857142857143
Berlin,18,52.4218464,13.4382923,12,2,0.167,52.513592,13.392534,Germany,Europe,10.6622,22.9386,0.4648,44.59649122807018
Berlin,19,52.4276923,13.432367000000001,20,2,0.1,52.513592,13.392534,Germany,Europe,9.9254,22.9386,0.4327,9.431034482758621
Berlin,20,52.4324483,13.4356027,20,1,0.05,52.513592,13.392534,Germany,Europe,9.4826,22.9386,0.4134,33.526315789473685
Berlin,21,52.4370061,13.435577599999998,18,3,0.167,52.513592,13.392534,Germany,Europe,9.0011,22.9386,0.3924,14.56140350877193
Berlin,22,52.443162300000004,13.434248199999999,11,2,0.182,52.513592,13.392534,Germany,Europe,8.3254,22.9386,0.3629,51
Berlin,23,52.4461407,13.4316324,20,3,0.15,52.513592,13.392534,Germany,Europe,7.9539,22.9386,0.3467,6.303571428571429
Berlin,25,52.4599195,13.4435836,15,1,0.067,52.513592,13.392534,Germany,Europe,6.8969,22.9386,0.3007,9.827586206896552
Berlin,26,52.4632029,13.4322198,13,2,0.154,52.513592,13.392534,Germany,Europe,6.214,22.9386,0.2709,24.152542372881356
Berlin,27,52.46909229999999,13.4322198,13,3,0.231,52.513592,13.392534,Germany,Europe,5.6306,22.9386,0.2455,77.25862068965517
Berlin,28,52.472343,13.4293679,20,7,0.35,52.513592,13.392534,Germany,Europe,5.2208,22.9386,0.2276,14.46551724137931
Berlin,29,52.483610600000006,13.425170300000001,19,3,0.158,52.513592,13.392534,Germany,Europe,3.9994,22.9386,0.1744,27.381818181818183
Berlin,30,52.4871089,13.420508600000002,16,1,0.062,52.513592,13.392534,Germany,Europe,3.5011,22.9386,0.1526,45.12280701754386
Berlin,31,52.494594299999996,13.422890400000002,16,1,0.062,52.513592,13.392534,Germany,Europe,2.9469,22.9386,0.1285,70.76363636363637
Berlin,32,52.499649899999994,13.413824900000002,20,0,0,52.513592,13.392534,Germany,Europe,2.1166,22.9386,0.0923,30.155172413793103
Berlin,33,52.503727500000004,13.4107185,11,1,0.091,52.513592,13.392534,Germany,Europe,1.6486,22.9386,0.0719,58.32203389830509
Berlin,34,52.51290529999999,13.4151552,9,0,0,52.513592,13.392534,Germany,Europe,1.5327,22.9386,0.0668,67.83333333333333
Berlin,35,52.503727500000004,13.4107185,11,0,0,52.513592,13.392534,Germany,Europe,1.6486,22.9386,0.0719,58.32203389830509
