city,population,population_latitude,population_longitude,total_plants,numCyanogenic,freqHCN,latitude_city,longitude_city,Country,continent,distance,max_dist,std_distance,GMIS_MEAN
Brussels,1,50.844739000000004,4.361957,16,6,0.375,50.845539,4.35571,Belgium,Europe,0.4475,14.4647,0.0309,57.46296296296296
Brussels,2,50.84065,4.365076999999999,20,6,0.3,50.845539,4.35571,Belgium,Europe,0.8533,14.4647,0.059,64.84210526315789
Brussels,3,50.840156,4.369757,20,2,0.1,50.845539,4.35571,Belgium,Europe,1.1537,14.4647,0.0798,72.98148148148148
Brussels,4,50.84336,4.371505,20,7,0.35,50.845539,4.35571,Belgium,Europe,1.1352,14.4647,0.0785,80.45454545454545
Brussels,5,50.840314,4.378325,18,6,0.333,50.845539,4.35571,Belgium,Europe,1.6908,14.4647,0.1169,88.28813559322033
Brussels,6,50.837272,4.378541,20,5,0.25,50.845539,4.35571,Belgium,Europe,1.848,14.4647,0.1278,35.943396226415096
Brussels,7,50.834818,4.373781,13,4,0.308,50.845539,4.35571,Belgium,Europe,1.7411,14.4647,0.1204,66.18518518518519
Brussels,8,50.822902,4.390344,17,5,0.294,50.845539,4.35571,Belgium,Europe,3.5002,14.4647,0.242,83.55555555555556
Brussels,9,50.819922,4.394039,20,4,0.2,50.845539,4.35571,Belgium,Europe,3.9191,14.4647,0.2709,50.892857142857146
Brussels,10,50.737976,4.4714410000000004,14,7,0.5,50.845539,4.35571,Belgium,Europe,14.4647,14.4647,1,6.909090909090909
Brussels,11,50.741228,4.470661,17,4,0.235,50.845539,4.35571,Belgium,Europe,14.1356,14.4647,0.9772,2.4
Brussels,12,50.744487,4.468424,18,8,0.444,50.845539,4.35571,Belgium,Europe,13.7484,14.4647,0.9505,4.115384615384615
Brussels,13,50.748108,4.465162,18,18,1,50.845539,4.35571,Belgium,Europe,13.2872,14.4647,0.9186,5.7894736842105265
Brussels,14,50.751767,4.4620809999999995,20,5,0.25,50.845539,4.35571,Belgium,Europe,12.83,14.4647,0.887,2.5576923076923075
Brussels,15,50.753974,4.460577,20,8,0.4,50.845539,4.35571,Belgium,Europe,12.569,14.4647,0.8689,0.3888888888888889
Brussels,16,50.757633,4.460054,20,6,0.3,50.845539,4.35571,Belgium,Europe,12.2195,14.4647,0.8448,4.232142857142857
Brussels,17,50.763527,4.451008,20,11,0.55,50.845539,4.35571,Belgium,Europe,11.3141,14.4647,0.7822,0.7407407407407407
Brussels,18,50.768727,4.442245,15,5,0.333,50.845539,4.35571,Belgium,Europe,10.4845,14.4647,0.7248,8.555555555555555
Brussels,19,50.774857,4.436166,17,5,0.294,50.845539,4.35571,Belgium,Europe,9.6814,14.4647,0.6693,0.2909090909090909
Brussels,20,50.778074,4.433569,16,1,0.062,50.845539,4.35571,Belgium,Europe,9.2845,14.4647,0.6419,0.13559322033898305
Brussels,21,50.785226,4.426131,20,5,0.25,50.845539,4.35571,Belgium,Europe,8.3339,14.4647,0.5762,2.2037037037037037
Brussels,22,50.792495,4.419624,20,12,0.6,50.845539,4.35571,Belgium,Europe,7.4127,14.4647,0.5125,36.5
Brussels,23,50.81544,4.390724,20,5,0.25,50.845539,4.35571,Belgium,Europe,4.1532,14.4647,0.2871,85.22222222222223
Brussels,24,50.812529,4.39203,20,19,0.95,50.845539,4.35571,Belgium,Europe,4.4699,14.4647,0.309,82.39285714285714
Brussels,25,50.809955,4.398237,20,8,0.4,50.845539,4.35571,Belgium,Europe,4.9576,14.4647,0.3427,74.35714285714286
Brussels,26,50.809926000000004,4.405344,20,12,0.6,50.845539,4.35571,Belgium,Europe,5.2758,14.4647,0.3647,50.892857142857146
Brussels,27,50.804632,4.409055,14,3,0.214,50.845539,4.35571,Belgium,Europe,5.8932,14.4647,0.4074,29.296296296296298
Brussels,28,50.802554,4.413498000000001,20,3,0.15,50.845539,4.35571,Belgium,Europe,6.2708,14.4647,0.4335,36.964285714285715
Brussels,29,50.7998,4.41429,20,4,0.2,50.845539,4.35571,Belgium,Europe,6.5421,14.4647,0.4523,19.25925925925926
Brussels,30,50.797803,4.417149,20,7,0.35,50.845539,4.35571,Belgium,Europe,6.8411,14.4647,0.473,48.2
