city,population,population_latitude,population_longitude,total_plants,numCyanogenic,freqHCN,latitude_city,longitude_city,Country,continent,distance,max_dist,std_distance,GMIS_MEAN
Burlington,1,44.476000000000006,-73.2135,17,14,0.824,44.476299,-73.213547,USA,North America,0.0335,18.7723,0.0018,71.84
Burlington,2,44.4758,-73.2079,15,10,0.667,44.476299,-73.213547,USA,North America,0.4515,18.7723,0.0241,54.723404255319146
Burlington,3,44.4769,-73.2026,14,10,0.714,44.476299,-73.213547,USA,North America,0.8711,18.7723,0.0464,21.58695652173913
Burlington,4,44.4764,-73.2004,16,13,0.812,44.476299,-73.213547,USA,North America,1.0432,18.7723,0.0556,40.204081632653065
Burlington,5,44.4749,-73.1958,16,14,0.875,44.476299,-73.213547,USA,North America,1.4167,18.7723,0.0755,55.431372549019606
Burlington,6,44.4743,-73.1947,16,11,0.688,44.476299,-73.213547,USA,North America,1.5118,18.7723,0.0805,70.86274509803921
Burlington,7,44.4731,-73.192,15,8,0.533,44.476299,-73.213547,USA,North America,1.7462,18.7723,0.093,18.595744680851062
Burlington,8,44.4723,-73.1885,16,9,0.562,44.476299,-73.213547,USA,North America,2.0365,18.7723,0.1085,44.916666666666664
Burlington,9,44.4714,-73.1869,15,10,0.667,44.476299,-73.213547,USA,North America,2.1834,18.7723,0.1163,59.666666666666664
Burlington,10,44.4695,-73.1808,16,10,0.625,44.476299,-73.213547,USA,North America,2.7061,18.7723,0.1442,45.53061224489796
Burlington,11,44.4682,-73.1772,14,2,0.143,44.476299,-73.213547,USA,North America,3.0214,18.7723,0.1609,78.46
Burlington,12,44.4671,-73.1734,15,13,0.867,44.476299,-73.213547,USA,North America,3.3458,18.7723,0.1782,72.48
Burlington,13,44.4666,-73.1698,14,11,0.786,44.476299,-73.213547,USA,North America,3.6349,18.7723,0.1936,44.816326530612244
Burlington,14,44.4657,-73.1665,16,6,0.375,44.476299,-73.213547,USA,North America,3.9148,18.7723,0.2085,40.10204081632653
Burlington,15,44.465,-73.1617,14,2,0.143,44.476299,-73.213547,USA,North America,4.3016,18.7723,0.2291,30.75
Burlington,16,44.4617,-73.1534,14,8,0.571,44.476299,-73.213547,USA,North America,5.0413,18.7723,0.2685,42.74
Burlington,17,44.4593,-73.14699999999999,15,11,0.733,44.476299,-73.213547,USA,North America,5.6088,18.7723,0.2988,44.68
Burlington,18,44.4574,-73.1278,14,5,0.357,44.476299,-73.213547,USA,North America,7.1216,18.7723,0.3794,32.88
Burlington,19,44.4518,-73.1183,14,12,0.857,44.476299,-73.213547,USA,North America,8.0346,18.7723,0.428,53.46938775510204
Burlington,20,44.4471,-73.1089,15,11,0.733,44.476299,-73.213547,USA,North America,8.9171,18.7723,0.475,65.79591836734694
Burlington,21,44.4453,-73.1006,15,10,0.667,44.476299,-73.213547,USA,North America,9.6037,18.7723,0.5116,25.816326530612244
Burlington,22,44.4406,-73.0831,14,11,0.786,44.476299,-73.213547,USA,North America,11.088,18.7723,0.5907,12.86
Burlington,23,44.43899999999999,-73.0781,14,11,0.786,44.476299,-73.213547,USA,North America,11.5224,18.7723,0.6138,7.28
Burlington,24,44.4383,-73.0748,14,11,0.786,44.476299,-73.213547,USA,North America,11.7948,18.7723,0.6283,4.32
Burlington,25,44.4404,-73.071,12,9,0.75,44.476299,-73.213547,USA,North America,11.997,18.7723,0.6391,0.5882352941176471
Burlington,26,44.438,-73.0678,15,10,0.667,44.476299,-73.213547,USA,North America,12.3267,18.7723,0.6566,5.795918367346939
Burlington,27,44.4348,-73.0617,14,8,0.571,44.476299,-73.213547,USA,North America,12.9053,18.7723,0.6875,0
Burlington,28,44.435,-73.0554,14,7,0.5,44.476299,-73.213547,USA,North America,13.3658,18.7723,0.712,2.58
Burlington,29,44.4356,-73.0451,15,6,0.4,44.476299,-73.213547,USA,North America,14.1148,18.7723,0.7519,0
Burlington,30,44.4343,-73.038,15,9,0.6,44.476299,-73.213547,USA,North America,14.6951,18.7723,0.7828,1.510204081632653
Burlington,31,44.4314,-73.0324,17,6,0.353,44.476299,-73.213547,USA,North America,15.2202,18.7723,0.8108,1.2708333333333333
Burlington,32,44.4293,-73.0299,15,7,0.467,44.476299,-73.213547,USA,North America,15.4853,18.7723,0.8249,1.6938775510204083
Burlington,33,44.4258,-73.0221,13,8,0.615,44.476299,-73.213547,USA,North America,16.2006,18.7723,0.863,1.530612244897959
Burlington,34,44.4211,-73.0161,14,13,0.929,44.476299,-73.213547,USA,North America,16.8322,18.7723,0.8967,0
Burlington,35,44.4237,-73.0149,13,5,0.385,44.476299,-73.213547,USA,North America,16.8179,18.7723,0.8959,19.64
Burlington,36,44.4263,-73.0142,15,7,0.467,44.476299,-73.213547,USA,North America,16.7717,18.7723,0.8934,30.142857142857142
Burlington,37,44.4259,-73.0106,13,4,0.308,44.476299,-73.213547,USA,North America,17.0561,18.7723,0.9086,12.66
Burlington,38,44.4233,-73.0071,12,4,0.333,44.476299,-73.213547,USA,North America,17.4148,18.7723,0.9277,22.127659574468087
Burlington,39,44.4224,-73.0056,13,4,0.308,44.476299,-73.213547,USA,North America,17.5609,18.7723,0.9355,13.571428571428571
Burlington,40,44.4188,-73.0013,15,10,0.667,44.476299,-73.213547,USA,North America,18.0207,18.7723,0.96,3.66
Burlington,41,44.415,-72.9991,15,5,0.333,44.476299,-73.213547,USA,North America,18.3375,18.7723,0.9768,2.12
Burlington,42,44.4095,-72.999,14,6,0.429,44.476299,-73.213547,USA,North America,18.5815,18.7723,0.9898,4.434782608695652
Burlington,43,44.408,-72.9973,14,7,0.5,44.476299,-73.213547,USA,North America,18.7723,18.7723,1,1.2448979591836735
Burlington,44,44.4124,-72.9994,14,3,0.214,44.476299,-73.213547,USA,North America,18.4253,18.7723,0.9815,1.22
Burlington,45,44.4186,-73.001,14,9,0.643,44.476299,-73.213547,USA,North America,18.0509,18.7723,0.9616,4.3061224489795915
Burlington,46,44.4246,-73.0133,14,10,0.714,44.476299,-73.213547,USA,North America,16.9026,18.7723,0.9004,20.195652173913043
Burlington,47,44.438,-73.0353,14,4,0.286,44.476299,-73.213547,USA,North America,14.7742,18.7723,0.787,0
Burlington,48,44.4351,-73.0473,15,4,0.267,44.476299,-73.213547,USA,North America,13.9677,18.7723,0.7441,0
Burlington,49,44.4304,-73.0746,15,10,0.667,44.476299,-73.213547,USA,North America,12.1524,18.7723,0.6474,0
Burlington,50,44.4372,-73.0688,15,7,0.467,44.476299,-73.213547,USA,North America,12.2835,18.7723,0.6543,5.795918367346939
