city,population,population_latitude,population_longitude,total_plants,numCyanogenic,freqHCN,latitude_city,longitude_city,Country,continent,distance,max_dist,std_distance,GMIS_MEAN
Halifax,1,44.639623,-63.574478000000006,20,2,0.1,44.648766,-63.575237,Canada,North America,1.0184,24.2007,0.0421,33.361702127659576
Halifax,2,44.638619,-63.577824,20,5,0.25,44.648766,-63.575237,Canada,North America,1.1467,24.2007,0.0474,55.604166666666664
Halifax,3,44.640712,-63.579724,19,4,0.211,44.648766,-63.575237,Canada,North America,0.9634,24.2007,0.0398,32.61702127659574
Halifax,4,44.644238,-63.584799,20,1,0.05,44.648766,-63.575237,Canada,North America,0.9087,24.2007,0.0375,16.645833333333332
Halifax,5,44.643929,-63.58858000000001,20,2,0.1,44.648766,-63.575237,Canada,North America,1.1847,24.2007,0.049,40.61224489795919
Halifax,6,44.645925,-63.589544999999994,20,2,0.1,44.648766,-63.575237,Canada,North America,1.1752,24.2007,0.0486,53.520833333333336
Halifax,7,44.649164,-63.591305000000006,20,2,0.1,44.648766,-63.575237,Canada,North America,1.2719,24.2007,0.0526,21.54
Halifax,8,44.650577,-63.597348,20,0,0,44.648766,-63.575237,Canada,North America,1.7607,24.2007,0.0728,33.94117647058823
Halifax,9,44.651222,-63.6059,20,1,0.05,44.648766,-63.575237,Canada,North America,2.4409,24.2007,0.1009,15.893617021276595
Halifax,10,44.649246000000005,-63.613638,20,2,0.1,44.648766,-63.575237,Canada,North America,3.0383,24.2007,0.1255,17.03921568627451
Halifax,11,44.646729,-63.6098,20,2,0.1,44.648766,-63.575237,Canada,North America,2.7436,24.2007,0.1134,14.816326530612244
Halifax,12,44.652671000000005,-63.619137,20,1,0.05,44.648766,-63.575237,Canada,North America,3.4997,24.2007,0.1446,17.857142857142858
Halifax,13,44.653965,-63.622567000000004,20,2,0.1,44.648766,-63.575237,Canada,North America,3.7883,24.2007,0.1565,50.604166666666664
Halifax,14,44.653861,-63.62641800000001,20,1,0.05,44.648766,-63.575237,Canada,North America,4.0881,24.2007,0.1689,70.06
Halifax,15,44.651410999999996,-63.637479000000006,20,2,0.1,44.648766,-63.575237,Canada,North America,4.9325,24.2007,0.2038,19.816326530612244
Halifax,16,44.652072,-63.642734,16,2,0.125,44.648766,-63.575237,Canada,North America,5.352,24.2007,0.2212,12.020833333333334
Halifax,17,44.65204,-63.645463,18,0,0,44.648766,-63.575237,Canada,North America,5.5671,24.2007,0.23,32.5
Halifax,18,44.655489,-63.648213,18,0,0,44.648766,-63.575237,Canada,North America,5.8208,24.2007,0.2405,26.78
Halifax,19,44.649531,-63.648821,18,0,0,44.648766,-63.575237,Canada,North America,5.8216,24.2007,0.2406,30.3265306122449
Halifax,20,44.649229999999996,-63.652477000000005,18,2,0.111,44.648766,-63.575237,Canada,North America,6.1104,24.2007,0.2525,60.65384615384615
Halifax,21,44.633998,-63.684953,18,1,0.056,44.648766,-63.575237,Canada,North America,8.8344,24.2007,0.365,22.79591836734694
Halifax,22,44.632434,-63.684731000000006,19,0,0,44.648766,-63.575237,Canada,North America,8.8513,24.2007,0.3657,14.673469387755102
Halifax,23,44.642063,-63.688124,20,0,0,44.648766,-63.575237,Canada,North America,8.9617,24.2007,0.3703,72.6875
Halifax,24,44.636556,-63.691362,19,2,0.105,44.648766,-63.575237,Canada,North America,9.2871,24.2007,0.3838,18.6
Halifax,25,44.636699,-63.698756,15,2,0.133,44.648766,-63.575237,Canada,North America,9.8639,24.2007,0.4076,22.956521739130434
Halifax,26,44.643387,-63.707834,17,5,0.294,44.648766,-63.575237,Canada,North America,10.5069,24.2007,0.4342,31.489795918367346
Halifax,27,44.644846,-63.712716,16,3,0.188,44.648766,-63.575237,Canada,North America,10.8847,24.2007,0.4498,32.166666666666664
Halifax,28,44.655229,-63.735337,19,1,0.053,44.648766,-63.575237,Canada,North America,12.6847,24.2007,0.5241,17.24
Halifax,29,44.65341,-63.738294999999994,18,4,0.222,44.648766,-63.575237,Canada,North America,12.9089,24.2007,0.5334,14.86
Halifax,30,44.656739,-63.736228000000004,18,2,0.111,44.648766,-63.575237,Canada,North America,12.7655,24.2007,0.5275,23.666666666666668
Halifax,31,44.65983,-63.740628,18,4,0.222,44.648766,-63.575237,Canada,North America,13.1401,24.2007,0.543,22.875
Halifax,32,44.662069,-63.749177,16,1,0.062,44.648766,-63.575237,Canada,North America,13.8376,24.2007,0.5718,19.085106382978722
Halifax,33,44.666364,-63.763148,18,2,0.111,44.648766,-63.575237,Canada,North America,14.9911,24.2007,0.6194,7.51063829787234
Halifax,34,44.672871,-63.782656,17,3,0.176,44.648766,-63.575237,Canada,North America,16.6224,24.2007,0.6869,15.76
Halifax,35,44.675836,-63.812061,17,1,0.059,44.648766,-63.575237,Canada,North America,18.9704,24.2007,0.7839,12.040816326530612
Halifax,36,44.683243,-63.84028299999999,18,0,0,44.648766,-63.575237,Canada,North America,21.3085,24.2007,0.8805,6.163265306122449
Halifax,37,44.685041,-63.84767900000001,20,5,0.25,44.648766,-63.575237,Canada,North America,21.9197,24.2007,0.9057,2.3469387755102042
Halifax,38,44.684594,-63.858901,18,2,0.111,44.648766,-63.575237,Canada,North America,22.7839,24.2007,0.9415,4.372549019607843
Halifax,39,44.685697999999995,-63.874382,19,3,0.158,44.648766,-63.575237,Canada,North America,24.0108,24.2007,0.9922,60.53061224489796
Halifax,40,44.690876,-63.875488,17,1,0.059,44.648766,-63.575237,Canada,North America,24.2007,24.2007,1,50.93877551020408
