city,population,population_latitude,population_longitude,total_plants,numCyanogenic,freqHCN,latitude_city,longitude_city,Country,continent,distance,max_dist,std_distance,GMIS_MEAN
Hempstead,1,40.703751000000004,-73.625405,14,2,0.143,40.705561,-73.625962,USA,North America,0.2067,12.9541,0.016,84.44444444444444
Hempstead,2,40.705518,-73.620648,15,0,0,40.705561,-73.625962,USA,North America,0.448,12.9541,0.0346,69.91666666666667
Hempstead,3,40.709109999999995,-73.621204,15,2,0.133,40.705561,-73.625962,USA,North America,0.5627,12.9541,0.0434,88.61363636363636
Hempstead,4,40.709587,-73.615874,15,3,0.2,40.705561,-73.625962,USA,North America,0.961,12.9541,0.0742,75.11111111111111
Hempstead,5,40.711442,-73.610928,14,1,0.071,40.705561,-73.625962,USA,North America,1.426,12.9541,0.1101,73.44680851063829
Hempstead,6,40.713319,-73.606037,15,5,0.333,40.705561,-73.625962,USA,North America,1.888,12.9541,0.1457,61.361702127659576
Hempstead,7,40.716103000000004,-73.604192,15,0,0,40.705561,-73.625962,USA,North America,2.1774,12.9541,0.1681,64.33333333333333
Hempstead,8,40.720058,-73.605793,15,0,0,40.705561,-73.625962,USA,North America,2.3427,12.9541,0.1808,49.791666666666664
Hempstead,9,40.723967,-73.607256,15,0,0,40.705561,-73.625962,USA,North America,2.5835,12.9541,0.1994,72.59574468085107
Hempstead,10,40.727921,-73.608873,14,0,0,40.705561,-73.625962,USA,North America,2.8733,12.9541,0.2218,85.58695652173913
Hempstead,11,40.730194,-73.606373,15,3,0.2,40.705561,-73.625962,USA,North America,3.1981,12.9541,0.2469,90.28571428571429
Hempstead,12,40.733106,-73.604739,16,1,0.062,40.705561,-73.625962,USA,North America,3.5469,12.9541,0.2738,90.68888888888888
Hempstead,13,40.734313,-73.599532,15,4,0.267,40.705561,-73.625962,USA,North America,3.8965,12.9541,0.3008,76.42553191489361
Hempstead,14,40.735490999999996,-73.59436099999999,14,5,0.357,40.705561,-73.625962,USA,North America,4.2624,12.9541,0.329,45.27272727272727
Hempstead,15,40.738363,-73.59346500000001,10,1,0.1,40.705561,-73.625962,USA,North America,4.5611,12.9541,0.3521,46.3469387755102
Hempstead,16,40.742378,-73.592285,15,0,0,40.705561,-73.625962,USA,North America,4.9813,12.9541,0.3845,73.08510638297872
Hempstead,17,40.746439,-73.592623,14,3,0.214,40.705561,-73.625962,USA,North America,5.3436,12.9541,0.4125,80.77551020408163
Hempstead,18,40.75026,-73.59465300000001,13,0,0,40.705561,-73.625962,USA,North America,5.6271,12.9541,0.4344,41.91304347826087
Hempstead,19,40.753933,-73.59705100000001,13,3,0.231,40.705561,-73.625962,USA,North America,5.9047,12.9541,0.4558,32.638297872340424
Hempstead,20,40.757595,-73.599513,15,4,0.267,40.705561,-73.625962,USA,North America,6.2003,12.9541,0.4786,27.886363636363637
Hempstead,21,40.761324,-73.60190300000001,15,2,0.133,40.705561,-73.625962,USA,North America,6.5235,12.9541,0.5036,25.636363636363637
Hempstead,22,40.765418,-73.602625,16,5,0.312,40.705561,-73.625962,USA,North America,6.9402,12.9541,0.5358,15.681818181818182
Hempstead,23,40.769519,-73.60155400000001,15,3,0.2,40.705561,-73.625962,USA,North America,7.4032,12.9541,0.5715,6.723404255319149
Hempstead,24,40.773653,-73.601526,15,8,0.533,40.705561,-73.625962,USA,North America,7.8464,12.9541,0.6057,2.122448979591837
Hempstead,25,40.777483000000004,-73.603441,15,6,0.4,40.705561,-73.625962,USA,North America,8.2194,12.9541,0.6345,2.782608695652174
Hempstead,26,40.780297,-73.606585,15,5,0.333,40.705561,-73.625962,USA,North America,8.4691,12.9541,0.6538,35.57446808510638
Hempstead,27,40.783435,-73.6073,15,4,0.267,40.705561,-73.625962,USA,North America,8.8008,12.9541,0.6794,2.340909090909091
Hempstead,28,40.786584000000005,-73.60377,14,2,0.143,40.705561,-73.625962,USA,North America,9.2013,12.9541,0.7103,0.5957446808510638
Hempstead,29,40.788992,-73.599307,15,0,0,40.705561,-73.625962,USA,North America,9.545,12.9541,0.7368,4.617021276595745
Hempstead,30,40.790895,-73.5945,15,5,0.333,40.705561,-73.625962,USA,North America,9.8519,12.9541,0.7605,2.7755102040816326
Hempstead,31,40.793784,-73.59209,15,2,0.133,40.705561,-73.625962,USA,North America,10.2165,12.9541,0.7887,2.8979591836734695
Hempstead,32,40.796454,-73.59619599999999,15,1,0.067,40.705561,-73.625962,USA,North America,10.4132,12.9541,0.8039,0.8260869565217391
Hempstead,33,40.799921999999995,-73.594561,15,1,0.067,40.705561,-73.625962,USA,North America,10.8207,12.9541,0.8353,1.5333333333333334
Hempstead,34,40.803665,-73.593589,15,5,0.333,40.705561,-73.625962,USA,North America,11.2443,12.9541,0.868,0.06818181818181818
Hempstead,35,40.806092,-73.589555,15,2,0.133,40.705561,-73.625962,USA,North America,11.5915,12.9541,0.8948,0.5
Hempstead,36,40.806709999999995,-73.584114,16,10,0.625,40.705561,-73.625962,USA,North America,11.7867,12.9541,0.9099,0.044444444444444446
Hempstead,37,40.808369,-73.5795,16,2,0.125,40.705561,-73.625962,USA,North America,12.083,12.9541,0.9328,7.586956521739131
Hempstead,38,40.812119,-73.577905,17,3,0.176,40.705561,-73.625962,USA,North America,12.521,12.9541,0.9666,0.41304347826086957
Hempstead,39,40.815376,-73.57461500000001,16,9,0.562,40.705561,-73.625962,USA,North America,12.9541,12.9541,1,0.1836734693877551
