city,population,population_latitude,population_longitude,total_plants,numCyanogenic,freqHCN,latitude_city,longitude_city,Country,continent,distance,max_dist,std_distance,GMIS_MEAN
Loja,1,-4.0654,-79.1974,20,13,0.65,-3.997781,-79.202452,Ecuador,South America,7.5397,7.5397,1,0
Loja,2,-4.0637,-79.1975,20,8,0.4,-3.997781,-79.202452,Ecuador,South America,7.3504,7.5397,0.9749,1.391304347826087
Loja,3,-4.062,-79.1971,20,5,0.25,-3.997781,-79.202452,Ecuador,South America,7.1655,7.5397,0.9504,1
Loja,4,-4.0606,-79.197,20,7,0.35,-3.997781,-79.202452,Ecuador,South America,7.0113,7.5397,0.9299,0.7777777777777778
Loja,5,-4.0594,-79.1967,20,0,0,-3.997781,-79.202452,Ecuador,South America,6.8814,7.5397,0.9127,4.527777777777778
Loja,6,-4.0569,-79.1974,20,5,0.25,-3.997781,-79.202452,Ecuador,South America,6.5976,7.5397,0.875,0
Loja,7,-4.0555,-79.19800000000001,20,7,0.35,-3.997781,-79.202452,Ecuador,South America,6.437,7.5397,0.8537,0
Loja,8,-4.0538,-79.1989,20,6,0.3,-3.997781,-79.202452,Ecuador,South America,6.2415,7.5397,0.8278,0
Loja,9,-4.052,-79.1983,20,0,0,-3.997781,-79.202452,Ecuador,South America,6.0464,7.5397,0.8019,0
Loja,10,-4.0499,-79.1978,20,6,0.3,-3.997781,-79.202452,Ecuador,South America,5.8183,7.5397,0.7717,0
Loja,11,-4.0481,-79.1979,20,3,0.15,-3.997781,-79.202452,Ecuador,South America,5.618,7.5397,0.7451,1.8055555555555556
Loja,12,-4.0463,-79.1978,20,3,0.15,-3.997781,-79.202452,Ecuador,South America,5.4197,7.5397,0.7188,2.6153846153846154
Loja,13,-4.0442,-79.1983,20,2,0.1,-3.997781,-79.202452,Ecuador,South America,5.1821,7.5397,0.6873,0
Loja,14,-4.0424,-79.1998,20,4,0.2,-3.997781,-79.202452,Ecuador,South America,4.9701,7.5397,0.6592,20.057142857142857
Loja,15,-4.0407,-79.1996,20,4,0.2,-3.997781,-79.202452,Ecuador,South America,4.7828,7.5397,0.6343,17.941176470588236
Loja,16,-4.0391,-79.2011,20,1,0.05,-3.997781,-79.202452,Ecuador,South America,4.5969,7.5397,0.6097,10.942857142857143
Loja,17,-4.037,-79.2007,20,0,0,-3.997781,-79.202452,Ecuador,South America,4.3653,7.5397,0.579,7.285714285714286
Loja,18,-4.0354,-79.2003,20,2,0.1,-3.997781,-79.202452,Ecuador,South America,4.1898,7.5397,0.5557,23.97142857142857
