city,population,population_latitude,population_longitude,total_plants,numCyanogenic,freqHCN,latitude_city,longitude_city,Country,continent,distance,max_dist,std_distance,GMIS_MEAN
Parramata,1,-33.814440000000005,151.00056,13,0,0,-33.814999,151.001114,Australia,Oceania,0.0805,28.7149,0.0028,93.25581395348837
Parramata,2,-33.808890000000005,150.99,15,0,0,-33.814999,151.001114,Australia,Oceania,1.2312,28.7149,0.0429,59.666666666666664
Parramata,3,-33.806940000000004,150.98611,12,1,0.083,-33.814999,151.001114,Australia,Oceania,1.6506,28.7149,0.0575,51.35
Parramata,4,-33.80639,150.97972,15,4,0.267,-33.814999,151.001114,Australia,Oceania,2.1962,28.7149,0.0765,56.73809523809524
Parramata,5,-33.799440000000004,150.975,15,6,0.4,-33.814999,151.001114,Australia,Oceania,2.9689,28.7149,0.1034,19.375
Parramata,6,-33.79722,150.96889,12,2,0.167,-33.814999,151.001114,Australia,Oceania,3.5739,28.7149,0.1245,23.428571428571427
Parramata,7,-33.7925,150.96083000000002,15,4,0.267,-33.814999,151.001114,Australia,Oceania,4.4848,28.7149,0.1562,23.627906976744185
Parramata,8,-33.78778,150.95278000000002,15,0,0,-33.814999,151.001114,Australia,Oceania,5.395,28.7149,0.1879,43.41860465116279
Parramata,9,-33.78667,150.94833,14,3,0.214,-33.814999,151.001114,Australia,Oceania,5.8061,28.7149,0.2022,28.488372093023255
Parramata,10,-33.780559999999994,150.94388999999998,10,3,0.3,-33.814999,151.001114,Australia,Oceania,6.5287,28.7149,0.2274,38.5
Parramata,11,-33.78,150.93806,9,2,0.222,-33.814999,151.001114,Australia,Oceania,7.0066,28.7149,0.244,23.25
Parramata,12,-33.775,150.9275,5,1,0.2,-33.814999,151.001114,Australia,Oceania,8.1274,28.7149,0.283,48.333333333333336
Parramata,13,-33.7725,150.92083,14,9,0.643,-33.814999,151.001114,Australia,Oceania,8.7961,28.7149,0.3063,12.6
Parramata,14,-33.7675,150.91611,11,5,0.455,-33.814999,151.001114,Australia,Oceania,9.4658,28.7149,0.3296,27.772727272727273
Parramata,15,-33.763329999999996,150.90694,9,6,0.667,-33.814999,151.001114,Australia,Oceania,10.4283,28.7149,0.3632,95.5609756097561
Parramata,16,-33.75806,150.89833000000002,15,1,0.067,-33.814999,151.001114,Australia,Oceania,11.4155,28.7149,0.3975,20.863636363636363
Parramata,17,-33.75472,150.8925,14,3,0.214,-33.814999,151.001114,Australia,Oceania,12.07,28.7149,0.4203,77.48780487804878
Parramata,18,-33.74889,150.88416999999998,12,7,0.583,-33.814999,151.001114,Australia,Oceania,13.071,28.7149,0.4552,25.071428571428573
Parramata,19,-33.74727,150.87946000000002,15,7,0.467,-33.814999,151.001114,Australia,Oceania,13.5327,28.7149,0.4713,53.09090909090909
Parramata,20,-33.74389,150.87472,15,15,1,-33.814999,151.001114,Australia,Oceania,14.1062,28.7149,0.4913,27.375
Parramata,21,-33.73997,150.86767,10,10,1,-33.814999,151.001114,Australia,Oceania,14.8903,28.7149,0.5186,7.465116279069767
Parramata,22,-33.73467,150.86443,15,6,0.4,-33.814999,151.001114,Australia,Oceania,15.4722,28.7149,0.5388,9.071428571428571
Parramata,23,-33.72988,150.86045,14,12,0.857,-33.814999,151.001114,Australia,Oceania,16.0819,28.7149,0.5601,9.225
Parramata,24,-33.725809999999996,150.85706000000002,15,13,0.867,-33.814999,151.001114,Australia,Oceania,16.6028,28.7149,0.5782,9.5
