city,population,population_latitude,population_longitude,total_plants,numCyanogenic,freqHCN,latitude_city,longitude_city,Country,continent,distance,max_dist,std_distance,GMIS_MEAN
Portland,1,45.52163,-122.65347,14,3,0.214,45.516022,-122.681427,USA,North America,2.2657,46.1447,0.0491,69.53846153846153
Portland,2,45.523434,-122.678444,15,5,0.333,45.516022,-122.681427,USA,North America,0.8563,46.1447,0.0186,59.86274509803921
Portland,3,45.51563,-122.678444,15,3,0.2,45.516022,-122.681427,USA,North America,0.2365,46.1447,0.0051,43.82692307692308
Portland,4,45.514557,-122.68593,15,3,0.2,45.516022,-122.681427,USA,North America,0.3868,46.1447,0.0084,62.57142857142857
Portland,5,45.525158000000005,-122.67416999999999,15,2,0.133,45.516022,-122.681427,USA,North America,1.1626,46.1447,0.0252,92.54901960784314
Portland,6,45.530388,-122.66643,15,1,0.067,45.516022,-122.681427,USA,North America,1.9791,46.1447,0.0429,82.08163265306122
Portland,7,45.536713,-122.66273000000001,15,2,0.133,45.516022,-122.681427,USA,North America,2.723,46.1447,0.059,77.91836734693878
Portland,8,45.543457000000004,-122.666595,15,2,0.133,45.516022,-122.681427,USA,North America,3.2621000000000002,46.1447,0.0707,28.862745098039216
Portland,9,45.55455,-122.66588,15,2,0.133,45.516022,-122.681427,USA,North America,4.452,46.1447,0.0965,55.80392156862745
Portland,10,45.564075,-122.66871,14,2,0.143,45.516022,-122.681427,USA,North America,5.4343,46.1447,0.1178,33.625
Portland,11,45.57379,-122.66868999999998,15,4,0.267,45.516022,-122.681427,USA,North America,6.4996,46.1447,0.1409,54.48979591836735
Portland,12,45.587677,-122.66908000000001,15,2,0.133,45.516022,-122.681427,USA,North America,8.0255,46.1447,0.1739,80.9423076923077
Portland,13,45.612384999999996,-122.68165,15,5,0.333,45.516022,-122.681427,USA,North America,10.7151,46.1447,0.2322,91.68627450980392
Portland,14,45.625652,-122.675446,15,3,0.2,45.516022,-122.681427,USA,North America,12.1992,46.1447,0.2644,65.52
Portland,15,45.63279,-122.67132,14,0,0,45.516022,-122.681427,USA,North America,13.0078,46.1447,0.2819,76.54166666666667
Portland,16,45.64476,-122.66846000000001,15,2,0.133,45.516022,-122.681427,USA,North America,14.3505,46.1447,0.311,67.23529411764706
Portland,17,45.668167,-122.66837,14,7,0.5,45.516022,-122.681427,USA,North America,16.9482,46.1447,0.3673,49.92
Portland,18,45.682390000000005,-122.66918999999999,15,3,0.2,45.516022,-122.681427,USA,North America,18.5238,46.1447,0.4014,59.44897959183673
Portland,19,45.69498,-122.66753,15,2,0.133,45.516022,-122.681427,USA,North America,19.9286,46.1447,0.4319,41.0625
Portland,20,45.703087,-122.668594,15,0,0,45.516022,-122.681427,USA,North America,20.8246,46.1447,0.4513,38.108695652173914
Portland,21,45.70952,-122.64841499999999,15,1,0.067,45.516022,-122.681427,USA,North America,21.6687,46.1447,0.4696,39.020833333333336
Portland,22,45.723164000000004,-122.65093,8,0,0,45.516022,-122.681427,USA,North America,23.1549,46.1447,0.5018,64.14
Portland,23,45.733973999999996,-122.65263999999999,15,5,0.333,45.516022,-122.681427,USA,North America,24.3383,46.1447,0.5274,41.43396226415094
Portland,24,45.748515999999995,-122.655556,12,2,0.167,45.516022,-122.681427,USA,North America,25.9303,46.1447,0.5619,8.48076923076923
Portland,25,45.764365999999995,-122.66147,15,4,0.267,45.516022,-122.681427,USA,North America,27.6581,46.1447,0.5994,0
Portland,26,45.776665,-122.6614,15,7,0.467,45.516022,-122.681427,USA,North America,29.024,46.1447,0.629,36.98
Portland,27,45.79048,-122.66108999999999,15,3,0.2,45.516022,-122.681427,USA,North America,30.5592,46.1447,0.6622,0
Portland,28,45.808716,-122.66096,11,1,0.091,45.516022,-122.681427,USA,North America,32.5849,46.1447,0.7061,10
Portland,29,45.818302,-122.66158,14,0,0,45.516022,-122.681427,USA,North America,33.6474,46.1447,0.7292,0.8269230769230769
Portland,30,45.830456,-122.66138500000001,7,2,0.286,45.516022,-122.681427,USA,North America,34.9981,46.1447,0.7584,0
Portland,31,45.848812,-122.67182,6,1,0.167,45.516022,-122.681427,USA,North America,37.0121,46.1447,0.8021,0
Portland,32,45.851902,-122.68510400000001,15,5,0.333,45.516022,-122.681427,USA,North America,37.3492,46.1447,0.8094,0
Portland,33,45.863354,-122.67378000000001,10,3,0.3,45.516022,-122.681427,USA,North America,38.6261,46.1447,0.8371,37.74
Portland,34,45.873306,-122.69122,15,3,0.2,45.516022,-122.681427,USA,North America,39.7354,46.1447,0.8611,0
Portland,35,45.882553,-122.718475,15,1,0.067,45.516022,-122.681427,USA,North America,40.8578,46.1447,0.8854,0
Portland,36,45.89311,-122.72932,13,3,0.231,45.516022,-122.681427,USA,North America,42.0949,46.1447,0.9122,0
Portland,37,45.908015999999996,-122.735115,11,1,0.091,45.516022,-122.681427,USA,North America,43.7866,46.1447,0.9489,1.4150943396226414
Portland,38,45.914642,-122.72605,15,0,0,45.516022,-122.681427,USA,North America,44.4597,46.1447,0.9635,0
Portland,39,45.92692,-122.708176,11,3,0.273,45.516022,-122.681427,USA,North America,45.7369,46.1447,0.9912,0.17307692307692307
Portland,40,45.931003999999994,-122.67789499999999,14,3,0.214,45.516022,-122.681427,USA,North America,46.1447,46.1447,1,0
