city,population,population_latitude,population_longitude,total_plants,numCyanogenic,freqHCN,latitude_city,longitude_city,Country,continent,distance,max_dist,std_distance,GMIS_MEAN
Providence,1,41.82607,-71.43542,16,2,0.125,41.823989,-71.412834,USA,North America,1.8857,17.5147,0.1077,83.04255319148936
Providence,2,41.82245,-71.43106999999999,16,2,0.125,41.823989,-71.412834,USA,North America,1.5208,17.5147,0.0868,75.5
Providence,3,41.82359,-71.42947,16,1,0.062,41.823989,-71.412834,USA,North America,1.3792,17.5147,0.0787,83.04166666666667
Providence,4,41.8244,-71.42566,16,5,0.312,41.823989,-71.412834,USA,North America,1.0638,17.5147,0.0607,83.3125
Providence,5,41.82351,-71.42149,16,0,0,41.823989,-71.412834,USA,North America,0.7192,17.5147,0.0411,76.25531914893617
Providence,6,41.817820000000005,-71.41981,16,0,0,41.823989,-71.412834,USA,North America,0.8971,17.5147,0.0512,67.08888888888889
Providence,7,41.82571,-71.41186,16,0,0,41.823989,-71.412834,USA,North America,0.2077,17.5147,0.0119,63.3469387755102
Providence,8,41.82206,-71.41128,16,3,0.188,41.823989,-71.412834,USA,North America,0.2502,17.5147,0.0143,72.53333333333333
Providence,9,41.817190000000004,-71.41343,16,4,0.25,41.823989,-71.412834,USA,North America,0.7576,17.5147,0.0433,77.41666666666667
Providence,10,41.81315,-71.40225,16,2,0.125,41.823989,-71.412834,USA,North America,1.4906,17.5147,0.0851,23.51063829787234
Providence,11,41.765001,-71.258127,16,6,0.375,41.823989,-71.412834,USA,North America,14.4052,17.5147,0.8225,24.84090909090909
Providence,12,41.767683,-71.26164399999999,16,2,0.125,41.823989,-71.412834,USA,North America,14.0102,17.5147,0.79990000000000006,28.15909090909091
Providence,13,41.767903999999994,-71.26710899999999,16,2,0.125,41.823989,-71.412834,USA,North America,13.5951,17.5147,0.7762,27.304347826086957
Providence,14,41.760701,-71.269975,16,5,0.312,41.823989,-71.412834,USA,North America,13.7765,17.5147,0.7866,22.155555555555555
Providence,15,41.771774,-71.267499,16,6,0.375,41.823989,-71.412834,USA,North America,13.3737,17.5147,0.7636,21.604166666666668
Providence,16,41.815102,-71.389491,16,5,0.312,41.823989,-71.412834,USA,North America,2.1722,17.5147,0.124,0
Providence,17,41.809331,-71.384796,16,2,0.125,41.823989,-71.412834,USA,North America,2.8382,17.5147,0.162,19.956521739130434
Providence,18,41.804584000000006,-71.38282,16,3,0.188,41.823989,-71.412834,USA,North America,3.2929,17.5147,0.188,5.717391304347826
Providence,19,41.806552,-71.373576,16,4,0.25,41.823989,-71.412834,USA,North America,3.7874,17.5147,0.2162,23.06122448979592
Providence,20,41.809407,-71.372101,16,2,0.125,41.823989,-71.412834,USA,North America,3.7448,17.5147,0.2138,36.02173913043478
Providence,21,41.808799,-71.365909,16,1,0.062,41.823989,-71.412834,USA,North America,4.2397,17.5147,0.2421,32.04255319148936
Providence,22,41.799763,-71.369292,16,3,0.188,41.823989,-71.412834,USA,North America,4.5032,17.5147,0.2571,12.782608695652174
Providence,23,41.80403,-71.362498,16,5,0.312,41.823989,-71.412834,USA,North America,4.7252,17.5147,0.2698,30.891304347826086
Providence,24,41.797119,-71.357872,16,3,0.188,41.823989,-71.412834,USA,North America,5.4477,17.5147,0.311,43.52173913043478
Providence,25,41.797109999999996,-71.35370400000001,16,5,0.312,41.823989,-71.412834,USA,North America,5.7402,17.5147,0.3277,26.20408163265306
Providence,26,41.797379,-71.34658,16,2,0.125,41.823989,-71.412834,USA,North America,6.2376,17.5147,0.3561,37.625
Providence,27,41.77955,-71.333444,16,3,0.188,41.823989,-71.412834,USA,North America,8.2294,17.5147,0.4699,44.869565217391305
Providence,28,41.776270000000004,-71.315341,16,4,0.25,41.823989,-71.412834,USA,North America,9.6677,17.5147,0.552,31.67391304347826
Providence,29,41.771874,-71.311959,16,2,0.125,41.823989,-71.412834,USA,North America,10.1738,17.5147,0.5809,23.625
Providence,30,41.770029,-71.29884100000001,16,2,0.125,41.823989,-71.412834,USA,North America,11.1936,17.5147,0.6391,1.108695652173913
Providence,31,41.772465999999994,-71.28519200000001,16,5,0.312,41.823989,-71.412834,USA,North America,12.0324,17.5147,0.687,6.456521739130435
Providence,32,41.774768,-71.275369,11,1,0.091,41.823989,-71.412834,USA,North America,12.6413,17.5147,0.7218,15.595744680851064
