city,population,population_latitude,population_longitude,total_plants,numCyanogenic,freqHCN,latitude_city,longitude_city,Country,continent,distance,max_dist,std_distance,GMIS_MEAN
Reading,1,51.45431,-0.9728600000000001,15,15,1,51.45504,-0.96909,UK,Europe,0.2735,9.2402,0.0296,84.05454545454545
Reading,2,51.458059999999996,-0.97204,15,0,0,51.45504,-0.96909,UK,Europe,0.3931,9.2402,0.0425,97.9298245614035
Reading,3,51.45671,-0.96916,15,10,0.667,51.45504,-0.96909,UK,Europe,0.1858,9.2402,0.0201,65.59649122807018
Reading,4,51.45726,-0.96598,15,0,0,51.45504,-0.96909,UK,Europe,0.3277,9.2402,0.0355,71.35087719298245
Reading,5,51.45578,-0.96473,15,1,0.067,51.45504,-0.96909,UK,Europe,0.3131,9.2402,0.0339,62.142857142857146
Reading,6,51.45363,-0.9656299999999999,15,0,0,51.45504,-0.96909,UK,Europe,0.2865,9.2402,0.031,87.0909090909091
Reading,7,51.4511,-0.96357,15,0,0,51.45504,-0.96909,UK,Europe,0.5816,9.2402,0.0629,88.72222222222223
Reading,8,51.44835,-0.96104,15,13,0.867,51.45504,-0.96909,UK,Europe,0.9298,9.2402,0.1006,51.8421052631579
Reading,9,51.4463,-0.95905,15,1,0.067,51.45504,-0.96909,UK,Europe,1.1952,9.2402,0.1293,20.24074074074074
Reading,10,51.44427,-0.95729,15,1,0.067,51.45504,-0.96909,UK,Europe,1.4501,9.2402,0.1569,44.07142857142857
Reading,11,51.442370000000004,-0.95604,15,11,0.733,51.45504,-0.96909,UK,Europe,1.6741,9.2402,0.1812,53.049180327868854
Reading,12,51.44035,-0.9537,15,0,0,51.45504,-0.96909,UK,Europe,1.9508,9.2402,0.2111,26.074074074074073
Reading,13,51.43888,-0.9519,15,0,0,51.45504,-0.96909,UK,Europe,2.1559,9.2402,0.2333,22.625
Reading,14,51.436859999999996,-0.95014,15,0,0,51.45504,-0.96909,UK,Europe,2.4107,9.2402,0.2609,12.055555555555555
Reading,15,51.43508,-0.9483799999999999,15,0,0,51.45504,-0.96909,UK,Europe,2.6431,9.2402,0.286,18.428571428571427
Reading,16,51.43326,-0.94658,15,0,0,51.45504,-0.96909,UK,Europe,2.8808,9.2402,0.3118,3.810344827586207
Reading,17,51.43153,-0.94495,15,11,0.733,51.45504,-0.96909,UK,Europe,3.1037,9.2402,0.3359,44.68421052631579
Reading,18,51.42965,-0.94331,15,15,1,51.45504,-0.96909,UK,Europe,3.3411,9.2402,0.3616,55.421052631578945
Reading,19,51.42784,-0.9411200000000001,15,2,0.133,51.45504,-0.96909,UK,Europe,3.5925,9.2402,0.3888,31.410714285714285
Reading,20,51.42586,-0.93915,15,0,0,51.45504,-0.96909,UK,Europe,3.8515,9.2402,0.4168,51.50909090909091
Reading,21,51.424040000000005,-0.93747,15,2,0.133,51.45504,-0.96909,UK,Europe,4.0848,9.2402,0.4421,14.327586206896552
Reading,22,51.42246,-0.93594,15,5,0.333,51.45504,-0.96909,UK,Europe,4.29,9.2402,0.4643,25.392857142857142
Reading,23,51.42096,-0.93453,15,15,1,51.45504,-0.96909,UK,Europe,4.4832,9.2402,0.4852,59.72222222222222
Reading,24,51.41963,-0.9325700000000001,15,13,0.867,51.45504,-0.96909,UK,Europe,4.6809,9.2402,0.5066,37.388888888888886
Reading,25,51.418009999999995,-0.93347,15,10,0.667,51.45504,-0.96909,UK,Europe,4.8011,9.2402,0.5196,22.24074074074074
Reading,26,51.416090000000004,-0.93345,15,0,0,51.45504,-0.96909,UK,Europe,4.9861,9.2402,0.5396,9.49090909090909
