OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,continent,distance,max_dist,std_distan,Rockford_gcs_AI_annual_OID,Rockford_gcs_AI_annual_FID_,Rockford_gcs_AI_annual_COUNT,Rockford_gcs_AI_annual_AREA,Rockford_gcs_AI_annual_MEAN
-1,Rockford,1,42.273310000000002,-89.076949999999997,20,4,0.200000000000000,42.271394999999998,-89.093965999999995,North America,1.416200000000000,21.341400000000000,0.066400000000000,0,0,1,0.000069444451688,0.917499959469000
-1,Rockford,2,42.270380000000003,-89.078609999999998,20,0,0.000000000000000,42.271394999999998,-89.093965999999995,North America,1.268500000000000,21.341400000000000,0.059400000000000,,,,,
-1,Rockford,3,42.267960000000002,-89.082859999999997,20,2,0.100000000000000,42.271394999999998,-89.093965999999995,North America,0.990400000000000,21.341400000000000,0.046400000000000,,,,,
-1,Rockford,4,42.265169999999998,-89.078760000000003,20,4,0.200000000000000,42.271394999999998,-89.093965999999995,North America,1.429900000000000,21.341400000000000,0.067000000000000,1,3,1,0.000069444451688,0.918500006199000
-1,Rockford,5,42.260480000000001,-89.083060000000003,20,0,0.000000000000000,42.271394999999998,-89.093965999999995,North America,1.509400000000000,21.341400000000000,0.070700000000000,,,,,
-1,Rockford,6,42.255609999999997,-89.085179999999994,20,1,0.050000000000000,42.271394999999998,-89.093965999999995,North America,1.898300000000000,21.341400000000000,0.088900000000000,2,5,1,0.000069444451688,0.919499993324000
-1,Rockford,7,42.250100000000003,-89.082800000000006,20,2,0.100000000000000,42.271394999999998,-89.093965999999995,North America,2.539900000000000,21.341400000000000,0.119000000000000,3,6,1,0.000069444451688,0.918599963188000
-1,Rockford,8,42.246420000000001,-89.082689999999999,20,0,0.000000000000000,42.271394999999998,-89.093965999999995,North America,2.928000000000000,21.341400000000000,0.137200000000000,4,7,1,0.000069444451688,0.921499967575000
-1,Rockford,9,42.241390000000003,-89.082560000000001,20,0,0.000000000000000,42.271394999999998,-89.093965999999995,North America,3.465900000000000,21.341400000000000,0.162400000000000,5,8,1,0.000069444451688,0.920499980450000
-1,Rockford,10,42.233849999999997,-89.079800000000006,20,2,0.100000000000000,42.271394999999998,-89.093965999999995,North America,4.334600000000000,21.341400000000000,0.203100000000000,,,,,
-1,Rockford,11,42.231510000000000,-89.075419999999994,20,6,0.300000000000000,42.271394999999998,-89.093965999999995,North America,4.690400000000000,21.341400000000000,0.219800000000000,6,10,1,0.000069444451688,0.920599997044000
-1,Rockford,12,42.222340000000003,-89.083539999999999,20,1,0.050000000000000,42.271394999999998,-89.093965999999995,North America,5.521800000000000,21.341400000000000,0.258700000000000,7,11,1,0.000069444451688,0.923599958420000
