OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,continent,distance,max_dist,std_distan,Whitchurch_Stouffville_gcs_PET_annual_OID,Whitchurch_Stouffville_gcs_PET_annual_FID_,Whitchurch_Stouffville_gcs_PET_annual_COUNT,Whitchurch_Stouffville_gcs_PET_annual_AREA,Whitchurch_Stouffville_gcs_PET_annual_MEAN
-1,Whitchurch-Stouffville,1,43.970728000000001,-79.244710999999995,NA,NA,0.111111111000000,43.968425000000003,-80.520409000000001,North America,102.090787736999999,102.090787736999999,1.000000000000000,0,0,1,0.000069444451688,827.000000000000000
-1,Whitchurch-Stouffville,2,43.970523000000000,-79.247335000000007,NA,NA,0.421052632000000,43.968425000000003,-80.520409000000001,North America,101.880922425999998,102.090787736999999,0.997900000000000,,,,,
-1,Whitchurch-Stouffville,3,43.969796000000002,-79.249137000000005,NA,NA,0.450000000000000,43.968425000000003,-80.520409000000001,North America,101.737185897000003,102.090787736999999,0.996500000000000,,,,,
-1,Whitchurch-Stouffville,4,43.970146999999997,-79.251474999999999,NA,NA,0.222222222000000,43.968425000000003,-80.520409000000001,North America,101.549850879000005,102.090787736999999,0.994700000000000,1,3,1,0.000069444451688,827.000000000000000
-1,Whitchurch-Stouffville,5,43.967892999999997,-79.253540999999998,NA,NA,0.150000000000000,43.968425000000003,-80.520409000000001,North America,101.386277723000006,102.090787736999999,0.993100000000000,,,,,
-1,Whitchurch-Stouffville,6,43.967028999999997,-79.257081999999997,NA,NA,0.300000000000000,43.968425000000003,-80.520409000000001,North America,101.103737582999997,102.090787736999999,0.990300000000000,,,,,
-1,Whitchurch-Stouffville,7,43.967559999999999,-79.260069000000001,NA,NA,0.200000000000000,43.968425000000003,-80.520409000000001,North America,100.864169513999997,102.090787736999999,0.988000000000000,2,6,1,0.000069444451688,827.000000000000000
-1,Whitchurch-Stouffville,8,43.965369000000003,-79.262185000000002,NA,NA,0.350000000000000,43.968425000000003,-80.520409000000001,North America,100.697215443999994,102.090787736999999,0.986300000000000,3,7,1,0.000069444451688,830.000000000000000
-1,Whitchurch-Stouffville,9,43.965125000000000,-79.264471999999998,NA,NA,0.235294118000000,43.968425000000003,-80.520409000000001,North America,100.514491464000002,102.090787736999999,0.984600000000000,,,,,
-1,Whitchurch-Stouffville,10,43.966780000000000,-79.268221999999994,NA,NA,0.421052632000000,43.968425000000003,-80.520409000000001,North America,100.212482274999999,102.090787736999999,0.981600000000000,4,9,1,0.000069444451688,830.000000000000000
-1,Whitchurch-Stouffville,11,43.965535000000003,-79.270651000000001,NA,NA,0.450000000000000,43.968425000000003,-80.520409000000001,North America,100.019491015000000,102.090787736999999,0.979700000000000,5,10,1,0.000069444451688,830.000000000000000
