OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,continent,distance,max_dist,std_distan,F11_Glasgow_gcs_PET_Nov_OID,F11_Glasgow_gcs_PET_Nov_FID_,F11_Glasgow_gcs_PET_Nov_COUNT,F11_Glasgow_gcs_PET_Nov_AREA,F11_Glasgow_gcs_PET_Nov_MEAN
-1,Glasgow,1,55.867060000000002,-4.261260000000000,13,10,0.769000000000000,55.865681000000002,-4.257140000000000,Europe,0.299300000000000,24.949200000000001,0.012000000000000,0,0,1,0.000069444451688,11.000000000000000
-1,Glasgow,2,55.866650000000000,-4.252330000000000,13,4,0.308000000000000,55.865681000000002,-4.257140000000000,Europe,0.318900000000000,24.949200000000001,0.012800000000000,1,1,1,0.000069444451688,11.000000000000000
-1,Glasgow,3,55.865349999999999,-4.247620000000000,12,6,0.500000000000000,55.865681000000002,-4.257140000000000,Europe,0.595100000000000,24.949200000000001,0.023900000000000,2,2,1,0.000069444451688,11.000000000000000
-1,Glasgow,4,55.869399999999999,-4.255020000000000,14,7,0.500000000000000,55.865681000000002,-4.257140000000000,Europe,0.434200000000000,24.949200000000001,0.017400000000000,3,3,1,0.000069444451688,11.000000000000000
-1,Glasgow,5,55.872619999999998,-4.260860000000000,12,2,0.167000000000000,55.865681000000002,-4.257140000000000,Europe,0.805700000000000,24.949200000000001,0.032300000000000,,,,,
-1,Glasgow,6,55.877850000000002,-4.267000000000000,11,5,0.455000000000000,55.865681000000002,-4.257140000000000,Europe,1.486400000000000,24.949200000000001,0.059600000000000,4,5,1,0.000069444451688,11.000000000000000
-1,Glasgow,7,55.882019999999997,-4.278760000000000,12,3,0.250000000000000,55.865681000000002,-4.257140000000000,Europe,2.262700000000000,24.949200000000001,0.090700000000000,5,6,1,0.000069444451688,11.000000000000000
-1,Glasgow,8,55.888979999999997,-4.290380000000000,12,1,0.083000000000000,55.865681000000002,-4.257140000000000,Europe,3.318300000000000,24.949200000000001,0.133000000000000,6,7,1,0.000069444451688,11.000000000000000
-1,Glasgow,9,55.892719999999997,-4.296050000000000,15,10,0.667000000000000,55.865681000000002,-4.257140000000000,Europe,3.863900000000000,24.949200000000001,0.154900000000000,7,8,1,0.000069444451688,11.000000000000000
-1,Glasgow,10,55.899189999999997,-4.302790000000000,10,7,0.700000000000000,55.865681000000002,-4.257140000000000,Europe,4.689300000000000,24.949200000000001,0.188000000000000,8,9,1,0.000069444451688,11.000000000000000
