OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,continent,distance,max_dist,std_distan,BUFF_DIST,ORIG_FID,charlottetown_008028_20170821_LST_pcs_OID,charlottetown_008028_20170821_LST_pcs_FID_,charlottetown_008028_20170821_LST_pcs_COUNT,charlottetown_008028_20170821_LST_pcs_AREA,charlottetown_008028_20170821_LST_pcs_MEAN
-1,Charlottetown,1,46.232669999999999,-63.120989999999999,20,6,0.300000000000000,46.235419999999998,-63.126519999999999,North America,0.523900000000000,14.450300000000000,0.036300000000000,100.000000000000000,0,0,0,32,28800.000000000000000,29.793773027600000
-1,Charlottetown,2,46.234400000000001,-63.125439999999998,20,9,0.450000000000000,46.235419999999998,-63.126519999999999,North America,0.140600000000000,14.450300000000000,0.009700000000000,100.000000000000000,1,1,1,33,29700.000000000000000,32.979032331100001
-1,Charlottetown,3,46.236860000000000,-63.129030000000000,20,11,0.550000000000000,46.235419999999998,-63.126519999999999,North America,0.250800000000000,14.450300000000000,0.017400000000000,100.000000000000000,2,2,2,36,32400.000000000000000,33.999619048400000
-1,Charlottetown,4,46.239620000000002,-63.130740000000003,20,6,0.300000000000000,46.235419999999998,-63.126519999999999,North America,0.568700000000000,14.450300000000000,0.039400000000000,100.000000000000000,3,3,3,32,28800.000000000000000,31.759505891200000
-1,Charlottetown,5,46.242010000000001,-63.132710000000003,20,2,0.100000000000000,46.235419999999998,-63.126519999999999,North America,0.873800000000000,14.450300000000000,0.060500000000000,100.000000000000000,4,4,4,35,31500.000000000000000,33.602358721900004
-1,Charlottetown,6,46.244970000000002,-63.134120000000003,20,6,0.300000000000000,46.235419999999998,-63.126519999999999,North America,1.212100000000000,14.450300000000000,0.083900000000000,100.000000000000000,5,5,5,35,31500.000000000000000,34.681218877699997
-1,Charlottetown,7,46.247700000000002,-63.135829999999999,20,3,0.150000000000000,46.235419999999998,-63.126519999999999,North America,1.541800000000000,14.450300000000000,0.106700000000000,100.000000000000000,6,6,6,32,28800.000000000000000,32.254022626800001
-1,Charlottetown,8,46.250190000000003,-63.137749999999997,20,6,0.300000000000000,46.235419999999998,-63.126519999999999,North America,1.855600000000000,14.450300000000000,0.128400000000000,100.000000000000000,7,7,7,32,28800.000000000000000,33.786220580399998
-1,Charlottetown,9,46.253200000000000,-63.139170000000000,20,5,0.250000000000000,46.235419999999998,-63.126519999999999,North America,2.203400000000000,14.450300000000000,0.152500000000000,100.000000000000000,8,8,8,33,29700.000000000000000,31.061830366500001
-1,Charlottetown,10,46.255740000000003,-63.140749999999997,20,3,0.150000000000000,46.235419999999998,-63.126519999999999,North America,2.510500000000000,14.450300000000000,0.173700000000000,100.000000000000000,9,9,9,37,33300.000000000000000,31.475771421699999
