OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,continent,distance,max_dist,std_distan,BUFF_DIST,ORIG_FID,starkville_022037_20180607_LST_pcs_OID,starkville_022037_20180607_LST_pcs_FID_,starkville_022037_20180607_LST_pcs_COUNT,starkville_022037_20180607_LST_pcs_AREA,starkville_022037_20180607_LST_pcs_MEAN
-1,Starkville,1,33.466000000000001,-88.819000000000003,20,11,0.550000000000000,33.462845000000002,-88.810263000000006,North America,0.883100000000000,5.461500000000000,0.161700000000000,100.000000000000000,0,0,0,37,33300.000000000000000,39.353479728000003
-1,Starkville,2,33.466000000000001,-88.816500000000005,20,20,1.000000000000000,33.462845000000002,-88.810263000000006,North America,0.676600000000000,5.461500000000000,0.123900000000000,100.000000000000000,1,1,1,36,32400.000000000000000,41.282308939200000
-1,Starkville,3,33.465899999999998,-88.813100000000006,20,8,0.400000000000000,33.462845000000002,-88.810263000000006,North America,0.429700000000000,5.461500000000000,0.078700000000000,100.000000000000000,2,2,2,33,29700.000000000000000,42.211267366900003
-1,Starkville,4,33.465899999999998,-88.810599999999994,20,17,0.850000000000000,33.462845000000002,-88.810263000000006,North America,0.341100000000000,5.461500000000000,0.062500000000000,100.000000000000000,3,3,3,35,31500.000000000000000,39.804200944599998
-1,Starkville,5,33.464500000000001,-88.808899999999994,20,18,0.900000000000000,33.462845000000002,-88.810263000000006,North America,0.223300000000000,5.461500000000000,0.040900000000000,100.000000000000000,4,4,4,34,30600.000000000000000,40.924477786200001
-1,Starkville,6,33.463400000000000,-88.807299999999998,20,20,1.000000000000000,33.462845000000002,-88.810263000000006,North America,0.281700000000000,5.461500000000000,0.051600000000000,100.000000000000000,5,5,5,35,31500.000000000000000,38.842120616199999
-1,Starkville,7,33.462400000000002,-88.805099999999996,20,15,0.750000000000000,33.462845000000002,-88.810263000000006,North America,0.481500000000000,5.461500000000000,0.088200000000000,100.000000000000000,6,6,6,37,33300.000000000000000,37.867168041699998
-1,Starkville,8,33.462000000000003,-88.804100000000005,20,18,0.900000000000000,33.462845000000002,-88.810263000000006,North America,0.579400000000000,5.461500000000000,0.106100000000000,100.000000000000000,7,7,7,21,18900.000000000000000,38.793168666400000
-1,Starkville,9,33.460900000000002,-88.802300000000002,20,19,0.950000000000000,33.462845000000002,-88.810263000000006,North America,0.769700000000000,5.461500000000000,0.140900000000000,100.000000000000000,8,8,8,35,31500.000000000000000,39.395262629999998
-1,Starkville,10,33.460099999999997,-88.801199999999994,20,14,0.700000000000000,33.462845000000002,-88.810263000000006,North America,0.894400000000000,5.461500000000000,0.163800000000000,100.000000000000000,9,9,9,28,25200.000000000000000,39.701269064199998
-1,Starkville,11,33.459299999999999,-88.799700000000001,20,15,0.750000000000000,33.462845000000002,-88.810263000000006,North America,1.056200000000000,5.461500000000000,0.193400000000000,100.000000000000000,10,10,10,32,28800.000000000000000,38.998557848499999
-1,Starkville,12,33.458100000000002,-88.798000000000002,20,19,0.950000000000000,33.462845000000002,-88.810263000000006,North America,1.254000000000000,5.461500000000000,0.229600000000000,100.000000000000000,11,11,11,34,30600.000000000000000,41.200284813499998
-1,Starkville,13,33.457099999999997,-88.796800000000005,20,18,0.900000000000000,33.462845000000002,-88.810263000000006,North America,1.402800000000000,5.461500000000000,0.256900000000000,100.000000000000000,12,12,12,31,27900.000000000000000,42.537297885000001
-1,Starkville,14,33.455900000000000,-88.795199999999994,20,12,0.600000000000000,33.462845000000002,-88.810263000000006,North America,1.596500000000000,5.461500000000000,0.292300000000000,100.000000000000000,13,13,13,35,31500.000000000000000,42.768694512800003
