OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,continent,distance,max_dist,std_distan,BUFF_DIST,ORIG_FID,waterloo_019030_20160104_LST_pcs_OID,waterloo_019030_20160104_LST_pcs_FID_,waterloo_019030_20160104_LST_pcs_COUNT,waterloo_019030_20160104_LST_pcs_AREA,waterloo_019030_20160104_LST_pcs_MEAN
-1,Waterloo,1,43.464027999999999,-80.520358000000002,NA,NA,0.300000000000000,43.464255999999999,-80.520409000000001,North America,0.025684388583800,8.290743176390000,0.003100000000000,100.000000000000000,0,0,0,35,31500.000000000000000,-8.474809298249999
-1,Waterloo,2,43.462699000000001,-80.524331000000004,NA,NA,0.200000000000000,43.464255999999999,-80.520409000000001,North America,0.360785993069000,8.290743176390000,0.043500000000000,100.000000000000000,1,1,1,35,31500.000000000000000,-8.808683495480000
-1,Waterloo,3,43.460450000000002,-80.525616999999997,NA,NA,0.250000000000000,43.464255999999999,-80.520409000000001,North America,0.596473732537000,8.290743176390000,0.071900000000000,100.000000000000000,2,2,2,37,33300.000000000000000,-9.053436850500001
-1,Waterloo,4,43.460932999999997,-80.530090000000001,NA,NA,0.473684211000000,43.464255999999999,-80.520409000000001,North America,0.864298778033000,8.290743176390000,0.104200000000000,100.000000000000000,3,3,3,35,31500.000000000000000,-8.959372192300000
-1,Waterloo,5,43.460929000000000,-80.534234999999995,NA,NA,0.150000000000000,43.464255999999999,-80.520409000000001,North America,1.175593452670000,8.290743176390000,0.141800000000000,100.000000000000000,4,4,4,32,28800.000000000000000,-9.304666930820000
-1,Waterloo,6,43.460386000000000,-80.537497000000002,NA,NA,0.588235294000000,43.464255999999999,-80.520409000000001,North America,1.444719399360000,8.290743176390000,0.174300000000000,100.000000000000000,5,5,5,36,32400.000000000000000,-9.227262334380001
-1,Waterloo,7,43.458412000000003,-80.539311999999995,NA,NA,0.300000000000000,43.464255999999999,-80.520409000000001,North America,1.658278653010000,8.290743176390000,0.200000000000000,100.000000000000000,6,6,6,35,31500.000000000000000,-9.480731662529999
-1,Waterloo,8,43.459045000000003,-80.542379999999994,NA,NA,0.200000000000000,43.464255999999999,-80.520409000000001,North America,1.865529840900000,8.290743176390000,0.225000000000000,100.000000000000000,7,7,7,32,28800.000000000000000,-10.845660621400000
-1,Waterloo,9,43.459640000000000,-80.546836999999996,NA,NA,0.100000000000000,43.464255999999999,-80.520409000000001,North America,2.193859248190000,8.290743176390000,0.264600000000000,100.000000000000000,8,8,8,33,29700.000000000000000,-10.094567031300000
-1,Waterloo,10,43.458821000000000,-80.548753000000005,NA,NA,0.190476190000000,43.464255999999999,-80.520409000000001,North America,2.366106325720000,8.290743176390000,0.285400000000000,100.000000000000000,9,9,9,31,27900.000000000000000,-10.095980690799999
-1,Waterloo,11,43.456499999999998,-80.551125999999996,NA,NA,0.315789474000000,43.464255999999999,-80.520409000000001,North America,2.624917565740000,8.290743176390000,0.316600000000000,100.000000000000000,10,10,10,36,32400.000000000000000,-10.002085694700000
-1,Waterloo,12,43.455392000000003,-80.556157999999996,NA,NA,0.250000000000000,43.464255999999999,-80.520409000000001,North America,3.049059966880000,8.290743176390000,0.367800000000000,100.000000000000000,11,11,11,35,31500.000000000000000,-9.453432661050000
-1,Waterloo,13,43.454486000000003,-80.558808999999997,NA,NA,0.333333333000000,43.464255999999999,-80.520409000000001,North America,3.284230746000000,8.290743176390000,0.396100000000000,100.000000000000000,12,12,12,32,28800.000000000000000,-10.184622260899999
-1,Waterloo,14,43.452838000000000,-80.562458000000007,NA,NA,0.200000000000000,43.464255999999999,-80.520409000000001,North America,3.623616259020000,8.290743176390000,0.437100000000000,100.000000000000000,13,13,13,36,32400.000000000000000,-10.412924342100000
-1,Waterloo,15,43.452432999999999,-80.566139000000007,NA,NA,0.705882353000000,43.464255999999999,-80.520409000000001,North America,3.918167966020000,8.290743176390000,0.472600000000000,100.000000000000000,14,14,14,35,31500.000000000000000,-9.811963233560000
-1,Waterloo,16,43.451776000000002,-80.570014000000000,NA,NA,0.250000000000000,43.464255999999999,-80.520409000000001,North America,4.237488644200000,8.290743176390000,0.511100000000000,100.000000000000000,15,15,15,36,32400.000000000000000,-9.910434763220000
