OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,continent,distance,max_dist,std_distan,BUFF_DIST,ORIG_FID,toronto_018030_20150227_NDVI_pcs_OID,toronto_018030_20150227_NDVI_pcs_FID_,toronto_018030_20150227_NDVI_pcs_COUNT,toronto_018030_20150227_NDVI_pcs_AREA,toronto_018030_20150227_NDVI_pcs_MEAN
-1,Toronto,8,43.969569999999997,-79.512829999999994,20,9,0.450000000000000,43.653224999999999,-79.383185999999995,North America,36.681899999999999,47.583900000000000,0.770900000000000,100.000000000000000,7,0,7,37,33300.000000000000000,0.130452351465000
-1,Toronto,9,43.957360000000001,-79.510639999999995,20,5,0.250000000000000,43.653224999999999,-79.383185999999995,North America,35.331099999999999,47.583900000000000,0.742500000000000,100.000000000000000,8,1,8,35,31500.000000000000000,0.036748683998100
-1,Toronto,10,43.951949999999997,-79.509469999999993,20,11,0.550000000000000,43.653224999999999,-79.383185999999995,North America,34.728400000000001,47.583900000000000,0.729800000000000,100.000000000000000,9,2,9,35,31500.000000000000000,-0.000509113485792
-1,Toronto,11,43.942760000000000,-79.506829999999994,20,8,0.400000000000000,43.653224999999999,-79.383185999999995,North America,33.689500000000002,47.583900000000000,0.708000000000000,100.000000000000000,10,3,10,37,33300.000000000000000,-0.002355502534510
-1,Toronto,12,43.933860000000003,-79.504710000000003,20,5,0.250000000000000,43.653224999999999,-79.383185999999995,North America,32.694099999999999,47.583900000000000,0.687100000000000,100.000000000000000,11,4,11,34,30600.000000000000000,-0.001575544781240
-1,Toronto,13,43.924410000000002,-79.503060000000005,20,19,0.950000000000000,43.653224999999999,-79.383185999999995,North America,31.652500000000000,47.583900000000000,0.665200000000000,100.000000000000000,12,5,12,36,32400.000000000000000,0.015154969095900
-1,Toronto,14,43.915880000000001,-79.500470000000007,20,9,0.450000000000000,43.653224999999999,-79.383185999999995,North America,30.686000000000000,47.583900000000000,0.644900000000000,100.000000000000000,13,6,13,36,32400.000000000000000,-0.025074450195700
-1,Toronto,15,43.906829999999999,-79.498739999999998,20,8,0.400000000000000,43.653224999999999,-79.383185999999995,North America,29.686299999999999,47.583900000000000,0.623900000000000,100.000000000000000,14,7,14,35,31500.000000000000000,0.159062864660000
-1,Toronto,16,43.897559999999999,-79.496560000000002,20,6,0.300000000000000,43.653224999999999,-79.383185999999995,North America,28.653199999999998,47.583900000000000,0.602200000000000,100.000000000000000,15,8,15,36,32400.000000000000000,0.126479536895000
-1,Toronto,17,43.888440000000003,-79.494349999999997,20,16,0.800000000000000,43.653224999999999,-79.383185999999995,North America,27.635899999999999,47.583900000000000,0.580800000000000,100.000000000000000,16,9,16,35,31500.000000000000000,-0.010543186476200
