city,population,population_latitude,population_longitude,total_plants,numCyanogenic,freqHCN,latitude_city,longitude_city,Country,continent,distance,max_dist,std_distance,hii
Beijing,1,39.9597,116.4098,27,18,0.667,39.904202,116.407394,China,Asia,6.1745,22.5976,0.2732,93
Beijing,2,39.9685,116.3734,24,24,1,39.904202,116.407394,China,Asia,7.7147,22.5976,0.3414,93
Beijing,3,39.9727,116.3738,5,2,0.4,39.904202,116.407394,China,Asia,8.1373,22.5976,0.3601,93
Beijing,4,40.0123,116.3927,21,7,0.333,39.904202,116.407394,China,Asia,12.085,22.5976,0.5348,65
Beijing,5,40.0171,116.3751,23,9,0.391,39.904202,116.407394,China,Asia,12.8519,22.5976,0.5687,93
Beijing,6,40.0137,116.3907,26,8,0.308,39.904202,116.407394,China,Asia,12.2585,22.5976,0.5425,81
Beijing,7,40.012,116.3802,23,19,0.826,39.904202,116.407394,China,Asia,12.2086,22.5976,0.5403,81
Beijing,8,40.0156,116.3771,25,11,0.44,39.904202,116.407394,China,Asia,12.6531,22.5976,0.5599,93
Beijing,9,40.0107,116.3843,22,11,0.5,39.904202,116.407394,China,Asia,12.0045,22.5976,0.5312,81
Beijing,10,40.0093,116.3894,20,19,0.95,39.904202,116.407394,China,Asia,11.7866,22.5976,0.5216,81
Beijing,11,39.9614,116.3567,24,14,0.583,39.904202,116.407394,China,Asia,7.6899,22.5976,0.3403,93
Beijing,12,40.0424,116.3939,18,10,0.556,39.904202,116.407394,China,Asia,15.4099,22.5976,0.6819,90
Beijing,13,40.025,116.3774,21,6,0.286,39.904202,116.407394,China,Asia,13.6732,22.5976,0.6051,65
Beijing,14,40.0237,116.3803,18,9,0.5,39.904202,116.407394,China,Asia,13.4867,22.5976,0.5968,65
Beijing,15,40.0281,116.3873,11,6,0.545,39.904202,116.407394,China,Asia,13.8829,22.5976,0.6144,78
Beijing,16,40.0238,116.38600000000001,22,20,0.909,39.904202,116.407394,China,Asia,13.4231,22.5976,0.594,78
Beijing,17,40.08,116.3353,24,13,0.542,39.904202,116.407394,China,Asia,20.49,22.5976,0.9067,78
Beijing,18,40.0908,116.3023,24,6,0.25,39.904202,116.407394,China,Asia,22.5976,22.5976,1,84
Beijing,19,40.0682,116.3105,23,15,0.652,39.904202,116.407394,China,Asia,20.0172,22.5976,0.8858,78
Beijing,20,40.0648,116.3076,28,20,0.714,39.904202,116.407394,China,Asia,19.7785,22.5976,0.8752,90
Beijing,21,40.0158,116.3868,23,20,0.87,39.904202,116.407394,China,Asia,12.5327,22.5976,0.5546,81
Beijing,22,40.0158,116.3833,22,22,1,39.904202,116.407394,China,Asia,12.5779,22.5976,0.5566,81
Beijing,23,40.0159,116.3792,24,10,0.417,39.904202,116.407394,China,Asia,12.6506,22.5976,0.5598,93
Beijing,24,39.9375,116.3317,17,17,1,39.904202,116.407394,China,Asia,7.4416,22.5976,0.3293,93
