city,population,population_latitude,population_longitude,total_plants,numCyanogenic,freqHCN,latitude_city,longitude_city,Country,continent,distance,max_dist,std_distance,hii
Bern,1,46.938284,7.332944,20,6,0.3,46.947975,7.447447,Switzerland,Europe,8.7591,8.7591,1,53
Bern,2,46.939407,7.3375936,20,9,0.45,46.947975,7.447447,Switzerland,Europe,8.3937,8.7591,0.9583,67
Bern,3,46.9384684,7.3392817,20,5,0.25,46.947975,7.447447,Switzerland,Europe,8.2792,8.7591,0.9452,54
Bern,4,46.9366745,7.341622200000001,19,11,0.579,46.947975,7.447447,Switzerland,Europe,8.1315,8.7591,0.9283,54
Bern,5,46.9368273,7.3455018,20,12,0.6,46.947975,7.447447,Switzerland,Europe,7.838,8.7591,0.8948,54
Bern,6,46.935390999999996,7.3482402,19,13,0.684,46.947975,7.447447,Switzerland,Europe,7.6604,8.7591,0.8746,54
Bern,7,46.935595299999996,7.351704499999999,16,12,0.75,46.947975,7.447447,Switzerland,Europe,7.3977,8.7591,0.8446,59
Bern,8,46.9354007,7.3549531,20,8,0.4,46.947975,7.447447,Switzerland,Europe,7.1598,8.7591,0.8174,59
Bern,9,46.9360866,7.3588383,17,11,0.647,46.947975,7.447447,Switzerland,Europe,6.8556,8.7591,0.7827,59
Bern,10,46.9363238,7.362107000000001,15,10,0.667,46.947975,7.447447,Switzerland,Europe,6.607,8.7591,0.7543,59
Bern,11,46.937012,7.365972599999999,19,8,0.421,46.947975,7.447447,Switzerland,Europe,6.3042,8.7591,0.7197,59
Bern,12,46.937761,7.3711424,20,11,0.55,46.947975,7.447447,Switzerland,Europe,5.903,8.7591,0.6739,59
Bern,13,46.9374525,7.371753900000001,20,6,0.3,46.947975,7.447447,Switzerland,Europe,5.8642,8.7591,0.6695,59
Bern,14,46.9370925,7.3759257,20,12,0.6,46.947975,7.447447,Switzerland,Europe,5.5628,8.7591,0.6351,59
Bern,15,46.937393799999995,7.3778182,15,8,0.533,46.947975,7.447447,Switzerland,Europe,5.4153,8.7591,0.6182,59
Bern,16,46.937562400000004,7.380121000000001,19,6,0.316,46.947975,7.447447,Switzerland,Europe,5.2406,8.7591,0.5983,59
Bern,17,46.939062400000005,7.3838631999999995,12,7,0.583,46.947975,7.447447,Switzerland,Europe,4.9276,8.7591,0.5626,71
Bern,18,46.9396274,7.3879648,20,7,0.35,46.947975,7.447447,Switzerland,Europe,4.61,8.7591,0.5263,78
Bern,19,46.941857399999996,7.390722599999999,10,5,0.5,46.947975,7.447447,Switzerland,Europe,4.3595,8.7591,0.4977,78
Bern,20,46.9414625,7.3930976,20,17,0.85,46.947975,7.447447,Switzerland,Europe,4.1889,8.7591,0.4782,78
Bern,21,46.941902500000005,7.394792900000001,20,9,0.45,46.947975,7.447447,Switzerland,Europe,4.0538,8.7591,0.4628,78
Bern,22,46.9422025,7.3976835,11,7,0.636,46.947975,7.447447,Switzerland,Europe,3.8318,8.7591,0.4375,78
Bern,23,46.942127500000005,7.4001054,17,9,0.529,46.947975,7.447447,Switzerland,Europe,3.6522,8.7591,0.417,78
Bern,24,46.9416624,7.4028241999999995,14,9,0.643,46.947975,7.447447,Switzerland,Europe,3.4594,8.7591,0.3949,78
Bern,25,46.942057399999996,7.4048867,17,7,0.412,46.947975,7.447447,Switzerland,Europe,3.2972,8.7591,0.3764,78
Bern,26,46.943602500000004,7.409128900000001,20,14,0.7,46.947975,7.447447,Switzerland,Europe,2.9491,8.7591,0.3367,78
Bern,27,46.9436624,7.4132773,18,14,0.778,46.947975,7.447447,Switzerland,Europe,2.6378,8.7591,0.3011,78
Bern,28,46.944297399999996,7.4168008,20,16,0.8,46.947975,7.447447,Switzerland,Europe,2.3621,8.7591,0.2697,78
Bern,29,46.944502500000006,7.4196835000000005,18,8,0.444,46.947975,7.447447,Switzerland,Europe,2.1426,8.7591,0.2446,78
Bern,30,46.945457399999995,7.424378900000001,13,6,0.462,46.947975,7.447447,Switzerland,Europe,1.7733,8.7591,0.2025,78
Bern,31,46.9458975,7.4298554,16,11,0.688,46.947975,7.447447,Switzerland,Europe,1.3552,8.7591,0.1547,78
Bern,32,46.946507399999994,7.4308320000000005,20,15,0.75,46.947975,7.447447,Switzerland,Europe,1.2718,8.7591,0.1452,78
Bern,33,46.9458375,7.4349492,13,4,0.308,46.947975,7.447447,Switzerland,Europe,0.978,8.7591,0.1117,93
Bern,34,46.9451924,7.4369023,20,7,0.35,46.947975,7.447447,Switzerland,Europe,0.8582,8.7591,0.098,93
Bern,35,46.9463224,7.4404492,16,4,0.25,46.947975,7.447447,Switzerland,Europe,0.5621,8.7591,0.0642,93
Bern,36,46.9485875,7.4441679,12,4,0.333,46.947975,7.447447,Switzerland,Europe,0.2581,8.7591,0.0295,93
Bern,37,46.9474474,7.4474648,12,11,0.917,46.947975,7.447447,Switzerland,Europe,0.0587,8.7591,0.0067,93
Bern,38,46.9470524,7.4517773,19,4,0.211,46.947975,7.447447,Switzerland,Europe,0.3443,8.7591,0.0393,90
Bern,39,46.9485375,7.457097599999999,10,9,0.9,46.947975,7.447447,Switzerland,Europe,0.7352,8.7591,0.0839,90
Bern,40,46.9468475,7.4591367,20,13,0.65,46.947975,7.447447,Switzerland,Europe,0.8962,8.7591,0.1023,90
