city,population,population_latitude,population_longitude,total_plants,numCyanogenic,freqHCN,latitude_city,longitude_city,Country,continent,distance,max_dist,std_distance,hii
Cleveland,1,41.507303,-81.69535400000001,15,2,0.133,41.499321,-81.694359,USA,North America,0.8914,45.0637,0.0198,NA
Cleveland,2,41.497375,-81.689261,15,4,0.267,41.499321,-81.694359,USA,North America,0.4765,45.0637,0.0106,93
Cleveland,3,41.499058000000005,-81.68092,15,2,0.133,41.499321,-81.694359,USA,North America,1.1196,45.0637,0.0248,NA
Cleveland,4,41.505819,-81.67719,15,3,0.2,41.499321,-81.694359,USA,North America,1.602,45.0637,0.0355,NA
Cleveland,5,41.501417000000004,-81.667019,14,0,0,41.499321,-81.694359,USA,North America,2.2888,45.0637,0.0508,93
Cleveland,6,41.501584,-81.654977,15,5,0.333,41.499321,-81.694359,USA,North America,3.2894,45.0637,0.073,93
Cleveland,7,41.501469,-81.645705,14,3,0.214,41.499321,-81.694359,USA,North America,4.0589,45.0637,0.0901,93
Cleveland,8,41.501213,-81.634998,15,5,0.333,41.499321,-81.694359,USA,North America,4.948,45.0637,0.1098,93
Cleveland,9,41.500976,-81.61407700000001,15,4,0.267,41.499321,-81.694359,USA,North America,6.6884,45.0637,0.1484,93
Cleveland,10,41.49927,-81.60369200000001,15,1,0.067,41.499321,-81.694359,USA,North America,7.5508,45.0637,0.1676,93
Cleveland,11,41.500653,-81.59176,15,3,0.2,41.499321,-81.694359,USA,North America,8.5457,45.0637,0.1896,93
Cleveland,12,41.500309,-81.577958,15,5,0.333,41.499321,-81.694359,USA,North America,9.6945,45.0637,0.2151,93
Cleveland,13,41.500757,-81.564164,15,4,0.267,41.499321,-81.694359,USA,North America,10.8438,45.0637,0.2406,93
Cleveland,14,41.500935999999996,-81.549246,15,4,0.267,41.499321,-81.694359,USA,North America,12.0863,45.0637,0.2682,81
Cleveland,15,41.500927000000004,-81.531367,15,4,0.267,41.499321,-81.694359,USA,North America,13.5751,45.0637,0.3012,81
Cleveland,16,41.501103,-81.516846,15,6,0.4,41.499321,-81.694359,USA,North America,14.7846,45.0637,0.3281,81
Cleveland,17,41.500338,-81.49500400000001,15,5,0.333,41.499321,-81.694359,USA,North America,16.6027,45.0637,0.3684,78
Cleveland,18,41.499069,-81.476513,15,6,0.4,41.499321,-81.694359,USA,North America,18.1425,45.0637,0.4026,81
Cleveland,19,41.500921999999996,-81.46025,15,3,0.2,41.499321,-81.694359,USA,North America,19.4974,45.0637,0.4327,65
Cleveland,20,41.501954,-81.443846,14,3,0.214,41.499321,-81.694359,USA,North America,20.8646,45.0637,0.463,65
Cleveland,21,41.500859000000005,-81.430062,15,5,0.333,41.499321,-81.694359,USA,North America,22.0113,45.0637,0.4884,65
Cleveland,22,41.500648,-81.413628,13,5,0.385,41.499321,-81.694359,USA,North America,23.3798,45.0637,0.5188,59
Cleveland,23,41.489897,-81.40135500000001,15,4,0.267,41.499321,-81.694359,USA,North America,24.4259,45.0637,0.542,53
Cleveland,24,41.490638,-81.38626500000001,15,6,0.4,41.499321,-81.694359,USA,North America,25.6782,45.0637,0.5698,42
Cleveland,25,41.49042,-81.371086,15,5,0.333,41.499321,-81.694359,USA,North America,26.9425,45.0637,0.5979,42
Cleveland,26,41.490173999999996,-81.357096,15,4,0.267,41.499321,-81.694359,USA,North America,28.108,45.0637,0.6237,42
Cleveland,27,41.490838000000004,-81.34343199999999,15,6,0.4,41.499321,-81.694359,USA,North America,29.2426,45.0637,0.6489,46
Cleveland,28,41.490734,-81.325614,15,4,0.267,41.499321,-81.694359,USA,North America,30.7263,45.0637,0.6818,46
Cleveland,29,41.490408,-81.31326700000001,15,4,0.267,41.499321,-81.694359,USA,North America,31.7553,45.0637,0.7047,42
Cleveland,30,41.488515,-81.30005799999999,15,5,0.333,41.499321,-81.694359,USA,North America,32.8624,45.0637,0.7292,42
Cleveland,31,41.490178,-81.276714,15,2,0.133,41.499321,-81.694359,USA,North America,34.7991,45.0637,0.7722,42
Cleveland,32,41.490074,-81.265466,15,4,0.267,41.499321,-81.694359,USA,North America,35.7359,45.0637,0.793,42
Cleveland,33,41.489964,-81.251125,15,5,0.333,41.499321,-81.694359,USA,North America,36.9302,45.0637,0.8195,42
Cleveland,34,41.501391,-81.242747,15,4,0.267,41.499321,-81.694359,USA,North America,37.6107,45.0637,0.8346,42
Cleveland,35,41.497438,-81.227512,15,6,0.4,41.499321,-81.694359,USA,North America,38.8805,45.0637,0.8628,48
Cleveland,36,41.493967,-81.213725,15,2,0.133,41.499321,-81.694359,USA,North America,40.0337,45.0637,0.8884,48
Cleveland,37,41.494882000000004,-81.199377,15,3,0.2,41.499321,-81.694359,USA,North America,41.2269,45.0637,0.9149,48
Cleveland,38,41.495884999999994,-81.18538199999999,15,3,0.2,41.499321,-81.694359,USA,North America,42.3909,45.0637,0.9407,48
Cleveland,39,41.498235,-81.172626,14,2,0.143,41.499321,-81.694359,USA,North America,43.4509,45.0637,0.9642,48
Cleveland,40,41.496893,-81.153274,15,9,0.6,41.499321,-81.694359,USA,North America,45.0637,45.0637,1,54
