city,population,population_latitude,population_longitude,total_plants,numCyanogenic,freqHCN,latitude_city,longitude_city,continent,distance,max_dist,std_distance,Country,hii
Everett,1,44.190309,-79.94430600000003,20,5,0.25,44.19047,-79.93722,North America,0.5652491052686506,3.8813188006734793,0.1456,Canada,50
Everett,2,44.190496,-79.942051,20,6,0.3,44.19047,-79.93722,North America,0.3851850200283221,3.8813188006734793,0.0992,Canada,50
Everett,3,44.191051,-79.940159,20,6,0.3,44.19047,-79.93722,North America,0.2430672143961417,3.8813188006734793,0.0626,Canada,50
Everett,4,44.19142,-79.937814,20,2,0.1,44.19047,-79.93722,North America,0.11576559403428802,3.8813188006734793,0.0298,Canada,50
Everett,5,44.191722,-79.93640500000002,20,3,0.15,44.19047,-79.93722,North America,0.15363392245919552,3.8813188006734793,0.0396,Canada,50
Everett,6,44.192222,-79.93449100000002,20,6,0.3,44.19047,-79.93722,North America,0.29204964449831755,3.8813188006734793,0.0752,Canada,50
Everett,7,44.192655,-79.932182,20,5,0.25,44.19047,-79.93722,North America,0.4694352843308628,3.8813188006734793,0.1209,Canada,50
Everett,8,44.195095,-79.93049599999998,20,5,0.294117647,44.19047,-79.93722,North America,0.7428753635427771,3.8813188006734793,0.1914,Canada,50
Everett,9,44.193685,-79.928727,20,10,0.5,44.19047,-79.93722,North America,0.7657022478853232,3.8813188006734793,0.1973,Canada,50
Everett,10,44.194262,-79.92664,20,0,0,44.19047,-79.93722,North America,0.943029324873879,3.8813188006734793,0.243,Canada,50
Everett,11,44.194424,-79.92514399999997,20,5,0.25,44.19047,-79.93722,North America,1.058422232857852,3.8813188006734793,0.2727,Canada,50
Everett,12,44.195445,-79.920909,20,5,0.25,44.19047,-79.93722,North America,1.4131905416898345,3.8813188006734793,0.3641,Canada,34
Everett,13,44.195732,-79.919174,20,3,0.15,44.19047,-79.93722,North America,1.5531640808833438,3.8813188006734793,0.4002,Canada,34
Everett,14,44.198366,-79.910004,20,4,0.2,44.19047,-79.93722,North America,2.340686750960691,3.8813188006734793,0.6031,Canada,34
Everett,15,44.197369,-79.908372,20,5,0.25,44.19047,-79.93722,North America,2.42447354368936,3.8813188006734793,0.6247,Canada,34
Everett,16,44.194242,-79.889463,20,9,0.45,44.19047,-79.93722,North America,3.830561946449633,3.8813188006734793,0.9869,Canada,34
Everett,17,44.191766,-79.894171,20,7,0.35,44.19047,-79.93722,North America,3.4352707317002835,3.8813188006734793,0.8851,Canada,34
Everett,18,44.191254,-79.888551,20,5,0.25,44.19047,-79.93722,North America,3.8813188006734793,3.8813188006734793,1,Canada,34
Everett,19,44.194138,-79.9076,19,7,0.368421053,44.19047,-79.93722,North America,2.396483275101102,3.8813188006734793,0.6174,Canada,34
Everett,20,44.191521,-79.906837,20,10,0.5,44.19047,-79.93722,North America,2.4252237140667057,3.8813188006734793,0.6248,Canada,34
