city,population,population_latitude,population_longitude,total_plants,numCyanogenic,freqHCN,latitude_city,longitude_city,Country,continent,distance,max_dist,std_distance,hii
Frankfurt,1,50.079589,8.67215,15,2,0.133,50.110644,8.682092,Germany,Europe,3.5252,17.0403,0.2069,93
Frankfurt,2,50.082622,8.677189,15,3,0.2,50.110644,8.682092,Germany,Europe,3.1355,17.0403,0.184,93
Frankfurt,3,50.089574,8.67552,19,6,0.316,50.110644,8.682092,Germany,Europe,2.3893,17.0403,0.1402,93
Frankfurt,4,50.094196999999994,8.677871000000001,17,1,0.059,50.110644,8.682092,Germany,Europe,1.8534,17.0403,0.1088,93
Frankfurt,5,50.096740999999994,8.675369,20,7,0.35,50.110644,8.682092,Germany,Europe,1.6186,17.0403,0.095,93
Frankfurt,6,50.102138000000004,8.68174,16,16,1,50.110644,8.682092,Germany,Europe,0.9462,17.0403,0.0555,93
Frankfurt,7,50.106293,8.682513,20,2,0.1,50.110644,8.682092,Germany,Europe,0.4847,17.0403,0.0284,93
Frankfurt,8,50.109356,8.684932,20,4,0.2,50.110644,8.682092,Germany,Europe,0.248,17.0403,0.0146,93
Frankfurt,9,50.116295,8.682189,16,5,0.312,50.110644,8.682092,Germany,Europe,0.6284,17.0403,0.0369,93
Frankfurt,10,50.119504,8.686256,20,0,0,50.110644,8.682092,Germany,Europe,1.029,17.0403,0.0604,93
Frankfurt,11,50.123644,8.693069,20,7,0.35,50.110644,8.682092,Germany,Europe,1.6438,17.0403,0.0965,93
Frankfurt,12,50.130219,8.689369000000001,16,6,0.375,50.110644,8.682092,Germany,Europe,2.2376,17.0403,0.1313,81
Frankfurt,13,50.133325,8.693831,20,2,0.1,50.110644,8.682092,Germany,Europe,2.6572,17.0403,0.1559,93
Frankfurt,14,50.137017,8.694152,20,7,0.35,50.110644,8.682092,Germany,Europe,3.056,17.0403,0.1793,93
Frankfurt,15,50.143494,8.694336,17,4,0.235,50.110644,8.682092,Germany,Europe,3.7556,17.0403,0.2204,90
Frankfurt,16,50.1452,8.697866000000001,15,0,0,50.110644,8.682092,Germany,Europe,4.0036,17.0403,0.2349,90
Frankfurt,17,50.149190000000004,8.700661,16,3,0.188,50.110644,8.682092,Germany,Europe,4.4858,17.0403,0.2632,90
Frankfurt,18,50.153662,8.700357,14,7,0.5,50.110644,8.682092,Germany,Europe,4.9574,17.0403,0.2909,90
Frankfurt,19,50.158576000000004,8.702026,15,11,0.733,50.110644,8.682092,Germany,Europe,5.5159,17.0403,0.3237,90
Frankfurt,20,50.16281,8.714644,17,3,0.176,50.110644,8.682092,Germany,Europe,6.2474,17.0403,0.3666,90
Frankfurt,21,50.165939,8.71263,5,0,0,50.110644,8.682092,Germany,Europe,6.5224,17.0403,0.3828,90
Frankfurt,22,50.171579,8.708772999999999,15,5,0.333,50.110644,8.682092,Germany,Europe,7.0374,17.0403,0.413,90
Frankfurt,23,50.177636,8.707773,11,6,0.545,50.110644,8.682092,Germany,Europe,7.6707,17.0403,0.4502,90
Frankfurt,24,50.179446,8.706385000000001,15,3,0.2,50.110644,8.682092,Germany,Europe,7.8438,17.0403,0.4603,90
Frankfurt,25,50.184027,8.708008,15,11,0.733,50.110644,8.682092,Germany,Europe,8.3662,17.0403,0.491,71
Frankfurt,26,50.191338,8.712098,12,8,0.667,50.110644,8.682092,Germany,Europe,9.2239,17.0403,0.5413,71
Frankfurt,27,50.195949,8.712456,16,9,0.562,50.110644,8.682092,Germany,Europe,9.729,17.0403,0.5709,71
Frankfurt,28,50.198088,8.716978,15,2,0.133,50.110644,8.682092,Germany,Europe,10.036,17.0403,0.589,65
Frankfurt,29,50.202005,8.71917,15,10,0.667,50.110644,8.682092,Germany,Europe,10.4967,17.0403,0.616,65
Frankfurt,30,50.208844,8.718625,17,13,0.765,50.110644,8.682092,Germany,Europe,11.2252,17.0403,0.6587,65
Frankfurt,31,50.21152,8.722846,15,10,0.667,50.110644,8.682092,Germany,Europe,11.5865,17.0403,0.6799,65
Frankfurt,32,50.215706,8.721445,14,3,0.214,50.110644,8.682092,Germany,Europe,12.014,17.0403,0.705,60
Frankfurt,33,50.219507,8.729884,13,7,0.538,50.110644,8.682092,Germany,Europe,12.5746,17.0403,0.7379,73
Frankfurt,34,50.223462,8.722211,15,5,0.333,50.110644,8.682092,Germany,Europe,12.8661,17.0403,0.755,60
Frankfurt,35,50.230077,8.73091,18,7,0.389,50.110644,8.682092,Germany,Europe,13.7279,17.0403,0.8056,73
Frankfurt,36,50.231629999999996,8.723796,17,10,0.588,50.110644,8.682092,Germany,Europe,13.777,17.0403,0.8085,60
Frankfurt,37,50.236382,8.730063000000001,15,0,0,50.110644,8.682092,Germany,Europe,14.3928,17.0403,0.8446,73
Frankfurt,38,50.243803,8.731417,15,9,0.6,50.110644,8.682092,Germany,Europe,15.2175,17.0403,0.893,73
Frankfurt,39,50.248565,8.734677,16,10,0.625,50.110644,8.682092,Germany,Europe,15.7866,17.0403,0.9264,53
Frankfurt,40,50.251267999999996,8.732453999999999,15,6,0.4,50.110644,8.682092,Germany,Europe,16.0426,17.0403,0.9415,53
Frankfurt,41,50.259552,8.738642,10,3,0.3,50.110644,8.682092,Germany,Europe,17.0403,17.0403,1,53
