city,population,population_latitude,population_longitude,total_plants,numCyanogenic,freqHCN,latitude_city,longitude_city,Country,continent,distance,max_dist,std_distance,hii
Freehold,1,40.261669,-74.274111,20,10,0.5,40.26011,-74.273757,USA,North America,0.1759,15.804,0.0111,65
Freehold,2,40.261194,-74.275972,20,2,0.1,40.26011,-74.273757,USA,North America,0.2233,15.804,0.0141,65
Freehold,3,40.259214,-74.278867,20,1,0.05,40.26011,-74.273757,USA,North America,0.4449,15.804,0.0282,65
Freehold,4,40.258414,-74.282614,20,4,0.2,40.26011,-74.273757,USA,North America,0.7749,15.804,0.049,65
Freehold,5,40.254897,-74.282197,20,8,0.4,40.26011,-74.273757,USA,North America,0.9214,15.804,0.0583,65
Freehold,6,40.253211,-74.282717,20,4,0.2,40.26011,-74.273757,USA,North America,1.0801,15.804,0.0683,65
Freehold,8,40.250819,-74.288389,20,2,0.1,40.26011,-74.273757,USA,North America,1.6153,15.804,0.1022,65
Freehold,10,40.244471999999995,-74.298556,20,5,0.25,40.26011,-74.273757,USA,North America,2.73,15.804,0.1727,65
Freehold,11,40.249183,-74.291792,20,7,0.35,40.26011,-74.273757,USA,North America,1.9541,15.804,0.1236,65
Freehold,15,40.245971999999995,-74.296522,20,5,0.25,40.26011,-74.273757,USA,North America,2.4907,15.804,0.1576,65
Freehold,16,40.263469,-74.272319,19,3,0.158,40.26011,-74.273757,USA,North America,0.3929,15.804,0.0249,65
Freehold,18,40.250275,-74.282861,19,2,0.105,40.26011,-74.273757,USA,North America,1.339,15.804,0.0847,65
Freehold,19,40.242064,-74.30129699999999,19,4,0.211,40.26011,-74.273757,USA,North America,3.0804,15.804,0.1949,65
Freehold,20,40.240919,-74.304683,20,6,0.3,40.26011,-74.273757,USA,North America,3.3826,15.804,0.214,65
Freehold,21,40.237885999999996,-74.304425,20,4,0.2,40.26011,-74.273757,USA,North America,3.589,15.804,0.2271,65
Freehold,22,40.232969,-74.305808,20,2,0.1,40.26011,-74.273757,USA,North America,4.063,15.804,0.2571,65
Freehold,23,40.235161,-74.310983,20,3,0.15,40.26011,-74.273757,USA,North America,4.2045,15.804,0.266,65
Freehold,24,40.235228,-74.31353100000001,20,4,0.2,40.26011,-74.273757,USA,North America,4.3646,15.804,0.2762,65
Freehold,25,40.232547,-74.314514,20,6,0.3,40.26011,-74.273757,USA,North America,4.6216,15.804,0.2924,65
Freehold,26,40.2303,-74.31729399999999,20,2,0.1,40.26011,-74.273757,USA,North America,4.964,15.804,0.3141,48
Freehold,27,40.229303,-74.32114200000001,20,4,0.2,40.26011,-74.273757,USA,North America,5.2829,15.804,0.3343,48
Freehold,28,40.228419,-74.324958,20,2,0.1,40.26011,-74.273757,USA,North America,5.5949,15.804,0.354,48
Freehold,29,40.227106,-74.327853,19,7,0.368,40.26011,-74.273757,USA,North America,5.8779,15.804,0.3719,48
Freehold,30,40.224406,-74.330811,19,0,0,40.26011,-74.273757,USA,North America,6.262,15.804,0.3962,48
Freehold,31,40.221886,-74.335689,20,5,0.25,40.26011,-74.273757,USA,North America,6.76,15.804,0.4277,43
Freehold,32,40.219775,-74.338739,20,3,0.15,40.26011,-74.273757,USA,North America,7.109,15.804,0.4498,43
Freehold,33,40.216489,-74.342233,20,2,0.1,40.26011,-74.273757,USA,North America,7.5704,15.804,0.479,43
Freehold,34,40.212216999999995,-74.341633,20,5,0.25,40.26011,-74.273757,USA,North America,7.8458,15.804,0.4964,21
Freehold,35,40.214239,-74.353117,19,1,0.053,40.26011,-74.273757,USA,North America,8.4496,15.804,0.5346,28
Freehold,36,40.208419,-74.353372,20,1,0.05,40.26011,-74.273757,USA,North America,8.872,15.804,0.5614,28
Freehold,37,40.204964000000004,-74.3583,20,1,0.05,40.26011,-74.273757,USA,North America,9.4397,15.804,0.5973,21
Freehold,38,40.204039,-74.36188100000001,17,3,0.176,40.26011,-74.273757,USA,North America,9.7384,15.804,0.6162,43
