city,population,population_latitude,population_longitude,total_plants,numCyanogenic,freqHCN,latitude_city,longitude_city,Country,continent,distance,max_dist,std_distance,hii
Glasgow,1,55.86705799999999,-4.261263,13,10,0.769,55.865681,-4.25714,UK,Europe,0.2994,24.9495,0.012,93
Glasgow,2,55.866651,-4.252326999999999,13,4,0.308,55.865681,-4.25714,UK,Europe,0.3191,24.9495,0.0128,93
Glasgow,3,55.865348,-4.247622,12,6,0.5,55.865681,-4.25714,UK,Europe,0.595,24.9495,0.0238,93
Glasgow,4,55.869395999999995,-4.2550230000000004,14,8,0.571,55.865681,-4.25714,UK,Europe,0.4337,24.9495,0.0174,93
Glasgow,5,55.872617000000005,-4.260855,12,2,0.167,55.865681,-4.25714,UK,Europe,0.8053,24.9495,0.0323,93
Glasgow,6,55.877853,-4.266999,11,7,0.636,55.865681,-4.25714,UK,Europe,1.4867,24.9495,0.0596,93
Glasgow,7,55.882024,-4.278757,12,3,0.25,55.865681,-4.25714,UK,Europe,2.2629,24.9495,0.0907,100
Glasgow,8,55.888979000000006,-4.290376,12,1,0.083,55.865681,-4.25714,UK,Europe,3.318,24.9495,0.133,100
Glasgow,9,55.892725,-4.296046,15,11,0.733,55.865681,-4.25714,UK,Europe,3.8642,24.9495,0.1549,65
Glasgow,10,55.899191,-4.302786,10,7,0.7,55.865681,-4.25714,UK,Europe,4.6892,24.9495,0.1879,100
Glasgow,11,55.904074,-4.313413,10,4,0.4,55.865681,-4.25714,UK,Europe,5.5264,24.9495,0.2215,100
Glasgow,12,55.910024,-4.3257330000000005,10,4,0.4,55.865681,-4.25714,UK,Europe,6.5275,24.9495,0.2616,100
Glasgow,13,55.91975600000001,-4.331887,14,4,0.286,55.865681,-4.25714,UK,Europe,7.6076,24.9495,0.3049,100
Glasgow,14,55.928036,-4.343822,14,7,0.5,55.865681,-4.25714,UK,Europe,8.7909,24.9495,0.3523,87
Glasgow,15,55.933902,-4.343371,20,9,0.45,55.865681,-4.25714,UK,Europe,9.2975,24.9495,0.3727,71
Glasgow,16,55.942181999999995,-4.349501999999999,10,2,0.2,55.865681,-4.25714,UK,Europe,10.2717,24.9495,0.4117,71
Glasgow,17,55.946613,-4.352428,8,3,0.375,55.865681,-4.25714,UK,Europe,10.7825,24.9495,0.4322,65
Glasgow,18,55.956199,-4.359468,10,2,0.2,55.865681,-4.25714,UK,Europe,11.9154,24.9495,0.4776,65
Glasgow,19,55.96603199999999,-4.364897,12,2,0.167,55.865681,-4.25714,UK,Europe,13.0231,24.9495,0.522,60
Glasgow,20,55.912836,-4.332471,9,0,0,55.865681,-4.25714,UK,Europe,7.0398,24.9495,0.2822,100
Glasgow,21,55.968674,-4.3635839999999995,15,2,0.133,55.865681,-4.25714,UK,Europe,13.2344,24.9495,0.5304,60
Glasgow,22,55.98229,-4.36721,10,2,0.2,55.865681,-4.25714,UK,Europe,14.668,24.9495,0.5879,40
Glasgow,23,55.987754,-4.3726959999999995,12,5,0.417,55.865681,-4.25714,UK,Europe,15.3647,24.9495,0.6158,40
Glasgow,24,56.003381000000005,-4.391518,12,6,0.5,55.865681,-4.25714,UK,Europe,17.4498,24.9495,0.6994,40
Glasgow,25,56.013653000000005,-4.405054,12,0,0,55.865681,-4.25714,UK,Europe,18.8568,24.9495,0.7558,40
Glasgow,26,56.01639,-4.407836,11,0,0,55.865681,-4.25714,UK,Europe,19.2068,24.9495,0.7698,40
Glasgow,27,56.019360999999996,-4.410383,12,0,0,55.865681,-4.25714,UK,Europe,19.5724,24.9495,0.7845,40
Glasgow,28,56.022602,-4.414028,12,2,0.167,55.865681,-4.25714,UK,Europe,19.9975,24.9495,0.8015,40
Glasgow,29,56.025707999999995,-4.415593,11,0,0,55.865681,-4.25714,UK,Europe,20.3464,24.9495,0.8155,40
Glasgow,30,56.030278,-4.416221,14,11,0.786,55.865681,-4.25714,UK,Europe,20.8106,24.9495,0.8341,40
Glasgow,31,56.034057999999995,-4.419677,10,2,0.2,55.865681,-4.25714,UK,Europe,21.2825,24.9495,0.853,34
Glasgow,32,56.035669999999996,-4.422862,10,2,0.2,55.865681,-4.25714,UK,Europe,21.5345,24.9495,0.8631,34
Glasgow,33,56.037771,-4.430504,10,2,0.2,55.865681,-4.25714,UK,Europe,21.9695,24.9495,0.8806,40
Glasgow,34,56.041686,-4.445289,12,3,0.25,55.865681,-4.25714,UK,Europe,22.8082,24.9495,0.9142,40
Glasgow,35,56.04318000000001,-4.446529,10,3,0.3,55.865681,-4.25714,UK,Europe,22.9902,24.9495,0.9215,40
Glasgow,36,56.047216000000006,-4.447413,10,7,0.7,55.865681,-4.25714,UK,Europe,23.4041,24.9495,0.9381,40
Glasgow,37,56.054857999999996,-4.45254,13,2,0.154,55.865681,-4.25714,UK,Europe,24.2985,24.9495,0.9739,34
Glasgow,38,56.061502000000004,-4.452845,12,6,0.5,55.865681,-4.25714,UK,Europe,24.9495,24.9495,1,34
Glasgow,39,55.878845999999996,-4.287461,9,8,0.889,55.865681,-4.25714,UK,Europe,2.3919,24.9495,0.0959,100
Glasgow,40,55.8719228,-4.289985,7,0,0,55.865681,-4.25714,UK,Europe,2.1636,24.9495,0.0867,93
