city,population,population_latitude,population_longitude,total_plants,numCyanogenic,freqHCN,latitude_city,longitude_city,Country,continent,distance,max_dist,std_distance,hii
Indianapolis,1,39.7701,-86.1579,15,1,0.067,39.768402,-86.158066,USA,North America,0.1893,24.5563,0.0077,87
Indianapolis,2,39.76582,-86.15233,20,2,0.1,39.768402,-86.158066,USA,North America,0.5681,24.5563,0.0231,87
Indianapolis,3,39.76764,-86.146,20,2,0.1,39.768402,-86.158066,USA,North America,1.0347,24.5563,0.0421,87
Indianapolis,4,39.76683,-86.14033,20,2,0.1,39.768402,-86.158066,USA,North America,1.5259,24.5563,0.0621,87
Indianapolis,5,39.76641,-86.13438000000001,20,4,0.2,39.768402,-86.158066,USA,North America,2.0365,24.5563,0.0829,87
Indianapolis,6,39.76701,-86.12826,20,1,0.05,39.768402,-86.158066,USA,North America,2.5522,24.5563,0.1039,87
Indianapolis,7,39.76727,-86.12185,16,0,0,39.768402,-86.158066,USA,North America,3.0979,24.5563,0.1262,87
Indianapolis,8,39.76848,-86.11777,20,3,0.15,39.768402,-86.158066,USA,North America,3.444,24.5563,0.1402,87
Indianapolis,9,39.76842,-86.1123,20,2,0.1,39.768402,-86.158066,USA,North America,3.9115,24.5563,0.1593,87
Indianapolis,10,39.76952,-86.10583000000001,19,5,0.263,39.768402,-86.158066,USA,North America,4.4662,24.5563,0.1819,87
Indianapolis,11,39.76883,-86.09989,20,3,0.15,39.768402,-86.158066,USA,North America,4.9724,24.5563,0.2025,87
Indianapolis,12,39.76913,-86.09399,20,5,0.25,39.768402,-86.158066,USA,North America,5.477,24.5563,0.223,87
Indianapolis,13,39.76958,-86.08712,20,0,0,39.768402,-86.158066,USA,North America,6.065,24.5563,0.247,87
Indianapolis,14,39.77002,-86.08244,18,1,0.056,39.768402,-86.158066,USA,North America,6.4661,24.5563,0.2633,71
Indianapolis,15,39.7699,-86.07682,20,1,0.05,39.768402,-86.158066,USA,North America,6.9459,24.5563,0.2829,71
Indianapolis,16,39.77004,-86.07083,20,1,0.05,39.768402,-86.158066,USA,North America,7.4581,24.5563,0.3037,71
Indianapolis,17,39.77063,-86.06303,20,2,0.1,39.768402,-86.158066,USA,North America,8.1262,24.5563,0.3309,71
Indianapolis,18,39.77122,-86.05819,20,2,0.1,39.768402,-86.158066,USA,North America,8.5418,24.5563,0.3478,84
Indianapolis,19,39.771409999999996,-86.0526,20,2,0.1,39.768402,-86.158066,USA,North America,9.02,24.5563,0.3673,84
Indianapolis,20,39.7716,-86.048330000000007,20,2,0.1,39.768402,-86.158066,USA,North America,9.3855,24.5563,0.3822,84
